timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BRPL,56DSBRPL2025/04/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5700,0.0000,16.0242,0.0000,0.0000,0.0000,0.0000,0.0000,20.2000,10.6100,0.0000,0.0000,80.0620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,281.6400,0.0000,0.0000,7.6900,63.6300,52.6900,73.3100,59.7300,22.7400,5.0900,12.1400,6.5200,19.3600,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,17.0700,6.6600,8.3700,0.0000,33.9400,0.0000,0.0000,0.0000,31.5400,0.0000,0.0000,0.0000,0.0000,15.2800,16.2500,0.0000,15.0900,5.3800,0.0000,9.1400,1.9100,1.6700,0.0000,5.5100,0.7600,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2200,28.3300,0.0000,1.8600,4.6500,0.0000,8.6600,0.0000,30.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7400,4.3300,1204.8362,57.18,0.00,10.5145,0.00,1251.5017
2,BRPL,56DSBRPL2025/04/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5700,0.0000,16.0242,0.0000,0.0000,0.0000,0.0000,0.0000,20.2000,10.6100,0.0000,0.0000,80.0620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,298.0000,0.0000,0.0000,7.6900,63.6300,52.6900,73.3100,59.7300,22.7400,5.0900,12.1400,6.5200,19.3600,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,8.5300,6.6600,8.3700,0.0000,33.9400,0.0000,0.0000,0.0000,31.5400,0.0000,0.0000,0.0000,0.0000,15.2800,16.2500,0.0000,15.0900,5.3800,0.0000,9.1400,1.9100,1.6700,0.0000,5.5100,0.8200,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2200,28.3300,0.0000,1.8600,4.6500,0.0000,8.6600,0.0000,30.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7400,4.3300,1213.7362,35.18,0.00,10.7555,0.00,1238.1607
3,BRPL,56DSBRPL2025/04/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5700,0.0000,16.0242,0.0000,0.0000,0.0000,0.0000,0.0000,20.2000,10.6100,0.0000,0.0000,82.4292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,314.9100,0.0000,0.0000,7.6900,63.6300,52.6900,73.3100,59.7300,22.7400,5.0900,12.1400,6.5200,19.3600,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,8.3700,0.0000,33.9400,0.0000,0.0000,0.0000,31.5400,0.0000,0.0000,0.0000,0.0000,15.2800,16.2500,0.0000,15.0900,5.3800,0.0000,9.1400,8.8400,1.6700,0.0000,5.5100,0.8200,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2200,28.6700,0.0000,1.8600,4.6500,0.0000,8.6600,0.0000,30.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7400,4.3300,1231.7534,-8.82,0.00,11.2393,0.00,1211.6941
4,BRPL,56DSBRPL2025/04/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5700,0.0000,16.0242,0.0000,0.0000,0.0000,0.0000,0.0000,20.2000,10.6100,0.0000,0.0000,82.4292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,294.3300,0.0000,0.0000,7.6900,63.6300,52.6900,73.3100,59.7300,22.7400,5.0900,12.1400,6.5200,19.3600,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,8.3700,0.0000,33.9400,0.0000,0.0000,0.0000,31.5400,0.0000,0.0000,0.0000,0.0000,15.2800,16.2500,0.0000,7.5400,5.3800,0.0000,9.1400,1.3600,1.6700,0.0000,5.5100,0.8200,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2200,29.0000,0.0000,1.8600,4.6500,0.0000,8.6600,0.0000,30.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7400,4.3300,1196.4734,-9.82,0.00,10.9719,0.00,1175.6815
5,BRPL,56DSBRPL2025/04/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5200,0.0000,16.0242,0.0000,0.0000,0.0000,0.0000,0.0000,20.2000,10.6100,0.0000,0.0000,82.4292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,245.5200,0.0000,0.0000,4.2300,63.6300,52.6900,73.3100,59.7300,22.7400,5.0900,12.1400,6.5200,19.3600,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,8.3700,0.0000,33.9400,0.0000,0.0000,0.0000,31.5400,0.0000,0.0000,0.0000,0.0000,15.2800,16.2500,0.0000,7.5400,5.3800,0.0000,9.1400,0.0000,10.8400,0.0000,5.5100,0.8200,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5300,30.6700,0.0000,1.8600,4.6500,0.0000,5.5000,0.0000,30.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7400,4.3300,1096.2734,52.18,0.00,9.7067,0.00,1138.7467
6,BRPL,56DSBRPL2025/04/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5200,0.0000,16.0242,0.0000,0.0000,0.0000,0.0000,0.0000,20.2000,10.6100,0.0000,0.0000,82.4292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,245.5200,0.0000,0.0000,4.2300,63.6300,52.6900,73.3100,59.7300,22.7400,5.0900,12.1400,6.5200,19.3600,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,8.3700,0.0000,33.9400,0.0000,0.0000,0.0000,31.5400,0.0000,0.0000,0.0000,0.0000,15.2800,16.2500,0.0000,7.5400,5.3800,0.0000,9.1400,0.0000,28.7700,0.0000,5.5100,0.8200,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8300,32.6700,0.0000,1.8600,4.6500,0.0000,5.5000,0.0000,30.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7400,4.3300,1116.9934,-6.82,0.00,10.3286,0.00,1099.8448
7,BRPL,56DSBRPL2025/04/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5200,0.0000,16.0242,0.0000,0.0000,0.0000,0.0000,0.0000,20.2000,10.6100,0.0000,0.0000,82.4292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,242.4700,0.0000,0.0000,4.2300,64.4300,52.9100,74.0700,59.7300,22.2800,5.0900,9.1800,6.5200,19.3600,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,8.3700,0.0000,33.9400,0.0000,0.0000,0.0000,31.5400,0.0000,0.0000,0.0000,0.0000,15.2800,16.2500,0.0000,0.0000,0.0000,0.0000,9.1400,0.0000,28.7700,0.0000,5.5100,0.8200,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3400,33.3300,0.0000,1.8600,4.6500,0.0000,5.5000,0.0000,30.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7400,4.3300,1104.5734,18.18,0.00,10.0367,0.00,1112.7167
8,BRPL,56DSBRPL2025/04/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5200,0.0000,16.0242,0.0000,0.0000,0.0000,0.0000,0.0000,20.2000,10.6100,0.0000,0.0000,82.4292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,242.4700,0.0000,0.0000,4.2300,64.4300,52.9100,74.0700,59.7300,22.2800,5.0900,9.1800,6.5200,19.3600,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,8.3700,0.0000,33.9400,0.0000,0.0000,0.0000,31.5400,0.0000,0.0000,0.0000,0.0000,15.2800,16.2500,0.0000,0.0000,0.0000,0.0000,9.1400,0.0000,28.7700,0.0000,5.5100,0.8200,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6600,33.3300,0.0000,1.8600,4.6500,0.0000,5.5000,0.0000,30.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7400,4.3300,1105.3834,51.18,0.00,9.7856,0.00,1146.7778
9,BRPL,56DSBRPL2025/04/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5700,0.0000,16.0242,0.0000,0.0000,0.0000,0.0000,0.0000,20.2000,10.6100,0.0000,0.0000,82.4292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,242.4700,0.0000,0.0000,6.5900,64.4300,52.9100,74.0700,59.7300,22.2800,5.0900,9.1900,6.5200,19.3600,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,8.3700,0.0000,33.9400,0.0000,0.0000,0.0000,31.5400,0.0000,0.0000,0.0000,0.0000,15.2800,16.2500,0.0000,0.0000,0.0000,0.0000,9.1400,0.0000,9.5900,0.0000,5.5100,0.8200,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3400,24.0000,0.0000,1.8600,4.6500,0.0000,8.6600,0.0000,30.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7400,4.3300,1130.1434,-101.12,0.00,11.1620,0.00,1017.8614
10,BRPL,56DSBRPL2025/04/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5700,0.0000,16.0242,0.0000,0.0000,0.0000,0.0000,0.0000,20.2000,10.6100,0.0000,0.0000,82.4292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,242.4700,0.0000,0.0000,6.5900,64.4300,52.9100,74.0700,59.7300,22.2800,5.0900,9.1900,6.5200,19.3600,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6600,8.3700,0.0000,33.9400,0.0000,0.0000,0.0000,31.5400,0.0000,0.0000,0.0000,0.0000,15.2800,16.2500,0.0000,0.0000,0.0000,0.0000,9.1400,0.0000,9.5900,0.0000,5.5100,0.8200,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3400,24.6700,0.0000,1.8600,4.6500,0.0000,8.6600,0.0000,30.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7400,4.3300,1131.7934,-104.12,0.00,11.1983,0.00,1016.4751
