timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BRPL,60DSBRPL2022/09/04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104.8900,0.0000,12.9219,33.9480,0.0000,0.0000,8.2358,0.0000,35.3500,122.8400,64.2500,0.0000,97.1038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,155.5700,0.0000,0.0000,5.8000,30.8600,50.1900,70.9100,50.0800,24.0100,9.2700,18.0100,11.2100,14.3200,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,41.7400,5.9600,2.2500,0.0000,25.1400,0.0000,0.0000,0.0000,21.3500,12.2400,0.0000,0.0000,0.0000,19.7100,13.8500,17.9100,16.6000,12.3500,11.7800,21.0000,1.0700,57.2800,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,72.9300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.7300,33.5300,0.0000,1399.6995,1298.36,0.00,23.8985,0.00,2674.1610
2,BRPL,60DSBRPL2022/09/04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104.8900,0.0000,12.9219,33.9480,0.0000,0.0000,8.2358,0.0000,35.3500,122.8400,64.2500,0.0000,97.1038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,155.5700,0.0000,0.0000,5.8000,30.8600,50.1900,70.9100,50.0800,24.0100,9.2700,18.0100,11.2100,14.3200,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,41.7400,5.9600,2.2500,0.0000,25.1400,0.0000,0.0000,0.0000,21.3500,12.2400,0.0000,0.0000,0.0000,19.7100,13.8500,17.9100,16.6000,12.3500,11.7800,21.0000,1.0700,57.2800,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.8000,34.4900,0.0000,1400.7795,1256.46,0.00,23.5393,0.00,2633.7002
3,BRPL,60DSBRPL2022/09/04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104.8900,0.0000,12.9219,33.9480,0.0000,0.0000,8.2358,0.0000,35.3500,122.8400,64.2500,0.0000,97.1038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,155.5700,0.0000,0.0000,5.8000,30.8600,50.1900,70.9100,50.0800,24.0100,9.2700,16.6400,11.2100,14.3200,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,41.7400,5.9600,2.2500,0.0000,25.1400,0.0000,0.0000,0.0000,21.3500,12.2400,0.0000,0.0000,0.0000,22.2800,13.8500,17.9100,16.6000,12.3500,11.7800,21.0000,5.8800,57.2800,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.4100,35.3900,0.0000,1410.5495,1254.03,0.00,23.6039,0.00,2640.9756
4,BRPL,60DSBRPL2022/09/04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104.8900,0.0000,12.9219,33.9480,0.0000,0.0000,8.2358,0.0000,35.3500,122.8400,64.2500,0.0000,97.1038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,155.5700,0.0000,0.0000,5.8000,30.8600,50.1900,70.9100,50.0800,24.0100,9.2700,16.6400,11.2100,14.3200,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,31.3100,5.9600,2.2500,0.0000,25.1400,0.0000,0.0000,0.0000,21.3500,12.2400,0.0000,0.0000,0.0000,22.2800,13.8500,17.9100,16.6000,12.3500,11.7800,21.0000,5.8800,57.2800,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.6100,36.1900,0.0000,1401.3695,1230.81,0.00,23.3188,0.00,2608.8607
5,BRPL,60DSBRPL2022/09/04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104.8900,0.0000,12.9219,33.9480,0.0000,0.0000,8.0000,0.0000,35.3500,122.8400,64.2500,0.0000,97.1038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,155.5700,0.0000,0.0000,5.8000,30.8600,50.1900,70.9100,50.0800,24.0100,9.2700,16.6400,11.2100,14.7800,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,31.3100,5.9600,2.2500,0.0000,25.1400,0.0000,0.0000,0.0000,21.3500,12.2400,0.0000,0.0000,0.0000,8.4500,13.8500,17.9100,16.6000,12.3500,11.7800,21.0000,5.8800,57.2800,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.4700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7400,37.3200,0.0000,1389.5137,1212.16,0.00,23.0503,0.00,2578.6234
6,BRPL,60DSBRPL2022/09/04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104.8900,0.0000,12.9219,33.9480,0.0000,0.0000,8.2358,0.0000,35.3500,122.8400,64.2500,0.0000,97.1038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,155.5700,0.0000,0.0000,5.8000,30.8600,50.1900,70.9100,50.0800,24.0100,9.2700,16.6400,11.2100,14.7800,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,31.3100,5.9600,2.2500,0.0000,25.1400,0.0000,0.0000,0.0000,21.3500,12.2400,0.0000,0.0000,0.0000,1.8700,13.8500,17.9100,16.6000,12.3500,11.7800,21.0000,5.8800,57.2800,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,76.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9700,38.0700,0.0000,1391.5695,1176.37,3.89,22.7535,0.00,2549.0760
7,BRPL,60DSBRPL2022/09/04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104.8900,0.0000,12.9219,33.9480,0.0000,0.0000,8.2358,0.0000,35.3500,122.8400,64.2500,0.0000,97.1038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,155.5700,0.0000,0.0000,5.8000,30.8600,50.1900,70.9100,50.0800,24.0100,9.2700,16.6400,11.2100,14.7800,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,31.1000,5.9600,2.2500,0.0000,25.1400,0.0000,0.0000,0.0000,21.3500,12.2400,0.0000,0.0000,0.0000,1.8700,13.5500,17.9100,16.6000,12.3500,11.7800,21.0000,5.8800,57.2800,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,76.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1300,38.8500,0.0000,1391.5695,1129.92,34.50,22.3447,0.00,2533.6448
8,BRPL,60DSBRPL2022/09/04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104.8900,0.0000,12.9219,33.9480,0.0000,0.0000,8.2358,0.0000,35.3500,122.8400,64.2500,0.0000,97.1038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,155.5700,0.0000,0.0000,5.8000,30.8600,50.1900,70.9100,50.0800,24.0100,9.2700,16.6400,11.2100,14.7800,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,31.1000,5.9600,2.2500,0.0000,25.1400,0.0000,0.0000,0.0000,21.3500,12.2400,0.0000,0.0000,0.0000,1.8700,13.5500,17.9100,16.6000,12.3500,11.7800,21.0000,5.8800,57.2800,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.4200,39.4600,0.0000,1392.9195,1029.75,51.29,21.4751,0.00,2452.4844
9,BRPL,60DSBRPL2022/09/04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104.8900,0.0000,13.5680,33.9480,0.0000,0.0000,8.9774,0.0000,35.3500,122.8400,64.2500,0.0000,97.1038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,155.5700,0.0000,0.0000,5.8000,30.8600,50.1900,70.9100,50.0800,24.0100,9.2700,16.6400,11.2100,14.7800,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,29.7900,5.9600,2.2500,0.0000,25.1400,0.0000,0.0000,0.0000,21.3500,12.2400,0.0000,0.0000,0.0000,1.8700,12.5800,17.9100,16.6000,8.2200,11.7800,21.0000,5.8800,57.2800,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0500,40.5400,0.0000,1394.7772,1022.80,66.03,21.4303,0.00,2462.1769
10,BRPL,60DSBRPL2022/09/04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104.8900,0.0000,13.5680,33.9480,0.0000,0.0000,8.9774,0.0000,35.3500,122.8400,64.2500,0.0000,97.1038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,155.5700,0.0000,0.0000,5.8000,30.8600,50.1900,70.9100,50.0800,24.0100,9.2700,16.6400,11.2100,14.7800,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,29.7900,5.9600,2.2500,0.0000,25.1400,0.0000,0.0000,0.0000,21.3500,12.2400,0.0000,0.0000,0.0000,11.2600,12.5800,17.9100,16.6000,8.2200,11.7800,21.0000,5.8800,57.2800,5.5000,2.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,85.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0200,40.8600,0.0000,1404.1672,915.14,83.81,20.5655,0.00,2382.5517
