timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BRPL,39DSBRPL2023/10/05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,78.5700,0.0000,15.1560,44.5356,0.0000,0.0000,0.0000,0.0000,31.4100,6.0700,16.6800,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.4400,0.0000,0.0000,4.8400,48.2300,24.6000,70.8200,50.0100,19.6900,8.4800,17.9900,11.2000,12.6200,41.7400,0.0000,0.0000,0.0000,0.0000,0.0000,30.3800,5.9400,0.0000,0.0000,27.3300,0.0000,0.0000,0.0000,11.0400,12.1000,0.0000,0.0000,0.0000,4.6900,13.5400,0.0000,5.0900,0.0000,7.7400,20.9800,0.0000,17.5900,5.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5100,44.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0128,28.9500,0.0000,0.0000,1431.3940,336.59,58.61,15.6639,0.00,1810.9301
2,BRPL,39DSBRPL2023/10/05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,78.5700,0.0000,15.1560,44.5356,0.0000,0.0000,0.0000,0.0000,31.4100,6.0700,16.6800,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.4400,0.0000,0.0000,4.8400,48.2300,24.6000,70.8200,50.0100,19.6900,8.4800,17.9900,11.2000,12.6200,41.7400,0.0000,0.0000,0.0000,0.0000,0.0000,20.2500,5.9400,0.0000,0.0000,27.3300,0.0000,0.0000,0.0000,11.0400,12.1000,0.0000,0.0000,0.0000,4.6900,13.5400,0.0000,5.0900,0.0000,7.7400,20.9800,0.0000,17.5900,5.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.6600,44.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0128,28.9500,0.0000,0.0000,1420.4540,305.67,74.07,15.2955,0.00,1784.8985
3,BRPL,39DSBRPL2023/10/05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,78.5700,0.0000,15.1560,44.5356,0.0000,0.0000,0.0000,0.0000,31.4100,6.0700,16.6800,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.4400,0.0000,0.0000,4.8400,48.2300,24.6000,70.8200,50.0100,19.6900,8.4800,17.9900,11.2000,12.6200,41.7400,0.0000,0.0000,0.0000,0.0000,0.0000,10.1300,5.9400,0.0000,0.0000,27.3300,0.0000,0.0000,0.0000,11.0400,12.1000,0.0000,0.0000,0.0000,4.6900,13.5400,0.0000,5.0900,0.0000,7.7400,20.9800,0.0000,17.5900,5.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.7400,45.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0128,28.9500,0.0000,0.0000,1409.9240,241.89,85.43,14.6416,0.00,1722.6024
4,BRPL,39DSBRPL2023/10/05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,78.5700,0.0000,15.1560,44.5356,0.0000,0.0000,0.0000,0.0000,31.4100,6.0700,16.6800,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.4400,0.0000,0.0000,4.8400,48.2300,24.6000,70.8200,50.0100,19.6900,8.4800,17.9900,11.2000,12.6200,41.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9400,0.0000,0.0000,27.3300,0.0000,0.0000,0.0000,11.0400,12.1000,0.0000,0.0000,0.0000,4.6900,13.5400,0.0000,5.0900,0.0000,7.7400,20.9800,0.0000,17.5900,5.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9500,52.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0128,28.9500,0.0000,0.0000,1394.8540,282.47,23.34,14.8661,0.00,1685.7979
5,BRPL,39DSBRPL2023/10/05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,78.5700,0.0000,15.1560,44.5356,0.0000,0.0000,0.0000,0.0000,31.4100,6.0700,16.6800,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.4400,0.0000,0.0000,4.8400,48.2300,24.6000,70.8200,50.0100,19.6900,8.4800,17.9900,11.2000,12.6200,41.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9400,0.0000,0.0000,27.3300,0.0000,0.0000,0.0000,11.0400,12.1000,0.0000,0.0000,0.0000,4.6900,4.5700,0.0000,0.0000,0.0000,7.7400,20.9800,0.0000,9.6300,5.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9900,52.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0128,28.9500,0.0000,0.0000,1372.2940,239.95,44.00,14.2933,0.00,1641.9507
6,BRPL,39DSBRPL2023/10/05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,78.5700,0.0000,15.1560,44.8192,0.0000,0.0000,0.0000,0.0000,31.4100,6.0700,16.6800,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.4400,0.0000,0.0000,4.8400,48.2300,24.6000,70.8200,50.0100,19.6900,8.4800,17.9900,11.2000,12.6200,41.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9400,0.0000,0.0000,27.3300,0.0000,0.0000,0.0000,11.0400,12.1000,0.0000,0.0000,0.0000,20.6200,4.0000,0.0000,0.0000,0.0000,7.7400,20.9800,0.0000,9.6300,5.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7500,53.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.2214,27.9800,0.0000,0.0000,1386.4262,194.00,54.00,14.2950,0.00,1620.1312
7,BRPL,39DSBRPL2023/10/05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.9500,0.0000,15.1560,45.1029,0.0000,0.0000,0.0000,0.0000,31.4100,6.0700,16.6800,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.4400,0.0000,0.0000,4.8400,61.6200,24.6000,70.8200,50.0100,19.6900,8.4800,17.9900,11.2000,12.6200,41.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.3300,0.0000,0.0000,0.0000,11.0400,12.1000,0.0000,0.0000,0.0000,20.6200,4.0000,0.0000,0.0000,0.0000,7.7400,20.9800,0.0000,9.6300,5.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.6200,53.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.2214,27.9800,0.0000,0.0000,1392.0699,194.53,54.00,14.0677,0.00,1626.5322
8,BRPL,39DSBRPL2023/10/05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.9500,0.0000,15.1560,45.1029,0.0000,0.0000,0.0000,0.0000,31.4100,6.0700,9.9300,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.4400,0.0000,0.0000,4.8400,61.6200,24.6000,70.8200,50.0100,19.6900,8.4800,17.9900,11.2000,12.6200,41.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.3300,0.0000,0.0000,0.0000,11.0400,12.1000,0.0000,0.0000,0.0000,6.5600,4.0000,0.0000,0.0000,0.0000,7.7400,20.9800,0.0000,9.6300,5.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.4200,57.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.2214,27.9800,0.0000,0.0000,1373.0999,187.78,63.00,13.8413,0.00,1610.0386
9,BRPL,39DSBRPL2023/10/05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.9500,0.0000,15.1560,45.1029,0.0000,0.0000,0.0000,0.0000,31.4100,6.2800,9.9300,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.4400,0.0000,0.0000,4.8400,61.6200,24.6000,70.8200,50.0100,19.6900,8.4800,17.9900,11.2000,12.6200,41.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.3300,0.0000,0.0000,0.0000,11.0400,11.2300,0.0000,0.0000,0.0000,4.6900,4.0000,0.0000,0.0000,0.0000,7.7400,20.9800,0.0000,9.6300,5.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.9600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.6200,57.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.2214,27.9800,0.0000,0.0000,1376.8899,159.76,78.00,13.6281,0.00,1601.0218
10,BRPL,39DSBRPL2023/10/05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.9500,0.0000,15.1560,45.1029,0.0000,0.0000,0.0000,0.0000,31.4100,6.2800,9.9300,0.0000,99.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.4400,0.0000,0.0000,4.8400,61.6200,24.6000,70.8200,50.0100,19.6900,8.4800,17.9900,11.2000,12.6200,41.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.3300,0.0000,0.0000,0.0000,11.0400,11.2300,0.0000,0.0000,0.0000,4.6900,4.0000,0.0000,0.0000,0.0000,7.7400,20.9800,0.0000,9.6300,5.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.6600,56.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.2214,27.9800,0.0000,0.0000,1376.1399,129.80,88.00,13.3579,0.00,1580.5820
