timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD,TEHRIPSP,TEHRIPSP_P,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BRPL,61DSBRPL2025/08/11,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.8900,0.0000,0.0000,41.7451,0.0000,0.0000,0.0000,0.0000,38.1700,16.0000,77.9300,0.0000,83.8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,250.5100,0.0000,0.0000,8.0800,31.4600,53.2100,73.9400,61.5700,24.1800,9.5300,19.1400,11.7600,19.2700,41.8400,0.0000,0.0000,0.0000,0.0000,4.0600,47.5000,26.0100,7.7300,0.0000,15.5800,0.0000,0.0000,2.6500,28.1900,8.3300,0.0000,0.0000,0.0000,21.7900,16.6000,18.5100,20.9300,15.0600,18.8400,24.8700,24.1500,61.6000,5.4300,8.1400,0.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.2800,53.3400,0.0000,2.7000,2.1000,0.0000,5.9600,10.2214,26.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9300,4.1600,2.8800,10.1000,0.0000,0.0000,1545.5734,1009.11,66.00,20.0201,0.00,2600.6633
2,BRPL,61DSBRPL2025/08/11,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.8900,0.0000,0.0000,41.7451,0.0000,0.0000,0.0000,0.0000,38.1700,16.0000,77.9300,0.0000,83.8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,256.6400,0.0000,0.0000,8.0800,31.4600,53.2100,73.9400,61.6300,24.1800,9.1800,19.1200,11.7600,19.2700,41.8400,0.0000,0.0000,0.0000,0.0000,4.0600,47.5000,26.0100,7.7300,0.0000,15.5800,0.0000,0.0000,2.6500,28.1900,8.3300,0.0000,0.0000,0.0000,21.7900,16.6000,18.5100,20.9300,15.0600,18.8400,24.8700,24.1500,61.6000,5.4300,8.1400,1.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6900,53.3400,0.0000,2.7000,2.1000,0.0000,5.9600,10.2214,26.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9300,4.1600,2.8800,10.1000,0.0000,0.0000,1550.3034,925.06,65.00,19.4014,0.00,2520.9620
3,BRPL,61DSBRPL2025/08/11,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.8900,0.0000,0.0000,41.7451,0.0000,0.0000,0.0000,0.0000,38.1700,16.0000,77.9300,0.0000,83.8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,321.2400,0.0000,0.0000,8.0800,31.4600,53.2100,73.9400,61.6300,24.1800,9.1800,19.1200,11.7600,19.2700,41.8400,0.0000,0.0000,0.0000,0.0000,4.0600,47.5000,26.0100,7.7300,0.0000,15.5800,0.0000,0.0000,2.6500,28.1900,8.2600,0.0000,0.0000,0.0000,13.5800,16.6000,18.5100,20.9300,15.0600,18.8400,24.8700,24.1500,61.6000,5.4300,8.1400,1.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0500,53.3400,0.0000,2.7000,2.1000,0.0000,5.9600,10.2214,26.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9300,4.1600,2.8800,10.1000,0.0000,0.0000,1593.8134,903.86,22.00,19.5755,0.00,2500.0979
4,BRPL,61DSBRPL2025/08/11,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.8900,0.0000,0.0000,41.7451,0.0000,0.0000,0.0000,0.0000,38.1700,16.0000,77.9300,0.0000,83.8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,327.5900,0.0000,0.0000,8.0800,31.4600,53.2100,73.9400,61.6300,24.1800,9.1800,19.1200,11.7600,19.2700,41.8400,0.0000,0.0000,0.0000,0.0000,4.0600,47.5000,26.0100,7.7300,0.0000,15.5800,0.0000,0.0000,2.6500,28.1900,8.2600,0.0000,0.0000,0.0000,13.5800,16.6000,17.5400,20.9300,15.0600,18.8400,24.8700,24.1500,61.6000,5.4300,8.1400,1.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.3900,53.3400,0.0000,2.7000,2.1000,0.0000,5.9600,10.2214,26.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9300,4.1600,2.8800,10.1000,0.0000,0.0000,1595.4334,903.86,0.00,19.5881,0.00,2479.7053
5,BRPL,61DSBRPL2025/08/11,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.8900,0.0000,0.0000,41.7451,0.0000,0.0000,0.0000,0.0000,38.1700,16.0000,77.9300,0.0000,83.8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,327.5900,0.0000,0.0000,8.0800,31.4600,53.2100,73.9400,61.6300,24.1800,9.2300,19.1200,11.7700,19.2700,41.8400,0.0000,0.0000,0.0000,0.0000,4.0600,47.5000,26.0100,7.7300,0.0000,15.5800,0.0000,0.0000,2.6500,28.1900,10.7600,0.0000,0.0000,0.0000,15.5200,11.0600,17.5400,20.9300,15.0600,18.8400,24.8700,24.1500,61.6000,5.4300,5.4200,1.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.3000,53.3400,0.0000,2.7000,2.1000,0.0000,5.9600,10.2214,26.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9300,4.1600,2.8800,10.1000,0.0000,0.0000,1589.7734,860.31,0.00,19.2043,0.00,2430.8791
6,BRPL,61DSBRPL2025/08/11,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.8900,0.0000,0.0000,41.7451,0.0000,0.0000,0.0000,0.0000,38.1700,16.0000,77.9300,0.0000,83.8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,327.5900,0.0000,0.0000,8.3900,31.4600,53.2100,73.9400,61.6300,24.1800,9.1800,19.1200,11.7700,19.2700,41.8400,0.0000,0.0000,0.0000,0.0000,4.0600,47.5000,26.0100,7.7300,0.0000,15.5800,0.0000,0.0000,2.6500,28.1900,10.7600,0.0000,0.0000,0.0000,15.5200,11.0600,17.5400,20.9300,15.0600,18.8400,24.8700,24.1500,61.6000,5.4300,5.4200,1.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.5000,53.3400,0.0000,2.7000,2.1000,0.0000,5.9600,10.2214,26.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9300,4.1600,2.8800,10.1000,0.0000,0.0000,1586.9334,825.62,0.00,18.9115,0.00,2393.6419
7,BRPL,61DSBRPL2025/08/11,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.8900,0.0000,0.0000,41.7451,0.0000,0.0000,0.0000,0.0000,38.1700,16.0000,77.9300,0.0000,83.8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,327.5900,0.0000,0.0000,8.3900,31.4600,53.2100,73.9400,61.6300,24.1800,9.1800,19.1200,11.7700,19.2700,41.8400,0.0000,0.0000,0.0000,0.0000,4.0600,47.5000,26.0100,7.7300,0.0000,15.5800,0.0000,0.0000,2.6500,28.1900,10.8600,0.0000,0.0000,0.0000,15.5200,16.6000,17.5400,20.9300,15.0600,18.8400,24.8700,24.1500,61.6000,5.4300,5.4200,1.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.8600,53.3400,0.0000,2.7000,2.1000,0.0000,5.9600,10.2214,26.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9300,4.1600,2.8800,10.1000,0.0000,0.0000,1591.6134,763.30,0.00,18.7427,0.00,2336.1707
8,BRPL,61DSBRPL2025/08/11,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.8900,0.0000,0.0000,41.7451,0.0000,0.0000,0.0000,0.0000,38.1700,16.0000,77.9300,0.0000,83.8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,327.5900,0.0000,0.0000,8.3900,31.4600,53.2100,73.9400,61.6300,24.1800,9.1800,19.1200,11.7700,19.2700,41.8400,0.0000,0.0000,0.0000,0.0000,4.0600,47.5000,26.0100,7.7300,0.0000,15.5800,0.0000,0.0000,2.6500,28.1900,10.8600,0.0000,0.0000,0.0000,15.5200,16.6000,17.5400,20.9300,15.0600,18.8400,24.8700,24.1500,61.6000,5.4300,5.4200,1.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.3600,54.0000,0.0000,2.7000,2.1000,0.0000,5.9600,10.2214,26.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9300,4.1600,2.8800,10.1000,0.0000,0.0000,1591.9734,732.47,0.00,18.5051,0.00,2305.9383
9,BRPL,61DSBRPL2025/08/11,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.8900,0.0000,0.0000,41.7451,0.0000,0.0000,0.0000,0.0000,38.1700,16.0000,77.9300,0.0000,83.8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,327.5900,0.0000,0.0000,8.0800,31.4600,53.2100,73.9400,61.6300,24.1800,9.5300,19.8400,12.2100,19.2700,41.8400,0.0000,0.0000,0.0000,0.0000,4.0600,47.5000,26.0100,7.7300,0.0000,15.5800,0.0000,0.0000,2.6500,28.1900,10.9500,0.0000,0.0000,0.0000,15.5200,11.0600,17.5400,20.9300,15.0600,17.9000,24.8700,24.1500,61.6000,5.4300,5.4200,1.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.2800,61.6600,0.0000,2.7000,2.1000,0.0000,5.9600,10.2214,26.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9300,4.1600,2.8800,10.1000,0.0000,0.0000,1594.6834,683.94,0.00,18.4909,0.00,2260.1325
10,BRPL,61DSBRPL2025/08/11,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.8900,0.0000,0.0000,41.7451,0.0000,0.0000,0.0000,0.0000,38.1700,16.0000,77.9300,0.0000,83.8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,327.5900,0.0000,0.0000,8.0800,31.4600,53.2100,73.9400,61.6300,24.1800,9.5300,19.8400,12.2100,19.2700,41.8400,0.0000,0.0000,0.0000,0.0000,4.0600,47.5000,26.0100,7.7300,0.0000,15.5800,0.0000,0.0000,2.6500,28.1900,10.9500,0.0000,0.0000,0.0000,15.5200,11.0600,17.5400,20.9300,15.0600,17.9000,24.8700,24.1500,61.6000,5.4300,5.4200,1.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.2100,61.0000,0.0000,2.7000,2.1000,0.0000,5.9600,10.2214,26.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9300,4.1600,2.8800,10.1000,0.0000,0.0000,1595.1334,653.71,0.00,18.4146,0.00,2230.4288
