timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BRPL,93DSBRPL2024/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4700,0.0000,12.4226,82.3851,0.0000,0.0000,0.0000,0.0000,38.2700,17.4800,77.3100,0.0000,99.9568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,494.4200,0.0000,0.0000,8.8300,63.9400,52.9700,74.0400,59.3100,31.3900,9.6300,19.1400,11.7800,18.8000,62.4400,0.0000,0.0000,156.5300,113.4800,4.7100,0.0000,0.0000,8.0800,0.0000,29.6400,0.0000,0.0000,3.1000,29.2200,0.0000,0.0000,0.0000,0.0000,15.4600,16.2900,17.8800,20.9000,14.9800,18.7300,25.4500,9.1900,55.2600,5.1600,2.7700,1.4200,0.0000,0.0000,391.0136,0.0000,0.0600,0.0000,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,92.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.3400,66.6700,0.0000,2.4600,3.6900,0.0000,7.6700,11.2853,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2544.2134,1040.52,0.00,30.2892,0.00,3554.4442
2,BRPL,93DSBRPL2024/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4700,0.0000,12.4226,82.3851,0.0000,0.0000,0.0000,0.0000,38.2700,17.4800,77.3100,0.0000,99.9568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,494.4200,0.0000,0.0000,8.8300,63.9400,52.9700,74.0400,59.3100,31.3900,9.6300,19.1400,11.7800,18.8000,62.4400,0.0000,0.0000,166.1900,113.4800,4.7100,0.0000,0.0000,8.0800,0.0000,29.6400,0.0000,0.0000,3.1000,29.2200,0.0000,0.0000,0.0000,0.0000,15.4600,16.2900,17.8800,20.9000,14.9800,18.7300,25.4500,9.1900,55.2600,5.1600,2.7700,1.4200,0.0000,0.0000,391.0136,0.0000,0.0600,0.0000,12.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,93.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.3400,66.6700,0.0000,2.4600,3.6900,0.0000,7.6700,11.2853,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2553.9734,1035.41,0.00,30.3282,0.00,3559.0552
3,BRPL,93DSBRPL2024/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4700,0.0000,12.4226,82.3851,0.0000,0.0000,0.0000,0.0000,38.2700,17.4800,77.3100,0.0000,99.9568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,494.4200,0.0000,0.0000,8.8300,63.9400,52.9700,74.0400,59.3100,31.3900,9.6300,19.1400,11.7800,18.8000,62.4400,0.0000,0.0000,130.0942,127.4800,4.7100,0.0000,0.0000,8.0800,0.0000,29.6400,0.0000,0.0000,3.1000,29.2200,0.0000,0.0000,0.0000,0.0000,15.4600,16.2900,17.8800,20.9000,14.9800,18.7300,25.4500,9.1900,55.2600,5.1600,2.7700,1.4200,0.0000,0.0000,391.0136,0.0000,0.0600,0.0000,12.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,93.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.3400,66.6700,0.0000,2.4600,3.6900,0.0000,7.6700,11.2853,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2531.7876,1079.80,0.00,30.5147,0.00,3581.0729
4,BRPL,93DSBRPL2024/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4700,0.0000,12.4226,82.3851,0.0000,0.0000,0.0000,0.0000,38.2700,17.4800,77.3100,0.0000,99.9568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,494.4200,0.0000,0.0000,8.8300,63.9400,52.9700,74.0400,59.3100,31.3900,9.6300,19.1400,11.7800,18.8000,62.4400,0.0000,0.0000,110.6865,127.4800,4.7100,0.0000,0.0000,8.0800,0.0000,29.6400,0.0000,0.0000,3.1000,29.2200,0.0000,0.0000,0.0000,0.0000,15.4600,16.2900,17.8800,20.9000,14.9800,18.7300,25.4500,9.1900,55.2600,2.0600,2.7700,1.4200,0.0000,0.0000,391.0136,0.0000,0.0600,0.0000,11.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,94.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.3400,66.6700,0.0000,2.4600,3.6900,0.0000,7.6700,11.2853,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2509.3799,1076.34,0.00,30.2975,0.00,3555.4224
5,BRPL,93DSBRPL2024/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4700,0.0000,12.4226,82.3851,0.0000,0.0000,0.0000,0.0000,38.2700,17.4800,77.3100,0.0000,99.9568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,494.4200,0.0000,0.0000,8.8300,63.9400,52.9700,74.0400,59.3100,31.3900,9.6300,19.1400,11.7800,18.8000,62.4400,0.0000,0.0000,121.8843,127.4800,4.7100,0.0000,0.0000,8.0800,0.0000,29.6400,0.0000,0.0000,3.1000,29.2200,0.0000,0.0000,0.0000,0.0000,15.4600,16.2900,17.8800,20.9000,14.9800,18.7300,25.4500,1.8400,55.2600,2.0600,2.7700,1.4200,0.0000,0.0000,391.0136,0.0000,0.0600,0.0000,11.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,94.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.6600,66.6700,0.0000,2.4600,3.6900,0.0000,7.6700,11.2853,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2513.6477,1048.87,0.00,30.1026,0.00,3532.4151
6,BRPL,93DSBRPL2024/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4700,0.0000,12.4226,82.3851,0.0000,0.0000,0.0000,0.0000,38.2700,17.4800,77.3100,0.0000,99.9568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,494.4200,0.0000,0.0000,8.8300,63.9400,52.9700,74.0400,59.3100,31.3900,9.6300,19.1400,11.7800,18.8000,62.4400,0.0000,0.0000,107.8271,127.4800,4.7100,0.0000,0.0000,8.0800,0.0000,29.6400,0.0000,0.0000,3.1000,29.2200,0.0000,0.0000,0.0000,0.0000,15.4600,16.2900,17.8800,20.9000,14.9800,18.7300,25.4500,1.8400,55.2600,2.0600,2.7700,1.4200,0.0000,0.0000,391.0136,0.0000,0.0600,0.0000,10.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,82.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.0000,58.6700,0.0000,2.4600,3.6900,0.0000,7.6700,11.2853,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2479.5305,1033.41,0.00,29.6861,0.00,3483.2544
7,BRPL,93DSBRPL2024/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4700,0.0000,12.4226,82.3851,0.0000,0.0000,0.0000,0.0000,38.2700,17.4800,77.3100,0.0000,99.9568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,494.4200,0.0000,0.0000,8.8300,63.9400,52.9700,74.0400,59.3100,31.3900,9.6300,19.1400,11.7800,18.8000,62.4400,0.0000,0.0000,53.3094,93.0000,4.7100,0.0000,0.0000,8.0800,0.0000,29.6400,0.0000,0.0000,3.1000,29.2200,0.0000,0.0000,0.0000,0.0000,15.4600,16.2900,17.8800,20.9000,14.9800,18.7300,25.4500,1.8400,55.2600,2.0600,2.7700,1.4200,0.0000,0.0000,391.0136,0.0000,0.0600,0.0000,10.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,83.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6600,59.3300,0.0000,2.4600,3.6900,0.0000,7.6700,11.2853,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2388.9528,1058.78,0.00,29.1384,0.00,3418.5944
8,BRPL,93DSBRPL2024/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4700,0.0000,12.4226,82.3851,0.0000,0.0000,0.0000,0.0000,38.2700,17.4800,77.3100,0.0000,99.9568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,494.4200,0.0000,0.0000,8.8300,63.9400,52.9700,74.0400,59.3100,31.3900,9.6300,19.1400,11.7800,18.8000,62.4400,0.0000,0.0000,53.3094,84.9000,4.7100,0.0000,0.0000,8.0800,0.0000,29.6400,0.0000,0.0000,3.1000,29.2200,0.0000,0.0000,0.0000,0.0000,15.4600,16.2900,17.8800,20.9000,14.9800,18.7300,25.4500,1.8400,55.2600,2.0600,2.7700,1.4200,0.0000,0.0000,391.0136,0.0000,0.0600,0.0000,10.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,83.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6600,60.0000,0.0000,2.4600,3.6900,0.0000,7.6700,11.2853,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2381.6228,1031.88,0.00,28.8508,0.00,3384.6520
9,BRPL,93DSBRPL2024/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4700,0.0000,12.4226,82.3851,0.0000,0.0000,0.0000,0.0000,38.2700,17.4800,77.3100,0.0000,99.9568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,494.4200,0.0000,0.0000,8.8300,63.9400,52.9700,74.0400,59.3100,31.3900,9.6300,19.1400,11.7800,18.8000,62.4400,0.0000,0.0000,53.3094,84.9100,4.7100,0.0000,0.0000,8.0800,0.0000,29.6400,0.0000,0.0000,3.1000,29.2200,0.0000,0.0000,0.0000,0.0000,15.4600,16.2900,17.8800,20.9000,14.9800,18.7300,25.4500,0.0000,55.2600,5.1600,2.7700,1.4200,0.0000,0.0000,423.0136,0.0000,0.0600,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6600,60.0000,0.0000,2.4600,3.6900,0.0000,7.6700,11.2853,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2403.3928,993.45,0.00,28.7109,0.00,3368.1319
10,BRPL,93DSBRPL2024/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4700,0.0000,12.4226,82.3851,0.0000,0.0000,0.0000,0.0000,38.2700,17.4800,77.3100,0.0000,99.9568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,494.4200,0.0000,0.0000,8.8300,63.9400,52.9700,74.0400,59.3100,31.3900,9.6300,19.1400,11.7800,18.8000,62.4400,0.0000,0.0000,58.7278,85.8600,4.7100,0.0000,0.0000,8.0800,0.0000,29.6400,0.0000,0.0000,3.1000,29.2200,0.0000,0.0000,0.0000,0.0000,15.4600,16.2900,17.8800,20.9000,14.9800,18.7300,25.4500,0.0000,55.2600,5.1600,2.7700,1.4200,0.0000,0.0000,423.0136,0.0000,0.0600,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,76.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6600,60.0000,0.0000,2.4600,3.6900,0.0000,7.6700,11.2853,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2410.7612,964.50,0.00,28.5296,0.00,3346.7316
