timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BRPL,77DSBRPL2024/12/28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.9900,0.0000,16.1967,0.0000,0.0000,0.0000,0.0000,0.0000,38.1200,9.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,168.3500,0.0000,0.0000,7.6800,61.3500,50.1800,70.8700,59.7500,23.9400,8.6900,17.9100,11.1500,19.1100,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9200,0.0000,0.0000,30.0600,0.0000,0.0000,0.0000,23.4700,0.0000,0.0000,0.0000,0.0000,0.3900,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,2.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,90.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.6700,70.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8472,24.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,996.1639,-72.08,0.00,9.5965,0.00,914.4874
2,BRPL,77DSBRPL2024/12/28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.9900,0.0000,16.1967,0.0000,0.0000,0.0000,0.0000,0.0000,38.1200,9.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.0000,0.0000,0.0000,7.6800,61.3500,50.1800,70.8700,59.7500,23.9400,8.6900,17.9100,11.1500,19.1100,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9200,0.0000,0.0000,30.0600,0.0000,0.0000,0.0000,23.4700,0.0000,0.0000,0.0000,0.0000,0.3900,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,2.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,89.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0000,70.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8472,25.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,967.1639,-69.19,0.00,9.3929,0.00,888.5810
3,BRPL,77DSBRPL2024/12/28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.9900,0.0000,16.1967,0.0000,0.0000,0.0000,0.0000,0.0000,38.1200,9.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.0000,0.0000,0.0000,7.6800,61.3500,50.1800,70.8700,59.7500,23.9400,8.6900,17.9100,11.1500,19.1100,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9200,0.0000,0.0000,30.0600,0.0000,0.0000,0.0000,23.4700,0.0000,0.0000,0.0000,0.0000,0.3900,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,2.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,89.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0000,70.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8472,25.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,966.7639,-102.86,0.00,9.1271,0.00,854.7768
4,BRPL,77DSBRPL2024/12/28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.9900,0.0000,16.1967,0.0000,0.0000,0.0000,0.0000,0.0000,38.1200,5.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.0000,0.0000,0.0000,7.6800,61.3500,50.1800,70.8700,59.7500,23.9400,8.6900,9.8600,11.1500,19.1100,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9200,0.0000,0.0000,30.0600,0.0000,0.0000,0.0000,23.4700,0.0000,0.0000,0.0000,0.0000,0.3900,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,2.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,89.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0000,70.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8472,25.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,954.7839,-117.29,0.00,8.9211,0.00,828.5728
5,BRPL,77DSBRPL2024/12/28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.2900,0.0000,16.1967,0.0000,0.0000,0.0000,0.0000,0.0000,25.2200,5.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.0000,0.0000,0.0000,7.6800,61.3500,50.1800,70.8700,59.7500,23.9400,5.0300,9.8600,6.0600,19.1100,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9200,0.0000,0.0000,30.0600,0.0000,0.0000,0.0000,23.4700,0.0000,0.0000,0.0000,0.0000,0.3900,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,2.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.6700,70.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8472,26.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,916.8939,-108.73,0.00,8.6924,0.00,799.4715
6,BRPL,77DSBRPL2024/12/28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.8600,0.0000,16.1967,0.0000,0.0000,0.0000,0.0000,0.0000,25.2200,5.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.0000,0.0000,0.0000,4.5000,61.3500,50.1800,70.8700,59.7500,23.9400,5.0300,9.8600,6.0600,19.1100,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9200,0.0000,0.0000,30.0600,0.0000,0.0000,0.0000,23.4700,0.0000,0.0000,0.0000,0.0000,0.3900,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,2.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.3300,70.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8472,26.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,898.2539,-109.69,0.00,8.5395,0.00,780.0244
7,BRPL,77DSBRPL2024/12/28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.8600,0.0000,16.1967,0.0000,0.0000,0.0000,0.0000,0.0000,25.2200,5.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.0000,0.0000,0.0000,4.5000,61.3500,50.1800,70.8700,59.7500,23.9400,5.0300,9.8600,6.0600,19.1100,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9200,0.0000,0.0000,30.0600,0.0000,0.0000,0.0000,23.4700,0.0000,0.0000,0.0000,0.0000,1.4500,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.3400,70.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8472,26.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,899.5839,-166.33,0.00,8.4513,0.00,724.8026
8,BRPL,77DSBRPL2024/12/28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.8600,0.0000,16.1967,0.0000,0.0000,0.0000,0.0000,0.0000,25.2200,5.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.0000,0.0000,0.0000,4.5000,61.3500,50.1800,70.8700,59.7500,23.9400,5.0300,9.8600,6.0600,19.1100,62.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9200,0.0000,0.0000,30.0600,0.0000,0.0000,0.0000,23.4700,0.0000,0.0000,0.0000,0.0000,1.4500,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,85.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.3400,70.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8472,26.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,897.8839,-179.33,0.00,8.5394,0.00,710.0145
9,BRPL,77DSBRPL2024/12/28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.8600,0.0000,16.1967,0.0000,0.0000,0.0000,0.0000,0.0000,25.2200,5.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.0000,0.0000,0.0000,4.5000,61.3500,50.1800,70.8700,59.7500,23.9400,5.0300,9.8600,6.0600,10.9600,35.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9200,0.0000,0.0000,30.0600,0.0000,0.0000,0.0000,23.4700,0.0000,0.0000,0.0000,0.0000,1.4500,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,95.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.3400,76.6600,0.0000,0.0000,0.0000,0.0000,0.0000,10.8472,26.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,876.8539,-144.63,0.00,8.1000,0.00,724.1239
10,BRPL,77DSBRPL2024/12/28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.8600,0.0000,16.1967,0.0000,0.0000,0.0000,0.0000,0.0000,25.2200,5.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.0000,0.0000,0.0000,4.5000,61.3500,50.1800,70.8700,59.7500,23.9400,5.0300,9.8600,6.0600,10.9600,35.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9200,0.0000,0.0000,30.0600,0.0000,0.0000,0.0000,23.4700,0.0000,0.0000,0.0000,0.0000,1.4500,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,95.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.3400,76.6600,0.0000,0.0000,0.0000,0.0000,0.0000,10.8472,25.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,876.1439,-144.63,0.00,8.0945,0.00,723.4194
