timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BRPL,50DSBRPL2023/05/31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.2600,0.0000,10.9762,42.7575,0.0000,0.0000,0.0000,0.0000,38.3300,11.8400,35.5300,0.0000,-1.8678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.2200,0.0000,0.0000,7.7400,53.3900,25.7900,72.4600,50.0800,29.2000,9.0600,18.6400,11.5200,18.3200,62.6800,0.0000,0.0000,0.0000,0.0000,2.2500,18.1000,11.3900,7.2000,0.0000,28.6800,0.0000,0.0000,0.8300,25.0500,0.0000,0.0000,0.0000,0.0000,22.9400,15.3000,17.9100,18.8000,13.2300,4.3100,22.4700,0.0000,48.2200,4.0300,0.0000,0.7700,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,7.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9100,20.3100,0.0000,1.3200,1.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3000,11.0975,1222.1534,397.03,0.00,18.1708,0.00,1601.0126
2,BRPL,50DSBRPL2023/05/31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.2600,0.0000,10.9762,42.7575,0.0000,0.0000,0.0000,0.0000,38.3300,12.0600,26.6400,0.0000,-1.8678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.2200,0.0000,0.0000,7.7400,53.3900,25.7900,72.4600,50.0800,29.2000,9.2200,18.6400,11.5200,18.3200,62.6800,0.0000,0.0000,0.0000,0.0000,2.2500,18.1000,11.3900,7.2000,0.0000,28.6800,0.0000,0.0000,0.6300,25.0500,0.0000,0.0000,0.0000,0.0000,22.9400,15.3000,17.9100,18.8000,13.2300,4.3100,22.4700,0.0000,48.2200,4.0300,0.0000,0.7700,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,7.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8300,20.5400,0.0000,1.3200,1.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3000,11.0975,1213.2834,385.03,0.00,18.1983,0.00,1580.1151
3,BRPL,50DSBRPL2023/05/31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.2600,0.0000,10.9762,42.7575,0.0000,0.0000,0.0000,0.0000,38.3300,12.0600,26.6400,0.0000,-1.8678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.2200,0.0000,0.0000,7.7400,53.3900,25.7900,72.4600,50.0800,29.2000,9.2200,18.6400,11.5200,18.3200,62.6800,0.0000,0.0000,0.0000,0.0000,1.6900,18.1000,11.3900,7.2000,0.0000,28.6800,0.0000,0.0000,0.6300,25.0500,0.0000,0.0000,0.0000,0.0000,20.8800,15.3000,11.9400,18.8000,13.2300,4.3100,22.4700,0.0000,48.2200,4.0300,0.0000,0.7700,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,7.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6800,20.9600,0.0000,1.3200,1.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3000,11.0975,1204.1434,420.03,0.00,17.8099,0.00,1606.3635
4,BRPL,50DSBRPL2023/05/31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.2600,0.0000,10.9762,42.7575,0.0000,0.0000,0.0000,0.0000,38.3300,12.0600,26.6400,0.0000,-1.8678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.2200,0.0000,0.0000,7.7400,53.3900,25.7900,72.4600,50.0800,29.2000,9.2200,18.6400,11.5200,18.3200,62.6800,0.0000,0.0000,0.0000,0.0000,1.1300,18.1000,11.3900,7.2000,0.0000,28.6800,0.0000,0.0000,0.6300,25.0500,0.0000,0.0000,0.0000,0.0000,20.8800,15.3000,5.9700,18.8000,13.2300,4.3100,22.4700,0.0000,48.2200,4.0300,0.0000,0.7700,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5100,20.6100,0.0000,1.3200,1.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3000,11.0975,1197.1634,406.03,0.00,17.8717,0.00,1585.3217
5,BRPL,50DSBRPL2023/05/31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.2600,0.0000,10.9762,43.4584,0.0000,0.0000,0.0000,0.0000,38.3300,12.0600,26.6400,0.0000,-1.8678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.2200,0.0000,0.0000,7.7400,53.3900,25.7900,72.4600,50.0800,29.2000,8.9200,18.6400,11.5200,18.3200,62.6800,0.0000,0.0000,0.0000,0.0000,0.5700,18.1000,11.3900,7.2000,0.0000,28.6800,0.0000,0.0000,0.6300,25.0500,0.0000,0.0000,0.0000,0.0000,20.8800,15.3000,0.0000,18.8000,13.2300,4.3100,22.4700,0.0000,48.2200,0.5000,0.0000,0.7700,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,7.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3500,20.8100,0.0000,1.3200,1.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3000,11.0975,1188.1443,443.03,0.00,17.4667,0.00,1613.7076
6,BRPL,50DSBRPL2023/05/31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.2600,0.0000,10.9762,43.4584,0.0000,0.0000,0.0000,0.0000,38.3300,12.0600,26.6400,0.0000,-1.8678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.2200,0.0000,0.0000,7.7400,53.3900,25.7900,72.4600,50.0800,29.2000,8.9200,18.6400,11.5200,18.3200,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,18.1000,11.3900,7.2000,0.0000,28.6800,0.0000,0.0000,0.6300,25.0500,0.0000,0.0000,0.0000,0.0000,20.8800,15.3000,0.0000,18.8000,13.2300,4.3100,22.4700,0.0000,48.2200,0.5000,0.0000,0.7700,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,7.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1700,21.8700,0.0000,1.3200,1.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3000,11.0975,1187.8043,421.03,0.00,17.6573,0.00,1591.1770
7,BRPL,50DSBRPL2023/05/31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.2600,0.0000,10.9762,43.4584,0.0000,0.0000,0.0000,0.0000,38.3300,12.0600,26.6400,0.0000,-1.8678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.2200,0.0000,0.0000,7.7400,53.3900,25.7900,72.4600,50.0800,29.2000,9.2200,18.6400,11.9100,18.3200,62.6800,0.0000,0.0000,0.4800,1.2300,0.0000,18.1000,11.3900,7.2000,0.0000,28.6800,0.0000,0.0000,0.6300,25.0500,0.0000,0.0000,0.0000,0.0000,20.8800,15.3000,0.0000,18.8000,13.2300,4.3100,22.4700,0.0000,48.2200,0.5000,0.0000,0.7700,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,7.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2000,22.4100,0.0000,1.3200,1.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3000,11.0975,1192.0643,394.03,0.00,17.9324,0.00,1568.1619
8,BRPL,50DSBRPL2023/05/31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.2600,0.0000,10.9762,43.4584,0.0000,0.0000,0.0000,0.0000,38.3300,12.0600,26.6400,0.0000,-1.8678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.2200,0.0000,0.0000,7.7400,53.3900,25.7900,72.4600,50.0800,29.2000,8.9200,18.6400,11.5200,18.3200,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,18.1000,11.3900,7.2000,0.0000,28.6800,0.0000,0.0000,0.6300,25.0500,0.0000,0.0000,0.0000,0.0000,20.8800,15.3000,0.0000,18.8000,13.2300,4.3100,22.4700,0.0000,48.2200,0.5000,0.0000,0.7700,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,7.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2200,36.8500,0.0000,1.3200,1.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3000,11.0975,1205.0343,376.03,0.00,18.2049,0.00,1562.8594
9,BRPL,50DSBRPL2023/05/31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.2600,0.0000,11.9502,43.4584,0.0000,0.0000,0.0000,0.0000,38.3300,12.0600,26.6400,0.0000,-1.8678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,193.5000,0.0000,0.0000,7.7400,53.3900,25.7900,72.4600,50.0800,29.2000,8.8400,18.6400,11.5200,18.3200,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,18.1000,11.3900,7.2000,0.0000,28.6800,0.0000,0.0000,0.6300,25.0500,0.0000,0.0000,0.0000,0.0000,20.8800,15.3000,0.0000,18.8000,13.2300,4.3100,22.4700,0.0000,48.2200,0.5000,0.0000,0.7700,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,7.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1900,36.2200,0.0000,1.3200,1.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3000,11.0975,1138.3383,425.03,0.00,17.1868,0.00,1546.1815
10,BRPL,50DSBRPL2023/05/31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.2600,0.0000,11.9021,43.4584,0.0000,0.0000,0.0000,0.0000,14.5100,3.8700,26.6400,0.0000,-1.8678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,135.4500,0.0000,0.0000,7.7400,53.3900,25.7900,72.4600,50.0800,29.2000,3.5800,6.7700,4.0000,18.3200,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,18.1000,11.3900,7.2000,0.0000,28.6800,0.0000,0.0000,0.6300,25.0500,0.0000,0.0000,0.0000,0.0000,20.8800,15.3000,0.0000,18.8000,13.2300,4.3100,22.4700,0.0000,48.2200,0.5000,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,7.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1900,35.4200,0.0000,1.2500,1.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2900,11.0975,1021.0202,515.03,0.00,15.3624,0.00,1520.6878
