timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
1,70EnBRPL2024/08/12,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,9.2901,67.1909,0.0000,99.6096,286.3776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,6.2806,56.8418,52.1649,73.6762,59.5602,22.2249,9.0317,18.6205,11.5936,14.1291,65.1334,0.0000,12.4059,30.5291,29.9126,0.0000,41.2279,24.6060,6.9393,0.0000,27.9883,0.0000,0.0000,0.0000,22.7975,4.1329,0.0000,0.0000,0.0000,16.0001,14.4128,12.4908,17.3519,12.7646,16.1277,21.4138,8.3856,56.3379,4.1636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,15.0000,49.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2227,27.7500,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
2,70EnBRPL2024/08/12,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,9.2901,67.1909,0.0000,99.6096,286.3776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,6.2806,56.8418,52.1649,73.6762,59.5602,22.2249,9.0317,18.6205,11.5936,14.1291,65.1334,0.0000,12.4059,30.5291,29.9126,0.0000,41.2279,24.6060,6.9393,0.0000,27.9883,0.0000,0.0000,0.0000,22.7975,4.1329,0.0000,0.0000,0.0000,16.0001,14.4128,12.4908,17.3519,12.7646,16.1277,21.4138,8.3856,56.3379,4.1636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,15.0000,49.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2227,27.7500,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
3,70EnBRPL2024/08/12,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,9.2901,67.1909,0.0000,99.6096,286.3776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,6.2806,56.8418,52.1649,73.6762,59.5602,22.2249,9.0317,18.6205,11.5936,14.1291,65.1334,0.0000,12.4059,30.5291,29.9126,0.0000,41.2279,24.6060,6.9393,0.0000,27.9883,0.0000,0.0000,0.0000,22.7975,4.1329,0.0000,0.0000,0.0000,16.0001,14.4128,12.4908,17.3519,12.7646,16.1277,21.4138,8.3856,56.3379,4.7829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,15.0000,49.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2227,27.7500,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
4,70EnBRPL2024/08/12,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,9.2901,67.1909,0.0000,99.6096,286.3776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,6.2806,56.8418,52.1649,73.6762,59.5602,22.2249,9.0317,18.6205,11.5936,14.1291,65.1334,0.0000,12.4059,30.5291,29.9126,0.0000,41.2279,24.6060,6.9393,0.0000,27.9883,0.0000,0.0000,0.0000,22.7975,4.1329,0.0000,0.0000,0.0000,16.0001,14.4128,12.4908,17.3519,12.7646,16.1277,21.4138,8.3856,56.3379,4.7829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,15.0000,49.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2227,27.7500,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
5,70EnBRPL2024/08/12,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,9.2901,67.1909,0.0000,99.6096,286.3776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,6.2806,56.8418,52.1649,73.6762,59.5602,22.2249,9.0317,18.6205,11.5936,14.1291,65.1334,0.0000,12.4059,30.5291,29.9126,0.0000,41.2279,24.6060,6.9393,0.0000,27.9883,0.0000,0.0000,0.0000,22.7975,4.2998,0.0000,0.0000,0.0000,16.0001,9.7471,12.4908,17.3519,12.7646,16.1277,21.4138,8.3856,56.3379,4.7829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,15.6600,48.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.2227,27.7500,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
6,70EnBRPL2024/08/12,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,9.2901,67.1909,0.0000,99.6096,286.3776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,6.2806,56.8418,52.1649,73.6762,59.5602,22.2249,9.0317,18.6205,11.5936,14.1291,65.1334,0.0000,12.4059,30.5291,29.9126,0.0000,41.2279,24.6060,6.9393,0.0000,27.9883,0.0000,0.0000,0.0000,22.7975,4.2998,0.0000,0.0000,0.0000,16.0001,9.7471,12.4908,17.3519,12.7646,16.1277,21.4138,8.3856,56.3379,4.7829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,16.6600,48.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.2227,27.7500,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
7,70EnBRPL2024/08/12,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,9.2901,67.1909,0.0000,99.6096,286.3776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,6.2806,56.8418,52.1649,73.6762,59.5602,22.2249,9.0317,18.6205,11.5936,16.2592,65.1334,0.0000,12.4059,30.5291,29.9126,0.0000,41.2279,24.6060,6.9393,0.0000,27.9883,0.0000,0.0000,0.0000,22.7975,4.2998,0.0000,0.0000,0.0000,18.6660,9.7471,12.4908,17.3519,12.7646,16.1277,21.4138,8.3856,56.3379,4.7829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,17.3400,48.3300,0.0000,0.0000,0.0000,0.0000,0.0000,11.2227,27.7500,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
8,70EnBRPL2024/08/12,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,9.2901,67.1909,0.0000,99.6096,286.3776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,6.2806,56.8418,52.1649,73.6762,59.5602,22.2249,9.0317,18.6205,11.5936,16.2592,65.1334,0.0000,12.4059,30.5291,29.9126,0.0000,41.2279,24.6060,6.9393,0.0000,27.9883,0.0000,0.0000,0.0000,22.7975,4.2998,0.0000,0.0000,0.0000,18.6660,9.7471,12.4908,17.3519,12.7646,16.1277,21.4138,8.3856,56.3379,4.7829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,18.0000,48.3300,0.0000,0.0000,0.0000,0.0000,0.0000,11.2227,27.7500,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
9,70EnBRPL2024/08/12,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,9.2901,67.1909,0.0000,99.6096,286.3776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,6.2806,56.8418,52.1649,73.6762,59.5602,22.2249,9.0317,18.6205,11.5936,16.7950,65.1334,0.0000,12.4059,30.5291,29.9126,0.0000,41.2279,24.6060,6.9393,0.0000,27.9883,0.0000,0.0000,0.0000,22.7975,4.4315,0.0000,0.0000,0.0000,16.0001,14.4128,12.4908,17.3519,12.7646,16.1277,21.4138,2.7965,56.3379,4.1636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,17.3400,48.3300,0.0000,0.0000,0.0000,0.0000,0.0000,11.2227,27.7500,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
10,70EnBRPL2024/08/12,BRPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,122.6366,0.0000,33.2240,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,9.2901,67.1909,0.0000,99.6096,286.3776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,509.6128,0.0000,0.0000,6.2806,56.8418,52.1649,73.6762,59.5602,22.2249,9.0317,18.6205,11.5936,16.7950,65.1334,0.0000,12.4059,30.5291,29.9126,0.0000,41.2279,24.6060,6.9393,0.0000,27.9883,0.0000,0.0000,0.0000,22.7975,4.4315,0.0000,0.0000,0.0000,16.0001,14.4128,12.4908,17.3519,12.7646,16.1277,21.4138,2.7965,56.3379,4.1636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,17.3400,48.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2227,27.7500,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000
