timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD,TEHRIPSP,TEHRIPSP_P
1,57EnBRPL2025/08/31,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,16.6150,77.9146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.5615,0.0000,0.0000,9.1354,33.0000,55.0000,76.7377,35.0359,25.0000,9.8694,19.6333,12.0636,14.8845,65.0000,0.0000,23.1540,36.5919,46.8503,4.0613,53.7317,29.9917,8.3688,0.0000,15.7549,0.0000,0.0000,2.6730,29.1818,7.9451,0.0000,0.0000,0.0000,1.9369,7.2601,12.3415,6.9784,0.0000,18.8353,16.6033,19.7935,59.8143,5.7579,0.0000,1.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,12.3300,34.6600,0.0000,2.6965,3.2801,0.0000,6.1884,10.5760,100.0000,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,5.4342,4.1648,2.8848,17.3313,131.7635,263.5776
2,57EnBRPL2025/08/31,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,16.6150,77.9146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.5615,0.0000,0.0000,9.1354,33.0000,55.0000,76.7377,35.0359,25.0000,9.8694,19.6333,12.0636,14.8845,65.0000,0.0000,23.1540,36.5919,46.8503,4.0613,53.7317,29.9917,8.3688,0.0000,15.7549,0.0000,0.0000,2.6730,29.1818,7.9451,0.0000,0.0000,0.0000,1.9369,7.2601,12.3415,6.9784,0.0000,18.8353,16.6033,19.7935,59.8143,5.7579,0.0000,1.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0100,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,12.0000,35.0000,0.0000,2.6965,3.2801,0.0000,6.1884,10.5760,100.0000,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,5.4342,4.1648,2.8848,17.3313,131.7635,263.5776
3,57EnBRPL2025/08/31,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,16.6150,77.9146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.5615,0.0000,0.0000,9.1354,33.0000,55.0000,76.7377,35.0359,25.0000,9.8694,19.6333,12.0636,14.8845,65.0000,0.0000,23.1540,36.5919,46.8503,4.0613,53.7317,29.9917,8.3688,0.0000,15.7549,0.0000,0.0000,2.6730,29.1818,10.3563,0.0000,0.0000,0.0000,11.6344,7.2601,12.3415,6.9784,15.0636,18.8353,16.6033,19.7935,59.8143,5.7579,0.0000,1.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0100,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,12.0000,35.3400,0.0000,2.6965,3.2801,0.0000,6.1884,10.5760,100.0000,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,5.4342,4.1648,2.8848,17.3313,131.7635,263.5776
4,57EnBRPL2025/08/31,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,16.6150,77.9146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.5615,0.0000,0.0000,9.1354,33.0000,55.0000,76.7377,35.0359,25.0000,9.8694,19.6333,12.0636,14.8845,65.0000,0.0000,23.1540,36.5919,46.8503,4.0613,53.7317,29.9917,8.3688,0.0000,15.7549,0.0000,0.0000,2.6730,29.1818,10.3563,0.0000,0.0000,0.0000,11.6344,7.2601,12.3415,6.9784,15.0636,18.8353,16.6033,19.7935,59.8143,5.7579,0.0000,1.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0100,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,12.0000,35.6600,0.0000,2.6965,3.2801,0.0000,6.1884,10.5760,100.0000,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,5.4342,4.1648,2.8848,17.3313,131.7635,263.5776
5,57EnBRPL2025/08/31,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,16.6150,77.9146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.5615,0.0000,0.0000,9.1354,33.0000,55.0000,76.7377,35.0359,25.0000,9.8694,19.6333,12.0636,14.8845,65.0000,0.0000,23.2651,36.5919,46.8503,4.0613,53.7317,29.9917,8.3688,0.0000,15.7549,0.0000,0.0000,2.6730,29.1818,10.3563,0.0000,0.0000,0.0000,11.6344,7.2601,12.3415,6.9784,15.0636,18.8353,16.6033,19.7935,59.8143,5.7579,0.0000,1.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.4900,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,12.0000,36.3400,0.0000,2.6965,3.2801,0.0000,6.1884,10.5760,100.0000,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,5.4342,4.1648,2.8848,17.3313,131.7635,263.5776
6,57EnBRPL2025/08/31,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,16.6150,77.9146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.5615,0.0000,0.0000,9.1354,33.0000,55.0000,76.7377,35.0359,25.0000,9.8694,19.6333,12.0636,15.0602,65.0000,0.0000,23.2651,36.5919,46.8503,4.0613,53.7317,29.9917,8.3688,0.0000,15.7549,0.0000,0.0000,2.6730,29.1818,10.4222,0.0000,0.0000,0.0000,1.9369,7.2601,12.3415,6.9784,15.0636,18.8353,16.6033,19.7935,59.8143,5.7579,0.0000,1.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,12.0000,36.6600,0.0000,2.6965,3.2801,0.0000,6.1884,10.5760,100.0000,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,5.4342,4.1648,2.8848,17.3313,131.7635,263.5776
7,57EnBRPL2025/08/31,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,16.6150,77.9146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.5615,0.0000,0.0000,9.1354,33.0000,55.0000,76.7377,35.0359,25.0000,9.8694,19.6333,12.0636,15.0602,65.0000,0.0000,23.2651,36.5919,46.8503,4.0613,53.7317,29.9917,8.3688,0.0000,15.7549,0.0000,0.0000,2.6730,29.1818,10.4222,0.0000,0.0000,0.0000,5.8194,7.2601,12.3415,6.9784,0.0000,18.8353,16.6033,18.7996,63.7159,5.7579,0.0000,1.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0100,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,12.0000,37.0000,0.0000,2.6965,3.2801,0.0000,6.1884,10.5760,100.0000,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,5.4342,4.1648,2.8848,17.3313,131.7635,263.5776
8,57EnBRPL2025/08/31,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,16.6150,77.9146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.5615,0.0000,0.0000,9.1354,33.0000,55.0000,76.7377,35.0359,25.0000,9.8694,19.6333,12.0636,15.0602,65.0000,0.0000,23.2651,36.5919,46.8503,4.0613,53.7317,29.9917,8.3688,0.0000,15.7549,0.0000,0.0000,2.6730,29.1818,10.4222,0.0000,0.0000,0.0000,5.8194,7.2601,12.3415,6.9784,0.0000,18.8353,16.6033,18.7996,63.7159,5.7579,0.0000,1.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.4900,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,12.0000,37.3400,0.0000,2.6965,3.2801,0.0000,6.1884,10.5760,100.0000,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,5.4342,4.1648,2.8848,17.3313,131.7635,263.5776
9,57EnBRPL2025/08/31,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,16.6150,77.9146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.5615,0.0000,0.0000,9.1354,33.0000,55.0000,76.7377,35.0359,25.0000,9.8694,19.6333,12.0636,15.0602,65.0000,0.0000,23.3807,36.5919,46.8503,4.0613,53.7317,29.9917,8.3688,0.0000,15.7549,0.0000,0.0000,2.6730,29.1818,8.0066,0.0000,0.0000,0.0000,5.8194,7.2601,12.3415,6.9784,10.0321,18.8353,16.6033,18.7996,63.7159,5.7579,0.0000,1.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.5000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,11.6700,30.3900,0.0000,2.6965,3.2801,0.0000,6.1884,10.5760,100.0000,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,5.4342,4.1648,2.8848,17.3313,131.7635,263.5776
10,57EnBRPL2025/08/31,BRPL,0.0000,0.0000,0.0000,0.0000,24.9180,0.0000,0.0000,0.0000,122.2300,0.0000,0.0000,82.0410,0.0000,0.0000,0.0000,0.0000,39.6158,16.6150,77.9146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512.5615,0.0000,0.0000,9.1354,33.0000,55.0000,76.7377,35.0359,25.0000,9.8694,19.6333,12.0636,15.0602,65.0000,0.0000,23.3807,36.5919,46.8503,4.0613,53.7317,29.9917,8.3688,0.0000,15.7549,0.0000,0.0000,2.6730,29.1818,8.0066,0.0000,0.0000,0.0000,11.6344,7.2601,12.3415,6.9784,10.0321,18.8353,16.6033,18.7996,63.7159,5.7579,0.0000,1.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,0.0000,0.0000,300.0000,0.0000,100.0000,0.0000,0.0000,11.6700,30.2100,0.0000,2.6965,3.2801,0.0000,6.1884,10.5760,100.0000,0.0000,300.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,5.4342,4.1648,2.8848,17.3313,131.7635,263.5776
