timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BYPL,70DSBYPL2025/01/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8100,0.0000,8.7537,0.0000,0.0000,0.0000,0.0000,0.0000,15.0900,32.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,71.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.4200,0.0000,0.0000,3.0000,0.0000,30.1600,48.6600,317.9500,60.9700,1.7900,5.9200,3.9800,5.0000,25.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5800,0.0000,0.0000,0.0000,0.0000,0.5200,0.9200,0.0000,0.0000,0.0000,0.0000,3.8900,0.0000,0.3400,1.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.3300,0.0000,0.0000,0.0000,0.0000,2.0997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,825.1434,-395.00,0.00,9.7355,0.00,420.4079
2,BYPL,70DSBYPL2025/01/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8100,0.0000,8.7537,0.0000,0.0000,0.0000,0.0000,0.0000,15.0900,32.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.4200,0.0000,0.0000,3.0000,0.0000,28.9700,48.6600,317.9500,59.9800,1.7900,6.0000,3.9800,5.0000,24.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5800,0.0000,0.0000,0.0000,0.0000,0.5200,0.9200,0.0000,0.0000,0.0000,0.0000,3.8900,0.0000,0.3400,1.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.0000,0.0000,0.0000,0.0000,0.0000,2.0997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,816.5834,-409.04,0.00,9.7932,0.00,397.7502
3,BYPL,70DSBYPL2025/01/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8100,0.0000,8.7537,0.0000,0.0000,0.0000,0.0000,0.0000,15.0900,32.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.4200,0.0000,0.0000,3.0000,0.0000,28.9700,48.6600,317.9500,59.9800,1.7900,6.0000,3.9800,5.0000,24.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5800,0.0000,0.0000,0.0000,0.0000,0.5200,0.9200,0.0000,0.0000,0.0000,0.0000,3.8900,0.0000,0.3400,1.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.3300,0.0000,0.0000,0.0000,0.0000,2.0997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,828.1734,-414.42,0.00,10.0757,0.00,403.6777
4,BYPL,70DSBYPL2025/01/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8100,0.0000,8.7537,0.0000,0.0000,0.0000,0.0000,0.0000,15.0900,32.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.4200,0.0000,0.0000,3.0000,0.0000,28.9700,48.6600,317.9500,59.9800,1.7900,6.0000,3.9800,5.0000,24.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5800,0.0000,0.0000,0.0000,0.0000,0.5200,0.9200,0.0000,0.0000,0.0000,0.0000,3.8900,0.0000,0.3400,1.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.6700,0.0000,0.0000,0.0000,0.0000,2.0997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,828.1834,-425.59,0.00,10.2226,0.00,392.3708
5,BYPL,70DSBYPL2025/01/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8100,0.0000,8.2351,0.0000,0.0000,0.0000,0.0000,0.0000,15.0900,32.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.4200,0.0000,0.0000,3.0000,0.0000,28.9700,48.6600,317.9500,59.9800,1.7900,6.0000,3.9800,5.0000,24.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5800,0.0000,0.0000,0.0000,0.0000,0.5200,0.9200,0.0000,0.0000,0.0000,0.0000,3.8900,0.0000,0.3400,1.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.0000,0.0000,0.0000,0.0000,0.0000,2.0997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,827.6648,-436.74,0.00,10.3656,0.00,380.5592
6,BYPL,70DSBYPL2025/01/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8100,0.0000,8.2351,0.0000,0.0000,0.0000,0.0000,0.0000,15.0900,32.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.4200,0.0000,0.0000,3.0000,0.0000,28.9700,48.6600,317.9500,59.9800,1.7900,6.0000,3.9800,5.0000,13.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5800,0.0000,0.0000,0.0000,0.0000,0.5200,0.9200,0.0000,0.0000,0.0000,0.0000,3.8900,0.0000,0.3400,1.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.3300,0.0000,0.0000,0.0000,0.0000,2.0997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,815.6448,-437.90,0.00,10.3408,0.00,367.4040
7,BYPL,70DSBYPL2025/01/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8100,0.0000,8.2351,0.0000,0.0000,0.0000,0.0000,0.0000,15.0900,32.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.4200,0.0000,0.0000,3.0000,0.0000,28.9700,48.6600,317.9500,59.9800,1.7900,6.0000,3.9800,5.0000,13.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5800,0.0000,0.0000,0.0000,0.0000,0.2400,0.9200,0.0000,0.0000,0.0000,0.0000,3.8900,0.0000,0.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.3300,0.0000,0.0000,0.0000,0.0000,2.0997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,800.9648,-451.74,0.00,10.2744,0.00,338.9504
8,BYPL,70DSBYPL2025/01/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8100,0.0000,8.2351,0.0000,0.0000,0.0000,0.0000,0.0000,15.0900,32.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.4200,0.0000,0.0000,3.0000,0.0000,28.9700,48.6600,317.9500,59.9800,1.7900,6.0000,3.9800,5.0000,13.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5800,0.0000,0.0000,0.0000,0.0000,0.2400,0.9200,0.0000,0.0000,0.0000,0.0000,3.8900,0.0000,0.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.6700,0.0000,0.0000,0.0000,0.0000,2.0997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,799.9748,-459.82,0.00,10.3596,0.00,329.7952
9,BYPL,70DSBYPL2025/01/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8100,0.0000,8.2351,0.0000,0.0000,0.0000,0.0000,0.0000,15.0900,32.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.4200,0.0000,0.0000,3.0000,0.0000,28.9700,48.6600,315.6900,59.9800,1.7900,6.0000,3.9800,5.0000,13.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5800,0.0000,0.0000,0.0000,0.0000,0.2400,0.9200,0.0000,0.0000,0.0000,0.0000,3.8900,0.0000,0.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.3300,0.0000,0.0000,0.0000,0.0000,2.3330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,791.2681,-462.90,0.00,10.3457,0.00,318.0224
10,BYPL,70DSBYPL2025/01/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8100,0.0000,8.2351,0.0000,0.0000,0.0000,0.0000,0.0000,15.0900,32.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.4200,0.0000,0.0000,3.0000,0.0000,28.9700,48.6600,315.6900,59.9800,1.7900,6.0000,3.9800,5.0000,13.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5800,0.0000,0.0000,0.0000,0.0000,0.2400,0.9200,0.0000,0.0000,0.0000,0.0000,3.8900,0.0000,0.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.6700,0.0000,0.0000,0.0000,0.0000,2.3330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,790.1081,-466.94,0.00,10.3831,0.00,312.7850
