timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD,TEHRIPSP,TEHRIPSP_P
1,04EnBYPL2025/09/03,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.6807,0.0000,0.0000,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1256,38.8518,0.0000,0.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1438,0.0000,0.0000,5.2832,0.0000,30.1650,50.6482,274.9556,51.6198,5.4792,10.6492,0.0000,7.7089,37.6682,0.0000,10.9858,17.4808,22.2605,0.0000,0.0000,0.0000,4.1306,0.0000,0.0000,0.0000,0.0000,0.0000,13.0872,4.9733,0.0000,0.0000,0.0000,3.3655,8.1016,7.1374,10.0366,7.3841,6.9602,8.1463,10.0246,21.5468,3.3299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8000,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,44.7100,0.0000,0.0000,0.0000,0.0000,5.9025,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8362,76.1965,152.4224
2,04EnBYPL2025/09/03,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.6807,0.0000,0.0000,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1256,38.8518,0.0000,0.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1438,0.0000,0.0000,5.2832,0.0000,30.1650,50.6482,274.9556,51.6198,5.4792,10.6492,0.0000,7.7089,37.6682,0.0000,10.9858,17.4808,22.2605,0.0000,0.0000,0.0000,4.1306,0.0000,0.0000,0.0000,0.0000,0.0000,13.0872,4.9733,0.0000,0.0000,0.0000,3.3655,8.1016,7.1374,10.0366,7.3841,6.9602,8.1463,10.0246,21.5468,3.3299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.3400,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,43.0500,0.0000,0.0000,0.0000,0.0000,5.9025,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8362,76.1965,152.4224
3,04EnBYPL2025/09/03,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.6807,0.0000,0.0000,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1256,38.8518,0.0000,0.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1438,0.0000,0.0000,5.2832,0.0000,30.1650,50.6482,274.9556,51.6198,5.4792,10.6492,0.0000,7.7089,37.6682,0.0000,10.9858,17.4808,22.2605,0.0000,0.0000,0.0000,4.1306,0.0000,0.0000,0.0000,0.0000,0.0000,13.0872,4.9733,0.0000,0.0000,0.0000,3.3655,6.1508,7.1374,10.0366,7.3841,6.9602,8.1463,10.0246,21.5468,3.3299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8900,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,41.1400,0.0000,0.0000,0.0000,0.0000,5.9025,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8362,76.1965,152.4224
4,04EnBYPL2025/09/03,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.6807,0.0000,0.0000,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1256,38.8518,0.0000,0.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1438,0.0000,0.0000,5.2832,0.0000,30.1650,50.6482,274.9556,51.6198,5.4792,10.6492,0.0000,7.7089,37.6682,0.0000,10.9858,17.4808,22.2605,0.0000,0.0000,0.0000,4.1306,0.0000,0.0000,0.0000,0.0000,0.0000,13.0872,4.9733,0.0000,0.0000,0.0000,3.3655,6.1508,7.1374,10.0366,7.3841,6.9602,8.1463,10.0246,21.5468,3.3299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4600,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,39.1900,0.0000,0.0000,0.0000,0.0000,5.9025,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8362,76.1965,152.4224
5,04EnBYPL2025/09/03,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.6807,0.0000,0.0000,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1256,38.8518,0.0000,0.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1438,0.0000,0.0000,5.2832,0.0000,30.1650,50.6482,274.9556,51.6198,5.4792,10.6492,0.0000,7.7089,37.6682,0.0000,11.0385,17.4808,22.2605,0.0000,0.0000,0.0000,4.1306,0.0000,0.0000,0.0000,0.0000,0.0000,13.0872,4.9733,0.0000,0.0000,0.0000,3.3655,8.1016,7.1374,10.0366,7.3841,6.9602,8.1463,10.0246,21.5468,3.3299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6000,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,37.5500,0.0000,0.0000,0.0000,0.0000,5.9025,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8362,76.1965,152.4224
6,04EnBYPL2025/09/03,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.6807,0.0000,0.0000,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1256,38.8518,0.0000,0.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1438,0.0000,0.0000,5.2832,0.0000,30.1650,50.6482,274.9556,51.6198,5.4792,10.6492,0.0000,7.7089,37.6682,0.0000,11.0385,17.4808,22.2605,0.0000,0.0000,0.0000,4.1306,0.0000,0.0000,0.0000,0.0000,0.0000,13.0872,4.9733,0.0000,0.0000,0.0000,3.3655,8.1016,7.1374,10.0366,7.3841,6.9602,8.1463,10.0246,21.5468,3.3299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.5000,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,36.0300,0.0000,0.0000,0.0000,0.0000,5.9025,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8362,76.1965,152.4224
7,04EnBYPL2025/09/03,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.6807,0.0000,0.0000,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1256,38.8518,0.0000,0.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1438,0.0000,0.0000,5.2832,0.0000,30.1650,50.6482,274.9556,51.6198,5.4792,10.6492,0.0000,7.7089,37.6682,0.0000,11.0385,17.4808,22.2605,0.0000,0.0000,0.0000,4.1306,0.0000,0.0000,0.0000,0.0000,0.0000,13.0872,4.9733,0.0000,0.0000,0.0000,3.3655,6.1508,7.1374,10.0366,7.3841,6.9602,8.1463,10.0246,21.5468,3.3299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.6700,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,34.6100,0.0000,0.0000,0.0000,0.0000,5.9025,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8362,76.1965,152.4224
8,04EnBYPL2025/09/03,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.6807,0.0000,0.0000,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1256,38.8518,0.0000,0.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1438,0.0000,0.0000,5.2832,0.0000,30.1650,50.6482,274.9556,51.6198,5.4792,10.6492,0.0000,7.7089,37.6682,0.0000,11.0385,17.4808,22.2605,0.0000,0.0000,0.0000,4.1306,0.0000,0.0000,0.0000,0.0000,0.0000,13.0872,4.9733,0.0000,0.0000,0.0000,3.3655,6.1508,7.1374,10.0366,7.3841,6.9602,8.1463,10.0246,21.5468,3.3299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0400,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,33.1500,0.0000,0.0000,0.0000,0.0000,5.9025,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8362,76.1965,152.4224
9,04EnBYPL2025/09/03,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.6807,0.0000,0.0000,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1256,38.8518,0.0000,0.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1438,0.0000,0.0000,5.2832,0.0000,30.1650,50.6482,274.9556,51.6198,5.4792,10.6492,0.0000,7.7089,37.6682,0.0000,11.0933,17.4808,22.2605,0.0000,0.0000,0.0000,4.1306,0.0000,0.0000,0.0000,0.0000,0.0000,13.0872,4.9733,0.0000,0.0000,0.0000,3.3655,6.1508,7.1374,10.0366,7.3841,6.9602,8.1463,10.0246,21.5468,3.3299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6300,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,31.5300,0.0000,0.0000,0.0000,0.0000,5.9025,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8362,76.1965,152.4224
10,04EnBYPL2025/09/03,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.6807,0.0000,0.0000,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1256,38.8518,0.0000,0.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1438,0.0000,0.0000,5.2832,0.0000,30.1650,50.6482,274.9556,51.6198,5.4792,10.6492,0.0000,7.7089,37.6682,0.0000,11.0933,17.4808,22.2605,0.0000,0.0000,0.0000,4.1306,0.0000,0.0000,0.0000,0.0000,0.0000,13.0872,4.9733,0.0000,0.0000,0.0000,3.3655,6.1508,7.1374,10.0366,7.3841,6.9602,8.1463,10.0246,21.5468,3.3299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.1300,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,29.8200,0.0000,0.0000,0.0000,0.0000,5.9025,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8362,76.1965,152.4224
