genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,5.5750959,0,0,0,9.10237515,,0.910844,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,5.104748,6.8109745,2.54254,13.50131805,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,2.6691291,1.9561388,0,0,7.0905912,0,0,16.5884499,20.3994384,,,11.768328,155.546325,2.2068585,,,38.0773635,,0.801878,,0.875919,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
2,0,0,0,5.5750959,0,0,0,9.10237515,,0.910844,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,5.104748,6.8109745,2.54254,12.79637205,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,2.6691291,1.9561388,0,0,7.0905912,0,0,16.5884499,20.3994384,,,11.768328,155.546325,2.2068585,,,38.0773635,,0.801878,,0.875919,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
3,0,0,0,5.5750959,0,0,0,9.10237515,,0.910844,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,5.104748,6.8109745,2.54254,12.79637205,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,2.6691291,4.4453486,0,0,7.0905912,0,0,16.5884499,20.3994384,,,11.768328,155.546325,1.47240665,,,38.0773635,,0.801878,,0.875919,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
4,0,0,0,5.5750959,0,0,0,9.10237515,,0.910844,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,5.104748,6.8109745,2.54254,12.79637205,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,2.6691291,4.4453486,0,0,7.0905912,0,0,16.5884499,20.3994384,,,11.768328,155.546325,1.47240665,,,38.0773635,,0.801878,,0.875919,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
5,0,0,0,5.72157355,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,5.104748,6.8109745,2.54254,12.79637205,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,2.2346005,4.4453486,0,0,7.0905912,0,0,16.5884499,20.3994384,,,11.768328,155.546325,1.47240665,,,38.0773635,,0.801878,,0.875919,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
6,0,0,0,5.72157355,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,5.104748,6.8109745,2.54254,12.82307455,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,2.2346005,4.4453486,0,0,7.0905912,0,0,16.5884499,20.3994384,,,11.768328,155.546325,1.47240665,,,38.0773635,,0.801878,,0.875919,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
7,0,0,0,5.72157355,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,5.104748,6.8109745,2.54254,12.82307455,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,2.2346005,4.4453486,0,0,7.0905912,0,0,16.5884499,20.3994384,,,11.768328,155.546325,1.47240665,,,38.0773635,,0.801878,,0.875919,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
8,0,0,0,5.72157355,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,5.104748,6.8109745,2.54254,12.82307455,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,2.2346005,4.4453486,0,0,7.0905912,0,0,16.5884499,20.3994384,,,11.768328,155.546325,0.7356195,,,38.0773635,,0.801878,,0.875919,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
9,0,0,0,5.79537145,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,5.104748,6.8109745,2.54254,12.82307455,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,5.8684164,0,0,7.0905912,0,0,16.5884499,20.3994384,,,11.768328,155.546325,0.7356195,,,38.0773635,,0.758571,,0.250063,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
10,0,0,0,5.79537145,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,5.104748,6.8109745,2.54254,12.82307455,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,5.8684164,0,0,7.0905912,0,0,16.5884499,20.3994384,,,11.768328,155.546325,0.7029253,,,38.0773635,,0.758571,,0.250063,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
11,0,0,0,5.79537145,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,5.104748,6.8109745,2.54254,12.82307455,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,5.8684164,0,0,7.0905912,0,0,16.5884499,20.3994384,,,11.768328,155.546325,0,,,38.0773635,,0.758571,,0.875919,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
12,0,0,0,5.79537145,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,5.104748,6.8109745,2.54254,12.82307455,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,5.8684164,0,0,7.0905912,0,0,16.5884499,20.3994384,,,11.768328,155.546325,0,,,38.0773635,,0.758571,,0.875919,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
13,0,0,0,5.8389793,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,5.104748,6.8109745,2.54254,12.82307455,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,5.8684164,0,0,7.0905912,0,0,16.5884499,20.3994384,,,11.201146,155.546325,0,,,38.0773635,,0.758571,,0.875919,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
14,0,0,0,5.8389793,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,5.104748,6.8109745,2.54254,12.82307455,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,5.8684164,0,0,7.0905912,0,0,16.5884499,20.3994384,,,11.201146,155.546325,0,,,38.0773635,,0.758571,,0.875919,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
15,0,0,0,5.8389793,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,2.551208,6.8109745,2.54254,12.82307455,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,5.8684164,0,0,7.0905912,0,0,16.5884499,20.3994384,,,11.201146,151.22559375,0,,,38.0773635,,0.758571,,0.519684,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
16,0,0,0,5.8389793,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,2.551208,6.8109745,2.54254,12.82307455,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,5.8684164,0,0,7.0905912,0,0,16.5884499,20.3994384,,,11.201146,151.22559375,0,,,38.0773635,,0.758571,,0.519684,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
17,0,0,0,5.8389793,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,2.551208,6.8109745,2.54254,12.82307455,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,4.9784196,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0.758571,,0.519684,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
18,0,0,0,5.8389793,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,2.551208,6.8109745,2.54254,12.82307455,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,4.9784196,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0.758571,,0.519684,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
19,0,0,0,5.8389793,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,2.551208,6.8109745,2.54254,12.82307455,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,4.9784196,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0.430276,,0.519684,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
20,0,0,0,5.8389793,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,2.551208,6.8109745,2.54254,12.82307455,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,4.9784196,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0.430276,,0.519684,0,,,2.9515882,5.8568675,3.6872528,0,7.126097,4.4571285,
21,0,0,0,5.8389793,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,2.551208,6.8109745,2.54254,18.53740955,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,4.9784196,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0.430276,,0.519684,0,,,2.9515882,5.922675,3.6872528,0,7.126097,4.4571285,
22,0,0,0,5.8389793,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,2.551208,6.8109745,2.54254,18.53740955,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,4.9784196,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0.430276,,0.519684,0,,,2.9515882,5.85555135,3.6872528,0,7.126097,4.4571285,
23,0,0,0,5.8389793,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,2.551208,6.8109745,2.54254,18.53740955,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,4.9784196,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0.430276,,0.519684,0,,,2.9515882,5.85555135,3.6872528,0,7.126097,4.4571285,
24,0,0,0,5.8389793,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,2.551208,6.8109745,2.54254,18.53740955,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,4.9784196,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0.430276,,0.519684,0,,,2.9515882,5.922675,3.6872528,0,7.126097,4.4571285,
25,0,0,0,5.8389793,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,0,6.8109745,2.54254,18.53740955,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,4.9784196,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0.430276,,0.519684,0,,,2.9515882,5.922675,3.6872528,0,7.126097,4.4571285,
26,0,0,0,5.8389793,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,0,6.8109745,2.54254,23.87790955,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,4.9784196,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0.430276,,0.519684,0,,,2.9515882,5.922675,3.6872528,0,7.126097,4.4571285,
27,0,0,0,5.8389793,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,0,6.8109745,2.54254,23.87790955,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,4.9784196,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0,,0.519684,0,,,2.9515882,5.922675,3.6872528,0,7.126097,4.4571285,
28,0,0,0,5.8389793,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,0,0,6.8109745,2.54254,23.87790955,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,3.2895302,4.9784196,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0,,0.519684,0,,,2.9515882,5.922675,3.6872528,0,7.126097,4.4571285,
29,0,0,0,5.79537145,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,12.7762162,0,6.8109745,2.54254,23.87790955,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,2.9797427,4.9784196,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0,,0.519684,0,,,2.9515882,5.922675,3.6872528,0,7.126097,4.4571285,
30,0,0,0,5.79537145,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,15.7251787,0,6.8109745,2.54254,23.87790955,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,2.9797427,4.9784196,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0,,0.519684,0,,,2.9515882,5.922675,3.6872528,0,7.126097,4.4571285,
31,0,0,0,5.79537145,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,19.6545074,0,6.8109745,2.54254,23.87790955,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,2.9797427,4.26804455,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0,,0.519684,0,,,2.9515882,5.922675,3.6872528,0,7.126097,4.4571285,
32,0,0,0,5.79537145,0,0,0,9.10237515,,1.821688,5.888355,5.5194348,4.05945155,0,0,0,11.0199518,23.5864574,0,6.8109745,2.54254,23.87790955,,,6.360541,20.71751,,,,0,,0,,0,21.3703446,,,,,,,2.9797427,4.26804455,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0,,0.286385,0,,,2.9515882,5.922675,3.6872528,0,7.126097,4.4571285,
33,0,0,0,5.72157355,0,0,0,9.10237515,,1.821688,5.888355,3.6784924,2.70591475,0,0,0,11.0199518,27.51709675,0,6.8109745,2.54254,22.80980955,,,6.360541,20.71751,,,,0,,0,,0,16.6069398,,,,,,,2.9797427,4.26804455,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0,,0.519684,0,,,2.9515882,5.922675,3.6872528,0,7.402703,4.4571285,
34,0,0,0,5.72157355,0,0,0,9.10237515,,1.821688,3.973068,3.6784924,2.70591475,0,0,0,11.0199518,27.51709675,0,6.8109745,2.54254,22.80980955,,,6.360541,20.71751,,,,0,,0,,0,17.520162,,,,,,,2.9797427,4.26804455,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0,,0.519684,0,,,2.9515882,5.922675,3.6872528,0,7.402703,4.4571285,
35,0,0,0,5.72157355,0,0,0,9.10237515,,1.821688,3.973068,3.6784924,2.70591475,0,0,0,11.0199518,19.6545074,0,6.8109745,2.54254,18.53740955,,,6.360541,20.71751,,,,0,,0,,0,17.0168856,,,,,,,2.9797427,4.26804455,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0,,0.519684,0,,,2.9515882,5.922675,3.6872528,0,7.402703,4.4571285,
36,0,0,0,5.72157355,0,0,0,9.10237515,,1.821688,1.986534,3.6784924,2.70591475,0,0,0,11.0199518,22.6034699,0,6.8109745,2.54254,18.53740955,,,6.360541,20.71751,,,,0,,0,,0,16.8845688,,,,,,,2.9797427,4.26804455,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0,,0.519684,0,,,2.9515882,5.922675,3.6872528,0,7.402703,4.4571285,
37,0,0,0,5.72157355,0,0,0,9.10237515,,1.821688,0,4.0968884,2.70591475,0,0,0,11.0199518,25.5524324,0,6.8109745,2.54254,18.53740955,,,6.360541,20.71751,,,,0,,0,,0,14.8998168,,,,,,,2.9797427,4.26804455,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0,,0.519684,0,,,2.9515882,5.922675,3.6872528,0,7.402703,4.4571285,
38,0,0,0,5.72157355,0,0,0,9.10237515,,2.732532,0,4.4689216,2.70591475,0,0,0,11.0199518,25.5524324,0,5.9150685,2.54254,14.79905955,,,6.360541,20.71751,,,,0,,0,,0,14.9789706,,,,,,,2.9797427,4.26804455,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0,,0.519684,0,,,2.9515882,5.922675,3.6872528,0,7.402703,4.4571285,
39,0,0,0,5.72157355,0,0,0,9.10237515,,2.732532,0,4.4689216,4.05945155,0,0,0,11.0199518,25.5524324,0,5.9150685,2.54254,14.79905955,,,6.360541,20.71751,,,,0,,0,,0,15.7197084,,,,,,,2.9797427,0.9595278,0,0,7.0905912,0,0,16.5884499,27.8530384,,,11.201146,151.22559375,0,,,38.0773635,,0,,0.519684,0,,,2.9515882,5.922675,3.6872528,0,7.402703,4.4571285,
40,0,0,0,5.72157355,0,0,0,9.10237515,,2.732532,0,4.4689216,4.05945155,0,0,0,11.0199518,28.50008425,0,5.9150685,2.54254,14.79905955,,,6.360541,20.71751,,,,0,,0,,0,14.9128122,,,,,,,2.9797427,0.9595278,0,0,7.0905912,0,0,16.5884499,27.8530384,,,8.11657,151.22559375,0,,,38.0773635,,0,,0.519684,0,,,2.9515882,5.922675,3.6872528,0,7.402703,4.4571285,
