Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL
23:45-24:00,54DC2022/07/08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,120.00,0.00,0.00,187.00,0.00,0.00,653.15,152.94,0.00,320.00,0.00,0.00,115.99,104.75,271.58,0.00,0.00,0.00,0.00,0.00,12.26,215.53,0.00,0.00,20.73,74.00,118.13,123.67,418.77,132.00,21.82,42.39,26.39,44.61,147.52,0.00,28.35,0.00,17.54,0.00,34.02,8.87,0.00,12.00,38.02,0.00,0.00,0.00,50.76,20.58,0.00,0.00,63.57,48.58,31.90,42.15,39.51,29.06,36.59,49.44,31.19,72.04,9.74,13.09,0.00,0.00,0.00,940.00,0.00,0.69,10.68,43.75,0.00,200.00,8.91,10.77,13.65,69.50,5.48,65.49,21.83,21.83,300.00,300.00,100.00,200.00,200.00,200.00,0.00,15.19,5.81,2.51,16.05,2.15,2.15,3.31,0.90,0.45,7.63,0.53,4.04,4.39,1.61,4.78
23:30-23:45,54DC2022/07/08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,120.00,0.00,0.00,187.00,0.00,0.00,653.15,152.94,0.00,320.00,0.00,0.00,115.99,104.75,271.58,0.00,0.00,0.00,0.00,0.00,28.94,215.53,0.00,0.00,20.73,74.00,118.13,123.67,418.77,132.00,21.82,42.39,26.39,44.61,147.52,0.00,28.35,0.00,17.54,0.00,34.02,8.87,0.00,12.00,38.02,0.00,0.00,0.00,50.76,20.58,0.00,0.00,63.57,48.58,31.90,42.15,39.51,29.06,36.59,49.44,31.19,72.04,9.74,13.09,0.00,0.00,0.00,940.00,0.00,0.69,10.68,43.64,0.00,200.00,8.91,10.77,13.65,69.50,5.48,65.23,21.74,21.74,300.00,300.00,100.00,200.00,200.00,200.00,0.00,15.19,5.81,2.51,16.05,2.15,2.15,3.31,0.90,0.45,7.63,0.53,4.04,4.39,1.61,4.78
23:15-23:30,54DC2022/07/08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,120.00,0.00,0.00,187.00,0.00,0.00,653.15,152.94,0.00,320.00,0.00,0.00,115.99,104.75,271.58,0.00,0.00,0.00,0.00,0.00,28.94,215.53,0.00,0.00,20.73,74.00,118.13,123.67,418.77,132.00,21.82,42.39,26.39,44.61,147.52,0.00,28.35,0.00,17.54,0.00,34.02,8.87,0.00,12.00,38.02,0.00,0.00,0.00,50.76,20.58,0.00,0.00,63.57,48.58,31.90,42.15,39.51,29.06,36.59,49.44,31.19,72.04,9.74,13.11,0.00,0.00,0.00,940.00,0.00,0.69,10.68,43.48,0.00,200.00,8.91,10.77,13.65,69.50,5.48,65.27,21.76,21.75,300.00,300.00,100.00,200.00,200.00,200.00,0.00,15.19,5.81,2.51,16.05,2.15,2.15,3.31,0.96,0.45,7.63,0.53,4.04,4.39,1.61,4.78
23:00-23:15,54DC2022/07/08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,120.00,0.00,0.00,187.00,0.00,0.00,653.15,152.94,0.00,320.00,0.00,0.00,115.99,104.75,271.58,0.00,0.00,0.00,0.00,0.00,28.94,215.53,0.00,0.00,20.73,74.00,118.13,123.67,418.77,132.00,21.82,42.39,26.39,44.61,147.52,0.00,28.35,0.00,17.54,0.00,34.02,17.75,0.00,12.00,38.02,0.00,0.00,0.00,50.76,20.58,0.00,0.00,63.57,48.58,31.90,42.15,39.51,29.06,36.59,49.44,31.19,72.04,9.74,13.11,0.00,0.00,0.00,940.00,0.00,0.69,10.68,43.75,0.00,200.00,8.91,10.77,13.65,69.50,5.48,109.30,36.43,36.44,300.00,300.00,100.00,200.00,200.00,200.00,0.00,15.19,5.81,2.51,16.05,2.15,2.15,3.31,0.96,0.45,7.63,0.53,4.04,4.39,1.61,4.78
22:45-23:00,54DC2022/07/08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,120.00,0.00,0.00,187.00,0.00,0.00,653.15,154.65,0.00,320.00,0.00,0.00,115.99,104.75,271.58,0.00,0.00,0.00,0.00,0.00,28.68,215.53,0.00,0.00,20.73,75.00,118.13,123.67,418.77,132.00,21.82,42.39,26.39,44.61,147.52,0.00,28.35,0.00,17.54,0.00,34.02,30.17,5.20,12.00,38.02,0.00,0.00,0.00,50.76,20.58,0.00,0.00,63.57,48.58,31.90,42.15,39.51,30.56,38.57,49.44,31.19,72.04,9.10,19.66,0.00,0.00,0.00,940.00,0.00,0.69,10.68,43.55,0.00,200.00,9.10,10.77,13.65,69.50,5.48,109.75,36.58,36.60,300.00,300.00,100.00,200.00,200.00,200.00,0.00,14.94,5.81,2.51,16.05,2.15,2.15,3.31,0.90,0.45,7.63,0.53,4.04,4.39,1.61,4.78
22:30-22:45,54DC2022/07/08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,120.00,0.00,0.00,187.00,0.00,0.00,653.15,154.65,0.00,320.00,0.00,0.00,115.99,104.75,271.58,0.00,0.00,0.00,0.00,0.00,28.68,215.53,0.00,0.00,20.73,75.00,118.13,123.67,418.77,132.00,21.82,42.39,26.39,44.61,147.52,0.00,28.35,0.00,17.54,0.00,34.02,30.17,5.20,12.00,38.02,0.00,0.00,0.00,50.76,20.58,0.00,0.00,63.57,48.58,31.90,42.15,39.51,30.56,38.57,49.44,31.19,72.04,9.10,19.66,0.00,0.00,0.00,940.00,0.00,0.69,10.68,43.37,0.00,200.00,9.10,10.77,13.65,69.50,5.48,109.33,36.44,36.45,300.00,300.00,100.00,200.00,200.00,200.00,0.00,14.94,5.81,2.51,16.05,2.15,2.20,3.36,0.90,0.45,7.63,0.53,4.04,4.39,1.61,4.78
22:15-22:30,54DC2022/07/08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,120.00,0.00,0.00,187.00,0.00,0.00,653.15,154.65,0.00,320.00,0.00,0.00,115.99,104.75,271.58,0.00,0.00,0.00,0.00,0.00,28.68,215.53,0.00,0.00,20.73,75.00,118.13,123.67,418.77,132.00,21.82,42.39,26.39,44.61,147.52,0.00,28.35,0.00,17.54,0.00,34.02,30.17,5.20,12.00,38.02,0.00,0.00,0.00,50.76,20.58,0.00,0.00,63.57,48.58,31.90,42.15,39.51,30.56,38.57,49.44,42.01,72.04,9.10,19.66,0.00,0.00,0.00,940.00,0.00,0.69,10.68,43.75,0.00,200.00,9.10,10.77,13.65,69.50,5.48,110.29,36.76,36.77,300.00,300.00,100.00,200.00,200.00,200.00,0.00,15.61,5.81,2.51,16.05,2.15,2.20,3.30,0.90,0.45,7.63,0.53,4.04,4.39,1.61,4.78
22:00-22:15,54DC2022/07/08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,120.00,0.00,0.00,187.00,0.00,0.00,653.15,154.65,0.00,320.00,0.00,0.00,115.99,104.75,271.58,0.00,0.00,0.00,0.00,0.00,28.68,215.53,0.00,0.00,20.73,75.00,118.13,123.67,418.77,132.00,21.82,42.39,26.39,44.61,147.52,0.00,28.35,0.00,17.54,0.00,34.02,30.17,5.20,12.00,38.02,0.00,0.00,0.00,50.76,20.58,0.00,0.00,63.57,48.58,31.90,42.15,39.51,30.56,38.57,49.44,42.01,72.04,9.10,19.66,0.00,0.00,0.00,940.00,0.00,0.69,10.68,43.53,0.00,200.00,9.10,10.77,13.65,69.50,5.48,111.00,37.00,37.01,300.00,300.00,100.00,200.00,200.00,200.00,0.00,15.61,5.81,2.43,16.05,2.15,2.20,3.30,0.90,0.45,7.63,0.53,4.04,4.39,1.61,4.78
21:45-22:00,54DC2022/07/08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,120.00,0.00,0.00,187.00,0.00,0.00,653.15,152.94,0.00,320.00,0.00,0.00,115.99,104.75,271.58,0.00,0.00,0.00,0.00,0.00,12.00,215.53,0.00,0.00,20.73,75.00,118.13,123.67,418.77,132.00,21.82,42.39,26.39,44.61,147.52,0.00,28.35,0.00,17.54,0.00,34.02,26.62,4.40,12.00,38.02,0.00,0.00,0.00,50.76,20.58,0.00,0.00,63.57,48.58,31.90,42.15,39.51,29.06,36.59,49.44,42.01,72.04,9.10,3.30,0.00,0.00,0.00,940.00,0.00,0.69,10.68,43.64,0.00,200.00,9.29,10.77,13.65,69.50,5.48,111.34,37.11,37.12,300.00,300.00,100.00,200.00,200.00,200.00,0.00,15.23,5.82,2.50,16.80,2.24,2.05,3.23,0.92,0.45,7.44,0.51,3.92,4.26,1.61,4.69
21:30-21:45,54DC2022/07/08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,120.00,0.00,0.00,187.00,0.00,0.00,653.15,152.94,0.00,320.00,0.00,0.00,115.99,104.75,271.58,0.00,0.00,0.00,0.00,0.00,19.90,215.53,0.00,0.00,20.73,75.00,118.13,123.67,418.77,132.00,21.82,42.39,26.39,44.61,147.52,0.00,28.35,0.00,17.54,0.00,34.02,26.62,5.20,12.00,38.02,0.00,0.00,0.00,50.76,20.58,0.00,0.00,63.57,48.58,31.90,42.15,39.51,29.06,36.59,49.44,42.01,72.04,9.10,3.30,0.00,0.00,0.00,940.00,0.00,0.69,10.68,43.53,0.00,200.00,9.29,10.77,13.65,69.50,5.48,68.49,22.83,22.83,300.00,300.00,100.00,200.00,200.00,200.00,0.00,15.23,5.82,2.33,16.80,2.24,2.05,3.23,0.92,0.45,7.44,0.51,3.92,4.26,1.61,4.69
