Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
23:45-24:00,94DC2024/06/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,38.00,290.00,0.00,0.00,0.00,0.00,90.20,422.44,179.96,0.00,320.00,0.00,0.00,115.87,91.12,273.14,0.00,0.00,0.00,0.00,0.00,0.00,688.12,0.00,0.00,20.80,97.06,124.38,130.58,416.25,149.99,22.63,44.91,27.64,44.31,147.20,0.00,0.00,77.58,69.25,10.24,0.00,0.00,15.86,0.00,47.01,0.00,0.00,6.75,67.49,0.88,0.00,0.00,0.00,36.43,37.89,42.15,48.50,34.83,43.54,59.18,19.53,80.18,5.12,6.52,3.09,0.00,0.00,860.00,0.00,1.17,10.41,21.81,0.00,200.00,8.64,10.61,50.18,0.00,0.00,95.00,31.66,31.67,300.00,300.00,100.00,200.00,0.00,27.34,70.00,70.00,5.53,8.34,0.00,16.68,26.80,31.29,300.00,300.00,200.00,200.00,13.65,100.00,100.00,100.00
23:30-23:45,94DC2024/06/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,38.00,290.00,0.00,0.00,0.00,0.00,90.20,422.44,179.96,0.00,320.00,0.00,0.00,115.87,91.12,273.14,0.00,0.00,0.00,0.00,0.00,0.00,688.12,0.00,0.00,20.80,97.06,124.38,130.58,416.25,149.99,22.63,44.91,27.64,44.31,147.20,0.00,0.00,77.58,69.25,10.24,0.00,0.00,15.86,0.00,47.01,0.00,0.00,6.75,67.49,0.88,0.00,0.00,0.00,36.43,37.89,42.15,48.50,34.83,43.54,59.18,19.53,80.18,5.12,6.52,3.09,0.00,0.00,860.00,0.00,1.17,10.41,22.21,0.00,200.00,8.64,10.61,50.18,0.00,0.00,97.50,32.50,32.50,300.00,300.00,100.00,200.00,0.00,28.00,70.00,70.00,5.53,8.34,0.00,16.68,26.80,31.29,300.00,300.00,200.00,200.00,13.65,100.00,100.00,100.00
23:15-23:30,94DC2024/06/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,38.00,290.00,0.00,0.00,0.00,0.00,90.20,422.44,179.96,0.00,320.00,0.00,0.00,115.87,91.12,273.14,0.00,0.00,0.00,0.00,0.00,0.00,688.12,0.00,0.00,20.80,97.06,124.38,130.58,416.25,149.99,22.63,44.91,27.64,44.31,147.20,0.00,0.00,77.58,69.25,10.24,0.00,0.00,15.86,0.00,47.01,0.00,0.00,6.75,67.49,0.00,0.00,0.00,0.00,36.43,37.89,42.15,48.50,34.83,43.54,59.18,19.53,80.18,5.12,6.52,3.09,0.00,0.00,840.00,0.00,1.17,10.41,22.81,0.00,200.00,8.64,10.61,44.97,0.00,0.00,102.50,34.16,34.17,300.00,300.00,100.00,200.00,0.00,29.00,70.33,70.33,5.53,8.34,0.00,16.68,26.80,31.29,300.00,300.00,200.00,200.00,13.65,100.00,100.00,100.00
23:00-23:15,94DC2024/06/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,38.00,290.00,0.00,0.00,0.00,0.00,90.20,422.44,179.96,0.00,320.00,0.00,0.00,115.87,91.12,273.14,0.00,0.00,0.00,0.00,0.00,0.00,688.12,0.00,0.00,20.80,97.06,124.38,130.58,416.25,149.99,22.63,44.91,27.64,44.31,147.20,0.00,0.00,77.58,69.25,10.24,0.00,0.00,18.80,0.00,47.01,0.00,0.00,6.75,67.49,0.00,0.00,0.00,0.00,36.43,37.89,42.15,48.50,34.83,43.54,59.18,19.53,80.18,5.12,6.52,3.09,0.00,0.00,840.00,0.00,1.17,10.41,23.81,0.00,200.00,8.64,10.61,44.97,0.00,0.00,108.50,36.16,36.17,300.00,300.00,100.00,200.00,0.00,31.00,73.33,73.33,5.53,8.34,0.00,16.68,26.80,31.29,300.00,300.00,200.00,200.00,13.65,100.00,100.00,100.00
22:45-23:00,94DC2024/06/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,38.00,290.00,0.00,0.00,0.00,0.00,90.20,422.44,179.96,0.00,320.00,0.00,0.00,115.87,91.12,273.14,0.00,0.00,0.00,0.00,0.00,0.00,688.12,0.00,0.00,20.80,97.06,124.38,130.58,416.25,149.99,22.63,44.91,27.64,44.31,147.20,0.00,0.00,77.58,69.25,10.24,0.00,0.00,18.80,0.00,47.01,0.00,0.00,6.75,67.49,0.00,0.00,0.00,0.00,36.43,37.89,42.15,48.50,34.83,43.54,59.18,19.53,80.18,8.33,6.52,3.09,0.00,0.00,840.00,0.00,1.17,10.41,8.41,0.00,200.00,8.83,10.61,50.18,0.00,0.00,110.00,36.66,36.67,300.00,300.00,100.00,200.00,0.00,33.34,76.33,76.33,5.53,8.34,0.00,16.68,26.80,31.29,300.00,300.00,200.00,200.00,13.65,100.00,100.00,100.00
22:30-22:45,94DC2024/06/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,38.00,290.00,0.00,0.00,0.00,0.00,90.20,422.44,182.02,0.00,320.00,0.00,0.00,115.87,91.12,273.14,0.00,0.00,0.00,0.00,0.00,0.00,688.12,0.00,0.00,20.80,97.06,124.38,130.58,416.25,149.99,22.63,44.91,27.64,44.31,147.20,0.00,0.00,77.58,69.25,10.24,0.00,0.00,18.84,0.00,47.01,0.00,0.00,6.92,67.49,0.00,0.00,0.00,0.00,36.43,39.31,42.15,49.91,34.83,44.41,59.18,19.53,80.18,9.61,19.66,3.09,0.00,0.00,840.00,0.00,1.17,10.41,8.61,0.00,200.00,8.83,10.61,50.18,0.00,0.00,114.00,38.00,38.00,300.00,300.00,100.00,200.00,0.00,35.00,77.33,77.33,5.53,8.49,0.00,16.68,26.80,31.29,300.00,300.00,200.00,200.00,13.65,100.00,100.00,100.00
22:15-22:30,94DC2024/06/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,38.00,290.00,0.00,0.00,0.00,0.00,90.20,422.44,182.02,0.00,320.00,0.00,0.00,115.87,91.12,273.14,0.00,0.00,0.00,0.00,0.00,0.00,688.12,0.00,0.00,20.80,97.06,124.38,130.58,416.25,149.99,22.63,44.91,27.64,44.31,147.20,0.00,0.00,77.58,69.25,10.24,0.00,0.00,18.84,0.00,47.01,0.00,0.00,6.92,67.49,0.00,0.00,0.00,0.00,36.43,39.31,42.15,49.91,34.83,44.41,59.18,19.53,80.18,9.61,19.66,3.09,0.00,0.00,840.00,0.00,1.17,10.41,9.61,0.00,200.00,8.83,10.61,50.18,0.00,0.00,115.00,38.34,38.33,300.00,300.00,100.00,200.00,0.00,36.00,78.33,78.33,5.53,8.49,0.00,16.68,26.80,31.29,300.00,300.00,200.00,200.00,13.65,100.00,100.00,100.00
22:00-22:15,94DC2024/06/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,38.00,288.00,0.00,0.00,0.00,0.00,90.20,422.44,182.02,0.00,320.00,0.00,0.00,115.87,91.12,273.14,0.00,0.00,0.00,0.00,0.00,0.00,688.12,0.00,0.00,20.80,97.06,124.38,130.58,416.25,149.99,22.63,44.91,27.64,44.31,147.20,0.00,0.00,77.58,69.25,10.24,0.00,0.00,18.84,0.00,47.01,0.00,0.00,6.92,67.49,0.00,0.00,0.00,0.00,36.43,39.31,42.15,49.91,34.83,44.41,59.18,19.53,80.18,9.61,19.66,3.09,0.00,0.00,840.00,0.00,1.17,10.41,10.81,0.00,200.00,8.83,10.61,50.18,0.00,0.00,116.50,38.84,38.83,300.00,300.00,100.00,200.00,0.00,36.34,81.67,81.67,5.53,8.49,0.00,16.68,26.80,31.29,300.00,300.00,200.00,200.00,13.65,100.00,100.00,100.00
21:45-22:00,94DC2024/06/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,38.00,288.00,0.00,0.00,0.00,0.00,90.20,422.44,182.02,0.00,320.00,0.00,0.00,115.87,91.12,273.14,0.00,0.00,0.00,0.00,0.00,0.00,688.12,0.00,0.00,20.80,97.06,124.38,130.58,416.25,149.99,22.63,44.91,27.64,44.31,147.20,0.00,0.00,77.58,69.25,10.24,0.00,0.00,18.84,0.00,47.01,0.00,0.00,6.92,67.49,0.00,0.00,0.00,0.00,36.43,39.31,42.15,49.91,34.83,44.41,59.18,19.53,80.18,10.89,19.66,3.09,0.00,0.00,840.00,0.00,1.17,10.41,12.01,0.00,200.00,8.83,10.61,50.18,0.00,0.00,120.00,40.00,40.00,300.00,300.00,100.00,200.00,0.00,36.34,83.33,83.33,5.53,8.49,0.00,16.68,26.80,31.29,300.00,300.00,200.00,200.00,13.65,100.00,100.00,100.00
21:30-21:45,94DC2024/06/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,38.00,288.00,0.00,0.00,0.00,0.00,90.20,422.44,179.96,0.00,320.00,0.00,0.00,115.87,91.12,273.14,0.00,0.00,0.00,0.00,0.00,0.00,688.12,0.00,0.00,20.80,97.06,124.38,130.58,416.25,149.99,22.63,44.91,27.64,44.31,147.20,0.00,0.00,77.58,69.25,10.24,0.00,0.00,18.80,0.00,47.01,0.00,0.00,6.75,67.49,0.00,0.00,0.00,0.00,36.43,37.89,42.15,48.50,34.83,43.54,59.18,19.53,80.18,10.89,3.30,3.09,0.00,0.00,840.00,0.00,1.17,10.41,11.41,0.00,200.00,8.83,10.61,49.53,0.00,0.00,120.00,40.00,40.00,300.00,300.00,100.00,200.00,0.00,36.66,83.33,83.33,5.53,8.34,0.00,16.68,26.80,31.29,300.00,300.00,200.00,200.00,13.65,100.00,100.00,100.00
