Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD
23:45-24:00,64DC2025/04/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,78.00,148.00,0.00,0.00,150.00,0.00,90.20,275.78,110.67,0.00,320.00,0.00,0.00,114.97,104.18,132.69,0.00,0.00,0.00,0.00,0.00,0.00,688.58,0.00,0.00,18.20,97.23,124.58,130.79,343.12,150.34,21.64,45.00,27.68,44.92,148.30,0.00,49.86,65.97,73.57,1.99,25.19,10.43,18.90,0.00,26.43,0.00,0.00,4.33,68.56,0.00,0.00,0.00,0.00,50.23,35.34,42.15,48.81,35.03,10.95,39.68,16.88,65.07,0.00,19.56,2.30,0.00,0.00,920.00,0.00,0.98,4.65,7.00,0.00,200.00,20.00,4.75,0.00,0.00,0.00,48.00,16.00,16.00,300.00,300.00,100.00,200.00,0.00,10.00,42.66,42.67,5.70,8.63,0.00,16.68,22.00,31.29,300.00,300.00,200.00,200.00,18.98,100.00,100.00,100.00,0.00,13.52,200.00,200.00,30.00
23:30-23:45,64DC2025/04/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,78.00,148.00,0.00,0.00,150.00,0.00,90.20,275.78,110.67,0.00,320.00,0.00,0.00,114.97,104.18,132.69,0.00,0.00,0.00,0.00,0.00,0.00,688.58,0.00,0.00,18.20,97.23,124.58,130.79,343.12,150.34,21.64,45.00,27.68,44.92,148.30,0.00,49.86,65.97,72.47,1.99,25.19,10.43,18.90,0.00,26.43,0.00,0.00,4.33,68.56,0.00,0.00,0.00,0.00,50.23,35.34,42.15,48.81,35.03,10.95,39.68,16.88,65.07,0.00,19.56,2.30,0.00,0.00,920.00,0.00,0.98,4.65,7.00,0.00,200.00,20.00,4.75,0.00,0.00,0.00,48.49,16.17,16.17,300.00,300.00,100.00,200.00,0.00,10.33,44.00,44.00,5.70,8.63,0.00,16.68,22.00,31.29,300.00,300.00,200.00,200.00,18.98,100.00,100.00,100.00,0.00,13.52,200.00,200.00,30.00
23:15-23:30,64DC2025/04/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,78.00,148.00,0.00,0.00,150.00,0.00,90.20,275.78,110.67,0.00,320.00,0.00,0.00,114.97,104.18,132.69,0.00,0.00,0.00,0.00,0.00,0.00,688.58,0.00,0.00,18.20,97.23,124.58,130.79,343.12,150.34,21.64,45.00,27.68,44.92,148.30,0.00,49.86,65.97,89.94,4.36,25.19,10.43,18.90,0.00,26.43,0.00,0.00,4.33,68.56,0.00,0.00,0.00,0.00,50.23,35.34,42.15,48.81,35.03,10.95,39.68,16.88,65.07,1.15,19.56,2.30,0.00,0.00,920.00,0.00,0.98,4.65,7.00,0.00,200.00,20.00,4.75,0.00,0.00,0.00,49.01,16.33,16.33,300.00,300.00,100.00,200.00,0.00,11.00,45.00,45.00,5.70,8.63,0.00,16.68,22.00,31.29,300.00,300.00,200.00,200.00,18.98,100.00,100.00,100.00,0.00,13.52,200.00,200.00,30.00
23:00-23:15,64DC2025/04/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,78.00,148.00,0.00,0.00,150.00,0.00,90.20,275.78,110.67,0.00,320.00,0.00,0.00,114.97,104.18,132.69,0.00,0.00,0.00,0.00,0.00,0.00,688.58,0.00,0.00,18.20,97.23,124.58,130.79,343.12,150.34,21.64,45.00,27.68,44.92,148.30,0.00,49.86,65.97,89.94,6.25,25.19,10.43,18.90,0.00,26.43,0.00,0.00,4.33,68.56,0.00,0.00,0.00,0.00,50.23,35.34,42.15,48.81,35.03,10.95,39.68,16.88,65.07,1.15,19.56,2.30,0.00,0.00,920.00,0.00,0.98,4.65,7.00,0.00,200.00,20.00,4.75,0.00,0.00,0.00,49.50,16.50,16.50,300.00,300.00,100.00,200.00,0.00,11.00,46.34,46.33,5.70,8.63,0.00,16.68,22.00,31.29,300.00,300.00,200.00,200.00,18.98,100.00,100.00,100.00,0.00,13.52,200.00,200.00,30.00
22:45-23:00,64DC2025/04/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,78.00,148.00,0.00,0.00,150.00,0.00,90.20,275.78,110.67,0.00,320.00,0.00,0.00,114.97,104.18,132.69,0.00,0.00,0.00,0.00,0.00,0.00,688.58,0.00,0.00,18.20,97.23,124.58,130.79,343.12,150.34,21.64,45.00,27.68,44.92,148.30,0.00,49.86,65.97,89.94,9.59,25.19,10.43,18.90,0.00,26.43,0.00,0.00,4.33,68.56,0.00,0.00,0.00,0.00,50.23,35.34,42.15,48.81,35.03,10.95,39.68,19.64,53.45,1.15,19.56,2.30,0.00,0.00,920.00,0.00,0.98,4.65,7.00,0.00,200.00,20.00,4.75,0.00,0.00,0.00,50.51,16.83,16.83,300.00,300.00,100.00,200.00,0.00,12.33,47.66,47.67,5.70,8.63,0.00,16.68,22.00,31.29,300.00,300.00,200.00,200.00,18.98,100.00,100.00,100.00,0.00,22.54,200.00,200.00,30.00
22:30-22:45,64DC2025/04/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,78.00,148.00,0.00,0.00,150.00,0.00,90.20,259.11,110.67,0.00,320.00,0.00,0.00,114.97,104.18,132.69,0.00,0.00,0.00,0.00,0.00,0.00,688.58,0.00,0.00,18.20,97.23,124.58,130.79,343.12,150.34,21.64,45.00,27.68,44.92,148.30,0.00,49.86,65.97,89.94,9.59,25.19,10.66,18.90,0.00,26.43,0.00,0.00,4.33,68.56,0.00,0.00,0.00,0.00,50.23,35.34,42.15,48.81,35.03,21.88,39.68,21.48,53.45,1.15,19.56,2.30,0.00,0.00,920.00,0.00,0.98,4.65,7.00,0.00,200.00,20.00,4.75,0.00,0.00,0.00,51.49,17.17,17.17,300.00,300.00,100.00,200.00,0.00,12.33,48.00,48.00,5.70,8.63,0.00,16.68,22.00,31.29,300.00,300.00,200.00,200.00,18.98,100.00,100.00,100.00,0.00,22.54,200.00,200.00,30.00
22:15-22:30,64DC2025/04/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,78.00,148.00,0.00,0.00,150.00,0.00,90.20,259.11,110.67,0.00,320.00,0.00,0.00,114.97,104.18,132.69,0.00,0.00,0.00,0.00,0.00,0.00,688.56,0.00,0.00,18.20,97.23,124.58,130.79,343.12,150.34,21.64,45.00,27.68,44.92,148.30,0.00,49.86,61.92,89.94,9.59,37.80,11.59,20.09,0.00,26.43,0.00,0.00,4.33,68.56,0.00,0.00,0.00,0.00,50.23,35.34,42.15,50.06,35.03,43.78,59.50,39.90,65.07,1.15,19.56,2.30,0.00,0.00,920.00,0.00,0.98,4.65,7.00,0.00,200.00,20.00,4.75,0.00,0.00,0.00,52.01,17.33,17.33,300.00,300.00,100.00,200.00,0.00,13.33,48.34,48.33,5.70,8.68,0.00,16.68,22.00,31.29,300.00,300.00,200.00,200.00,18.98,100.00,100.00,100.00,0.00,28.56,200.00,200.00,30.00
22:00-22:15,64DC2025/04/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,78.00,148.00,0.00,0.00,150.00,0.00,90.20,259.11,110.67,0.00,320.00,0.00,0.00,114.97,104.18,132.69,0.00,0.00,0.00,0.00,0.00,0.00,688.56,0.00,0.00,18.20,97.23,124.58,130.79,343.12,150.34,21.64,45.00,27.68,44.92,148.30,0.00,49.86,61.92,89.94,9.59,37.80,11.59,20.09,0.00,26.43,0.00,0.00,4.33,68.56,0.00,0.00,0.00,0.00,50.23,35.34,42.15,50.06,35.03,43.78,59.50,39.90,65.07,1.15,19.56,2.30,0.00,0.00,920.00,0.00,0.98,4.65,7.00,0.00,200.00,20.00,4.75,0.00,0.00,0.00,52.01,17.33,17.33,300.00,300.00,100.00,200.00,0.00,13.33,49.34,49.33,5.70,8.68,0.00,16.68,22.00,31.29,300.00,300.00,200.00,200.00,18.98,100.00,100.00,100.00,0.00,28.56,200.00,200.00,30.00
21:45-22:00,64DC2025/04/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,78.00,148.00,0.00,0.00,150.00,0.00,90.20,259.11,110.67,0.00,320.00,0.00,0.00,114.97,104.18,132.69,0.00,0.00,0.00,0.00,0.00,0.00,688.56,0.00,0.00,18.20,97.23,124.58,130.79,343.12,150.34,21.64,45.00,27.68,44.92,148.30,0.00,49.86,56.53,89.94,9.59,37.80,11.59,20.09,0.00,26.43,0.00,0.00,4.33,68.56,0.00,0.00,0.00,0.00,50.23,35.34,42.15,50.06,35.03,43.78,59.50,39.90,65.07,1.79,19.56,2.30,0.00,0.00,920.00,0.00,0.98,4.65,7.00,0.00,200.00,20.00,4.83,0.00,0.00,0.00,52.01,17.33,17.33,300.00,300.00,100.00,200.00,0.00,12.67,46.34,46.33,5.70,8.68,0.00,16.68,22.00,31.29,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,28.56,200.00,200.00,30.00
21:30-21:45,64DC2025/04/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,78.00,148.00,0.00,0.00,150.00,0.00,90.20,259.11,110.67,0.00,320.00,0.00,0.00,114.97,104.18,132.69,0.00,0.00,0.00,0.00,0.00,0.00,688.56,0.00,0.00,18.20,97.23,124.58,130.79,343.12,150.34,21.64,45.00,27.68,44.92,148.30,0.00,49.86,65.97,89.94,9.59,37.80,11.59,20.09,0.00,26.43,0.00,0.00,4.33,68.56,0.00,0.00,0.00,0.00,50.23,35.34,42.15,50.06,35.03,43.78,59.50,39.90,65.07,1.79,19.56,2.30,0.00,0.00,920.00,0.00,0.98,4.65,7.00,0.00,200.00,20.00,4.83,0.00,0.00,0.00,52.50,17.50,17.50,300.00,300.00,100.00,200.00,0.00,12.67,47.34,47.33,5.70,8.68,0.00,16.68,22.00,31.29,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,28.56,200.00,200.00,30.00
