Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL
23:45-24:00,50DC2023/07/29,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,305.00,0.00,0.00,0.00,0.00,76.68,653.15,152.94,0.00,320.00,0.00,0.00,115.58,0.00,131.38,0.00,0.00,0.00,0.00,0.00,0.00,686.77,0.00,0.00,14.25,92.00,118.13,123.67,344.25,139.31,19.99,42.39,26.39,32.17,147.52,0.00,35.70,65.16,63.57,0.00,66.28,36.48,15.80,0.00,39.09,0.00,0.00,0.00,50.89,29.40,0.00,0.00,0.00,46.92,31.75,42.66,39.51,29.06,36.59,49.44,42.01,83.66,6.41,0.00,0.00,0.00,0.00,980.00,0.00,1.03,10.41,24.10,0.00,200.00,11.89,9.60,6.30,2.17,0.00,106.68,35.56,35.55,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,140.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.52,73.19,73.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,12.50,28.89,300.00,300.00
23:30-23:45,50DC2023/07/29,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,305.00,0.00,0.00,0.00,0.00,76.68,653.15,152.94,0.00,320.00,0.00,0.00,115.58,0.00,131.38,0.00,0.00,0.00,0.00,0.00,0.00,686.77,0.00,0.00,14.25,92.00,118.13,123.67,344.25,139.31,19.99,42.39,26.39,32.17,147.52,0.00,35.70,65.16,63.57,0.00,66.28,36.48,15.80,0.00,39.09,0.00,0.00,0.00,50.89,29.40,0.00,0.00,0.00,46.92,31.75,42.66,39.51,29.06,36.59,49.44,42.01,83.66,6.41,0.00,0.00,0.00,0.00,980.00,0.00,1.03,10.41,24.05,0.00,200.00,11.89,9.60,6.30,2.17,0.00,106.00,35.33,35.34,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,140.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.86,72.33,72.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,12.50,28.89,300.00,300.00
23:15-23:30,50DC2023/07/29,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,305.00,0.00,0.00,0.00,0.00,76.68,653.15,152.94,0.00,320.00,0.00,0.00,115.58,0.00,131.38,0.00,0.00,0.00,0.00,0.00,0.00,686.77,0.00,0.00,14.25,92.00,118.13,123.67,344.25,139.31,19.99,42.39,26.39,32.17,147.52,0.00,35.70,65.16,63.57,0.00,66.28,36.48,15.80,0.00,39.09,0.00,0.00,0.00,50.89,29.40,0.00,0.00,0.00,46.92,31.75,42.66,39.51,29.06,36.59,49.44,42.01,83.66,11.79,0.00,0.00,0.00,0.00,980.00,0.00,1.03,10.41,23.57,0.00,200.00,11.89,9.60,6.30,2.17,0.00,105.51,35.17,35.17,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,140.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.33,72.70,72.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,12.50,28.89,300.00,300.00
23:00-23:15,50DC2023/07/29,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,305.00,0.00,0.00,0.00,0.00,76.68,653.15,152.94,0.00,320.00,0.00,0.00,115.58,0.00,131.38,0.00,0.00,0.00,0.00,0.00,0.00,686.77,0.00,0.00,14.25,92.00,118.13,123.67,344.25,139.31,19.99,42.39,26.39,32.17,147.52,0.00,35.70,65.16,63.57,0.00,66.28,36.48,15.80,0.00,39.09,0.00,0.00,0.00,50.89,29.40,0.00,0.00,0.00,46.92,31.75,42.66,39.51,29.06,36.59,49.44,42.01,83.66,11.79,0.00,0.00,0.00,0.00,980.00,0.00,1.03,10.41,26.45,0.00,200.00,11.89,9.60,6.30,2.17,0.00,105.28,35.09,35.10,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,140.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.51,72.63,72.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,12.50,28.89,300.00,300.00
22:45-23:00,50DC2023/07/29,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,305.00,0.00,0.00,0.00,0.00,76.68,653.15,154.69,0.00,320.00,0.00,0.00,115.58,0.00,131.38,0.00,0.00,0.00,0.00,0.00,0.00,686.77,0.00,0.00,14.25,92.00,118.13,123.67,344.25,139.31,19.99,42.39,26.39,32.17,147.52,0.00,35.70,65.16,63.57,0.00,66.28,40.23,15.80,0.00,39.09,0.00,0.00,0.00,50.89,29.40,0.00,0.00,0.00,46.92,31.75,42.66,40.12,30.56,37.52,49.44,42.01,83.66,11.79,0.00,0.00,0.00,0.00,980.00,0.00,1.03,10.41,26.21,0.00,200.00,11.89,9.60,6.30,2.17,0.00,105.06,35.02,35.01,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,140.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.72,72.51,72.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,12.50,28.89,300.00,300.00
22:30-22:45,50DC2023/07/29,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,305.00,0.00,0.00,0.00,0.00,76.68,653.15,154.69,0.00,320.00,0.00,0.00,115.58,0.00,131.38,0.00,0.00,0.00,0.00,0.00,0.00,686.77,0.00,0.00,14.25,92.00,118.13,123.67,344.25,139.31,19.99,42.39,26.39,32.17,147.52,0.00,35.70,65.16,63.57,0.00,66.28,40.23,15.80,0.00,39.09,0.00,0.00,0.00,50.89,29.40,0.00,0.00,0.00,46.92,31.75,42.66,40.12,30.56,37.52,49.44,42.01,83.66,11.79,0.00,0.00,0.00,0.00,980.00,0.00,1.03,10.41,26.05,0.00,200.00,11.89,9.60,6.30,2.17,0.00,104.99,35.00,34.98,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,140.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.62,71.12,71.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,12.50,28.89,300.00,300.00
22:15-22:30,50DC2023/07/29,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,305.00,0.00,0.00,0.00,0.00,76.68,653.15,154.69,0.00,320.00,0.00,0.00,115.58,0.00,131.38,0.00,0.00,0.00,0.00,0.00,0.00,686.77,0.00,0.00,14.25,92.00,118.13,123.67,344.25,139.31,19.99,42.39,26.39,32.17,147.52,0.00,35.70,65.16,63.57,0.00,66.28,40.23,15.80,0.00,39.09,0.00,0.00,0.00,50.89,29.40,0.00,0.00,0.00,46.92,31.75,42.66,40.12,30.56,37.52,49.44,42.01,83.66,11.79,0.00,0.00,0.00,0.00,980.00,0.00,1.03,10.41,25.97,0.00,200.00,11.89,9.60,6.30,2.17,0.00,99.99,33.33,33.32,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,140.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.96,69.54,69.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,12.50,27.84,300.00,300.00
22:00-22:15,50DC2023/07/29,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,305.00,0.00,0.00,0.00,0.00,76.68,653.15,154.69,0.00,320.00,0.00,0.00,115.58,0.00,131.38,0.00,0.00,0.00,0.00,0.00,0.00,686.77,0.00,0.00,14.25,92.00,118.13,123.67,344.25,139.31,19.99,42.39,26.39,32.17,147.52,0.00,35.70,65.16,63.57,0.00,66.28,40.23,15.80,0.00,39.09,0.00,0.00,0.00,50.89,29.40,0.00,0.00,0.00,46.92,31.75,42.66,40.12,30.56,37.52,49.44,42.01,83.66,11.79,0.00,0.00,0.00,0.00,980.00,0.00,1.03,10.41,28.01,0.00,200.00,11.89,9.60,6.30,2.17,0.00,99.54,33.18,33.17,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,140.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.84,70.15,70.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,12.50,27.84,300.00,300.00
21:45-22:00,50DC2023/07/29,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,305.00,0.00,0.00,0.00,0.00,76.68,653.15,154.69,0.00,320.00,0.00,0.00,115.58,0.00,131.38,0.00,0.00,0.00,0.00,0.00,0.00,686.77,0.00,0.00,14.25,92.00,118.13,123.67,345.38,139.31,19.99,42.39,26.39,32.17,147.52,0.00,35.70,65.16,63.57,0.00,66.28,40.23,15.80,0.00,39.09,0.00,0.00,0.00,50.89,29.40,0.00,0.00,0.00,46.92,31.75,42.66,40.12,30.56,37.52,49.44,42.01,83.66,11.79,0.00,0.00,0.00,0.00,980.00,0.00,1.03,10.41,29.40,0.00,200.00,11.89,9.60,5.25,2.17,0.00,100.12,33.38,33.37,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,140.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.92,70.97,70.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,12.50,28.81,300.00,300.00
21:30-21:45,50DC2023/07/29,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,305.00,0.00,0.00,0.00,0.00,76.68,653.15,152.94,0.00,320.00,0.00,0.00,115.58,0.00,131.38,0.00,0.00,0.00,0.00,0.00,0.00,686.77,0.00,0.00,14.25,92.00,118.13,123.67,345.38,139.31,19.99,42.39,26.39,32.17,147.52,0.00,35.70,65.16,63.57,0.00,66.28,36.48,15.80,0.00,39.09,0.00,0.00,0.00,50.89,29.40,0.00,0.00,0.00,46.92,31.75,42.66,39.51,29.06,36.59,49.44,42.01,83.66,11.79,0.00,0.00,0.00,0.00,980.00,0.00,1.03,10.41,30.14,0.00,200.00,11.89,9.60,5.25,2.17,0.00,100.82,33.61,33.60,300.00,300.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,140.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.61,72.71,72.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,12.50,28.81,300.00,300.00
