Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,264.46,-22.00,3.86,-30.00,0.00,0.00,53.09
00:15 - 00:30,243.24,-46.00,3.57,-30.00,0.00,0.00,45.36
00:30 - 00:45,220.06,-23.00,3.38,-30.00,0.00,0.00,48.26
00:45 - 01:00,190.14,-24.00,3.19,-30.00,0.00,0.00,53.09
01:00 - 01:15,138.99,-24.00,2.90,-15.00,0.00,0.00,33.78
01:15 - 01:30,100.39,0.00,2.70,-15.00,0.00,0.00,35.71
01:30 - 01:45,80.11,26.06,2.51,-10.00,0.00,0.00,39.57
01:45 - 02:00,61.77,35.71,2.32,-10.00,0.00,0.00,152.50
02:00 - 02:15,29.92,-17.00,2.12,-10.00,0.00,0.00,174.71
02:15 - 02:30,0.00,-37.00,1.93,-10.00,0.00,0.00,177.60
02:30 - 02:45,-52.00,51.16,1.93,-10.00,0.00,0.00,139.95
02:45 - 03:00,-36.00,0.00,1.93,-10.00,0.00,0.00,139.95
03:00 - 03:15,0.00,45.36,1.93,-10.00,0.00,0.00,86.87
03:15 - 03:30,0.00,40.54,1.93,-10.00,0.00,0.00,86.87
03:30 - 03:45,0.00,6.76,1.93,-10.00,0.00,0.00,67.56
03:45 - 04:00,0.00,2.90,1.93,-10.00,0.00,0.00,67.56
04:00 - 04:15,-45.00,95.56,1.93,-10.00,0.00,0.00,63.70
04:15 - 04:30,-50.00,92.66,1.93,-10.00,0.00,0.00,64.67
04:30 - 04:45,-28.00,77.21,1.93,-10.00,0.00,0.00,62.74
04:45 - 05:00,-27.00,78.18,1.93,-10.00,0.00,0.00,53.09
05:00 - 05:15,8.69,70.46,0.48,-10.00,0.00,0.00,62.74
05:15 - 05:30,17.37,70.46,0.48,-10.00,0.00,0.00,62.74
05:30 - 05:45,0.00,74.32,0.00,-10.00,0.00,0.00,53.09
05:45 - 06:00,0.00,58.87,0.00,-10.00,0.00,0.00,53.09
06:00 - 06:15,-24.00,54.05,0.00,-10.00,0.00,0.00,86.87
06:15 - 06:30,-29.00,59.84,0.48,-10.00,0.00,0.00,67.57
06:30 - 06:45,-57.00,53.08,0.68,-10.00,0.00,0.00,42.47
06:45 - 07:00,-81.00,73.34,0.97,-10.00,0.00,0.00,24.13
07:00 - 07:15,-73.00,83.97,1.45,-56.00,0.00,0.00,0.00
07:15 - 07:30,-85.00,59.84,1.93,-42.00,0.00,0.00,0.00
07:30 - 07:45,-80.00,62.74,2.41,-33.00,0.00,0.00,4.83
07:45 - 08:00,-85.00,69.49,2.90,-22.00,0.00,0.00,4.83
08:00 - 08:15,-72.00,-48.00,0.00,-50.00,0.00,0.00,4.83
08:15 - 08:30,-56.00,-47.00,0.00,-36.00,0.00,0.00,4.83
08:30 - 08:45,17.37,-93.00,0.00,0.00,0.00,0.00,0.00
08:45 - 09:00,3.86,-119.00,0.97,0.00,0.00,0.00,0.00
09:00 - 09:15,8.69,-136.00,1.93,0.00,0.00,0.00,9.65
09:15 - 09:30,18.34,-125.00,2.90,0.00,0.00,0.00,19.30
09:30 - 09:45,0.00,-106.00,2.90,0.00,0.00,0.00,48.26
09:45 - 10:00,0.00,-98.00,2.90,0.00,0.00,0.00,82.04
10:00 - 10:15,-34.00,-93.00,0.97,0.00,0.00,0.00,106.17
10:15 - 10:30,-31.00,-84.00,0.97,0.00,0.00,0.00,110.99
10:30 - 10:45,-19.00,-40.00,0.97,0.00,0.00,0.00,125.47
10:45 - 11:00,0.00,-10.00,0.97,0.00,0.00,0.00,115.82
11:00 - 11:15,18.34,0.00,0.00,0.00,0.00,0.00,144.78
11:15 - 11:30,36.68,0.00,0.00,0.00,0.00,0.00,144.78
11:30 - 11:45,57.91,-15.00,1.64,0.00,0.00,0.00,125.48
11:45 - 12:00,84.94,-26.00,1.64,0.00,0.00,0.00,106.17
12:00 - 12:15,0.00,0.00,3.38,0.00,0.00,0.00,96.52
12:15 - 12:30,19.30,8.69,3.38,0.00,0.00,0.00,96.52
12:30 - 12:45,83.97,-24.00,3.38,0.00,0.00,0.00,154.43
12:45 - 13:00,85.90,-22.00,3.38,0.00,0.00,0.00,144.78
13:00 - 13:15,63.70,-37.00,-3.00,0.00,0.00,0.00,106.18
13:15 - 13:30,70.46,-31.00,-3.00,0.00,0.00,0.00,96.52
13:30 - 13:45,44.40,-45.00,-3.00,0.00,0.00,0.00,43.43
13:45 - 14:00,44.40,-38.00,-3.00,0.00,0.00,0.00,85.90
14:00 - 14:15,-15.00,11.58,-2.00,0.00,0.00,0.00,111.00
14:15 - 14:30,-10.00,50.19,-2.00,0.00,0.00,0.00,111.00
14:30 - 14:45,22.20,73.36,-2.00,0.00,0.00,0.00,83.97
14:45 - 15:00,20.27,82.04,-2.00,0.00,0.00,0.00,79.15
15:00 - 15:15,0.00,91.69,1.93,0.00,0.00,0.00,-5.00
15:15 - 15:30,0.00,94.59,1.93,0.00,0.00,0.00,-10.00
15:30 - 15:45,23.16,133.20,1.93,0.00,0.00,0.00,4.83
15:45 - 16:00,24.13,134.16,1.93,0.00,0.00,0.00,4.83
16:00 - 16:15,27.99,108.10,3.86,0.00,0.00,0.00,14.48
16:15 - 16:30,-49.00,107.14,3.86,0.00,0.00,0.00,14.48
16:30 - 16:45,-97.00,104.23,2.90,0.00,0.00,0.00,12.55
16:45 - 17:00,-35.00,103.27,2.90,0.00,0.00,0.00,20.27
17:00 - 17:15,24.13,99.42,7.72,0.00,0.00,0.00,0.00
17:15 - 17:30,45.36,97.49,6.76,0.00,0.00,0.00,0.00
17:30 - 17:45,86.87,50.19,5.79,0.00,0.00,0.00,5.79
17:45 - 18:00,72.39,59.84,4.83,0.00,0.00,0.00,-6.00
18:00 - 18:15,104.25,91.69,3.86,-20.00,0.00,0.00,-8.00
18:15 - 18:30,102.30,73.36,2.90,-37.00,0.00,0.00,-7.00
18:30 - 18:45,-90.00,22.20,0.10,-58.00,0.00,0.00,19.30
18:45 - 19:00,-112.00,31.85,0.00,-79.00,0.00,0.00,28.96
19:00 - 19:15,-123.00,8.69,0.00,-96.00,0.00,0.00,-75.00
19:15 - 19:30,-160.00,-5.00,0.00,-106.00,0.00,0.00,-115.00
19:30 - 19:45,-161.00,13.51,1.16,-107.00,0.00,0.00,-110.00
19:45 - 20:00,-130.00,15.44,1.16,-108.00,0.00,0.00,-105.00
20:00 - 20:15,-64.00,9.65,1.16,-108.00,0.58,0.00,-105.00
20:15 - 20:30,-35.00,11.58,1.16,-109.00,0.00,0.00,-105.00
20:30 - 20:45,-31.00,-48.00,1.16,-112.00,4.25,0.00,-100.00
20:45 - 21:00,0.00,-65.00,1.16,-110.00,2.51,0.00,-100.00
21:00 - 21:15,-45.00,-110.00,1.16,-112.00,2.60,0.00,-130.00
21:15 - 21:30,44.40,-100.00,1.16,-103.00,0.00,0.00,-125.00
21:30 - 21:45,39.57,-85.00,1.16,-102.00,0.00,0.00,-130.00
21:45 - 22:00,45.36,-80.00,1.16,-108.00,0.00,0.00,-125.00
22:00 - 22:15,-94.00,-73.00,1.16,-106.00,0.00,0.00,-65.00
22:15 - 22:30,-50.00,-68.00,1.16,-103.00,0.58,0.00,-40.00
22:30 - 22:45,-27.00,-81.00,1.16,-101.00,1.35,0.00,-71.00
22:45 - 23:00,0.00,-76.00,1.16,-91.00,0.77,-13.32,-82.00
23:00 - 23:15,10.61,-82.00,0.00,-89.00,0.68,0.00,-60.00
23:15 - 23:30,11.58,-87.00,-0.50,-88.00,0.00,0.00,-45.00
23:30 - 23:45,26.06,-88.00,-0.70,-84.00,0.00,0.00,-66.00
23:45 - 24:00,7.72,-83.00,-1.00,-84.00,0.00,0.00,-63.00
