Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,0.00,9.64,-3.80,6.75,28.92
00:15 - 00:30,0.00,9.64,-3.80,6.75,15.43
00:30 - 00:45,0.00,0.00,-3.80,6.75,31.81
00:45 - 01:00,0.00,0.00,-3.80,6.75,24.10
01:00 - 01:15,-14.00,0.00,-3.80,6.75,38.56
01:15 - 01:30,-29.00,0.00,-3.80,6.75,36.63
01:30 - 01:45,14.46,0.00,-3.80,5.78,47.25
01:45 - 02:00,-26.00,0.00,-3.80,5.78,39.53
02:00 - 02:15,-39.00,-14.00,-3.80,5.78,30.86
02:15 - 02:30,-40.00,-20.00,-3.80,5.78,24.11
02:30 - 02:45,19.29,-35.00,-3.80,5.78,14.46
02:45 - 03:00,50.14,-30.00,-3.80,5.78,9.64
03:00 - 03:15,41.46,-35.00,-3.80,5.78,0.00
03:15 - 03:30,41.46,-30.00,-3.80,5.78,2.89
03:30 - 03:45,38.57,-31.00,-3.80,5.78,2.89
03:45 - 04:00,38.57,-46.00,-3.80,5.78,3.86
04:00 - 04:15,46.28,-52.00,-3.80,5.78,8.68
04:15 - 04:30,45.32,-50.00,-3.80,5.78,16.39
04:30 - 04:45,13.50,-44.00,-3.80,5.78,14.46
04:45 - 05:00,14.46,-41.00,-3.80,6.75,15.43
05:00 - 05:15,22.17,-34.00,-3.80,6.75,-10.00
05:15 - 05:30,23.14,-37.00,-3.80,7.71,-40.00
05:30 - 05:45,48.21,-39.00,-3.80,7.71,-75.00
05:45 - 06:00,82.91,-39.00,-3.80,9.64,-60.00
06:00 - 06:15,-29.00,-70.00,-3.80,10.61,-89.00
06:15 - 06:30,-11.00,-68.00,-3.80,10.61,-115.00
06:30 - 06:45,-48.00,-52.00,-3.80,11.57,-55.00
06:45 - 07:00,-54.00,-51.00,-3.80,11.57,-45.00
07:00 - 07:15,-35.00,-71.00,-3.80,11.57,-20.00
07:15 - 07:30,-33.00,-73.00,-3.80,11.57,24.10
07:30 - 07:45,36.64,-55.00,-3.80,11.57,24.10
07:45 - 08:00,35.67,-42.00,-3.80,11.57,38.56
08:00 - 08:15,62.66,-5.00,-3.80,11.09,48.21
08:15 - 08:30,53.02,-11.00,-3.80,10.61,48.21
08:30 - 08:45,-15.00,0.00,-3.80,13.50,38.56
08:45 - 09:00,1.93,0.00,-3.80,13.50,48.20
09:00 - 09:15,0.96,-18.00,-1.80,9.64,67.49
09:15 - 09:30,6.75,-13.00,-1.80,9.64,86.77
09:30 - 09:45,-49.00,-9.00,-1.80,9.64,115.69
09:45 - 10:00,-50.00,-12.00,-1.80,9.64,115.69
10:00 - 10:15,0.00,-19.00,-1.80,8.68,81.95
10:15 - 10:30,0.00,-34.00,-1.80,8.68,81.95
10:30 - 10:45,9.64,-41.00,-1.80,8.68,67.48
10:45 - 11:00,-16.00,-55.00,-1.80,8.68,62.66
11:00 - 11:15,0.00,-16.00,-1.80,6.75,57.84
11:15 - 11:30,0.00,-18.00,-1.80,6.75,62.67
11:30 - 11:45,0.00,14.46,-1.80,5.78,28.93
11:45 - 12:00,0.00,18.32,-1.80,5.78,28.93
12:00 - 12:15,51.10,0.00,-1.80,5.78,28.92
12:15 - 12:30,63.64,0.00,-1.80,5.78,24.10
12:30 - 12:45,64.59,0.00,-1.80,4.82,53.03
12:45 - 13:00,42.42,0.00,-1.80,4.34,81.95
13:00 - 13:15,0.00,0.00,-1.80,4.34,62.66
13:15 - 13:30,0.00,0.00,-1.80,3.86,53.02
13:30 - 13:45,0.00,0.00,-1.80,3.86,72.30
13:45 - 14:00,0.00,0.00,-1.80,3.37,110.88
14:00 - 14:15,12.53,-10.00,-1.80,3.86,81.95
14:15 - 14:30,33.74,-5.00,-1.80,3.86,14.46
14:30 - 14:45,33.74,-30.00,-1.80,3.86,24.10
14:45 - 15:00,63.63,-22.00,-1.80,3.86,24.10
15:00 - 15:15,43.38,-15.00,-1.80,3.86,9.64
15:15 - 15:30,60.74,-18.00,-1.80,3.37,9.64
15:30 - 15:45,35.68,-19.00,-1.80,3.37,-5.00
15:45 - 16:00,48.21,-27.00,-1.80,3.37,-5.00
16:00 - 16:15,53.99,-64.00,-1.80,5.30,-5.00
16:15 - 16:30,33.75,-71.00,-1.80,5.30,-10.00
16:30 - 16:45,73.27,-50.00,-1.80,6.27,-30.00
16:45 - 17:00,39.53,-33.00,-1.80,6.75,-40.00
17:00 - 17:15,38.56,-44.00,-1.80,9.16,-30.00
17:15 - 17:30,44.35,-58.00,-1.80,10.61,28.92
17:30 - 17:45,34.70,-95.00,-1.80,11.09,-60.00
17:45 - 18:00,20.25,-101.00,-1.80,12.05,-75.00
18:00 - 18:15,36.97,-26.00,-1.80,12.63,-70.00
18:15 - 18:30,-21.00,-38.00,-1.80,13.50,-65.00
18:30 - 18:45,-31.00,-60.00,-1.80,13.50,-70.00
18:45 - 19:00,-5.00,0.00,-1.80,13.50,-50.00
19:00 - 19:15,-15.00,-35.00,-1.80,13.50,-120.00
19:15 - 19:30,26.03,-18.00,-1.80,12.53,-100.00
19:30 - 19:45,38.57,0.00,-1.80,12.53,-50.00
19:45 - 20:00,6.75,0.00,-1.80,12.53,-20.00
20:00 - 20:15,42.42,0.00,-1.80,12.53,0.00
20:15 - 20:30,71.35,0.00,-1.80,12.53,0.00
20:30 - 20:45,73.27,0.00,-1.80,12.05,-35.00
20:45 - 21:00,72.31,0.00,-1.80,11.57,-30.00
21:00 - 21:15,67.48,0.00,-1.80,11.09,-25.00
21:15 - 21:30,72.30,0.00,-1.80,10.61,-10.00
21:30 - 21:45,74.23,0.00,-1.80,10.61,-25.00
21:45 - 22:00,73.27,-5.00,-1.80,9.64,-30.00
