Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-71.00,-25.00,0.00,0.00,0.00,-45.00
00:15 - 00:30,-69.00,-19.00,0.00,0.00,0.00,-60.00
00:30 - 00:45,-64.00,-29.00,7.01,0.00,0.00,-60.00
00:45 - 01:00,-56.00,-27.00,7.01,0.00,0.00,-60.00
01:00 - 01:15,-84.00,-35.00,6.92,0.00,0.00,-60.00
01:15 - 01:30,-76.00,-29.00,6.82,0.00,0.00,-55.00
01:30 - 01:45,-94.00,-23.00,6.72,0.00,0.00,-40.00
01:45 - 02:00,-56.00,-20.00,6.72,0.00,0.00,-45.00
02:00 - 02:15,-70.00,-32.00,6.53,0.00,0.00,-35.00
02:15 - 02:30,-63.00,-32.00,6.53,0.00,0.00,-35.00
02:30 - 02:45,-63.00,-26.00,6.53,0.00,0.00,-35.00
02:45 - 03:00,-54.00,-23.00,6.34,0.00,0.00,-40.00
03:00 - 03:15,-56.00,-24.00,6.34,0.00,0.00,-50.00
03:15 - 03:30,-45.00,-15.00,6.72,0.00,0.00,-45.00
03:30 - 03:45,-34.00,-9.00,7.01,0.00,0.00,-40.00
03:45 - 04:00,-25.00,-7.00,7.21,0.00,0.00,-40.00
04:00 - 04:15,0.00,9.61,7.97,0.00,0.00,-40.00
04:15 - 04:30,0.00,9.61,8.26,0.00,0.00,-40.00
04:30 - 04:45,6.72,9.62,8.93,0.00,0.00,-25.00
04:45 - 05:00,-54.00,9.61,9.22,0.00,0.00,-65.00
05:00 - 05:15,-84.00,5.76,4.32,0.00,0.00,19.22
05:15 - 05:30,-82.00,0.00,6.72,0.00,0.00,-20.00
05:30 - 05:45,-34.00,-7.00,9.22,0.00,0.00,-30.00
05:45 - 06:00,-70.00,18.25,13.45,0.00,0.00,-20.00
06:00 - 06:15,15.37,0.00,16.91,0.00,0.00,-30.00
06:15 - 06:30,0.00,-53.00,19.21,0.00,0.00,-110.00
06:30 - 06:45,85.51,16.33,21.90,0.00,0.00,0.00
06:45 - 07:00,58.60,24.98,22.67,0.00,0.00,-5.00
07:00 - 07:15,-57.00,12.26,19.69,0.00,0.38,-40.00
07:15 - 07:30,-51.00,15.00,13.50,0.00,2.20,-15.00
07:30 - 07:45,-24.00,7.34,6.60,0.00,0.24,-30.00
07:45 - 08:00,-40.00,0.00,6.12,0.00,0.58,-25.00
08:00 - 08:15,-48.00,-87.00,8.28,0.00,0.10,-35.00
08:15 - 08:30,-49.00,-83.00,6.90,0.00,1.01,-25.00
08:30 - 08:45,-118.00,-84.00,14.49,11.60,1.34,-30.00
08:45 - 09:00,-101.00,-82.00,16.52,21.20,2.40,-50.00
09:00 - 09:15,-136.00,-53.00,17.29,33.63,1.44,-90.00
09:15 - 09:30,-115.00,-22.00,17.10,33.62,0.77,-90.00
09:30 - 09:45,-140.00,-22.00,16.81,28.82,0.00,-110.00
09:45 - 10:00,-165.00,-24.00,15.56,28.82,0.00,-110.00
10:00 - 10:15,-16.00,-18.00,13.45,0.00,0.00,-10.00
10:15 - 10:30,-50.00,-10.00,13.45,0.00,0.00,4.80
10:30 - 10:45,-117.00,-57.00,13.25,0.00,0.00,8.65
10:45 - 11:00,-37.00,-59.00,12.49,0.00,0.00,-16.00
11:00 - 11:15,-44.00,-19.00,10.28,0.00,0.00,24.02
11:15 - 11:30,-57.00,-23.00,9.51,0.00,0.00,-10.00
11:30 - 11:45,-20.00,-18.00,8.26,0.00,0.00,-20.00
11:45 - 12:00,-24.00,-16.00,7.69,0.00,0.00,-22.00
12:00 - 12:15,-67.00,-17.00,6.53,0.00,0.00,-28.00
12:15 - 12:30,-65.00,-41.00,6.53,0.00,0.00,-40.00
12:30 - 12:45,-70.00,-48.00,3.55,0.00,0.00,-21.00
12:45 - 13:00,-110.00,-38.00,2.88,0.00,0.00,-9.00
13:00 - 13:15,-82.00,-53.00,3.17,0.00,0.00,3.84
13:15 - 13:30,-76.00,-49.00,2.40,0.00,0.00,3.84
13:30 - 13:45,-73.00,-46.00,1.92,0.00,0.00,78.78
