Timeslot,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL
96,73IS2023/07/10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.0200,0.0000,36.0000,148.0001,0.0000,0.0000,0.0000,0.0000,73.9800,322.6000,0.0000,0.0000,-3.6000,0.0000,0.0000,57.9000,101.0400,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,343.7900,0.0000,0.0000,15.4700,88.7400,113.9300,119.2900,399.3400,99.7000,13.9700,40.9000,25.4500,25.1900,142.2900,0.0000,0.0000,0.0000,0.0000,0.0000,40.8400,7.6100,15.2400,0.0000,37.8100,0.0000,0.0000,0.0000,48.9500,26.3600,0.0000,0.0000,0.0000,45.7800,30.7600,41.1500,0.0000,0.0000,35.3000,0.0000,0.0000,0.0000,9.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8700,0.0000,9.9300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.7200,20.5700,20.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.5500,49.7500,49.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000
95,73IS2023/07/10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.0200,0.0000,36.0000,148.0001,0.0000,0.0000,0.0000,0.0000,73.9800,322.6000,0.0000,0.0000,-3.6000,0.0000,0.0000,57.9000,101.0400,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,343.7900,0.0000,0.0000,15.4700,88.7400,113.9300,119.2900,399.3400,99.7000,13.9700,40.9000,25.4500,25.1900,142.2900,0.0000,0.0000,0.0000,0.0000,0.0000,40.8400,7.6100,15.2400,0.0000,37.8100,0.0000,0.0000,0.0000,48.9500,26.3600,0.0000,0.0000,0.0000,45.7800,30.7600,41.1500,0.0000,0.0000,35.3000,0.0000,0.0000,0.0000,9.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8700,0.0000,9.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1900,20.4000,20.3900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.4400,48.1700,48.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000
94,73IS2023/07/10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.0200,0.0000,36.0000,148.0001,0.0000,0.0000,0.0000,0.0000,73.9800,322.6000,0.0000,0.0000,-3.6000,0.0000,0.0000,57.9000,101.0400,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,343.7900,0.0000,0.0000,15.4700,88.7400,113.9300,119.2900,399.3400,99.7000,13.9700,40.9000,25.4500,25.1900,142.2900,0.0000,0.0000,0.0000,0.0000,0.0000,40.8400,7.6100,15.2400,0.0000,37.8100,0.0000,0.0000,0.0000,48.9500,26.3600,0.0000,0.0000,0.0000,45.7800,30.7600,41.1500,0.0000,0.0000,35.3000,0.0000,0.0000,0.0000,9.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8700,0.0000,9.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.7900,20.2600,20.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.5100,47.2400,47.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000
93,73IS2023/07/10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.0200,0.0000,36.0000,148.0001,0.0000,0.0000,0.0000,0.0000,73.9800,322.6000,0.0000,0.0000,-3.6000,0.0000,0.0000,57.9000,101.0400,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,343.7900,0.0000,0.0000,15.4700,88.7400,113.9300,119.2900,399.3400,99.7000,13.9700,40.9000,25.4500,25.1900,142.2900,0.0000,0.0000,0.0000,0.0000,0.0000,40.8400,8.0800,15.2400,0.0000,37.8100,0.0000,0.0000,0.0000,48.9500,26.3600,0.0000,0.0000,0.0000,45.7800,30.7600,41.1500,0.0000,0.0000,35.3000,0.0000,0.0000,0.0000,9.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8700,0.0000,8.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.6000,20.2000,20.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.5400,46.6200,46.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000
92,73IS2023/07/10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.0200,0.0000,36.0000,148.0001,0.0000,0.0000,0.0000,0.0000,73.9800,322.6000,0.0000,0.0000,-3.6000,0.0000,0.0000,57.9000,101.0400,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.7400,0.0000,0.0000,15.4700,88.7400,113.9300,119.2900,399.3400,99.7000,13.9700,40.9000,25.4500,25.1900,142.2900,0.0000,0.0000,0.0000,0.0000,0.0000,40.8400,15.6000,15.2400,0.0000,37.8100,0.0000,0.0000,0.0000,48.9500,26.3600,0.0000,0.0000,0.0000,45.7800,30.7600,41.1500,0.0000,0.0000,36.1900,0.0000,0.0000,0.0000,9.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8700,0.0000,15.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.4200,20.1400,20.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.3000,46.4200,46.4200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000
91,73IS2023/07/10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.0200,0.0000,36.0000,148.0001,0.0000,0.0000,0.0000,0.0000,73.9800,322.4300,0.0000,0.0000,-3.6000,0.0000,0.0000,57.9000,101.0400,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,514.8500,0.0000,0.0000,15.4700,88.7400,113.9300,119.2900,399.3400,99.7000,13.9700,40.9000,25.4500,25.1900,142.2900,0.0000,0.0000,0.0000,0.0000,0.0000,40.8400,15.6000,15.2400,0.0000,37.8100,0.0000,0.0000,0.0000,48.9500,26.3600,0.0000,0.0000,0.0000,45.7800,30.7600,41.1500,0.0000,0.0000,36.1900,0.0000,0.0000,0.0000,9.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8700,0.0000,14.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.2600,20.0900,20.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.6600,46.3500,46.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000
90,73IS2023/07/10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.0200,0.0000,36.0000,148.0001,0.0000,0.0000,0.0000,0.0000,73.9800,319.5600,0.0000,0.0000,-3.6000,0.0000,0.0000,57.9000,101.0400,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,585.2700,0.0000,0.0000,15.4700,88.7400,113.9300,119.2900,399.3400,99.7000,13.9700,40.9000,25.4500,25.1900,142.2900,0.0000,0.0000,0.0000,0.0000,0.0000,40.8400,15.6000,15.2400,0.0000,37.8100,0.0000,0.0000,0.0000,48.9500,26.3600,0.0000,0.0000,0.0000,45.7800,30.7600,41.1500,0.0000,0.0000,36.1900,0.0000,0.0000,0.0000,9.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8700,0.0000,13.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.0500,18.6800,18.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.2300,46.1900,46.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000
89,73IS2023/07/10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.0200,0.0000,36.0000,148.0001,0.0000,0.0000,0.0000,0.0000,73.9800,319.5600,0.0000,0.0000,-3.6000,0.0000,0.0000,57.9000,101.0400,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,585.2700,0.0000,0.0000,15.4700,88.7400,113.9300,119.2900,399.3400,99.7000,13.9700,40.9000,25.4500,25.1900,142.2900,0.0000,0.0000,0.0000,0.0000,0.0000,40.8400,15.6000,15.2400,0.0000,37.8100,0.0000,0.0000,0.0000,48.9500,26.3600,0.0000,0.0000,0.0000,45.7800,30.7600,41.1500,0.0000,0.0000,36.1900,0.0000,0.0000,0.0000,10.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8700,0.0000,13.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8700,18.6200,18.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.4300,45.7300,45.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000
88,73IS2023/07/10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.0200,0.0000,36.0000,148.0001,0.0000,0.0000,0.0000,0.0000,73.9800,319.5700,0.0000,0.0000,-3.6000,0.0000,0.0000,57.9000,101.0400,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,549.2500,0.0000,0.0000,15.4700,88.7400,113.9300,119.2900,399.3400,99.7000,13.9700,40.9000,25.4500,25.1900,142.2900,0.0000,0.0000,0.0000,0.0000,0.0000,40.8400,15.6000,15.2400,0.0000,37.8100,0.0000,0.0000,0.0000,48.9500,26.3600,0.0000,0.0000,0.0000,45.7800,30.7600,41.1500,0.0000,0.0000,36.1900,0.0000,0.0000,0.0000,11.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8700,0.0000,12.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.6900,18.5600,18.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.4200,45.5100,45.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000
87,73IS2023/07/10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,261.0200,0.0000,36.0000,148.0001,0.0000,0.0000,0.0000,0.0000,73.9800,319.5700,0.0000,0.0000,-3.6000,0.0000,0.0000,57.9000,101.0400,271.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,501.0200,0.0000,0.0000,15.4700,88.7400,113.9300,119.2900,399.2200,99.7000,13.9700,40.9000,25.4500,25.1900,142.2900,0.0000,0.0000,0.0000,0.0000,0.0000,40.8400,7.6100,15.2400,0.0000,37.8100,0.0000,0.0000,0.0000,48.9500,26.3600,0.0000,0.0000,0.0000,45.7800,30.7600,41.1500,0.0000,0.0000,35.3000,0.0000,0.0000,0.0000,11.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8700,0.0000,12.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.2800,18.7600,18.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.2100,46.0600,46.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000
