Timeslot,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
96,75IS2024/09/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,220.6500,0.0000,36.0000,0.0000,0.0000,0.0000,148.9998,0.0000,87.2900,400.4400,145.1600,0.0000,269.9999,0.0000,0.0000,115.6600,91.4100,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,587.6900,0.0000,0.0000,14.1300,45.8000,117.7800,123.4700,405.2300,103.2600,20.2900,42.3100,0.0000,43.4700,95.6700,0.0000,0.0000,0.0000,0.0000,3.8800,68.5800,9.3400,0.0000,0.0000,39.4900,0.0000,0.0000,3.1200,57.8500,10.4000,0.0000,0.0000,0.0000,8.5400,10.0300,13.5900,42.7900,31.0400,38.9100,52.7700,3.8200,62.9700,9.4300,1.0600,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,6.3900,7.2000,0.0000,0.0000,0.0000,5.6200,0.0000,0.0000,0.0000,85.0000,28.3400,28.3300,0.0000,0.0000,0.0000,0.0000,0.0000,28.6600,67.3300,67.3300,2.2900,0.0000,0.0000,3.9900,26.2200,29.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
95,75IS2024/09/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,220.6500,0.0000,36.0000,0.0000,0.0000,0.0000,148.9998,0.0000,87.2900,400.4400,145.1600,0.0000,269.9999,0.0000,0.0000,115.6600,91.4100,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,587.6900,0.0000,0.0000,14.1300,45.8000,117.7800,123.4700,405.2300,103.2600,20.2900,42.3100,0.0000,43.4700,95.6700,0.0000,0.0000,0.0000,0.0000,3.8800,68.5800,9.3400,0.0000,0.0000,39.4900,0.0000,0.0000,3.1200,57.8500,10.3600,0.0000,0.0000,0.0000,8.5400,10.0300,13.5900,42.7900,31.0400,38.9100,52.7700,3.8200,62.9700,9.4300,1.0600,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,6.3900,8.0000,0.0000,0.0000,0.0000,5.6200,0.0000,0.0000,0.0000,85.0000,28.3400,28.3300,0.0000,0.0000,0.0000,0.0000,0.0000,28.3400,67.3300,67.3300,2.2900,0.1400,0.0000,3.9900,26.2200,29.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
94,75IS2024/09/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,220.6500,0.0000,36.0000,0.0000,0.0000,0.0000,148.9998,0.0000,87.2900,400.4400,145.1600,0.0000,269.9999,0.0000,0.0000,115.6600,91.4100,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,587.6900,0.0000,0.0000,14.1300,45.8000,117.7800,123.4700,405.2300,103.2600,20.2900,42.3100,0.0000,43.4700,95.6700,0.0000,0.0000,0.0000,0.0000,3.8800,68.5800,9.3400,2.8400,0.0000,39.4900,0.0000,0.0000,3.1200,57.8500,10.2700,0.0000,0.0000,0.0000,8.5400,10.0300,13.5900,42.7900,31.0400,38.9100,52.7700,3.8200,62.9700,9.4300,1.0600,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,6.3900,9.0000,0.0000,0.0000,0.0000,5.6200,0.0000,0.0000,0.0000,85.0000,28.3400,28.3300,0.0000,0.0000,0.0000,0.0000,0.0000,28.3400,67.3300,67.3300,2.7100,1.3900,0.0000,3.9900,26.2200,29.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
93,75IS2024/09/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,220.6500,0.0000,36.0000,0.0000,0.0000,0.0000,148.9998,0.0000,87.2900,400.4400,145.1600,0.0000,269.9999,0.0000,0.0000,115.6600,91.4100,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,587.6900,0.0000,0.0000,14.1300,45.8000,117.7800,123.4700,405.2300,103.2600,20.2900,42.3100,0.0000,43.4700,95.6700,0.0000,0.0000,0.0000,0.0000,3.8800,68.5800,20.7700,9.2000,0.0000,39.4900,0.0000,0.0000,3.1200,57.8500,10.2700,0.0000,0.0000,0.0000,8.5400,10.0300,27.1900,42.7900,31.0400,38.9100,52.7700,3.8200,62.9700,9.4300,1.0600,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,6.3900,9.6000,0.0000,0.0000,0.0000,5.6200,0.0000,0.0000,0.0000,85.0000,28.3400,28.3300,0.0000,0.0000,0.0000,0.0000,0.0000,28.0000,67.3300,67.3300,2.7100,2.7900,0.0000,3.9900,26.2200,29.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
92,75IS2024/09/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,220.6500,0.0000,36.0000,0.0000,0.0000,0.0000,148.9998,0.0000,87.2900,400.4400,148.4000,0.0000,269.9999,0.0000,0.0000,115.6600,91.4100,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,587.6900,0.0000,0.0000,14.1300,45.8000,117.7800,123.4700,405.2300,103.2600,20.2900,42.3100,0.0000,43.4700,95.6700,0.0000,0.0000,0.0000,0.0000,3.8800,68.5800,31.1600,12.7600,0.0000,39.4900,0.0000,0.0000,3.1800,57.8500,10.1300,0.0000,0.0000,0.0000,16.0300,10.0300,40.7900,44.1700,32.6500,40.0700,53.3100,3.8200,62.9700,10.2900,18.9300,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,6.3900,10.4000,0.0000,0.0000,0.0000,5.6200,0.0000,0.0000,0.0000,85.0000,28.3400,28.3300,0.0000,0.0000,0.0000,0.0000,0.0000,28.0000,65.6700,65.6700,2.7100,4.1800,0.0000,3.9900,26.2200,30.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
91,75IS2024/09/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,220.6500,0.0000,36.0000,0.0000,0.0000,0.0000,148.9998,0.0000,87.2900,400.4400,148.4000,0.0000,269.9999,0.0000,0.0000,115.6600,91.4100,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,587.6900,0.0000,0.0000,14.1300,45.8000,117.7800,123.4700,405.2300,103.2600,20.2900,42.3100,0.0000,43.4700,95.6700,0.0000,0.0000,0.0000,0.0000,3.8800,68.5800,31.1600,12.7600,0.0000,39.4900,0.0000,0.0000,3.1800,57.8500,10.1300,0.0000,0.0000,0.0000,48.7000,10.0300,40.7900,44.1700,32.6500,40.0700,53.3100,3.8200,62.9700,10.2900,18.9300,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,6.3900,10.4000,0.0000,0.0000,0.0000,5.6200,0.0000,0.0000,0.0000,85.0000,28.3400,28.3300,0.0000,0.0000,0.0000,0.0000,0.0000,28.3400,65.0000,65.0000,2.7100,4.1800,0.0000,3.9900,26.2200,30.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
90,75IS2024/09/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,220.6500,0.0000,36.0000,0.0000,0.0000,0.0000,148.9998,0.0000,87.2900,400.4400,148.4000,0.0000,269.9999,0.0000,0.0000,115.6600,91.4100,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,587.6900,0.0000,0.0000,14.1300,45.8000,117.7800,123.4700,405.2300,103.2600,20.2900,42.3100,0.0000,43.4700,95.6700,0.0000,0.0000,0.0000,0.0000,3.8800,68.5800,31.1600,12.7600,0.0000,39.4900,0.0000,0.0000,3.1800,57.8500,9.9900,0.0000,0.0000,0.0000,48.7000,10.0300,40.7900,44.1700,32.6500,40.0700,53.3100,3.8200,74.2100,10.2900,18.9300,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,6.3900,10.4000,0.0000,0.0000,0.0000,5.6200,0.0000,0.0000,0.0000,68.0000,22.6600,22.6700,0.0000,0.0000,0.0000,0.0000,0.0000,23.3400,64.6700,64.6700,2.7100,4.1800,0.0000,3.9900,26.2200,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
89,75IS2024/09/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,220.6500,0.0000,36.0000,0.0000,0.0000,0.0000,148.9998,0.0000,87.2900,400.4400,148.4000,0.0000,269.9999,0.0000,0.0000,115.6600,91.4100,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,591.2100,0.0000,0.0000,14.1300,45.8000,117.7800,123.4700,405.2300,103.2600,20.2900,42.3100,0.0000,43.4700,95.6700,0.0000,0.0000,0.0000,0.0000,3.8800,68.5800,31.1600,12.7600,0.0000,39.4900,0.0000,0.0000,3.1800,57.8500,9.9900,0.0000,0.0000,0.0000,16.0300,10.0300,40.7900,44.1700,32.6500,40.0700,53.3100,3.8200,74.2100,10.2900,18.9300,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,6.3900,10.4000,0.0000,0.0000,0.0000,5.6200,0.0000,0.0000,0.0000,69.0000,23.0000,23.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0000,63.3300,63.3300,2.7100,4.1800,0.0000,3.9900,26.2200,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
88,75IS2024/09/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,220.6500,0.0000,36.0000,0.0000,0.0000,0.0000,148.9998,0.0000,87.2900,400.4400,145.1600,0.0000,270.0000,0.0000,0.0000,115.6600,91.4100,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.3600,0.0000,0.0000,14.1300,45.8000,117.7800,123.4700,405.2300,103.2600,20.2900,42.3100,0.0000,43.4700,95.6700,0.0000,0.0000,0.0000,0.0000,3.8800,68.5800,18.7000,9.9300,0.0000,39.4900,0.0000,0.0000,3.1200,57.8500,9.7800,0.0000,0.0000,0.0000,16.0300,10.0300,27.1900,42.7900,31.0400,38.9100,52.7700,3.8200,74.2100,9.4300,0.0000,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,6.5400,9.8000,0.0000,0.0000,0.0000,5.7800,0.0000,0.0000,0.0000,62.5000,20.8400,20.8300,0.0000,0.0000,0.0000,0.0000,0.0000,23.0000,62.3300,62.3300,2.7100,4.1800,0.0000,3.9900,26.2200,29.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
87,75IS2024/09/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,220.6500,0.0000,36.0000,0.0000,0.0000,0.0000,148.9998,0.0000,87.2900,400.4400,145.1600,0.0000,270.0000,0.0000,0.0000,115.6600,91.4100,273.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,661.3600,0.0000,0.0000,14.1300,45.8000,117.7800,123.4700,405.2300,103.2600,20.2900,42.3100,0.0000,43.4700,95.6700,0.0000,0.0000,0.0000,0.0000,3.8800,68.5800,18.7000,4.9600,0.0000,39.4900,0.0000,0.0000,3.1200,57.8500,9.7600,0.0000,0.0000,0.0000,16.0300,10.0300,27.1900,42.7900,31.0400,38.9100,52.7700,3.8200,74.2100,9.4300,0.0000,1.5700,0.0000,0.0000,0.0000,0.0000,0.0000,6.5400,9.4000,0.0000,0.0000,0.0000,5.7800,0.0000,0.0000,0.0000,62.5000,20.8400,20.8300,0.0000,0.0000,0.0000,0.0000,0.0000,22.3400,61.6700,61.6700,2.7100,4.1800,0.0000,3.9900,26.2200,29.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
