Timeslot,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD
96,63IS2025/04/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.3200,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,80.9300,479.3300,133.2500,0.0000,320.0000,0.0000,0.0000,57.7800,100.3600,272.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,663.3700,0.0000,0.0000,17.8300,93.6700,120.0000,125.9900,400.9700,105.7500,20.8500,42.3900,26.6500,44.1500,142.8600,0.0000,0.0000,0.0000,0.0000,9.2400,33.8600,10.0500,18.2100,0.0000,24.9500,0.0000,0.0000,5.2200,66.5400,0.0000,0.0000,0.0000,0.0000,48.9300,36.6900,40.6100,47.0200,33.7400,10.5400,57.3200,35.4800,51.4900,0.0000,18.8400,1.6400,0.0000,0.0000,270.0000,0.0000,0.8900,8.1600,17.6100,0.0000,0.0000,4.6700,10.1400,0.0000,0.0000,0.0000,82.5000,27.5000,27.5000,0.0000,0.0000,0.0000,0.0000,0.0000,24.1500,74.1600,74.1700,5.3100,8.3100,0.0000,7.7400,24.5000,30.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0900,10.4300,4.0500,28.9100
95,63IS2025/04/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.3200,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,80.9300,479.3300,133.2500,0.0000,320.0000,0.0000,0.0000,57.7800,100.3600,272.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,663.3700,0.0000,0.0000,17.8300,93.6700,120.0000,125.9900,400.9700,105.7500,20.8500,42.3900,26.6500,44.1500,142.8600,0.0000,0.0000,0.0000,0.0000,9.2400,33.8600,10.0500,18.2100,0.0000,24.9500,0.0000,0.0000,5.2200,66.5400,0.0000,0.0000,0.0000,0.0000,48.9300,36.6900,40.6100,47.0200,33.7400,10.5400,57.3200,35.4800,51.4900,0.0000,18.8400,1.6400,0.0000,0.0000,270.0000,0.0000,0.8900,8.1600,18.0100,0.0000,0.0000,4.6700,10.1400,0.0000,0.0000,0.0000,81.4900,27.1700,27.1700,0.0000,0.0000,0.0000,0.0000,0.0000,23.9400,73.9500,73.9600,5.3100,8.3100,0.0000,7.7400,24.5000,30.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0900,10.4300,4.0500,28.9100
94,63IS2025/04/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.3200,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,80.9300,479.3300,133.2500,0.0000,320.0000,0.0000,0.0000,57.7800,100.3600,272.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,663.3700,0.0000,0.0000,17.8300,93.6700,120.0000,125.9900,400.9700,105.7500,20.8500,42.3900,26.6500,44.1500,142.8600,0.0000,0.0000,0.0000,0.0000,9.2400,33.8600,10.0500,18.2100,0.0000,24.9500,0.0000,0.0000,5.2200,66.5400,0.0000,0.0000,0.0000,0.0000,48.9300,36.6900,40.6000,47.0200,33.7400,10.5400,57.3200,35.4800,64.3700,0.0000,18.8400,1.6400,0.0000,0.0000,270.0000,0.0000,0.9600,8.1600,18.6100,0.0000,0.0000,4.6700,10.1400,0.0000,0.0000,0.0000,80.5100,26.8300,26.8300,0.0000,0.0000,0.0000,0.0000,0.0000,23.8200,73.6100,73.6200,5.3100,8.3100,0.0000,7.7400,24.5000,30.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0900,10.4300,4.0500,28.9100
93,63IS2025/04/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.3200,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,80.9300,479.3300,133.2500,0.0000,320.0000,0.0000,0.0000,57.7800,100.3600,272.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,663.3700,0.0000,0.0000,17.8300,93.6700,120.0000,125.9900,400.9700,105.7500,20.8500,42.3900,26.6500,44.1500,142.8600,0.0000,0.0000,0.0000,0.0000,9.2400,33.8600,10.0500,18.2100,0.0000,24.9500,0.0000,0.0000,5.2200,66.5400,0.0000,0.0000,0.0000,0.0000,48.9300,36.6900,40.6000,47.0200,33.7400,10.5400,57.3200,35.4800,64.3700,0.0000,18.8400,1.6400,0.0000,0.0000,270.0000,0.0000,0.9600,8.1600,19.0100,0.0000,0.0000,4.6700,10.1400,0.0000,0.0000,0.0000,79.5000,26.5000,26.5000,0.0000,0.0000,0.0000,0.0000,0.0000,23.8100,72.9400,72.9400,5.3100,8.3100,0.0000,7.7400,24.5000,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0900,10.4300,4.0500,28.9100
92,63IS2025/04/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.3200,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,80.9300,479.3300,133.2500,0.0000,320.0000,0.0000,0.0000,57.7800,100.3600,272.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,663.3700,0.0000,0.0000,17.8300,93.6700,120.0000,125.9900,400.9700,105.7500,20.8500,42.3900,26.6500,44.1500,142.8600,0.0000,0.0000,0.0000,0.0000,9.2400,33.8600,10.0500,18.2100,0.0000,24.9500,0.0000,0.0000,5.2200,66.5400,0.0000,0.0000,0.0000,0.0000,48.9300,36.6900,40.6000,47.0200,33.7400,10.5500,57.3200,35.4800,64.3700,0.0000,18.8400,1.6400,0.0000,0.0000,270.0000,0.0000,0.9600,8.3900,16.6100,0.0000,0.0000,4.6700,10.1400,0.0000,0.0000,0.0000,79.0100,26.3300,26.3300,0.0000,0.0000,0.0000,0.0000,0.0000,20.0000,72.4400,72.4500,5.3100,8.3100,0.0000,7.7400,24.5000,30.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0900,10.4300,4.0500,28.9100
91,63IS2025/04/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.3200,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,80.9300,469.9900,133.2500,0.0000,320.0000,0.0000,0.0000,57.7800,100.3600,272.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,663.3700,0.0000,0.0000,17.8300,93.6700,120.0000,125.9900,400.9700,105.7500,20.8500,42.3900,26.6500,44.1500,142.8600,0.0000,0.0000,0.0000,0.0000,9.2400,33.8600,20.0800,18.2100,0.0000,24.9500,0.0000,0.0000,5.2200,66.5400,0.0000,0.0000,0.0000,0.0000,48.9300,36.6900,40.6000,47.0200,33.7400,21.0800,57.3200,35.4800,64.3700,0.0000,18.8400,1.6400,0.0000,0.0000,270.0000,0.0000,0.9600,8.3900,17.0100,0.0000,0.0000,4.6700,10.1400,0.0000,0.0000,0.0000,79.9900,26.6700,26.6700,0.0000,0.0000,0.0000,0.0000,0.0000,20.6700,73.7000,73.6900,5.3100,8.3100,0.0000,7.7400,24.5000,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0900,10.4300,4.0500,28.9100
90,63IS2025/04/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.3200,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,80.9300,441.0600,133.2500,0.0000,320.0000,0.0000,0.0000,57.7800,100.3600,272.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,663.2900,0.0000,0.0000,17.8300,93.6700,120.0000,125.9900,400.9700,105.7500,20.8500,42.3900,26.6500,44.1500,142.8600,0.0000,0.0000,0.0000,0.0000,9.2400,33.8600,33.4800,19.3400,0.0000,24.9500,0.0000,0.0000,5.2200,66.5400,0.0000,0.0000,0.0000,0.0000,48.9300,38.6900,40.6000,48.5400,33.7400,42.1700,58.0200,57.6400,64.3700,0.0000,18.8400,1.6400,0.0000,0.0000,270.0000,0.0000,0.9600,8.3900,14.4100,0.0000,0.0000,4.6700,9.4500,0.0000,0.0000,0.0000,80.5100,26.8300,26.8300,0.0000,0.0000,0.0000,0.0000,0.0000,21.0000,74.8000,74.8000,5.3100,8.3600,0.0000,7.7400,24.5000,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.9600,10.4300,4.0500,28.9100
89,63IS2025/04/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.3200,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,80.9300,441.0600,133.2500,0.0000,320.0000,0.0000,0.0000,57.7800,100.3600,272.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,663.2900,0.0000,0.0000,17.8300,93.6700,120.0000,125.9900,400.9700,105.7500,20.8500,42.3900,26.6500,44.1500,142.8600,0.0000,0.0000,0.0000,0.0000,9.2400,33.8600,33.4800,19.3400,0.0000,24.9500,0.0000,0.0000,5.2200,66.5400,0.0000,0.0000,0.0000,0.0000,48.9300,38.6900,40.6000,48.5400,33.7400,42.1700,58.0200,57.6400,64.3700,0.0000,18.8400,1.6400,0.0000,0.0000,270.0000,0.0000,0.9600,8.3900,14.6100,0.0000,0.0000,4.6700,9.4500,0.0000,0.0000,0.0000,81.4900,27.1700,27.1700,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,75.0800,75.0900,5.3100,8.3600,0.0000,7.7400,24.5000,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.9600,10.4300,4.0500,28.9100
88,63IS2025/04/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.3200,0.0000,32.0000,148.0000,0.0000,0.0000,0.0000,0.0000,80.9300,441.0600,133.2500,0.0000,320.0000,0.0000,0.0000,57.7800,100.3600,272.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,663.2900,0.0000,0.0000,17.8300,93.6700,120.0000,125.9900,400.9700,105.7500,20.8500,42.3900,26.6500,44.1500,142.8600,0.0000,0.0000,0.0000,0.0000,9.2400,33.8600,33.4800,19.3400,0.0000,24.9500,0.0000,0.0000,5.2200,66.5400,0.0000,0.0000,0.0000,0.0000,48.9300,38.6900,40.6000,48.5400,33.7400,42.1700,58.0200,57.6400,64.3700,0.0000,18.8400,1.6400,0.0000,0.0000,270.0000,0.0000,0.9600,8.3900,14.8100,0.0000,0.0000,4.8100,9.6800,0.0000,0.0000,0.0000,78.0000,26.0000,26.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.3300,67.0000,67.0000,5.3100,8.3600,0.0000,7.7400,24.5000,30.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.9600,10.4300,4.0500,28.9100
87,63IS2025/04/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.3200,0.0000,32.0000,148.0000,0.0000,0.0000,0.0000,0.0000,80.9300,441.0600,133.2500,0.0000,320.0000,0.0000,0.0000,57.7800,100.3600,272.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,663.2900,0.0000,0.0000,17.8300,93.6700,120.0000,125.9900,400.9700,105.7500,20.8500,42.3900,26.6500,44.1500,142.8600,0.0000,0.0000,0.0000,0.0000,9.2400,33.8600,33.4800,19.3400,0.0000,24.9500,0.0000,0.0000,5.2200,66.5400,0.0000,0.0000,0.0000,0.0000,48.9300,38.6900,40.6000,48.5400,33.7400,42.1700,58.0200,57.6400,64.3700,0.0000,18.8300,1.6400,0.0000,0.0000,270.0000,0.0000,0.9600,8.3900,14.2100,0.0000,0.0000,4.8100,9.6800,0.0000,0.0000,0.0000,78.4900,26.1700,26.1700,0.0000,0.0000,0.0000,0.0000,0.0000,23.3300,69.0000,69.0000,5.3100,8.3600,0.0000,7.7400,24.5000,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.9600,10.4300,4.0500,28.9100
