Timeslot,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL
96,49IS2022/07/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,200.5100,0.0000,37.0000,120.0000,0.0000,0.0000,35.9999,0.0000,86.8100,572.7900,147.1700,0.0000,286.0200,0.0000,0.0000,115.5900,100.8000,270.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.5900,0.0000,0.0000,13.7200,76.9800,113.6600,119.0000,335.8200,117.6600,20.9900,40.8000,25.4100,42.6400,141.9500,0.0000,0.0000,0.0000,0.0000,0.0000,54.5600,17.0800,15.3900,0.0000,38.1300,0.0000,0.0000,0.0000,48.7200,27.4500,0.0000,0.0000,0.0000,47.2800,30.6900,41.0500,38.0300,27.9700,35.2100,47.5700,61.2500,76.3700,9.3700,18.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.6600,10.5900,6.8400,0.0000,0.0000,11.1000,10.7300,0.0000,0.0000,0.0000,64.0100,21.3400,21.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.5800,5.5900,2.9900,23.1700,2.0700,2.1600,4.3300,0.7000,0.4400,7.3400,0.4800,3.8900,4.2800,0.0000,4.6000
95,49IS2022/07/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,200.5100,0.0000,37.0000,120.0000,0.0000,0.0000,36.0000,0.0000,86.8100,572.7900,147.1700,0.0000,286.0200,0.0000,0.0000,115.5900,100.8000,270.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.5900,0.0000,0.0000,13.7200,76.9800,113.6600,119.0000,335.8200,117.6600,20.9900,40.8000,25.4100,42.6400,141.9500,0.0000,0.0000,0.0000,0.0000,0.0000,54.5600,17.0800,15.3900,0.0000,38.1300,0.0000,0.0000,0.0000,48.7200,27.4500,0.0000,0.0000,0.0000,47.2800,30.6900,41.0500,38.0300,27.9700,35.2100,47.5700,61.2500,76.3700,9.3700,18.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.6600,10.5900,6.9300,0.0000,0.0000,11.1000,10.7300,0.0000,0.0000,0.0000,64.3800,21.4600,21.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.5800,5.5900,2.9900,23.1700,2.0700,2.1600,4.3300,0.7000,0.4400,7.3400,0.4800,3.8900,4.2800,0.0000,4.6000
94,49IS2022/07/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,200.5100,0.0000,37.0000,120.0000,0.0000,0.0000,35.9999,0.0000,86.8100,572.7900,147.1700,0.0000,286.0200,0.0000,0.0000,115.5900,100.8000,270.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.5900,0.0000,0.0000,13.7200,76.9800,113.6600,119.0000,335.8200,117.6600,20.9900,40.8000,25.4100,42.6400,141.9500,0.0000,0.0000,0.0000,0.0000,0.0000,54.5600,25.6200,15.3900,0.0000,38.1300,0.0000,0.0000,0.0000,48.7200,27.4500,0.0000,0.0000,0.0000,47.2800,30.6900,41.0500,38.0300,27.9700,35.2100,47.5700,61.2500,76.3700,9.1200,18.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.6600,10.5900,6.9700,0.0000,0.0000,11.1000,10.7300,0.0000,0.0000,0.0000,64.5200,21.5100,21.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.5800,5.5900,2.9900,23.1700,2.0700,2.1600,4.3300,0.7000,0.4400,7.3400,0.4800,3.8900,4.2800,0.0000,4.6000
93,49IS2022/07/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,200.5100,0.0000,37.0000,120.0000,0.0000,0.0000,35.9999,0.0000,86.8100,572.7900,147.1700,0.0000,286.0200,0.0000,0.0000,115.5900,100.8000,270.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.5900,0.0000,0.0000,13.7100,76.9800,113.6600,119.0000,335.8200,117.6600,20.9900,40.8000,25.4100,42.6400,141.9500,0.0000,0.0000,0.0000,0.0000,0.0000,54.5600,25.6200,15.3900,0.0000,38.1300,0.0000,0.0000,0.0000,48.7200,27.4500,0.0000,0.0000,0.0000,47.2800,30.6900,41.0500,38.0300,27.9700,35.2100,47.5700,61.2500,76.3700,9.1200,18.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.6600,10.5900,7.0300,0.0000,0.0000,11.1000,10.7300,0.0000,0.0000,0.0000,65.1900,21.7300,21.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.5800,5.5900,2.9900,23.1700,2.0700,2.1600,4.3300,0.7000,0.4400,7.3400,0.4800,3.8900,4.2800,0.0000,4.6000
92,49IS2022/07/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,200.5100,0.0000,37.0000,120.0000,0.0000,0.0000,35.9999,0.0000,86.8100,572.7900,148.8600,0.0000,286.0200,0.0000,0.0000,115.5900,100.8000,270.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.5900,0.0000,0.0000,13.7100,76.9800,113.6600,119.0000,335.8200,117.6600,20.9900,40.8000,25.4100,42.6400,141.9500,0.0000,0.0000,0.0000,0.0000,0.0000,54.5600,29.0300,16.1600,0.0000,38.1300,0.0000,0.0000,0.0000,48.7200,27.4500,0.0000,0.0000,0.0000,47.2800,30.6900,41.4300,39.3800,29.4100,37.1200,50.1300,46.5500,76.3700,9.1200,18.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.6600,10.5900,8.8500,0.0000,0.0000,11.2900,10.7300,0.0000,0.0000,0.0000,65.7100,21.9000,21.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.5800,5.5900,2.9900,23.1700,2.0700,2.1600,4.3300,0.7000,0.4200,7.3400,0.4800,3.8900,4.2800,0.0000,4.6000
91,49IS2022/07/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,200.5100,0.0000,37.0000,120.0000,0.0000,0.0000,35.9999,0.0000,86.8100,572.7900,148.8600,0.0000,286.0200,0.0000,0.0000,115.5900,100.8000,270.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.5900,0.0000,0.0000,13.7300,76.9800,113.6600,119.0000,335.8200,117.6600,20.9900,40.8000,25.4100,42.6400,141.9500,0.0000,0.0000,0.0000,0.0000,0.0000,54.5600,29.0300,16.1600,0.0000,38.1300,0.0000,0.0000,0.0000,48.7200,27.4500,0.0000,0.0000,0.0000,47.2800,30.6900,41.4300,39.3800,29.4100,37.1200,50.1300,46.5500,76.3700,9.1200,18.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.6600,10.5900,10.1300,0.0000,0.0000,11.2900,10.7300,0.0000,0.0000,0.0000,66.5500,22.1800,22.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.5800,5.5900,2.9900,23.1700,2.0700,2.2000,4.3900,0.7000,0.4200,7.3400,0.4800,3.8900,4.2800,0.0000,4.6000
90,49IS2022/07/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,200.5100,0.0000,37.0000,120.0000,0.0000,0.0000,35.9999,0.0000,86.8100,572.7900,148.8600,0.0000,286.0200,0.0000,0.0000,115.5900,100.8000,270.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.5900,0.0000,0.0000,13.7300,76.9800,113.6600,119.0000,335.8200,117.6600,20.9900,40.8000,25.4100,42.6400,141.9500,0.0000,0.0000,0.0000,0.0000,0.0000,54.5600,29.0300,16.1600,0.0000,38.1300,0.0000,0.0000,0.0000,48.7200,27.4500,0.0000,0.0000,0.0000,47.2800,30.6900,41.4200,39.3800,29.4100,37.1200,50.1300,46.5500,76.3700,9.1200,18.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.6600,10.5900,12.7300,0.0000,0.0000,11.2900,10.7300,0.0000,0.0000,0.0000,67.5000,22.5000,22.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.5800,5.5900,2.9900,23.1700,2.0700,2.2000,4.3900,0.7000,0.4300,7.3400,0.4800,3.8900,4.2800,0.0000,4.6000
89,49IS2022/07/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,200.5100,0.0000,37.0000,120.0000,0.0000,0.0000,36.0000,0.0000,86.8100,572.7900,148.8600,0.0000,286.0200,0.0000,0.0000,115.5900,100.8000,270.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.5900,0.0000,0.0000,13.7100,76.9800,113.6600,119.0000,335.8200,117.6600,20.9900,40.8000,25.4100,42.6400,141.9500,0.0000,0.0000,0.0000,0.0000,0.0000,54.5600,29.0300,16.1600,0.0000,38.1300,0.0000,0.0000,0.0000,48.7200,27.4500,0.0000,0.0000,0.0000,47.2800,30.6900,41.4200,39.3800,29.4100,37.1200,50.1300,46.5500,76.3700,9.1200,18.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.6600,10.5900,17.7300,0.0000,0.0000,11.2900,10.7300,0.0000,0.0000,0.0000,68.2400,22.7500,22.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.5800,5.5900,2.9400,23.1700,2.0700,2.2000,4.3900,0.7000,0.4400,7.3400,0.4800,3.8900,4.2800,0.0000,4.6000
88,49IS2022/07/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,200.5100,0.0000,36.0000,120.0000,0.0000,0.0000,35.9999,0.0000,86.8100,572.7900,147.1700,0.0000,286.0200,0.0000,0.0000,115.5900,100.8000,270.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.5900,0.0000,0.0000,13.7300,76.9800,113.6600,119.0000,335.8200,117.6600,20.9900,40.8000,25.4100,42.6400,141.9500,0.0000,0.0000,0.0000,0.0000,0.0000,54.5600,25.6200,15.3900,0.0000,38.1300,0.0000,0.0000,0.0000,48.7200,27.4500,0.0000,0.0000,0.0000,47.2800,30.6900,41.0600,38.0300,27.9700,35.2100,47.5700,46.5500,76.3700,9.1200,18.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.6600,10.5900,4.2700,0.0000,0.0000,11.4700,10.7300,0.0000,0.0000,0.0000,69.3800,23.1300,23.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.2500,5.6000,2.8000,24.2500,2.1600,2.0600,4.3200,0.7300,0.4400,7.1600,0.4700,3.7800,4.1600,0.0000,4.1900
87,49IS2022/07/30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,200.5100,0.0000,36.0000,120.0000,0.0000,0.0000,35.9999,0.0000,86.8100,572.7900,147.1700,0.0000,286.0200,0.0000,0.0000,115.5900,100.8000,270.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,140.5900,0.0000,0.0000,13.7300,76.9800,113.6600,119.0000,335.8200,117.6600,20.9900,40.8000,25.4100,42.6400,141.9500,0.0000,0.0000,0.0000,0.0000,0.0000,54.5600,25.6200,15.3900,0.0000,38.1300,0.0000,0.0000,0.0000,48.7200,27.4500,0.0000,0.0000,0.0000,47.2800,30.6900,41.0600,38.0300,27.9700,35.2100,47.5700,46.5500,76.3700,9.1200,18.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.6600,10.5900,4.2300,0.0000,0.0000,11.4700,10.7300,0.0000,0.0000,0.0000,70.4300,23.4800,23.4700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.2500,5.6000,2.5700,24.2500,2.1600,2.0600,4.3200,0.7300,0.4300,7.1600,0.4700,3.7800,4.1600,0.0000,3.8100
