timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,NDMC,48DSNDMC2023/01/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0600,0.0000,0.0000,19.6423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3100,0.0000,0.0000,0.0000,2.2600,2.4000,2.6600,0.0000,0.0000,0.1800,0.4900,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2200,0.0000,0.0000,0.0000,0.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8400,5.1100,2.1200,1.7200,5.8000,0.9100,0.8400,1.0700,0.8300,0.0800,1.8100,0.2500,1.9400,2.1200,1.5700,2.2400,0.0000,0.0000,0.0000,0.9200,0.0000,1.8800,0.9300,1.8800,2.5700,1.2700,2.0400,5.0900,1.7900,2.8500,1.8600,3.3700,3.3900,0.0000,0.0000,0.0000,0.0000,3.3200,1.2900,0.0000,4.1100,0.0000,2.6800,0.0000,0.0000,0.8200,2.6300,110.6423,0.00,0.00,0.9737,0.00,109.6686
2,NDMC,48DSNDMC2023/01/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0600,0.0000,0.0000,19.6423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3100,0.0000,0.0000,0.0000,2.2600,2.4000,2.6600,0.0000,0.0000,0.1800,0.5600,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2200,0.0000,0.0000,0.0000,0.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8400,5.1100,2.1200,1.7200,5.8000,0.9100,0.8400,1.0700,0.8300,0.0800,1.8100,0.2500,1.9400,2.1200,1.5700,2.2400,0.0000,0.0000,0.0000,0.9200,0.0000,1.8800,0.9300,1.8800,2.5700,1.2700,2.0400,5.0900,1.7900,2.8500,1.8600,3.3700,3.3900,0.0000,0.0000,0.0000,0.0000,3.3200,1.2900,0.0000,4.1100,0.0000,2.6800,0.0000,0.0000,0.8200,2.6300,110.7123,0.00,0.00,0.9743,0.00,109.7380
3,NDMC,48DSNDMC2023/01/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0600,0.0000,0.0000,19.6423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3100,0.0000,0.0000,0.0000,2.2600,2.4000,2.6600,0.0000,0.0000,0.1800,0.5600,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2200,0.0000,0.0000,0.0000,0.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8400,5.1100,2.1200,1.7200,5.8000,0.9100,0.8400,1.1900,0.8300,0.0800,1.8100,0.2500,1.9400,2.1200,1.5700,2.2400,0.0000,0.0000,0.0000,0.9200,0.0000,1.8800,0.9300,1.8800,2.5700,1.2700,2.0400,5.0900,1.7900,2.8500,1.8600,3.3700,3.3900,0.0000,0.0000,0.0000,0.0000,3.3200,1.2900,0.0000,4.1100,0.0000,2.6800,0.0000,0.0000,0.8200,2.6300,110.8323,0.00,0.00,0.9753,0.00,109.8570
4,NDMC,48DSNDMC2023/01/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0600,0.0000,0.0000,19.6423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3100,0.0000,0.0000,0.0000,2.2600,2.4000,2.6600,0.0000,0.0000,0.1800,0.5600,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2200,0.0000,0.0000,0.0000,0.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8400,5.1100,2.1200,1.7200,5.8000,0.9100,0.8400,1.1900,0.8300,0.0800,1.8100,0.2500,1.9400,2.1200,1.5700,2.2400,0.0000,0.0000,0.0000,0.9200,0.0000,1.8800,0.9300,1.8800,2.5700,1.2700,2.0400,5.0900,1.7900,2.8500,1.8600,3.3700,3.3900,0.0000,0.0000,0.0000,0.0000,3.3200,1.2900,0.0000,4.1100,0.0000,2.6800,0.0000,0.0000,0.8200,2.6300,110.8323,0.00,0.00,0.9753,0.00,109.8570
5,NDMC,48DSNDMC2023/01/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,19.6423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3100,0.0000,0.0000,0.0000,2.2600,2.4000,2.6600,0.0000,0.0000,0.2000,0.5600,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2200,0.0000,0.0000,0.0000,0.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8400,5.1100,2.1200,1.7200,5.8000,0.9100,0.8400,1.1900,0.8300,0.0800,1.8100,0.2500,1.9400,2.1200,1.5700,2.2400,0.0000,0.0000,0.0000,0.9200,0.0000,1.8800,0.9300,1.8800,2.5700,1.2700,2.0400,5.0900,1.7900,2.8500,1.8600,3.3700,3.3900,0.0000,0.0000,0.0000,0.0000,3.3200,1.2900,0.0000,4.1100,0.0000,2.6800,0.0000,0.0000,0.8200,2.6300,110.8623,-15.00,0.00,1.1076,0.00,94.7547
6,NDMC,48DSNDMC2023/01/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,19.6423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3100,0.0000,0.0000,0.0000,2.2600,2.4000,2.6600,0.0000,0.0000,0.2000,0.5600,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2200,0.0000,0.0000,0.0000,0.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8400,5.1100,2.1200,1.7200,5.8000,0.9100,0.8400,1.1900,0.8300,0.0800,1.8100,0.2500,1.9400,2.1200,1.5700,2.2400,0.0000,0.0000,0.0000,0.9200,0.0000,1.8800,0.9300,1.8800,2.5700,1.2700,2.0400,5.0900,1.7900,2.8500,1.8600,3.3700,3.3900,0.0000,0.0000,0.0000,0.0000,3.3200,1.2900,0.0000,4.1100,0.0000,2.6800,0.0000,0.0000,0.8200,2.6300,110.8623,-15.00,0.00,1.1076,0.00,94.7547
7,NDMC,48DSNDMC2023/01/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,19.6423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3100,0.0000,0.0000,0.0000,2.2600,2.4000,2.6600,0.0000,0.0000,0.2000,0.5600,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2200,0.0000,0.0000,0.0000,0.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8400,5.1100,2.1200,1.7200,5.8000,0.9100,0.8400,1.1600,0.8300,0.0800,1.8100,0.2500,1.9400,2.1200,1.5700,2.2400,0.0000,0.0000,0.0000,0.9200,0.0000,1.8800,0.9300,1.8800,2.5700,1.2700,2.0400,5.0900,1.7900,2.8500,1.8600,3.3700,3.3900,0.0000,0.0000,0.0000,0.0000,3.3200,1.2900,0.0000,4.1100,0.0000,2.6800,0.0000,0.0000,0.8200,2.6300,110.8323,-10.00,0.00,1.0633,0.00,99.7690
8,NDMC,48DSNDMC2023/01/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,19.6423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3100,0.0000,0.0000,0.0000,2.2600,2.4000,2.6600,0.0000,0.0000,0.2000,0.5600,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2200,0.0000,0.0000,0.0000,0.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8400,5.1100,2.1200,1.7200,5.8000,0.9100,0.8400,1.1600,0.8300,0.0800,1.8100,0.2500,1.9400,2.1200,1.5700,2.2400,0.0000,0.0000,0.0000,0.9200,0.0000,1.8800,0.9300,1.8800,2.5700,1.2700,2.0400,5.0900,1.7900,2.8500,1.8600,3.3700,3.3900,0.0000,0.0000,0.0000,0.0000,3.3200,1.2900,0.0000,4.1100,0.0000,2.6800,0.0000,0.0000,0.8200,2.6300,110.8323,-15.00,0.00,1.1073,0.00,94.7250
9,NDMC,48DSNDMC2023/01/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,19.6423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3100,0.0000,0.0000,0.0000,2.2600,2.4000,2.6600,0.0000,0.0000,0.2000,0.5600,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2200,0.0000,0.0000,0.0000,0.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8400,5.1100,2.1200,1.7200,5.8000,0.9100,0.8400,1.1600,0.8300,0.0800,1.8100,0.2500,1.9400,2.1200,1.5700,2.2400,0.0000,0.0000,0.0000,0.9200,0.0000,1.9000,0.9300,1.8800,2.5700,1.2700,2.0400,5.0900,1.7900,2.8500,1.8600,3.3700,3.3900,0.0000,0.0000,0.0000,0.0000,3.3200,1.2900,0.0000,4.1100,0.0000,2.6800,0.0000,0.0000,0.8200,2.6300,110.8523,0.00,0.00,0.9755,0.00,109.8768
10,NDMC,48DSNDMC2023/01/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,19.6423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3100,0.0000,0.0000,0.0000,2.2600,2.4000,2.6600,0.0000,0.0000,0.2000,0.5600,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2200,0.0000,0.0000,0.0000,0.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8400,5.1100,2.1200,1.7200,5.8000,0.9100,0.8400,1.1600,0.8300,0.0800,1.8100,0.2500,1.9400,2.1200,1.5700,2.2400,0.0000,0.0000,0.0000,0.9200,0.0000,1.9000,0.9300,1.8800,2.5700,1.2700,2.0400,5.0900,1.7900,2.8500,1.8600,3.3700,3.3900,0.0000,0.0000,0.0000,0.0000,3.3200,1.2900,0.0000,4.1100,0.0000,2.6800,0.0000,0.0000,0.8200,2.6300,110.8523,0.00,0.00,0.9755,0.00,109.8768
