timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,NDMC,71DSNDMC2025/05/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2670,79.8670,0.0000,0.0000,0.0000,0.0000,0.0000,7.9500,11.5700,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3900,0.0000,0.0000,0.0000,2.1700,2.4100,2.6800,0.0000,4.4100,0.3300,0.5900,0.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1100,2.6100,0.6400,0.8400,0.0000,2.0300,0.0000,0.0000,2.8900,7.0400,0.0000,0.0000,0.0000,0.0000,0.0000,2.5100,0.0000,3.8000,2.4200,2.9900,3.9400,3.5700,0.0000,0.0000,0.0000,0.3800,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2800,3.7000,0.0000,6.6600,0.8748,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5600,4.4800,3.1100,2.1800,210.7088,18.99,0.00,4.1785,0.00,225.5203
2,NDMC,71DSNDMC2025/05/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2670,79.8670,0.0000,0.0000,0.0000,0.0000,0.0000,7.3500,11.5700,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3900,0.0000,0.0000,0.0000,2.1700,2.4100,2.6800,0.0000,4.4100,0.3300,0.5900,0.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1100,2.6100,0.6400,0.8400,0.0000,2.0300,0.0000,0.0000,2.8900,7.0400,0.0000,0.0000,0.0000,0.0000,0.0000,2.5100,0.0000,3.8000,2.4200,2.9900,3.9400,3.5700,0.0000,0.0000,0.0000,0.3800,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2800,3.7000,0.0000,6.6600,0.7290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5600,4.4800,3.1100,2.1800,209.9630,15.99,0.00,4.1960,0.00,221.7570
3,NDMC,71DSNDMC2025/05/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2670,79.8670,0.0000,0.0000,0.0000,0.0000,0.0000,7.6800,11.5700,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3900,0.0000,0.0000,0.0000,2.1700,2.4100,2.6800,0.0000,4.4100,0.3300,0.5900,0.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1100,2.6100,0.6400,0.8600,0.0000,2.0300,0.0000,0.0000,2.8900,7.0400,0.0000,0.0000,0.0000,0.0000,0.0000,2.5100,0.0000,3.8000,2.4200,2.9900,3.9400,3.5700,0.0000,0.0000,0.0000,0.3800,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2800,3.7000,0.0000,6.6600,0.5686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5600,4.4800,3.1100,2.1800,210.1526,14.99,0.00,4.2053,0.00,220.9373
4,NDMC,71DSNDMC2025/05/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2670,79.8670,0.0000,0.0000,0.0000,0.0000,0.0000,7.6800,11.5700,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3900,0.0000,0.0000,0.0000,2.1700,2.4100,2.6800,0.0000,4.4100,0.3300,0.5900,0.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1100,2.6100,0.6400,0.8600,0.0000,2.0300,0.0000,0.0000,2.8900,7.0400,0.0000,0.0000,0.0000,0.0000,0.0000,2.5100,0.0000,3.8000,2.4200,2.9900,3.9400,3.5700,0.0000,0.0000,0.0000,0.3800,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2800,3.7000,0.0000,6.6600,0.5686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5600,4.4800,3.1100,2.1800,210.1526,12.99,0.00,4.2209,0.00,218.9217
5,NDMC,71DSNDMC2025/05/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2670,79.8670,0.0000,0.0000,0.0000,0.0000,0.0000,7.6800,11.5700,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3900,0.0000,0.0000,0.0000,2.1700,2.4100,2.6800,0.0000,4.4100,0.3300,0.5900,0.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1100,2.6100,0.6400,0.8600,0.0000,2.0300,0.0000,0.0000,2.8900,7.0400,0.0000,0.0000,0.0000,0.0000,0.0000,2.5100,0.0000,3.8000,2.4200,2.9900,3.9400,3.5700,0.0000,0.0000,0.0000,0.3800,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2800,3.7000,0.0000,6.6600,0.5686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5600,4.4800,3.1100,2.1800,210.1526,4.99,0.00,4.2833,0.00,210.8593
6,NDMC,71DSNDMC2025/05/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2670,79.8670,0.0000,0.0000,0.0000,0.0000,0.0000,7.6800,11.5700,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3900,0.0000,0.0000,0.0000,2.1700,2.4100,2.6800,0.0000,4.4100,0.3300,0.5900,0.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1100,2.6100,0.6400,0.8600,0.0000,2.0300,0.0000,0.0000,2.8900,7.0400,0.0000,0.0000,0.0000,0.0000,0.0000,2.5100,0.0000,3.8000,2.4200,2.9900,3.9400,3.5700,0.0000,0.0000,0.0000,0.3800,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2800,3.7000,0.0000,6.6600,0.5686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5600,4.4800,3.1100,2.1800,210.1526,3.99,0.00,4.2911,0.00,209.8515
7,NDMC,71DSNDMC2025/05/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2670,79.8670,0.0000,0.0000,0.0000,0.0000,0.0000,7.6800,11.5700,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3900,0.0000,0.0000,0.0000,2.1700,2.4100,2.6800,0.0000,4.4100,0.3300,0.5900,0.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1100,2.6100,0.6400,0.8600,0.0000,2.0300,0.0000,0.0000,2.8900,7.0400,0.0000,0.0000,0.0000,0.0000,0.0000,2.5100,0.0000,3.8000,2.4200,2.9900,3.9400,3.5700,0.0000,0.0000,0.0000,0.3800,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2800,3.7000,0.0000,6.6600,0.5686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5600,4.4800,3.1100,2.1800,210.1526,-12.01,0.00,4.4159,0.00,193.7267
8,NDMC,71DSNDMC2025/05/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2670,79.8670,0.0000,0.0000,0.0000,0.0000,0.0000,7.7100,11.5700,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3900,0.0000,0.0000,0.0000,2.1700,2.4100,2.6800,0.0000,4.4100,0.3300,0.5900,0.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1100,2.6100,0.6400,0.4200,0.0000,2.0300,0.0000,0.0000,2.8900,7.0400,0.0000,0.0000,0.0000,0.0000,0.0000,2.5100,0.0000,3.8000,2.4200,2.9900,3.9400,3.5700,0.0000,0.0000,0.0000,0.3800,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2800,3.7000,0.0000,6.6600,0.5686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5600,4.4800,3.1100,2.1800,209.7426,-14.01,0.00,4.4283,0.00,191.3043
9,NDMC,71DSNDMC2025/05/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2670,79.8670,0.0000,0.0000,0.0000,0.0000,0.0000,7.7100,11.5700,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4700,0.0000,0.0000,0.0000,2.1700,2.4100,2.6800,0.0000,4.4100,0.3400,0.9600,0.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1100,2.6100,0.6400,0.4200,0.0000,2.0300,0.0000,0.0000,2.8900,7.0400,0.0000,0.0000,0.0000,0.0000,0.0000,2.5100,0.0000,3.8000,2.4200,2.9900,3.9400,3.5700,0.0000,0.0000,0.0000,0.3800,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2800,3.7000,0.0000,6.6600,0.5686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5600,4.4800,3.1100,2.1800,210.2226,-15.01,0.00,4.4399,0.00,190.7727
10,NDMC,71DSNDMC2025/05/29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2670,79.8670,0.0000,0.0000,0.0000,0.0000,0.0000,7.7100,11.5700,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4700,0.0000,0.0000,0.0000,2.1700,2.4100,2.6800,0.0000,4.4100,0.3400,0.9600,0.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1100,2.6100,0.6400,0.4000,0.0000,2.0300,0.0000,0.0000,2.8900,7.0400,0.0000,0.0000,0.0000,0.0000,0.0000,2.5100,0.0000,3.8000,2.4200,2.9900,3.9400,3.5700,0.0000,0.0000,0.0000,0.3800,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2800,3.7000,0.0000,6.6600,0.5686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5600,4.4800,3.1100,2.1800,210.2026,-16.01,0.00,4.4475,0.00,189.7451
