timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD,TEHRIPSP,TEHRIPSP_P
1,65EnNDMC2025/06/20,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,7.9831,11.9928,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4871,0.0000,0.0000,0.0000,2.2529,2.4858,2.7473,0.0000,4.5864,0.3449,1.1314,0.5598,0.0000,0.0000,0.0000,4.2757,6.7002,6.5101,4.5646,3.6435,0.6661,0.0000,0.0000,2.0707,0.0000,0.0000,3.0173,7.3565,0.0000,0.0000,0.0000,0.0000,0.0000,2.5796,0.0000,3.9902,2.5616,3.1046,4.2623,5.7670,0.0000,0.0000,0.0000,1.7058,0.0000,0.0000,68.5260,0.0000,0.0604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0302,3.7331,0.0000,6.9648,1.2101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6232,4.6889,3.2445,2.9432,0.0000,0.0000
2,65EnNDMC2025/06/20,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,7.9831,11.9928,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4871,0.0000,0.0000,0.0000,2.2525,2.4860,2.7469,0.0000,4.5868,0.3449,1.1314,0.5598,0.0000,0.0000,0.0000,4.2757,6.7002,6.5101,4.5646,3.6435,0.6661,0.0000,0.0000,2.0707,0.0000,0.0000,3.0173,7.3565,0.0000,0.0000,0.0000,0.0000,0.0000,2.5796,0.0000,3.9902,2.5616,3.1046,4.2623,5.7670,0.0000,0.0000,0.0000,1.7058,0.0000,0.0000,68.5260,0.0000,0.0604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0302,3.7331,0.0000,6.9648,1.2101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6232,4.6889,3.2445,2.9432,0.0000,0.0000
3,65EnNDMC2025/06/20,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,7.9831,11.9928,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4871,0.0000,0.0000,0.0000,2.2525,2.4860,2.7469,0.0000,4.5868,0.3449,1.1314,0.5598,0.0000,0.0000,0.0000,4.2757,6.7002,6.5101,4.5646,3.6435,0.6661,0.0000,0.0000,2.0707,0.0000,0.0000,3.0173,7.3565,0.0000,0.0000,0.0000,0.0000,0.0000,2.5796,0.0000,3.9902,2.5616,3.1046,4.2623,5.6101,0.0000,0.0000,0.0000,1.7058,0.0000,0.0000,68.5260,0.0000,0.0604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0302,3.7331,0.0000,6.9648,1.2101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6232,4.6889,3.2445,2.9432,0.0000,0.0000
4,65EnNDMC2025/06/20,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,7.9831,11.9928,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4871,0.0000,0.0000,0.0000,2.2525,2.4860,2.7469,0.0000,4.5868,0.3449,1.1314,0.5598,0.0000,0.0000,0.0000,4.2757,6.7002,6.5101,4.5646,3.6435,0.6661,0.0000,0.0000,2.0707,0.0000,0.0000,3.0173,7.3565,0.0000,0.0000,0.0000,0.0000,0.0000,2.5796,0.0000,3.9902,2.5616,3.1046,4.2623,5.6101,0.0000,0.0000,0.0000,1.7058,0.0000,0.0000,68.5260,0.0000,0.0604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0302,3.7331,0.0000,6.9648,1.2101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6232,4.6889,3.2445,2.9432,0.0000,0.0000
5,65EnNDMC2025/06/20,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,7.9831,11.9928,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4871,0.0000,0.0000,0.0000,2.2525,2.4860,2.7469,0.0000,4.5868,0.3449,1.1314,0.5598,0.0000,0.0000,0.0000,4.3887,6.7002,6.5101,4.5646,3.6435,0.6661,0.0000,0.0000,2.0707,0.0000,0.0000,3.0173,7.3565,0.0000,0.0000,0.0000,0.0000,0.0000,2.5796,0.0000,3.9902,2.5616,3.1046,4.2623,4.3756,0.0000,0.0000,0.0000,1.7058,0.0000,0.0000,68.5260,0.0000,0.0604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0302,3.7331,0.0000,6.9648,1.2101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6232,4.6889,3.2445,2.9432,0.0000,0.0000
6,65EnNDMC2025/06/20,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,7.9831,11.9928,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4871,0.0000,0.0000,0.0000,2.2525,2.4860,2.7469,0.0000,4.5868,0.3449,1.1314,0.5598,0.0000,0.0000,0.0000,4.3887,6.7002,6.5101,4.5646,3.6435,0.6661,0.0000,0.0000,2.0707,0.0000,0.0000,3.0173,7.3565,0.0000,0.0000,0.0000,0.0000,0.0000,2.5796,0.0000,3.9902,2.5616,3.1046,4.2623,4.3756,0.0000,0.0000,0.0000,1.7058,0.0000,0.0000,68.5260,0.0000,0.0604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0302,3.7331,0.0000,6.9648,1.2101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6232,4.6889,3.2445,2.9432,0.0000,0.0000
7,65EnNDMC2025/06/20,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,7.9831,11.9928,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4871,0.0000,0.0000,0.0000,2.2525,2.4860,2.7469,0.0000,4.5868,0.3449,1.1314,0.5598,0.0000,0.0000,0.0000,4.3887,6.7002,6.5101,4.5646,3.6435,0.6661,0.0000,0.0000,2.0707,0.0000,0.0000,3.0173,7.3565,0.0000,0.0000,0.0000,0.0000,0.0000,2.5796,0.0000,3.9902,2.5616,3.1046,4.2623,4.3756,0.0000,0.0000,0.0000,1.7058,0.0000,0.0000,68.5260,0.0000,0.0604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0302,3.7331,0.0000,6.9648,1.2101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6232,4.6889,3.2445,2.9432,0.0000,0.0000
8,65EnNDMC2025/06/20,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,7.9831,11.9928,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4871,0.0000,0.0000,0.0000,2.2525,2.4860,2.7469,0.0000,4.5868,0.3449,1.1314,0.5598,0.0000,0.0000,0.0000,4.3887,6.7002,6.5101,4.5646,3.6435,0.6661,0.0000,0.0000,2.0707,0.0000,0.0000,3.0173,7.3565,0.0000,0.0000,0.0000,0.0000,0.0000,2.5796,0.0000,3.9902,2.5616,3.1046,4.2623,4.3756,0.0000,0.0000,0.0000,1.7058,0.0000,0.0000,68.5260,0.0000,0.0604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0302,3.7331,0.0000,6.9648,1.2101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6232,4.6889,3.2445,2.9432,0.0000,0.0000
9,65EnNDMC2025/06/20,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,7.9831,11.9928,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4871,0.0000,0.0000,0.0000,2.2525,2.4860,2.7469,0.0000,4.5868,0.3449,1.1314,0.5598,0.0000,0.0000,0.0000,4.4452,6.7002,6.5101,4.5646,3.6435,0.6661,0.0000,0.0000,2.0707,0.0000,0.0000,3.0173,7.3565,0.0000,0.0000,0.0000,0.0000,0.0000,2.5796,0.0000,3.9902,2.5616,3.1046,4.2623,4.3756,0.0000,0.0000,0.0000,1.7058,0.0000,0.0000,68.5260,0.0000,0.0604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0302,3.7331,0.0000,6.9648,1.2101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6232,4.6889,3.2445,2.9432,0.0000,0.0000
10,65EnNDMC2025/06/20,NDMC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7620,87.0870,0.0000,0.0000,0.0000,0.0000,0.0000,7.9831,11.9928,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4871,0.0000,0.0000,0.0000,2.2525,2.4860,2.7469,0.0000,4.5868,0.3449,1.1314,0.5598,0.0000,0.0000,0.0000,4.4452,6.7002,6.5101,4.5646,3.6435,0.6661,0.0000,0.0000,2.0707,0.0000,0.0000,3.0173,7.3565,0.0000,0.0000,0.0000,0.0000,0.0000,2.5796,0.0000,3.9902,2.5616,3.1046,4.2623,4.3756,0.0000,0.0000,0.0000,1.7058,0.0000,0.0000,68.5260,0.0000,0.0604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0302,3.7331,0.0000,6.9648,1.2101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6232,4.6889,3.2445,2.9432,0.0000,0.0000
