genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TEHRIPSP,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,6.74449875,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.3790214,4.120358,6.17649175,8.24206405,2.632344,211.76300365,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,10.3300131,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.8819328,1.7803665,,,24.387165,,0.2969824,,0.5180318,0,,0,,3.54792075,7.1743056,4.5013518,0,8.6631116,5.3918172,
2,0,0,0,6.74449875,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.3790214,4.120358,6.17649175,8.24206405,2.632344,211.76300365,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,10.3300131,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.8819328,0.89018325,,,24.387165,,0.2969824,,0.5180318,0,,0,,3.54792075,7.1743056,4.5013518,0,8.6631116,5.3918172,
3,0,0,0,6.74449875,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.3790214,4.120358,6.17649175,8.24206405,2.632344,211.76300365,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,10.9769517,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.8819328,0.89018325,,,24.387165,,0.396539,,0.5180318,0,,0,,3.54792075,7.1743056,4.5013518,0,8.6631116,5.3918172,
4,0,0,0,6.74449875,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.3790214,4.120358,6.17649175,8.24206405,2.632344,211.76300365,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,10.9769517,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.8819328,0.89018325,,,24.387165,,0.396539,,0.5180318,0,,0,,3.54792075,7.1743056,4.5013518,0,8.6631116,5.3918172,
5,0,0,0,6.92273175,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.3790214,4.120358,6.17649175,8.24206405,2.632344,211.76300365,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,10.9769517,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.8819328,0.89018325,,,24.387165,,0.396539,,0.4117256,0,,0,,3.54792075,7.1743056,4.5013518,0,8.6631116,5.3918172,
6,0,0,0,6.92273175,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.3790214,4.120358,6.17649175,8.24206405,2.632344,211.76300365,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,10.9769517,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.8819328,0.89018325,,,24.387165,,0.396539,,0.4117256,0,,0,,3.54792075,7.1743056,4.5013518,0,8.6631116,5.3918172,
7,0,0,0,6.92273175,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.3790214,4.120358,6.17649175,8.24206405,2.632344,211.76300365,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,10.7613055,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.8819328,0.89018325,,,24.387165,,0.396539,,0.4117256,0,,0,,3.54792075,7.1743056,4.5013518,0,8.6631116,5.3918172,
8,0,0,0,6.92273175,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.3790214,4.120358,6.17649175,8.24206405,2.632344,211.76300365,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,10.7613055,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.8819328,0.78860925,,,24.387165,,0.396539,,0.4117256,0,,0,,3.54792075,7.1743056,4.5013518,0,8.6631116,5.3918172,
9,0,0,0,7.01184825,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.3790214,4.120358,6.17649175,8.24206405,2.7437124,211.76300365,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,10.7613055,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.8819328,0.7364115,,,24.387165,,0.396539,,0.4117256,0,,0,,3.54792075,7.1743056,4.5013518,0,8.6631116,5.3918172,
10,0,0,0,7.01184825,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.3790214,4.120358,6.17649175,8.24206405,2.7437124,211.76300365,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,10.7613055,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.8819328,0,,,24.387165,,0.396539,,0.4117256,0,,0,,3.54792075,7.1743056,4.5013518,0,8.6631116,5.3918172,
11,0,0,0,7.01184825,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.3790214,4.120358,6.17649175,8.24206405,2.8618304,211.76300365,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,10.7613055,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.8819328,0,,,24.387165,,0.447161,,0.4117256,0,,0,,3.54792075,7.1743056,4.5013518,0,8.6631116,5.3918172,
12,0,0,0,7.01184825,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.3790214,4.120358,6.17649175,8.24206405,2.8618304,211.76300365,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,10.7613055,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.8819328,0,,,24.387165,,0.447161,,0.4117256,0,,0,,3.54792075,7.1711255,4.5013518,0,8.6631116,5.3918172,
13,0,0,0,7.064508,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.3790214,4.120358,6.17649175,8.24206405,2.9327012,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,10.7613055,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.3596825,0,,,24.387165,,0.447161,,1.6857126,0,,0,,3.54792075,7.1711255,4.5013518,0,8.6631116,5.3918172,
14,0,0,0,7.064508,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.3790214,4.120358,6.17649175,8.24206405,3.071068,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,10.7613055,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.3596825,0,,,24.387165,,0.447161,,1.6857126,0,,0,,3.54792075,7.1711255,4.5013518,0,8.6631116,5.3918172,
15,0,0,0,7.064508,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.38037495,4.120358,6.17649175,8.24206405,3.071068,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,9.6844748,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.3596825,0,,,24.387165,,0.447161,,1.6857126,0,,0,,3.54792075,7.1711255,4.5013518,0,8.6631116,5.3918172,
16,0,0,0,7.064508,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.38037495,4.120358,6.17649175,8.24206405,3.071068,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,9.6844748,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.3596825,0,,,24.387165,,0.447161,,1.6857126,0,,0,,3.54792075,7.1711255,4.5013518,0,8.6631116,5.3918172,
17,0,0,0,7.064508,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.38037495,4.120358,4.63272095,8.24206405,3.071068,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,9.6844748,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.3596825,0,,,24.387165,,0.447161,,0.4117256,0,,0,,3.54792075,7.1711255,4.5013518,0,8.6631116,5.3918172,
18,0,0,0,7.064508,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.38037495,4.120358,4.63272095,8.24206405,3.071068,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,9.6844748,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.3596825,0,,,24.387165,,0.2480478,,0.4117256,0,,0,,3.54792075,7.1711255,4.5013518,0,8.6631116,5.3918172,
19,0,0,0,7.064508,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.38037495,4.120358,4.63272095,8.24206405,3.071068,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,9.6844748,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.3596825,0,,,24.387165,,0.2227368,,0.2379234,0,,0,,3.54792075,7.1711255,4.5013518,0,8.6631116,5.3918172,
20,0,0,0,7.064508,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.38037495,4.120358,4.63272095,8.24206405,3.071068,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,9.6844748,0,0,8.62983,3.321021,10.34788865,15.5727,0,,,0,34.3596825,0,,,24.387165,,0.2227368,,0.2379234,0,,0,,3.54792075,7.1711255,4.5013518,0,8.6631116,5.3918172,
21,0,0,0,7.064508,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.38037495,5.167558,4.63272095,8.24206405,3.071068,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,9.6844748,0,0,8.62983,3.321021,15.93616365,20.39895,0,,,0,34.3596825,0,,,24.387165,,0.2227368,,0.2379234,0,,0,,3.54792075,7.2538081,4.5013518,0,8.6631116,5.3918172,
22,0,0,0,7.064508,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.38037495,5.167558,4.63272095,8.24206405,3.071068,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,9.6844748,0,0,8.62983,3.321021,15.93616365,20.39895,0,,,0,34.3596825,0,,,24.387165,,0.2227368,,0.2379234,0,,0,,3.54792075,7.2538081,4.5013518,0,8.6631116,5.3918172,
23,0,0,0,7.064508,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.38037495,5.167558,4.63272095,8.24206405,3.071068,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,9.6844748,0,0,8.62983,3.321021,15.93616365,20.39895,0,,,0,34.3596825,0,,,24.387165,,0.2227368,,0.2379234,0,,0,,3.54792075,7.2538081,4.5013518,0,8.6631116,5.3918172,
24,0,0,0,7.064508,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.38037495,5.167558,4.63272095,8.24206405,3.071068,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,9.6844748,0,0,8.62983,3.321021,15.93616365,20.39895,0,,,0,34.3596825,0,,,24.387165,,0.2227368,,0.2379234,0,,0,,3.54792075,7.2538081,4.5013518,0,8.6631116,5.3918172,
25,0,0,0,7.064508,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.38037495,5.167558,4.63272095,8.24206405,3.071068,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,9.6844748,0,0,8.62983,3.321021,15.93616365,20.39895,0,,,0,34.3596825,0,,,24.387165,,0.2227368,,0.582153,0,,0,,3.54792075,7.2538081,4.5013518,0,8.6631116,5.3918172,
26,0,0,0,7.064508,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.38037495,5.167558,4.63272095,8.24206405,3.071068,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,9.6844748,0,0,8.62983,3.321021,15.93616365,20.39895,0,,,0,34.3596825,0,,,24.387165,,0.2227368,,0.582153,0,,0,,3.54792075,7.2538081,4.5013518,0,8.6631116,5.3918172,
27,0,0,0,7.064508,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.38037495,5.167558,4.63272095,8.24206405,3.071068,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,9.6844748,0,0,8.62983,3.321021,15.93616365,20.39895,0,,,0,34.3596825,0,,,24.387165,,0.1738022,,0.582153,0,,0,,3.54792075,7.2538081,4.5013518,0,8.6631116,5.3918172,
28,0,0,0,7.064508,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.38037495,5.167558,4.63272095,8.24206405,3.071068,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,9.6844748,0,0,8.62983,3.321021,15.93616365,20.39895,0,,,0,34.3596825,0,,,24.387165,,0.1738022,,0.582153,0,,0,,3.54792075,7.2538081,4.5013518,0,8.6631116,5.3918172,
29,0,0,0,7.01184825,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.38037495,5.167558,4.63272095,8.24206405,2.632344,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,9.6844748,0,0,8.62983,3.321021,15.93616365,20.39895,0,,,0,34.6440094,0,,,24.387165,,0.1738022,,0.8656362,0,,0,,3.54792075,7.2538081,4.5013518,0,8.6631116,5.3918172,
30,0,0,0,7.01184825,0,0,0,10.6476975,,2.2003696,7.112391,6.680718,4.9136527,0,0,0,10.38037495,5.167558,4.63272095,8.24206405,2.632344,211.81036415,,,7.7333542,25.024142,,,,0,,0,,3.3759022,25.8460972,,,,,,,5.8145087,9.6844748,0,0,8.62983,3.321021,15.93616365,20.39895,0,,,0,34.6440094,0,,,24.387165,,0.1738022,,0.8656362,0,,0,,3.54792075,7.2538081,4.5013518,0,8.6631116,5.3918172,
