timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,NDPL,52DSNDPL2023/06/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.1400,0.0000,11.0000,29.0000,0.0000,0.0000,0.0000,0.0000,26.7600,373.0200,16.8600,0.0000,70.0000,0.0000,0.0000,115.7300,0.0000,272.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1000,0.0000,0.0000,5.3900,27.2900,35.0500,0.0000,62.1300,39.6200,6.1000,12.5800,7.8300,12.9600,43.7700,0.0000,9.9700,18.6900,19.3400,0.0000,7.2900,4.8000,4.8500,0.0000,8.5900,0.0000,0.0000,0.0000,15.9600,0.0000,0.0000,0.0000,0.0000,15.7300,9.7900,12.5100,11.6000,8.9100,2.7100,15.1700,0.0000,0.0000,0.1600,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.9800,5.8300,0.0000,0.0000,0.0000,6.2300,6.3100,0.0000,0.0000,0.0000,0.0000,0.0000,15.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9137,1462.5337,93.00,0.00,14.9207,0.00,1540.6130
2,NDPL,52DSNDPL2023/06/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.1400,0.0000,11.0000,29.3056,0.0000,0.0000,0.0000,0.0000,26.7600,373.0200,16.8600,0.0000,70.0000,0.0000,0.0000,115.7300,0.0000,272.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1000,0.0000,0.0000,5.3900,27.2900,35.0500,0.0000,62.1300,39.6200,6.1000,12.5800,7.8300,12.9600,43.7700,0.0000,9.9700,18.6900,19.3400,0.0000,7.2900,4.8000,4.8500,0.0000,8.5900,0.0000,0.0000,0.0000,15.9600,0.0000,0.0000,0.0000,0.0000,15.7300,9.7900,12.5100,11.6000,8.9100,2.7100,15.1700,0.0000,0.0000,0.1600,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.9800,5.8300,0.0000,0.0000,0.0000,6.2300,6.3100,0.0000,0.0000,0.0000,0.0000,0.0000,16.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,1463.0595,93.00,-12.77,14.9253,0.00,1528.3642
3,NDPL,52DSNDPL2023/06/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.1400,0.0000,11.0000,29.3056,0.0000,0.0000,0.0000,0.0000,26.7600,373.0200,16.8600,0.0000,70.0000,0.0000,0.0000,115.7300,0.0000,272.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1000,0.0000,0.0000,5.3900,27.2900,35.0500,0.0000,62.1300,39.6200,6.1000,12.5800,7.8300,12.9600,43.7700,0.0000,9.9700,18.6900,19.3400,0.0000,7.2900,4.8000,4.8500,0.0000,8.5900,0.0000,0.0000,0.0000,15.9600,0.0000,0.0000,0.0000,0.0000,14.5800,9.7900,8.3200,11.6000,8.9100,2.7100,15.1700,0.0000,0.0000,0.1600,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.9800,5.8300,0.0000,0.0000,0.0000,6.2300,6.3100,0.0000,0.0000,0.0000,0.0000,0.0000,15.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,1456.9695,103.00,-30.83,14.7837,0.00,1514.3558
4,NDPL,52DSNDPL2023/06/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.1400,0.0000,11.0000,29.3056,0.0000,0.0000,0.0000,0.0000,26.7600,373.0200,17.4300,0.0000,70.0000,0.0000,0.0000,115.7300,0.0000,272.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1000,0.0000,0.0000,5.3900,27.2900,35.0500,0.0000,62.1300,39.6200,6.1000,12.5800,7.8300,12.9600,43.7700,0.0000,9.9700,18.6900,19.3400,0.0000,7.2900,4.8000,4.8500,0.0000,8.5900,0.0000,0.0000,0.0000,15.9600,0.0000,0.0000,0.0000,0.0000,14.5800,9.7900,8.3200,11.6000,8.9100,2.7100,15.1700,0.0000,0.0000,0.1600,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.9800,5.8300,0.0000,0.0000,0.0000,6.2300,6.3100,0.0000,0.0000,0.0000,0.0000,0.0000,15.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,1457.7595,65.00,-12.11,15.1251,0.00,1495.5244
5,NDPL,52DSNDPL2023/06/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.1400,0.0000,11.0000,29.3056,0.0000,0.0000,0.0000,0.0000,26.7600,373.0200,17.4300,0.0000,70.0000,0.0000,0.0000,115.7300,0.0000,272.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1000,0.0000,0.0000,5.3900,27.2900,35.0500,0.0000,62.1300,39.6200,6.1000,12.5800,7.8300,12.9600,43.7700,0.0000,9.9700,18.6900,19.3400,0.0000,7.2900,4.8000,4.8500,0.0000,8.5900,0.0000,0.0000,0.0000,15.9600,0.0000,0.0000,0.0000,0.0000,14.5800,9.7900,8.3200,11.6000,8.9100,2.7100,15.1700,0.0000,0.0000,0.1600,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.9800,5.8300,0.0000,0.0000,0.0000,6.1400,6.3100,0.0000,0.0000,0.0000,0.0000,0.0000,16.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,1458.4395,52.00,0.00,15.2455,0.00,1495.1940
6,NDPL,52DSNDPL2023/06/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.1400,0.0000,11.0000,29.3056,0.0000,0.0000,0.0000,0.0000,26.7600,373.0200,17.4300,0.0000,70.0000,0.0000,0.0000,115.7300,0.0000,272.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1000,0.0000,0.0000,5.3900,27.2900,35.0500,0.0000,62.1300,39.6200,6.1000,12.5800,7.8300,12.9600,43.7700,0.0000,9.9700,18.6900,19.3400,0.0000,7.2900,4.8000,4.8500,0.0000,8.5900,0.0000,0.0000,0.0000,15.9600,0.0000,0.0000,0.0000,0.0000,14.5800,9.7900,8.3200,11.6000,8.9100,2.7100,15.1700,0.0000,0.0000,0.1600,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.9800,5.8300,0.0000,0.0000,0.0000,6.1400,6.3100,0.0000,0.0000,0.0000,0.0000,0.0000,16.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,1458.6095,29.00,0.00,15.4494,0.00,1472.1601
7,NDPL,52DSNDPL2023/06/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.1400,0.0000,11.0000,29.3056,0.0000,0.0000,0.0000,0.0000,26.7600,373.0200,17.4300,0.0000,70.0000,0.0000,0.0000,115.7300,0.0000,272.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1000,0.0000,0.0000,5.3900,27.2900,35.0500,0.0000,62.1300,39.6200,6.1000,12.5800,7.8300,12.9600,43.7700,0.0000,9.9700,18.6900,19.3400,0.0000,7.2900,4.8000,4.8500,0.0000,8.5900,0.0000,0.0000,0.0000,15.9600,0.0000,0.0000,0.0000,0.0000,14.5800,9.7900,8.3200,11.6000,8.9100,2.7100,15.1700,0.0000,0.0000,0.3400,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.9800,5.8300,0.0000,0.0000,0.0000,6.1400,6.3100,0.0000,0.0000,0.0000,0.0000,0.0000,16.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,1458.8795,6.00,0.00,15.6541,0.00,1449.2254
8,NDPL,52DSNDPL2023/06/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.1400,0.0000,11.0000,29.3056,0.0000,0.0000,0.0000,0.0000,26.7600,373.0200,17.4300,0.0000,70.0000,0.0000,0.0000,115.7300,0.0000,272.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1000,0.0000,0.0000,5.3900,27.2900,35.0500,0.0000,62.1300,39.6200,6.1000,12.5800,7.8300,12.9600,43.7700,0.0000,9.9700,18.6900,19.3400,0.0000,7.2900,4.8000,4.8500,0.0000,8.5900,0.0000,0.0000,0.0000,15.9600,0.0000,0.0000,0.0000,0.0000,14.5800,9.7900,8.3200,11.6000,8.9100,2.7100,15.1700,0.0000,0.0000,0.3400,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.9800,5.8300,0.0000,0.0000,0.0000,6.1400,6.3100,0.0000,0.0000,0.0000,0.0000,0.0000,20.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,1462.8295,-22.00,0.00,15.9353,0.00,1424.8942
9,NDPL,52DSNDPL2023/06/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.1400,0.0000,11.0000,29.3056,0.0000,0.0000,0.0000,0.0000,26.7600,373.0200,17.4300,0.0000,70.0000,0.0000,0.0000,115.7300,0.0000,272.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3300,0.0000,0.0000,5.3900,27.2900,35.0500,0.0000,62.1300,39.6200,6.1000,12.5800,7.8300,12.9600,43.7700,0.0000,0.0500,18.6900,19.3400,0.0000,7.2900,4.8000,4.8500,0.0000,8.5900,0.0000,0.0000,0.0000,15.9600,0.0000,0.0000,0.0000,0.0000,16.0200,9.7900,8.3200,11.6000,8.9100,2.7100,15.1700,0.0000,0.0000,0.3400,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.9800,5.6800,0.0000,0.0000,0.0000,6.0400,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,1449.4795,-31.00,0.00,15.8970,0.00,1402.5825
10,NDPL,52DSNDPL2023/06/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.1400,0.0000,11.0000,29.3056,0.0000,0.0000,0.0000,0.0000,26.7600,373.0200,17.4300,0.0000,70.0000,0.0000,0.0000,115.7300,0.0000,272.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2900,0.0000,0.0000,5.3900,27.2900,35.0500,0.0000,62.1300,39.6200,6.1000,12.5800,7.8300,12.9600,43.7700,0.0000,0.0000,18.6900,19.3400,0.0000,7.2900,4.8000,4.8500,0.0000,8.5900,0.0000,0.0000,0.0000,15.9600,0.0000,0.0000,0.0000,0.0000,16.0200,9.7900,8.3200,11.6000,8.9100,2.7100,15.1700,0.0000,0.0000,0.3400,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.9800,5.6800,0.0000,0.0000,0.0000,6.0400,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,1449.5495,-54.00,0.00,16.1000,0.00,1379.4495
