Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR
00:00-00:15,51DC2025/04/09,0,0,0,0,30,0,0,0,10.14,0,0,155,0,0,155,0,0,19.4,56.3,0,2.81599999999997,0,0,-0.36999999999999,3.91000000000001,0,0,0,0,0,0,0,25.83,0,0,0.559999999999999,3.64,4.67,4.90000000000001,23.54,5.62,0.809999999999999,-2.04,1.04,1.73,5.56,0,40.8,65,56.75,0,-12.16,0.390000000000001,0.709999999999997,0,1.91999999999999,0,0,2.22,2.58999999999999,0,0,0,0,1.3,1.49,1.58,16.85,12.09,0,1.49,16.86,2.66,0.02,0.489999999999998,0.65,0,0,975,0,0.0599999999999999,0,3.93,0,200,0.74,0,0,0,0,-6.3,-2.09,-2.09,300,300,100,200,0,-5.66,-13.3,-13.3,0.390000000000001,0.43,0,9,5.5,-2.02,300,300,200,200,18.7,100,100,100,0,11.24,189.65,200
00:15-00:30,51DC2025/04/09,0,0,0,0,30,0,0,0,10.14,0,0,155,0,0,155,0,0,18.69,18.15,0,2.81599999999997,0,0,-0.36999999999999,3.91000000000001,0,0,0,0,0,0,0,25.83,0,0,0.559999999999999,3.64,4.67,4.90000000000001,23.54,5.62,0.809999999999999,-8.77,1.04,1.73,5.56,0,40.8,65,56.75,0,0.41,0.390000000000001,0.709999999999997,0,1.91999999999999,0,0,0.71,2.58999999999999,0,0,0,0,1.3,1.49,1.58,16.85,12.09,0,1.49,16.86,2.66,0.02,0.489999999999998,0.65,0,0,975,0,0.0599999999999999,0,3.94,0,200,0.74,0,0,0,0,-6.1,-2.03,-2.03,300,300,100,200,0,-5.66,-12.8,-12.8,0.390000000000001,0.43,0,9,0,-2.02,300,300,200,200,18.7,100,100,100,0,11.24,189.65,200
00:30-00:45,51DC2025/04/09,0,0,0,0,30,0,0,0,10.14,0,0,155,0,0,155,0,0,18.69,18.15,0,2.81599999999997,0,0,-0.36999999999999,3.91000000000001,0,0,0,0,0,0,0,25.83,0,0,0.559999999999999,3.64,4.67,4.90000000000001,23.54,5.62,0.809999999999999,-15.54,1.04,1.73,5.56,0,40.8,65,56.75,0,0,0.390000000000001,0.709999999999997,0,1.91999999999999,0,0,0.71,2.58999999999999,0,0,0,0,1.3,1.49,1.58,16.85,12.09,0,1.49,16.86,2.66,0.02,0.489999999999998,0.65,0,0,975,0,0.0599999999999999,0,3.95,0,200,0.74,0,0,0,0,-5.98,-1.99,-1.99,300,300,100,200,0,-6,-12.08,-12.08,0.390000000000001,0.43,0,9,0,-2.02,300,300,200,200,18.7,100,100,100,0,11.24,189.65,200
00:45-01:00,51DC2025/04/09,0,0,0,0,30,0,0,0,10.14,0,0,155,0,0,155,0,0,18.69,18.15,0,2.81599999999997,0,0,-0.36999999999999,3.91000000000001,0,0,0,0,0,0,0,25.83,0,0,0.559999999999999,3.64,4.67,4.90000000000001,23.54,5.62,0.809999999999999,-21.55,1.04,1.73,5.56,0,40.8,65,56.75,0,0,0.390000000000001,0.709999999999997,0,1.91999999999999,0,0,0.71,2.58999999999999,0,0,0,0,1.3,1.49,1.58,16.85,12.09,0,1.49,16.86,2.66,0.02,0.489999999999998,0.65,0,0,975,0,0.0599999999999999,0,3.95,0,200,0.74,0,0,0,0,-5.79,-1.92,-1.92,300,300,100,200,0,-6,-11.34,-11.34,0.390000000000001,0.43,0,9,0,-2.02,300,300,200,200,18.7,100,100,100,0,11.24,189.65,200
01:00-01:15,51DC2025/04/09,0,0,0,0,30,0,0,0,10.14,0,0,155,0,0,155,0,0,18.69,18.15,0,2.81599999999997,0,0,-0.36999999999999,3.91000000000001,0,0,0,0,0,0,0,25.83,0,0,0.559999999999999,3.64,4.67,4.90000000000001,23.54,5.62,0.809999999999999,-22.07,1.04,1.73,5.56,0,40.8,65,56.75,0,0,0.390000000000001,0.709999999999997,0,1.91999999999999,0,0,0.71,2.58999999999999,0,0,0,0,1.3,1.49,1.58,16.85,12.09,0,1.49,16.86,2.66,-0.49,-5.79,0.65,0,0,975,0,0.07,-1.93,3.92,0,200,0.74,0,0,0,0,-2.96,-0.98,-0.98,300,300,100,200,0,-6,-8.02,-8.02,0.390000000000001,0.43,0,9,0,-2.02,300,300,200,200,18.7,100,100,100,0,11.24,189.65,200
01:15-01:30,51DC2025/04/09,0,0,0,0,30,0,0,0,10.14,0,0,155,0,0,155,0,0,18.69,18.15,0,2.81599999999997,0,0,-0.36999999999999,3.91000000000001,0,0,0,0,0,0,0,25.83,0,0,0.559999999999999,3.64,4.67,4.90000000000001,23.54,5.62,0.809999999999999,-22.07,1.04,1.73,5.56,0,41,65,56.75,0,0,0.390000000000001,0.709999999999997,0,1.91999999999999,0,0,0.71,2.58999999999999,0,0,0,0,1.3,1.49,1.17,16.85,12.09,0,1.49,16.86,2.66,-0.49,-5.79,0.65,0,0,975,0,0.07,-0.38,3.92,0,200,0.74,0,0,0,0,-0.770000000000003,-0.25,-0.25,300,300,100,200,0,-5.66,-7.27,-7.27,0.390000000000001,0.43,0,9,0,-2.02,300,300,200,200,18.7,100,100,100,0,11.24,189.65,200
01:30-01:45,51DC2025/04/09,0,0,0,0,30,0,0,0,10.14,0,0,155,0,0,155,0,0,18.69,1.68,0,2.81599999999997,0,0,0,3.91000000000001,0,0,0,0,0,0,0,25.83,0,0,0.559999999999999,3.64,4.67,4.90000000000001,15.7,5.62,0.809999999999999,0.77,1.04,1.73,5.56,0,41,65,56.75,0,0,0.390000000000001,0.709999999999997,0,1.91999999999999,0,0,0.0700000000000001,2.58999999999999,0,0,0,0,1.3,1.49,1.05,1.22,0.870000000000001,0,1.49,16.86,2.66,0,0.489999999999998,0.65,0,0,975,0,0.0399999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.390000000000001,0.32,0,9,0,0,300,300,200,200,18.7,100,100,100,0,11.24,189.65,200
01:45-02:00,51DC2025/04/09,0,0,0,0,30,0,0,0,10.14,0,0,155,0,0,155,0,0,18.69,1.68,0,2.81599999999997,0,0,0,3.91000000000001,0,0,0,0,0,0,0,25.83,0,0,0.559999999999999,3.64,4.67,4.90000000000001,15.7,5.62,0.809999999999999,0.77,1.04,1.73,5.56,0,41,65,56.75,0,0,0.390000000000001,0.709999999999997,0,1.91999999999999,0,0,0.0700000000000001,2.58999999999999,0,0,0,0,1.3,1.49,1.05,1.22,0.870000000000001,0,1.49,16.86,2.66,0,0.489999999999998,0.65,0,0,975,0,0.0399999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.390000000000001,0.32,0,9,0,0,300,300,200,200,18.7,100,100,100,0,11.24,189.65,200
02:00-02:15,51DC2025/04/09,0,0,0,0,30,0,0,0,10.14,0,0,155,0,0,155,0,0,19.07,1.68,0,19.1535,0,0,0,3.91000000000001,0,0,0,0,0,0,0,25.83,0,0,0.559999999999999,3.64,4.67,4.90000000000001,15.7,5.62,0.809999999999999,0.759999999999998,1.04,1.73,5.56,0,41,65,56.75,0,0,0.390000000000001,0.709999999999997,0,1.91999999999999,0,0,0.0700000000000001,2.58999999999999,0,0,0,0,1.3,1.49,1.05,1.21,0.859999999999999,0,1.49,0.629999999999999,2.66,0.25,0.489999999999998,0.65,0,0,975,0,0.0399999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.390000000000001,0.32,0,9,0,0,300,300,200,200,18.51,100,100,100,0,0.41,189.65,200
02:15-02:30,51DC2025/04/09,0,0,0,0,30,0,0,0,10.14,0,0,155,0,0,155,0,0,19.06,1.68,0,19.1535,0,0,0,3.91000000000001,0,0,0,0,0,0,0,25.83,0,0,0.559999999999999,3.64,4.67,4.90000000000001,15.7,5.62,0.809999999999999,0.759999999999998,1.04,1.73,5.56,0,41,65,56.75,0,0,0.390000000000001,0.709999999999997,0,1.91999999999999,0,0,0.0700000000000001,2.58999999999999,0,0,0,0,1.3,1.49,1.05,1.21,0.859999999999999,0,1.49,0.629999999999999,2.66,0.25,0.489999999999998,0.65,0,0,975,0,0.0399999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.390000000000001,0.32,0,9,0,0,300,300,200,200,18.51,100,100,100,0,0.41,189.65,200
