Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD
00:00-00:15,73DC2025/05/27,0,0,0,0,30,0,0,0,9.17000000000002,0,0,137.9999,0,0,0,0,3.06,285.29,6.13,0,30,0,0,0,3.53,0,0,0,0,0,0,0,264.77,0,0,0.710000000000001,3.3,4.20999999999999,3.24000000000001,11.82,5.09999999999999,0.75,1.99,0.949999999999999,1.54,5.03,0,49.86,80.77,98.41,0.24,1,0.710000000000001,0.44,0,0.870000000000001,0,0,0.24,2.31,0.18,0,0,0,1.7,1.29,1.43,1.66,1.19,0.75,1.98,2.65000000000001,2.72000000000001,0.279999999999999,0.44,0.56,0,0,950,0,0.04,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.74,0.290000000000001,0,1.19,0,0,300,300,200,200,18.7,100,100,100,0,1.66,0.540000000000001,0.44,0.64
00:15-00:30,73DC2025/05/27,0,0,0,0,30,0,0,0,9.17000000000002,0,3,137.9999,0,0,0,0,3.06,343.26,6.13,0,30,0,0,0,3.53,0,0,0,0,0,0,0,264.77,0,0,0.710000000000001,3.3,4.20999999999999,3.24000000000001,11.26,5.09999999999999,0.740000000000002,1.99,0.949999999999999,1.54,5.03,0,49.86,80.77,98.41,0.24,1,0.710000000000001,0.44,0,0.870000000000001,0,0,0.24,2.31,0.18,0,0,0,1.7,1.29,1.43,1.66,1.19,0.75,1.98,2.65000000000001,2.72000000000001,0.279999999999999,0.44,0.56,0,0,950,0,0.04,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.37,0.290000000000001,0,1.19,0,0,300,300,200,200,18.7,100,100,100,0,1.66,0.540000000000001,0.44,0.64
00:30-00:45,73DC2025/05/27,0,0,0,0,30,0,0,0,9.17000000000002,0,3,137.9999,0,0,0,0,3.06,394.7,6.13,0,30,0,0,0,3.53,0,0,0,0,0,0,0,299.55,0,0,0.710000000000001,3.3,4.20999999999999,3.24000000000001,11.26,5.09999999999999,0.740000000000002,1.99,0.949999999999999,1.54,5.03,0,49.86,80.77,98.41,0.24,1,0.710000000000001,0.43,0,0.870000000000001,0,0,0.24,2.31,0.22,0,0,0,1.68,1.29,1.43,1.66,1.19,0.75,1.98,2.65000000000001,2.72000000000001,0.279999999999999,0.44,0.56,0,0,950,0,0.04,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.37,0.290000000000001,0,1.19,0,0,300,300,200,200,18.7,100,100,100,0,1.66,0.540000000000001,0.44,0.64
00:45-01:00,73DC2025/05/27,0,0,0,0,30,0,0,0,9.17000000000002,0,3,25,0,0,0,0,3.06,394.7,6.13,0,30,0,0,0,3.53,0,0,0,0,0,0,0,369.92,0,0,0.710000000000001,3.3,4.20999999999999,3.24000000000001,11.26,5.09999999999999,0.740000000000002,1.99,0.949999999999999,1.54,5.03,0,49.86,80.77,98.41,0.24,1,0.710000000000001,0.43,0,0.870000000000001,0,0,0.24,2.31,0.22,0,0,0,1.68,1.29,1.43,1.66,1.19,0.75,1.98,2.65000000000001,2.72000000000001,0.279999999999999,0.44,0.56,0,0,950,0,0.04,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.37,0.290000000000001,0,1.19,0,0,300,300,200,200,18.7,100,100,100,0,1.66,0.540000000000001,0.44,0.64
01:00-01:15,73DC2025/05/27,0,0,0,0,30,0,0,0,9.17000000000002,0,3,25,0,0,0,0,3.06,407.79,6.13,0,30,0,0,0,3.53,0,0,0,0,0,0,0,437.56,0,0,0.710000000000001,3.3,4.20999999999999,3.24000000000001,11.26,5.09999999999999,4.92,10.51,6.31,1.54,5.03,0,51.17,80.77,98.41,0.24,1,0.710000000000001,0.43,0,0.870000000000001,0,0,0.24,2.31,0.22,0,0,0,1.68,1.29,1.43,1.66,1.19,0.75,1.98,2.65000000000001,2.68000000000001,0.279999999999999,0.44,0.64,0,0,950,0,0.04,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.37,0.290000000000001,0,1.19,0,0,300,300,200,200,18.7,100,100,100,0,1.66,0.540000000000001,0.44,0.64
01:15-01:30,73DC2025/05/27,0,0,0,0,30,0,0,0,9.17000000000002,0,3,25,0,0,0,0,3.06,409.65,6.13,0,30,0,0,0,3.53,0,0,0,0,0,0,0,504.07,0,0,0.710000000000001,3.3,4.20999999999999,3.24000000000001,11.26,5.09999999999999,4.92,10.51,6.31,1.54,5.03,0,51.17,80.77,98.41,0.24,1,0.710000000000001,0.43,0,0.870000000000001,0,0,0.24,2.31,0.22,0,0,0,1.68,1.29,1.43,1.66,1.19,0.75,1.98,1.71,2.68000000000001,0.279999999999999,0.44,0.64,0,0,950,0,0.04,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.37,0.290000000000001,0,1.19,0,0,300,300,200,200,18.7,100,100,100,0,1.66,0.540000000000001,0.44,0.64
01:30-01:45,73DC2025/05/27,0,0,0,0,30,0,0,0,69.28,0,3,25,0,0,0,0,21.05,452.16,6.13,0,30,0,0,0,3.53,0,0,0,0,0,0,0,566.54,0,0,5.28,3.3,4.20999999999999,3.24000000000001,11.26,5.09999999999999,4.92,10.51,6.31,1.54,5.03,0,51.17,80.77,98.41,0.24,1,0.710000000000001,0.43,0,0.870000000000001,0,0,0.24,2.31,0.22,0,0,0,1.68,1.29,1.43,1.66,1.19,0.75,1.98,1.46,2.68000000000001,0.17,0.44,1.25,0,0,950,0,0.04,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,1.74,0.290000000000001,0,1.19,0,0,300,300,200,200,18.7,100,100,100,0,1.66,0.540000000000001,2.23,0.64
01:45-02:00,73DC2025/05/27,0,0,0,0,30,0,0,0,69.28,0,3,25,0,0,0,0,21.05,452.16,6.13,0,30,0,0,0,3.53,0,0,0,0,0,0,0,566.54,0,0,5.28,3.3,4.20999999999999,3.24000000000001,11.26,5.09999999999999,7.69,16.39,9.83,1.54,5.03,0,51.17,80.77,98.41,0.24,1,0.710000000000001,0.2,0,0.870000000000001,0,0,0.24,2.31,0.22,0,0,0,1.68,1.29,1.43,1.66,1.19,0.75,1.98,1.46,2.68000000000001,0.17,0.44,1.25,0,0,950,0,0.04,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,1.74,0.290000000000001,0,1.19,0,0,300,300,200,200,18.7,100,100,100,0,1.66,0.540000000000001,2.23,0.64
02:00-02:15,73DC2025/05/27,0,0,0,0,30,0,0,0,69.28,0,3,25,0,0,0,0,40.07,452.16,6.13,0,30,0,0,0,3.53,0,0,0,0,0,0,0,566.54,0,0,5.28,3.3,4.20999999999999,3.24000000000001,11.26,5.09999999999999,10.87,21.07,13.4,13.99,5.03,0,51.83,80.77,98.41,0.24,1,0.710000000000001,0.2,0,0.870000000000001,0,0,0.24,2.31,0.22,0,0,0,1.68,1.29,1.43,1.66,1.19,0.75,1.98,1.71,2.68000000000001,0.17,0.44,1.17,0,0,950,0,0.04,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,1.74,0.290000000000001,0,1.19,0,0,300,300,200,200,18.51,100,100,100,0,1.66,0.540000000000001,2.23,0.64
02:15-02:30,73DC2025/05/27,0,0,0,0,30,0,0,0,85.59,0,3,25,0,0,0,0,41.02,452.16,6.13,0,30,0,0,0,3.53,0,0,0,0,0,0,0,566.54,0,0,8.06,3.3,4.20999999999999,3.24000000000001,11.26,5.09999999999999,10.87,21.21,13.4,13.99,5.03,0,51.83,80.77,98.41,0.24,1,0.710000000000001,0.199999999999999,0,0.870000000000001,0,0,0.24,2.31,0.22,0,0,0,1.68,1.29,1.43,1.66,1.19,0.75,1.98,1.71,2.68000000000001,0.17,0.44,1.17,0,0,950,0,0.04,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,1.74,0.290000000000001,0,5.08,0,0,300,300,200,200,18.51,100,100,100,0,1.66,0.540000000000001,2.23,0.64
