Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG
00:00-00:15,66DC2025/03/29,0,0,0,0,0,0,0,0,9.82000000000005,0,39,165,0,0,165,0,3.27,20.32,0,0,20.7936,0,0,0,0,0,0,0,0,0,0,0,24.8,0,0,0.669999999999998,3.34,4.30000000000001,4.51,15.13,3.78,0.73,1.53,1.05,1.66,5.87,0,42.84,68.96,59.73,0,0,0.23,0,0,1.52,0,0,0,1.85,0,0,0,0,1.28,1.22,0,0.48,0.35,0,0.6,0,0.969999999999999,0,0.469999999999999,0,0,0,1000,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
00:15-00:30,66DC2025/03/29,0,0,0,0,0,0,0,0,9.82000000000005,0,39,165,0,0,165,0,3.27,20.32,0,0,20.7936,0,0,0,0,0,0,0,0,0,0,0,24.8,0,0,0.669999999999998,3.34,4.30000000000001,4.51,15.07,3.78,0.73,1.53,1.05,1.66,5.87,0,42.84,68.96,59.73,0,0,0.23,0,0,1.52,0,0,0,1.85,0,0,0,0,1.28,1.22,0,0.48,0.35,0,0.6,0,0.969999999999999,0,0.469999999999999,0,0,0,1000,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
00:30-00:45,66DC2025/03/29,0,0,0,0,0,0,0,0,9.82000000000005,0,39,165,0,0,165,0,3.27,20.32,0,0,50,0,0,0,14.93,0,0,0,0,0,0,0,24.8,0,0,0.669999999999998,3.34,4.30000000000001,4.51,15.07,3.78,0.73,1.53,1.05,1.66,5.87,0,42.84,68.96,59.73,0,0,0.23,0,0,1.52,0,0,0,1.85,0,0,0,0,1.28,1.22,0,0.48,0.35,0,0.6,0,0.969999999999999,0,0.469999999999999,0,0,0,1000,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
00:45-01:00,66DC2025/03/29,0,0,0,0,0,0,0,0,9.82000000000005,0,39,165,0,0,165,0,3.27,20.32,0,0,50,0,0,0,22.55,0,0,0,0,0,0,0,24.8,0,0,0.669999999999998,3.34,4.30000000000001,4.51,15.07,3.78,0.73,1.53,1.05,1.66,5.87,0,42.84,68.96,59.73,0,0,0.23,0,0,1.52,0,0,0,1.85,0,0,0,0,1.28,1.22,0,0.48,0.35,0,0.6,0,0.969999999999999,0,0.469999999999999,0,0,0,1000,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
01:00-01:15,66DC2025/03/29,0,0,0,0,0,0,0,0,9.82000000000005,0,39,165,0,0,165,0,3.27,21.22,0,0,50,0,0,0,2.82000000000001,0,0,0,0,0,0,0,40.16,0,0,0.669999999999998,3.34,4.30000000000001,4.51,15.07,3.55,0.73,1.53,1.05,1.66,5.87,0,42.84,68.96,59.73,0,0,0.23,0,0,1.52,0,0,0,1.85,0,0,0,0,1.28,1.22,0,0.48,0,0,0.6,0,0.969999999999999,0,0.469999999999999,0,0,0,1000,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
01:15-01:30,66DC2025/03/29,0,0,0,0,0,0,0,0,9.82000000000005,0,39,165,0,0,165,0,3.27,21.22,0,0,50,0,0,0,3.03,0,0,0,0,0,0,0,40.16,0,0,0.669999999999998,3.34,4.30000000000001,4.51,15.07,3.55,0.73,1.53,1.05,1.66,5.87,0,43.05,68.96,59.73,0,0,0.23,0.19,0,1.52,0,0,0,1.85,0,0,0,0,1.28,1.22,0,0.48,0,0,0.6,0,0.969999999999999,0,0.469999999999999,0,0,0,1000,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
01:30-01:45,66DC2025/03/29,0,0,0,0,0,0,0,0,9.82000000000005,0,39,165,0,0,165,0,3.27,22.11,0,0,50,0,0,0,3.23,0,0,0,0,0,0,0,54.84,0,0,0.669999999999998,3.34,4.30000000000001,4.51,15.07,3.55,0.73,1.53,1.05,1.66,5.87,0,43.05,68.96,59.73,0,0,0.23,0.19,0,1.52,0,0,0,1.85,0,0,0,0,1.28,1.22,0,0.48,0,0,0.6,0,0.969999999999999,0,0.469999999999999,0,0,0,1000,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,3.34,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
01:45-02:00,66DC2025/03/29,0,0,0,0,0,0,0,0,9.82000000000005,0,39,165,0,0,165,0,3.27,22.11,0,0,50,0,0,0,8.42999999999999,0,0,0,0,0,0,0,54.84,0,0,0.669999999999998,3.34,4.30000000000001,4.51,15.07,3.55,0.73,1.53,1.05,1.66,5.87,0,43.05,68.96,59.73,0,0,0.23,0.19,0,1.52,0,0,0,1.85,0,0,0,0,1.28,1.22,0,0.48,0,0,0.6,0,0.969999999999999,0,0.469999999999999,0,0,0,1000,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
02:00-02:15,66DC2025/03/29,0,0,0,0,0,0,0,0,9.82000000000005,0,39,165,0,0,165,0,3.27,23.12,0,0,50,0,0,0,3.63000000000001,0,0,0,0,0,0,0,124.16,0,0,0.669999999999998,3.34,4.30000000000001,4.51,15.07,3.55,0.73,1.53,1.05,1.66,5.87,0,43.05,68.96,59.73,0,0,0.23,0.19,0,1.52,0,0,0,1.85,0,0,0,0,1.28,1.22,0,0.48,0,0,0.6,0,0.969999999999999,0,0.469999999999999,0,0,0,1000,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.51,100,100,100,0
02:15-02:30,66DC2025/03/29,0,0,0,0,0,0,0,0,9.82000000000005,0,39,165,0,0,165,0,3.27,23.12,0,0,50.0001,0,0,0,3.78,0,0,0,0,0,0,0,130.78,0,0,0.669999999999998,3.34,4.30000000000001,4.51,15.07,3.55,0.73,1.53,1.05,1.66,5.87,0,43.05,68.96,59.73,0,0,0.23,0.19,0,1.52,0,0,0,1.85,0,0,0,0,1.28,1.22,0,0,0,0,0.6,0,0.969999999999999,0,0.469999999999999,0,0,0,1000,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.51,100,100,100,0
