Block,Time,DADRT2,KOTESHWR,DULHASTI,KOLDAM,PARBATI3,CHAMERA3,DHAULIGNGA,RAMPUR,NJPC,CHAMERA2,KISHANGANGA,RAPPC,NAPP,JHAJJAR,UNCHAHAR1,SINGRAULI_HYDRO,RIHAND3,TEHRI,UNCHAHAR4,SINGRAULI,RIHAND2,TANDA2,UNCHAHAR3,RIHAND1,SEWA2,URI2,UNCHAHAR2,RAPPB,BSIUL,CHAMERA1,URI,TANAKPUR,SALAL,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,SASAN
1,00:00-00:15,686.779957,8.874,49.436556,0,0,29.062808,36.5917,0,152.9405,39.51012,0,51.3945,38.6616,435.435,17.13,1.07128,123.665625,45.36,0,139.3125,118.125,0,24.858,92,0,32.82288,3.357,0,6.49,42.14808,48.576,13.3224,85.988,0,77.816,0,0,0,63.531,0,0,0,0,0,21,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,35.883,147.515625,26.46,20.0018,14.253199,416.25

2,00:15-00:30,686.779957,8.874,49.436556,0,0,29.062808,36.5917,0,152.9405,39.51012,0,51.3945,38.6616,435.435,17.13,1.07128,123.665625,45.36,0,139.3125,118.125,0,24.858,92,0,32.82288,5.595,0,6.49,42.14808,48.576,13.3224,85.988,0,77.816,0,0,0,63.531,0,0,0,0,0,21,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,35.883,147.515625,26.46,20.0018,14.253199,416.25

3,00:30-00:45,686.779957,8.874,49.436556,0,0,29.062808,36.5917,0,152.9405,39.51012,0,51.3945,38.6616,435.435,17.13,1.07128,123.665625,45.36,0,139.3125,118.125,0,24.858,92,0,32.82288,5.595,0,6.49,42.14808,24.288,13.3224,85.988,0,77.816,0,0,0,63.531,0,0,0,0,0,21,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,34.383,147.515625,26.46,20.0018,14.253199,416.25

4,00:45-01:00,686.779957,8.874,49.436556,0,0,29.062808,36.5917,0,152.9405,39.51012,0,51.3945,38.6616,435.435,17.13,1.07128,123.665625,45.36,0,139.3125,118.125,0,24.858,92,0,32.82288,8.952,0,6.49,42.14808,24.288,13.3224,85.988,0,77.816,0,0,0,63.531,0,0,0,0,0,21,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,34.383,147.515625,26.46,20.0018,14.253199,416.25

5,01:00-01:15,686.779957,8.874,49.436556,0,0,29.062808,36.5917,0,152.9405,39.51012,0,51.3945,38.6616,435.435,17.13,1.07128,123.665625,45.36,0,139.3125,118.125,0,24.858,92,0,17.4876,8.952,0,6.5208,35.787,24.288,13.3224,85.988,0,77.816,0,0,0,63.531,0,0,0,0,0,21,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,34.383,147.515625,26.46,20.0018,14.253199,416.25

6,01:15-01:30,686.779957,8.874,49.436556,0,0,29.062808,36.5917,0,152.9405,39.51012,0,51.3945,38.6616,435.435,17.13,1.07128,123.665625,45.36,0,139.3125,118.125,0,24.858,92,0,15.4698,11.19,0,6.5208,28.045,24.288,13.3224,85.988,0,77.816,0,0,0,64.074,0,0,0,0,0,21,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,34.383,147.515625,26.46,20.0018,14.253199,416.25

7,01:30-01:45,686.779957,8.874,49.436556,0,0,29.062808,36.5917,0,152.9405,39.51012,0,51.3945,38.6616,435.435,17.13,1.07128,123.665625,45.36,0,139.3125,118.125,0,24.858,92,0,15.4698,11.19,0,6.5208,28.045,24.288,13.3224,85.988,0,80.008,0,0,0,64.617,0,0,0,0,0,21,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,35.583,147.515625,26.46,20.0018,14.253199,416.25

