Block,Time,URI,URI2,RIHAND2,RIHAND3,SEWA2,SINGRAULI,TANAKPUR,TEHRI,UNCHAHAR1,UNCHAHAR3,SALAL,SINGRAULI_HYDRO,UNCHAHAR2,UNCHAHAR4,TANDA2,NAPP,PARBATI3,RAMPUR,RAPPB,RIHAND1,CHAMERA1,CHAMERA2,DADRT2,DULHASTI,JHAJJAR,KISHANGANGA,KOTESHWR,KOLDAM,NJPC,RAPPC,CHAMERA3,DHAULIGNGA,BSIUL,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,SIMHST2,NTPL,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,MAPS,FSTPP I & II,KHSTPP-I,KHSTPP-II,TALA,BRBCL,SASAN
1,00:00-00:15,39.744,37.89052,124.384996,130.580717,0,141.734525,12.9381,64.382499,20.131611,27.63898,83.664,1.212818,44.306625,3.094586,5.534085,49.243676,0,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,39.195646,9.274803,179.962454,67.990882,34.831253,43.536137,6.5208,0,0,0,52.136844,0,81.47076,0,0,0,61.52811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.702,15.00135,348.975

2,00:15-00:30,39.744,37.89052,124.384996,130.580717,0,141.734525,12.9381,64.382499,20.131611,27.63898,83.664,1.212818,44.306625,3.094586,5.534085,49.243676,0,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,39.195646,9.274803,179.962454,67.990882,34.831253,43.536137,6.5208,0,0,0,52.136844,0,81.47076,0,0,0,61.52811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.702,15.00135,348.975

3,00:30-00:45,39.744,37.89052,124.384996,130.580717,0,141.734525,12.9381,63.745048,20.131611,27.63898,83.664,1.212818,44.306625,3.094586,5.534085,49.243676,0,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,39.195646,9.274803,179.962454,67.990882,34.831253,43.536137,6.5208,0,0,0,52.136844,0,81.47076,0,0,0,61.52811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.702,15.00135,348.975

4,00:45-01:00,39.744,37.89052,124.384996,130.580717,0,141.734525,12.9381,63.745048,20.131611,27.63898,83.664,1.212818,44.306625,3.094586,5.534085,49.243676,0,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,39.195646,9.274803,179.962454,67.990882,34.831253,43.536137,6.5208,0,0,0,52.136844,0,81.47076,0,0,0,61.52811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.702,15.00135,348.975

5,01:00-01:15,39.744,37.89052,124.384996,130.580717,0,141.734525,12.9381,63.745048,20.131611,27.63898,83.664,1.212818,44.306625,3.094586,5.534085,49.243676,0,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,39.195646,9.274803,179.962454,67.990882,34.831253,43.536137,6.5208,0,0,0,52.136844,0,81.47076,0,0,0,62.196893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.4962,15.00135,348.975

6,01:15-01:30,39.744,37.89052,124.384996,130.580717,0,141.734525,12.9381,63.745048,20.131611,27.63898,83.664,1.212818,44.306625,3.094586,5.534085,49.243676,0,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,39.195646,9.274803,179.962454,67.990882,34.831253,43.536137,6.5208,0,0,0,52.136844,0,82.828606,0,0,0,62.196893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.4962,15.00135,348.975

7,01:30-01:45,39.744,37.89052,124.384996,130.580717,0,141.734525,12.9381,63.745048,20.131611,27.63898,83.664,1.212818,44.306625,3.094586,5.534085,49.243676,0,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,39.195646,9.274803,179.962454,67.990882,34.831253,43.536137,6.5208,0,0,0,52.136844,0,82.828606,0,0,0,62.196893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.4962,15.00135,348.975

