Block,Time,KGSU1AND2,KKNP,KOLDAM,TEHRIPSP,UNCHAHAR4,ANTA_LF,DADRI_RF,CHAMERA2,DHAULIGNGA,FSTPP I & II,NLCTS2EXP,NNTPP,RAPPC,TANAKPUR,TelanganaSTPP,DADRI_LF,RAMPUR,RIHAND1,SIMHST2,DADRT2,KUDGI,NLCEXP,NLCIIST1,PARBATI2,RAPPD,RIHAND2,RSTPSU1TO6,SEWA2,SIMHST1,SINGRAULI_HYDRO,KISHANGANGA,MAPS,NLCIIST2,PARBATI3,RAPPB,RSTPSU7,TALA,TALST2,VALLURNTECL,ANTA_GF,AURY_RF,DULHASTI,KOTESHWR,NAPP,NJPC,NTPL,SINGRAULI,TANDA2,UNCHAHAR2,UNCHAHAR3,URI,URI2,ANTA_RF,DADRI_GF,KGSU3AND4,KHSTPP-II,RIHAND3,SALAL,TEHRI,AURY_CRF,BRBCL,BSIUL,CHAMERA1,CHAMERA3,JHAJJAR,KHSTPP-I,KKNPPU2,SASAN,UNCHAHAR1,ANTA_CRF,AURY_GF,AURY_LF,DADRI_CRF
1,00:00-00:15,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,13.11,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,6.97,0,0,41.63,0,0,23.92,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,52.36,37.41,52.09,0,0,98.87,130.84,81.34,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,416.25,21.65,0,0,0,0

2,00:15-00:30,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,13.11,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,6.97,0,0,41.63,0,0,23.92,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,52.36,37.41,52.09,0,0,98.87,130.84,81.34,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,416.25,21.65,0,0,0,0

3,00:30-00:45,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,13.11,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,6.97,0,0,41.63,0,0,23.92,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,17.67,37.41,52.09,0,0,98.87,130.84,81.34,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,416.25,21.65,0,0,0,0

4,00:45-01:00,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,13.11,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,6.97,0,0,41.63,0,0,23.92,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,17.67,37.41,52.09,0,0,98.87,130.84,81.34,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,416.25,21.65,0,0,0,0

5,01:00-01:15,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,13.11,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,6.97,0,0,50.55,0,0,24.28,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,30.91,33.52,52.34,0,0,98.87,130.84,81.34,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,416.25,21.65,0,0,0,0

6,01:15-01:30,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,13.11,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,6.97,0,0,50.55,0,0,24.28,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,30.91,33.52,52.34,0,0,98.87,130.84,81.34,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,416.25,21.65,0,0,0,0

7,01:30-01:45,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,13.11,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,6.97,0,0,50.55,0,0,24.28,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,11.04,37.41,52.34,0,0,98.87,130.84,81.34,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,416.25,21.65,0,0,0,0

8,01:45-02:00,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,13.11,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,6.97,0,0,50.55,0,0,24.28,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,11.04,37.41,52.34,0,0,98.87,130.84,81.34,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,416.25,21.65,0,0,0,0

9,02:00-02:15,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,13.11,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,6.97,0,0,50.55,0,0,24.28,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,30.91,37.41,52.59,0,0,98.87,130.84,81.34,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,416.25,21.65,0,0,0,0

10,02:15-02:30,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,13.11,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,6.97,0,0,50.55,0,0,24.28,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,30.91,37.41,52.59,0,0,98.87,130.84,81.34,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,416.25,21.65,0,0,0,0

11,02:30-02:45,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,13.11,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,6.97,0,0,52.04,0,0,24.08,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,4.41,33.52,52.59,0,0,98.87,130.84,81.34,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,408.38,21.65,0,0,0,0

12,02:45-03:00,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,13.11,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,6.97,0,0,52.04,0,0,24.08,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,4.41,33.52,52.59,0,0,98.87,130.84,81.34,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,408.38,21.65,0,0,0,0

13,03:00-03:15,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,11.91,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,6.97,0,0,52.04,0,0,24.08,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,4.41,37.41,52.59,0,0,98.87,130.84,79.6,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,408.38,21.65,0,0,0,0

14,03:15-03:30,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,11.91,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,6.97,0,0,52.04,0,0,24.08,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,17.67,37.41,52.59,0,0,98.87,130.84,79.6,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,408.38,21.65,0,0,0,0

15,03:30-03:45,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,11.91,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,4.65,0,0,50.55,0,0,24.02,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,26.49,37.41,52.59,0,0,98.87,130.84,79.6,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,382.5,21.65,0,0,0,0

16,03:45-04:00,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,11.91,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,4.65,0,0,50.55,0,0,24.02,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,26.49,37.41,52.59,0,0,98.87,130.84,79.6,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,382.5,21.65,0,0,0,0

17,04:00-04:15,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,11.91,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,4.65,0,0,50.55,0,0,24.02,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,17.67,33.52,52.84,0,0,98.87,130.84,79.6,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,382.5,21.65,0,0,0,0

18,04:15-04:30,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,11.91,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,4.65,0,0,50.55,0,0,23.96,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,17.67,33.52,52.84,0,0,98.87,130.84,79.6,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,382.5,21.65,0,0,0,0

19,04:30-04:45,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,11.91,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,4.65,0,0,47.57,0,0,23.96,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,17.67,33.52,52.84,0,0,98.87,130.84,79.6,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,382.5,21.65,0,0,0,0

20,04:45-05:00,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,16.68,0,0,65.6,11.91,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,4.65,0,0,47.57,0,0,23.72,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,17.67,33.52,52.84,0,0,98.87,130.84,79.6,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,382.5,21.65,0,0,0,0

21,05:00-05:15,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,19.46,0,0,65.6,11.91,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,4.65,0,0,47.57,0,0,23.51,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,5.25,44.52,27.38,17.67,33.52,52.84,0,0,98.87,130.84,79.6,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,382.5,21.65,0,0,0,0

22,05:15-05:30,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,19.46,0,0,65.6,11.91,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,4.65,0,0,47.57,0,0,23.28,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,2.95,44.52,27.38,17.67,33.52,52.84,0,0,98.87,130.84,79.6,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,382.5,21.65,0,0,0,0

23,05:30-05:45,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,19.46,0,0,65.6,11.91,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,4.65,0,0,49.07,0,0,22.9,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,2.95,43.16,26.71,26.49,33.52,52.84,0,0,98.87,130.84,79.6,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,382.5,21.23,0,0,0,0

24,05:45-06:00,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,19.46,0,0,65.6,11.91,0,0,5.68,48.09,0,689.39,0,0,0,25.69,39.04,125.27,0,18.34,0,0,4.65,0,0,49.07,0,0,22.75,0,0,0,79.22,38.32,45.08,24.23,175.8,0,113.75,2.95,43.16,26.71,26.49,33.52,52.84,0,0,98.87,130.84,79.6,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,382.5,21.23,0,0,0,0

25,06:00-06:15,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,19.46,0,0,65.6,11.91,0,0,5.68,48.09,0,685.71,0,0,0,25.69,39.04,125.27,0,18.34,0,0,4.65,0,0,49.07,0,0,22.67,0,0,0,77.93,38.32,45.08,24.23,175.8,0,113.75,2.95,43.16,26.71,26.49,33.52,52.59,0,0,98.87,130.84,79.6,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,382.5,21.23,0,0,0,0

26,06:15-06:30,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,19.46,0,0,65.6,11.91,0,0,5.68,48.09,0,685.71,0,0,0,25.69,39.04,125.27,0,18.34,0,0,4.65,0,0,49.07,0,0,22.72,0,0,0,77.93,38.32,45.08,24.23,175.8,0,113.75,2.95,43.16,26.71,26.49,33.52,52.59,0,0,98.87,130.84,79.6,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,382.5,21.23,0,0,0,0

27,06:30-06:45,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,19.46,0,0,65.6,11.91,0,0,5.68,48.09,0,685.71,0,0,0,25.69,39.04,125.27,0,18.34,0,0,4.65,0,0,50.55,0,0,22.72,0,0,0,77.93,38.32,45.08,24.23,175.8,0,113.75,2.95,43.16,26.71,22.08,33.52,52.59,0,0,98.87,130.84,79.6,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,382.5,21.23,0,0,0,0

28,06:45-07:00,0,0,8.63,192.57,2.94,0,102.77000000000001,47.12,42.46,19.46,0,0,65.6,11.91,0,0,5.68,48.09,0,657.21,0,0,0,25.69,39.04,125.27,0,18.34,0,0,4.65,0,0,50.55,0,0,22.81,0,0,0,77.93,38.32,45.08,24.23,175.8,0,113.75,2.95,43.16,26.71,22.08,33.52,52.59,0,0,98.87,130.84,79.6,82.36,0,24.99,19.56,42.15,22.61,667.27,45.53,0,382.5,21.23,0,0,0,0

