Block,Time,KKNP,RAMPUR,RAPPB,RSTPSU7,SALAL,SIMHST2,ANTA_CRF,AURY_CRF,AURY_RF,DADRI_CRF,KGSU3AND4,KISHANGANGA,PARBATI3,RIHAND3,TelanganaSTPP,UNCHAHAR4,URI2,AURY_GF,KHSTPP-II,NLCIIST1,RIHAND1,RSTPSU1TO6,SASAN,TALST2,UNCHAHAR3,VALLURNTECL,AURY_LF,BRBCL,KGSU1AND2,NTPL,TALA,TEHRI,UNCHAHAR2,ANTA_RF,DADRT2,KHSTPP-I,NLCIIST2,NLCTS2EXP,RAPPC,SINGRAULI_HYDRO,BSIUL,CHAMERA1,JHAJJAR,KKNPPU2,MAPS,NJPC,NNTPP,RIHAND2,SIMHST1,TANAKPUR,URI,ANTA_LF,CHAMERA3,KOLDAM,KOTESHWR,KUDGI,NAPP,NLCEXP,UNCHAHAR1,ANTA_GF,DADRI_LF,DADRI_RF,CHAMERA2,DHAULIGNGA,DULHASTI,FSTPP I & II,SEWA2,SINGRAULI,TANDA2,DADRI_GF
1,00:00-00:15,0,3.22,0,0,65.07,0,0,0,69.41,0,0,0,3.94,127.6,0,1.62,10.35,0,98.87,0,47.33,0,418.77,0,0,0,0,15,0,0,10.91,53.16,43.71,31.94,686.07,44.92,0,0,59.79,0,6.52,14.05,413.81,0,0,150.02,0,121.71,0,10.96,50.79,0,21.37,4.01,9.66,0,45.46,0,20.96,0,0,98.64,28.34,40.2,54.53,14.6,0,106.72,2.45,0

2,00:15-00:30,0,3.22,0,0,65.07,0,0,0,69.41,0,0,0,3.94,127.6,0,1.62,10.35,0,98.87,0,47.33,0,418.77,0,0,0,0,15,0,0,10.91,53.16,43.71,31.94,686.07,44.92,0,0,59.79,0,6.52,0,413.81,0,0,150.02,0,121.71,0,10.96,50.79,0,21.37,4.01,9.66,0,45.46,0,20.96,0,0,98.64,28.34,40.2,54.53,14.6,0,106.72,2.45,0

3,00:30-00:45,0,3.22,0,0,65.07,0,0,0,69.41,0,0,0,3.94,127.6,0,1.62,10.35,0,98.87,0,47.33,0,418.77,0,0,0,0,15,0,0,10.91,53.16,43.71,31.94,686.07,44.92,0,0,59.79,0,6.52,0,413.81,0,0,150.02,0,121.71,0,10.96,8.83,0,21.37,4.01,9.66,0,45.46,0,20.96,0,0,98.64,28.34,40.2,54.53,14.6,0,106.72,2.45,0

4,00:45-01:00,0,3.22,0,0,79.38,0,0,0,69.41,0,0,0,3.94,127.6,0,1.62,10.35,0,98.87,0,47.33,0,418.77,0,0,0,0,15,0,0,10.91,35.44,43.71,31.94,686.07,44.92,0,0,59.79,0,6.52,0,413.81,0,0,150.02,0,121.71,0,10.96,8.83,0,21.37,4.01,9.66,0,45.46,0,20.96,0,0,98.64,28.34,40.2,54.53,14.6,0,106.72,2.45,0

5,01:00-01:15,0,3.22,0,0,79.38,0,0,0,73.06,0,0,0,3.94,127.6,0,1.62,35.46,0,98.87,0,47.33,0,418.77,0,0,0,0,15,0,0,10.76,35.44,43.71,31.94,686.07,44.92,0,0,59.79,0,6.52,0,413.81,0,0,150.02,0,121.71,0,9.48,8.83,0,21.37,4.01,9.66,0,45.46,0,20.96,0,0,98.64,28.34,40.2,54.53,14.6,0,106.72,2.45,0

