Block,Time,DADRI_GF,RIHAND1,AURY_RF,DULHASTI,KISHANGANGA,SEWA2,ANTA_CRF,AURY_GF,UNCHAHAR2,AURY_CRF,RIHAND2,URI2,SINGRAULI_HYDRO,NJPC,DHAULIGNGA,TANAKPUR,RAPPB,KOLDAM,RAMPUR,TANDA2,UNCHAHAR4,CHAMERA3,DADRI_CRF,KOTESHWR,PARBATI3,BSIUL,CHAMERA2,NAPP,SALAL,JHAJJAR,SINGRAULI,ANTA_RF,DADRT2,KHSTPP-II,KUDGI,FSTPP I & II,KHSTPP-I,TALA,BRBCL,SASAN,UNCHAHAR1,AURY_LF,RIHAND3,UNCHAHAR3,ANTA_GF,ANTA_LF,RAPPC,TEHRI,CHAMERA1,DADRI_LF,DADRI_RF,URI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,41.559500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,32.445405,0.000000,114.167812,31.333273,0.961436,147.816993,35.319915,12.628482,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,15.379431,19.002743,38.186531,37.366436,83.107402,571.679918,129.027750,0.000000,621.415604,142.573852,29.18,13.772625,31.093272,26.426043,14.497500,400.131000,10.759948,0.000000,119.522827,21.926986,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

2,00:15-00:30,0.000000,41.559500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,32.445405,0.000000,114.167812,31.333273,0.961436,147.816993,35.319915,12.628482,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,3.075886,19.002743,38.186531,37.366436,83.107402,571.679918,129.027750,0.000000,663.772828,142.573852,14.50,13.772625,31.093272,26.426043,13.680891,400.131000,10.759948,0.000000,119.522827,21.926986,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

3,00:30-00:45,0.000000,41.559500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,32.445405,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,12.628482,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,0.000000,19.002743,38.186531,37.366436,83.107402,571.679918,129.027750,0.000000,663.772828,142.573852,14.50,13.772625,31.093272,26.426043,14.497500,400.131000,10.759948,0.000000,119.522827,21.926986,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

4,00:45-01:00,0.000000,41.559500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,32.445405,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,12.628482,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,0.000000,19.002743,38.186531,37.366436,83.107402,571.360972,129.027750,0.000000,600.918282,142.573852,14.50,13.772625,31.093272,26.426043,13.783236,400.131000,10.759948,0.000000,119.522827,21.926986,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

5,01:00-01:15,0.000000,43.212355,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,32.445405,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,12.628482,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,0.000000,19.002743,38.186531,37.366436,83.107402,571.360972,129.027750,0.000000,581.588282,142.573852,14.50,13.772625,31.093272,26.426043,12.272982,400.131000,10.759948,0.000000,119.522827,21.926986,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

6,01:15-01:30,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,32.445405,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,12.628482,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,0.000000,19.002743,38.186531,37.366436,83.107402,571.360972,129.027750,0.000000,578.998062,142.573852,14.50,13.772625,31.093272,26.426043,12.005572,400.131000,10.759948,0.000000,119.522827,21.926986,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

