Block,Time Block,KOLDAM,NAPP,SALAL,SASAN,SIMHST2,BSIUL,BRBCL,CHAMERA1,CHAMERA3,CHAMERA2,DADRT2,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,KHSTPP-I,KGSU3AND4,KISHANGANGA,KHSTPP-II,KKNP,KKNPPU2,KOTESHWR,KUDGI,MAPS,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,RAMPUR,NTPL,PARBATI3,RAPPB,RIHAND1,RAPPC,RSTPSU1TO6,RSTPSU7,RIHAND3,RIHAND2,SEWA2,SIMHST1,SINGRAULI_HYDRO,SINGRAULI,TANDA2,TALST2,TANAKPUR,TALA,TelanganaSTPP,TEHRI,UNCHAHAR4,UNCHAHAR2,UNCHAHAR1,UNCHAHAR3,VALLURNTECL,URI2,URI,ANTA_GF,ANTA_CRF,ANTA_RF,ANTA_LF,AURY_CRF,AURY_RF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_LF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,39.32,49.41,396.82,0,0,14.5,13.58,18.71,19.33,330.09,26.56,20.1,47.77,458.17,0,43.41,0,0,95.55,0,0,8.57,0,0,0,0,109.82,0,0,0,0,0,0,0,44.45,50.04,0,0,120.14,114.77,0,0,0,133.25,0,0,12.56,9.77,0,45.12,0,40.98,19.87,0,0,30.83,49.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,39.32,49.41,396.82,0,0,14.5,0,18.71,19.33,330.09,26.56,20.1,47.77,458.17,0,43.41,0,0,95.55,0,0,8.57,0,0,0,0,82.37,0,0,0,0,0,0,0,44.45,50.04,0,0,120.14,114.77,0,0,0,133.36,0,0,12.56,9.87,0,45.12,0,40.98,19.87,0,0,30.83,49.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,39.32,49.41,396.82,0,0,14.5,0,18.71,19.33,330.09,26.56,20.1,47.77,458.17,0,43.41,0,0,95.55,0,0,8.57,0,0,0,0,82.37,0,0,0,0,0,0,0,44.45,50.04,0,0,120.14,114.77,0,0,0,133.36,0,0,12.56,9.92,0,45.12,0,40.98,19.87,0,0,30.83,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,39.32,49.41,396.82,0,0,14.5,0,18.71,19.33,330.09,26.56,20.1,47.77,458.17,0,43.41,0,0,95.55,0,0,8.57,0,0,0,0,82.37,0,0,0,0,0,0,0,44.45,50.04,0,0,120.14,114.77,0,0,0,133.36,0,0,12.56,10,0,30.08,0,40.98,19.87,0,0,30.83,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,39.32,49.41,396.82,0,0,13.55,0,9.35,9.14,330.09,26.56,20.1,47.77,458.17,0,43.41,0,0,95.55,0,0,8.57,0,0,0,0,82.37,0,0,0,0,0,0,0,44.45,50.04,0,0,120.14,114.77,0,0,0,133.36,0,0,12.56,10,0,30.08,0,40.98,19.87,0,0,30.83,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,39.32,49.41,396.82,0,0,12.84,0,9.35,9.14,330.09,26.56,20.1,47.77,458.17,0,43.41,0,0,95.55,0,0,8.57,0,0,0,0,82.37,0,0,0,0,0,0,0,44.45,50.04,0,0,120.14,114.77,0,0,0,133.36,0,0,12.56,10,0,30.08,0,40.98,19.87,0,0,30.83,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,39.32,49.41,396.82,0,0,12.53,0,9.35,9.14,330.09,26.56,20.1,47.77,458.17,0,43.41,0,0,95.55,0,0,8.57,0,0,0,0,82.37,0,0,0,0,0,0,0,44.45,50.04,0,0,120.14,114.77,0,0,0,133.36,0,0,12.56,10,0,30.08,0,40.98,19.87,0,0,10.4,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,39.32,49.41,396.82,0,0,14.5,0,9.35,9.14,330.09,26.56,20.1,47.77,458.17,0,43.41,0,0,95.55,0,0,8.57,0,0,0,0,82.37,0,0,0,0,0,0,0,44.45,50.04,0,0,120.14,114.77,0,0,0,133.36,0,0,12.56,10,0,30.08,0,40.98,19.87,0,0,9.1,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,39.32,49.41,396.82,0,0,12.36,0,9.35,9.14,328.06,26.56,20.1,47.77,458.17,0,43.41,0,0,95.55,0,0,8.57,0,0,0,0,82.37,0,0,0,0,0,0,0,44.45,50.04,0,0,120.14,114.77,0,0,0,133.36,0,0,12.56,10,0,30.08,0,40.98,19.87,0,0,9.1,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

