Block,Time Block,KGSU1AND2,KGSU3AND4,KOLDAM,DULHASTI,FSTPP I & II,DHAULIGNGA,JHAJJAR,CHAMERA3,CHAMERA2,DADRT2,DADRI_CRF,DADRI_RF,ANTA_CRF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_GF,AURY_GF,NLCEXP,NJPC,NAPP,BSIUL,BRBCL,CHAMERA1,UNCHAHAR3,UNCHAHAR1,URI,TEHRIPSP,UNCHAHAR4,VALLURNTECL,TelanganaSTPP,UNCHAHAR2,URI2,KKNPPU2,SEWA2,SINGRAULI,TEHRI,TALA,SASAN,TALST2,TANAKPUR,TANDA2,SINGRAULI_HYDRO,SIMHST1,SIMHST2,MAPS,RSTPSU1TO6,RIHAND2,SALAL,RAPPD,RIHAND3,RAPPC,RIHAND1,RSTPSU7,NTPL,PARBATI3,PARBATI2,RAPPB,RAMPUR,NNTPP,NLCTS2EXP,NLCIIST1,NLCIIST2,KUDGI,KKNP,KISHANGANGA,KHSTPP-I,KHSTPP-II,KOTESHWR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,8.27,36.49,17.23,40.75,404.79,32.58,45.23,654.44,0,0,0,0,0,0,0,0,0,0,0,0,0,168.72,23.26,18.77,15.41,40.46,25.36,19.99,50.86,170.06,0.73,0,0,40.65,35.92,0,14.85,108.27,69.56,19.89,401.94,0,10.58,1.36,0,0,0,0,0,120.23,80.31,23.05,125.58,62.79,94.37,0,0,39.95,0,0,5.47,0,0,0,0,0,0,4.3,40.21,93.62,29.21,0,0,0,0,0

2,00:15-00:30,0,0,8.27,36.49,17.23,40.75,404.79,32.58,45.23,654.44,0,0,0,0,0,0,0,0,0,0,0,0,0,168.72,23.26,18.77,15.21,40.46,25.36,19.99,50.86,85.03,0.73,0,0,40.65,35.92,0,14.85,108.27,69.56,19.89,401.94,0,10.58,1.36,0,0,0,0,0,120.23,80.31,23.05,125.58,62.79,94.37,0,0,39.95,0,0,5.47,0,0,0,0,0,0,4.3,40.21,93.62,29.21,0,0,0,0,0

3,00:30-00:45,0,0,8.27,36.49,17.23,40.75,404.79,32.58,45.23,654.44,0,0,0,0,0,0,0,0,0,0,0,0,0,168.72,23.26,18.77,13.73,40.46,25.29,19.97,44.51,0,0.73,0,0,40.58,29.92,0,14.85,108.27,69.56,19.89,401.94,0,10.58,1.36,0,0,0,0,0,120.23,80.31,23.05,125.58,62.79,94.37,0,0,39.95,0,0,5.47,0,0,0,0,0,0,4.3,40.21,93.62,29.21,0,0,0,0,0

4,00:45-01:00,0,0,8.27,36.49,17.22,40.75,404.79,32.58,45.23,654.44,0,0,0,0,0,0,0,0,0,0,0,0,0,168.72,23.26,18.77,12.96,40.46,25.27,19.98,44.51,0,0.69,0,0,40.57,29.92,0,14.85,108.27,69.56,19.89,401.94,0,10.58,1.36,0,0,0,0,0,120.23,80.31,23.05,125.58,62.79,94.37,0,0,39.95,0,0,5.47,0,0,0,0,0,0,4.3,40.21,93.62,29.21,0,0,0,0,0

5,01:00-01:15,0,0,8.27,36.49,17.22,40.75,404.79,32.58,45.23,654.44,0,0,0,0,0,0,0,0,0,0,0,0,0,168.72,23.26,0,12.77,40.46,25.4,19.97,44.51,0,0.92,0,0,40.91,35.92,0,14.85,108.27,69.56,19.87,401.94,0,10.58,1.36,0,0,0,0,0,120.23,80.31,23.05,125.58,62.79,94.37,0,0,34.25,0,0,5.47,0,0,0,0,0,0,4.3,40.21,93.62,29.21,0,0,0,0,0

