Block,Time Block,KISHANGANGA,MAPS,KUDGI,KOLDAM,KOTESHWR,BSIUL,CHAMERA1,BRBCL,CHAMERA2,KGSU1AND2,CHAMERA3,KGSU3AND4,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,KHSTPP-I,JHAJJAR,ANTA_CRF,ANTA_RF,URI2,UNCHAHAR3,ANTA_LF,UNCHAHAR2,URI,ANTA_GF,AURY_CRF,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,KHSTPP-II,TEHRI,TelanganaSTPP,TANDA2,RIHAND2,SASAN,TALST2,TANAKPUR,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,TALA,RSTPSU7,SALAL,SEWA2,SINGRAULI,RIHAND3,RAPPC,RIHAND1,RAPPB,RAMPUR,KKNPPU2,DADRI_LF,DADRI_RF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,AURY_RF,KKNP,NTPL,PARBATI3,NNTPP,NLCEXP,NJPC,NLCIIST1,NLCIIST2,NLCTS2EXP,NAPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,8.52,0,0,19.2,0,0,0,0,0,11.04,15.82,312.95,32.15,229.52,0,0,4.14,14.35,0,22.71,1.07,0,0,5.76,0,0,120.67,0,0,0,114.02,335.06,0,0,0,0.6,0,0,0,0,1.34,0,134.12,59.68,50.93,73.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.83,0,0,0,0,0

2,00:15-00:30,0,0,0,0,8.52,0,0,17.9,0,0,0,0,0,11.04,15.82,265.13,32.15,229.52,0,0,4.14,14.35,0,22.71,1.07,0,0,5.76,0,0,122.7,0,0,0,114.02,335.06,0,0,0,0.6,0,0,0,0,1.34,0,134.12,59.68,50.93,73.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.83,0,0,0,0,0

3,00:30-00:45,0,0,0,0,8.52,0,0,18.4,0,0,0,0,0,11.04,15.82,265.13,24.5,229.52,0,0,4.14,14.35,0,22.71,0.53,0,0,5.76,0,0,94.73,0,0,0,114.02,335.06,0,0,0,0.6,0,0,0,0,1.34,0,134.12,59.68,50.93,73.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.83,0,0,0,0,0

4,00:45-01:00,0,0,0,0,8.52,0,0,16.91,0,0,0,0,0,11.04,15.82,265.13,24.5,229.52,0,0,4.14,14.35,0,22.71,0.53,0,0,5.76,0,0,94.73,0,0,0,114.02,335.06,0,0,0,0.6,0,0,0,0,1.34,0,134.12,59.68,50.93,73.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.83,0,0,0,0,0

5,01:00-01:15,0,0,0,0,8.52,0,0,15.2,0,0,0,0,0,11.04,15.82,265.13,24.5,229.52,0,0,4.14,14.35,0,22.71,0.53,0,0,5.76,0,0,94.73,0,0,0,114.02,335.06,0,0,0,0.6,0,0,0,0,1.34,0,134.12,59.68,50.93,73.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.83,0,0,0,0,0

