Block,Time Block,DADRI_CRF,DADRI_RF,ANTA_CRF,ANTA_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_LF,AURY_LF,DADRI_GF,ANTA_GF,AURY_GF,CHAMERA2,UNCHAHAR3,URI2,TelanganaSTPP,URI,UNCHAHAR2,UNCHAHAR4,VALLURNTECL,UNCHAHAR1,SIMHST1,SIMHST2,SINGRAULI,SINGRAULI_HYDRO,TANAKPUR,TALA,TANDA2,TALST2,KHSTPP-II,KHSTPP-I,NJPC,NLCIIST2,MAPS,NLCTS2EXP,NNTPP,NAPP,NTPL,PARBATI3,NLCEXP,NLCIIST1,SASAN,RIHAND3,RAPPB,RIHAND2,SALAL,RIHAND1,RAMPUR,RSTPSU1TO6,RAPPC,SEWA2,RSTPSU7,BSIUL,BRBCL,CHAMERA1,CHAMERA3,KGSU1AND2,KGSU3AND4,DADRT2,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,TEHRI,KOTESHWR,KKNP,KKNPPU2,KUDGI,KOLDAM,KISHANGANGA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,18.11,0,25.48,11.2,0,0,11.55,0,0,131.49,0,8.01,0,0,0,80.34,36.88,0,0,0,0,0,42.01,0,0,0,0,394.89,119.56,0,114.21,1.35,88.48,0,0,51.99,0,0,0,19.23,0,0,0,0,320.35,0,13.45,0,230.81,0,8.53,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,18.11,0,25.48,11.2,0,0,11.55,0,0,134.33,0,8.01,0,0,0,80.34,36.88,0,0,0,0,0,42.01,0,0,0,0,394.89,119.56,0,114.21,1.35,88.48,0,0,51.99,0,0,0,19.23,0,0,0,0,293.32,0,13.45,0,230.81,0,8.53,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,18.11,0,25.48,11.2,0,0,11.55,0,0,122.21,0,2.46,0,0,0,60.69,27.96,0,0,0,0,0,42.01,0,0,0,0,394.89,119.56,0,99.53,1.35,60.88,0,0,51.99,0,0,0,19.23,0,0,0,0,293.32,0,9.63,0,230.81,0,8.53,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,18.11,0,3.18,11.2,0,0,11.55,0,0,122.21,0,2.46,0,0,0,60.69,27.96,0,0,0,0,0,42.01,0,0,0,0,394.89,119.56,0,91.63,1.35,60.88,0,0,51.99,0,0,0,17.79,0,0,0,0,291.4,0,9.63,0,230.81,0,8.53,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,18.11,0,1.28,11.2,0,0,11.55,0,0,103.67,0,2.46,0,0,0,52.3,24.54,0,0,0,0,0,42.01,0,0,0,0,394.89,119.56,0,77.05,1.35,60.88,0,0,51.99,0,0,0,16.94,0,0,0,0,274.08,0,9.63,0,230.81,0,8.53,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,18.11,0,1.28,11.2,0,0,11.55,0,0,103.67,0,2.46,0,0,0,52.3,24.54,0,0,0,0,0,42.01,0,0,0,0,394.89,119.56,0,77.05,1.35,60.88,0,0,51.99,0,0,0,15.22,0,0,0,0,253.89,0,9.63,0,230.81,0,8.53,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,18.11,0,1.28,11.2,0,0,11.55,0,0,103.67,0,2.46,0,0,0,52.3,24.54,0,0,0,0,0,42.01,0,0,0,0,394.89,119.56,0,64.6,1.35,49.96,0,0,51.99,0,0,0,14.4,0,0,0,0,247.16,0,9.63,0,230.81,0,8.53,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,18.11,0,1.28,11.2,0,0,11.55,0,0,103.67,0,2.46,0,0,0,52.3,24.54,0,0,0,0,0,42.01,0,0,0,0,394.89,87.67,0,62.82,1.35,48.66,0,0,51.99,0,0,0,13.54,0,0,0,0,239.46,0,9.63,0,230.81,0,8.53,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,4.27,0,1.28,11.2,0,0,11.55,0,0,73.88,0,0.49,0,0,0,52.3,24.54,0,0,0,0,0,42.01,0,0,0,0,394.89,87.67,0,62.82,1.35,48.66,0,0,51.99,0,0,0,13.47,0,0,0,0,226,0,9.63,15.85,230.81,0,8.53,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,4.27,0,1.28,11.2,0,0,11.55,0,0,73.88,0,0.49,0,0,0,52.3,24.54,0,0,0,0,0,42.01,0,0,0,0,394.89,87.67,0,62.82,1.35,48.66,0,0,51.99,0,0,0,13.72,0,0,0,0,218.31,0,9.63,15.85,230.81,0,8.53,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,4.27,0,1.28,11.2,0,0,11.55,0,0,73.88,0,6.03,0,0,0,52.3,24.54,0,0,0,0,0,42.01,0,0,0,0,394.89,87.67,0,62.82,1.35,48.66,0,0,51.99,0,0,0,15.05,0,0,0,0,212.54,0,9.63,15.85,230.81,0,8.53,0,0,0,0,0,0,0,0,0,0

