Block,Time,ANTA_LF,ANTA_RF,TEHRI,UNCHAHAR2,AURY_LF,URI2,NAPP,RAMPUR,KOLDAM,DADRI_GF,RIHAND2,DADRI_RF,RAPPB,SINGRAULI_HYDRO,SALAL,TANAKPUR,PARBATI3,DHAULIGNGA,SINGRAULI,CHAMERA1,CHAMERA3,DADRT2,KISHANGANGA,RAPPC,CHAMERA2,AURY_GF,RIHAND1,DADRI_CRF,KOTESHWR,SEWA2,BRBCL,KHSTPP-I,KHSTPP-II,SASAN,FSTPP I & II,TALA,AURY_RF,UNCHAHAR1,TANDA2,UNCHAHAR3,DULHASTI,ANTA_GF,ANTA_CRF,UNCHAHAR4,JHAJJAR,AURY_CRF,BSIUL,RIHAND3,URI,NJPC,DADRI_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,23.700059,38.763777,0.000000,36.590874,49.583614,0.000000,0.000000,0.000000,120.113766,0.000000,0.000000,0.752926,37.030732,0.371119,0.000000,0.000000,144.844329,0.000000,22.401763,589.233926,5.305275,32.748337,46.836284,0.000000,93.726924,0.000000,10.019445,18.192507,19.314035,44.807592,143.213310,404.406189,20.073487,0.000000,0.000000,10.927039,5.174307,21.089729,19.048563,0.000000,0.000000,2.984013,250.613636,0.000000,18.891410,60.876730,31.983984,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,23.700059,38.763777,0.000000,36.590874,49.583614,0.000000,0.000000,0.000000,120.113766,0.000000,0.000000,0.752926,76.653616,0.371119,0.000000,0.000000,144.844329,0.000000,22.401763,589.233926,5.305275,32.748337,46.836284,0.000000,93.726924,0.000000,10.019445,18.192507,19.314035,44.807592,143.213310,404.406189,20.086560,0.000000,0.000000,10.927039,5.174307,21.089729,19.048563,0.000000,0.000000,2.984013,250.613636,0.000000,18.891410,60.876730,31.983984,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,23.700059,38.763777,0.000000,36.590874,49.583614,0.000000,0.000000,0.000000,120.113766,0.000000,0.000000,0.752926,76.653616,0.371119,0.000000,0.000000,144.844329,0.000000,22.401763,558.070884,5.305275,32.748337,46.836284,0.000000,93.726924,0.000000,10.019445,12.128338,17.503127,44.807592,143.213310,404.406189,20.086560,0.000000,0.000000,10.927039,5.174307,21.089729,19.048563,0.000000,0.000000,2.984013,250.613636,0.000000,18.891410,60.876730,31.983984,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,23.700059,32.963880,0.000000,36.590874,49.583614,0.000000,0.000000,0.000000,120.113766,0.000000,0.000000,0.752926,76.653616,0.371119,0.000000,0.000000,144.844329,0.000000,22.401763,509.785884,5.305275,32.748337,46.836284,0.000000,93.726924,0.000000,10.019445,12.128338,13.604175,44.807592,143.213310,404.406189,20.086560,0.000000,0.000000,10.927039,5.174307,21.089729,19.048563,0.000000,0.000000,2.984013,250.613636,0.000000,18.891410,60.876730,31.983984,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,23.700059,32.963880,0.000000,36.590874,49.583614,0.000000,0.000000,0.000000,120.113766,0.000000,0.000000,0.752926,76.653616,0.371119,0.000000,0.000000,144.844329,0.000000,22.401763,461.500884,5.305275,32.748337,46.836284,0.000000,93.726924,0.000000,10.019445,12.128338,13.979326,44.807592,143.213310,404.406189,20.086560,0.000000,0.000000,10.927039,5.174307,21.089729,19.048563,0.000000,0.000000,2.984013,250.613636,0.000000,18.891410,60.876730,31.983984,0.000000,0.000000,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,23.700059,32.963880,0.000000,36.590874,49.583614,0.000000,0.000000,0.000000,120.113766,0.000000,0.000000,0.752926,76.653616,0.371119,0.000000,0.000000,144.844329,0.000000,22.401763,461.500884,5.305275,32.748337,46.836284,0.000000,93.726924,0.000000,10.019445,12.128338,11.970553,44.807592,143.213310,404.406189,17.881674,0.000000,0.000000,10.927039,5.174307,21.089729,19.048563,0.000000,0.000000,2.984013,250.613636,0.000000,18.891410,60.876730,31.983984,0.000000,0.000000,0,0,0,0,0

