Block,Time Block,RIHAND2,RAPPC,RIHAND3,RIHAND1,RAPPB,NNTPP,NTPL,RAPPD,PARBATI3,PARBATI2,RAMPUR,KKNP,KKNPPU2,KISHANGANGA,MAPS,TelanganaSTPP,TALST2,SASAN,TANAKPUR,SIMHST1,SINGRAULI_HYDRO,TALA,RSTPSU1TO6,SIMHST2,RSTPSU7,TEHRI,SALAL,SEWA2,SINGRAULI,TANDA2,NJPC,NAPP,NLCIIST2,NLCEXP,NLCIIST1,KOLDAM,KOTESHWR,KUDGI,BSIUL,CHAMERA3,CHAMERA2,BRBCL,CHAMERA1,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-II,KHSTPP-I,NLCTS2EXP,UNCHAHAR4,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,URI,VALLURNTECL,URI2,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,119.97,66.51,125.95,93.63,0,0,0,20.86,16.26,15.92,5.3,0,0,8.31,0,0,0,400.85,6.04,0,1.04,0,0,0,0,30.13,38.61,0,144.78,5.32,133.21,24.69,0,0,0,5.6,10.04,0,6.28,33.73,47,14.44,40.59,480.22,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,528.61,0,0,0,0,0

2,00:15-00:30,119.97,66.51,125.95,93.63,0,0,0,20.86,16.26,15.92,5.3,0,0,8.31,0,0,0,400.85,6.04,0,1.04,0,0,0,0,30.13,38.61,0,144.78,5.32,133.21,24.69,0,0,0,5.6,10.04,0,6.28,33.73,47,14.44,40.59,480.22,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,528.61,0,0,0,0,0

3,00:30-00:45,119.97,66.51,125.95,93.63,0,0,0,20.86,16.26,15.92,5.3,0,0,8.31,0,0,0,400.85,6.04,0,1.04,5.09,0,0,0,30.13,38.05,0,144.78,5.32,133.21,24.69,0,0,0,5.6,10.04,0,6.28,33.73,47,14.44,40.59,480.22,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,528.61,0,0,0,0,0

4,00:45-01:00,119.97,66.51,125.95,93.63,0,0,0,20.86,16.26,15.92,5.3,0,0,8.31,0,0,0,400.85,6.04,0,1.04,5.09,0,0,0,30.13,38.05,0,144.78,5.32,133.21,24.69,0,0,0,5.6,10.04,0,6.28,33.73,47,14.44,40.59,480.22,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,528.61,0,0,0,0,0

5,01:00-01:15,119.97,66.51,125.95,93.63,0,0,0,20.86,16.26,15.92,5.3,0,0,8.31,0,0,0,400.85,6.04,0,1.04,5.09,0,0,0,30.13,38.05,0,107.96,5.32,133.21,24.69,0,0,0,5.6,10.04,0,6.28,33.73,47,14.44,40.59,480.22,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,528.61,0,0,0,0,0

6,01:15-01:30,119.97,66.51,125.95,93.63,0,0,0,20.86,16.26,15.92,5.3,0,0,8.31,0,0,0,400.85,6.04,0,1.04,5.09,0,0,0,30.13,38.05,0,107.96,5.32,133.21,24.69,0,0,0,5.6,10.04,0,6.28,33.73,47,14.44,40.59,480.22,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,528.61,0,0,0,0,0

7,01:30-01:45,119.97,66.51,125.95,93.63,0,0,0,20.86,16.26,15.92,5.3,0,0,8.31,0,0,0,400.85,0.49,0,1.04,6.23,0,0,0,30.13,38.05,0,107.96,5.32,133.21,24.69,0,0,0,5.6,10.04,0,6.28,33.73,47,14.44,40.59,480.22,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,528.61,0,0,0,0,0

8,01:45-02:00,119.97,66.51,125.95,93.63,0,0,0,20.86,16.26,15.92,5.3,0,0,8.31,0,0,0,400.85,0.49,0,1.04,6.23,0,0,0,30.13,38.05,0,107.96,5.32,133.21,24.69,0,0,0,5.6,10.04,0,6.28,33.73,47,13.62,40.59,480.22,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,528.61,0,0,0,0,0

9,02:00-02:15,119.97,66.51,125.95,93.63,0,0,0,20.86,16.26,15.92,5.3,0,0,8.31,0,0,0,400.85,0.49,0,1.04,6.23,0,0,0,30.13,38.05,0,107.96,5.32,133.21,24.69,0,0,0,5.6,10.04,0,12.56,22.47,47,10.49,40.59,480.22,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,528.61,0,0,0,0,0

10,02:15-02:30,119.97,66.51,125.95,93.63,0,0,0,20.86,16.26,15.92,5.3,0,0,8.31,0,0,0,400.85,0.49,0,1.04,6.23,0,0,0,30.13,38.05,0,107.96,5.32,133.21,24.69,0,0,0,5.6,10.04,0,12.56,22.47,47,10.29,40.59,480.22,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,528.61,0,0,0,0,0

11,02:30-02:45,119.97,66.51,125.95,93.63,0,0,0,20.86,16.26,15.92,5.3,0,0,8.31,0,0,0,400.85,0.49,0,1.04,6.23,0,0,0,30.13,38.05,0,107.96,5.32,133.21,24.69,0,0,0,5.6,10.04,0,12.56,22.47,47,11.32,40.59,480.22,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,528.61,0,0,0,0,0

12,02:45-03:00,119.97,66.51,125.95,93.63,0,0,0,20.86,16.26,15.92,5.3,0,0,8.31,0,0,0,400.85,0.49,0,1.04,6.23,0,0,0,30.13,38.05,0,107.96,5.32,133.21,24.69,0,0,0,5.6,10.04,0,12.56,22.47,47,12.72,40.59,480.22,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,528.61,0,0,0,0,0

13,03:00-03:15,119.97,66.51,125.95,93.63,0,0,0,20.86,16.26,21.71,5.3,0,0,8.31,0,0,0,400.85,0.49,0,0.94,6.23,0,0,0,30.13,38.05,0,107.96,5.32,133.21,24.69,0,0,0,5.6,10.04,0,12.56,22.47,47,14.37,40.59,480.22,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,523.61,0,0,0,0,0

14,03:15-03:30,119.97,66.51,125.95,93.63,0,0,0,20.86,16.26,21.71,5.3,0,0,8.31,0,0,0,400.85,0.49,0,0.94,6.23,0,0,0,19.63,38.05,0,107.96,5.32,133.21,24.69,0,0,0,5.6,10.04,0,12.56,22.47,47,12.42,27.06,480.22,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,523.61,0,0,0,0,0

15,03:30-03:45,119.97,66.51,125.95,93.63,0,0,0,20.86,18.47,21.71,5.3,0,0,8.31,0,0,0,400.85,0.49,0,0.94,6.23,0,0,0,19.63,38.05,0,107.96,5.32,133.21,24.69,0,0,0,4.6,10.04,0,12.56,22.47,47,14.44,27.06,480.22,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,523.61,0,0,0,0,0

16,03:45-04:00,119.97,66.51,125.95,93.63,0,0,0,20.86,18.47,21.71,5.3,0,0,8.31,0,0,0,400.85,0.49,0,0.94,6.23,0,0,0,19.16,38.05,0,107.96,5.32,133.21,24.69,0,0,0,4.6,10.04,0,12.56,22.47,47,14.44,27.06,397.68,0,0,142.81,43.85,0,1.64,18.33,36.81,23.15,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,15.45,57.3,523.61,0,0,0,0,0

17,04:00-04:15,119.97,66.51,125.95,93.63,0,0,0,20.86,18.47,21.71,5.3,0,0,8.31,0,0,0,400.85,0.49,0,0.94,6.23,0,0,0,19.16,38.05,0,107.96,5.32,133.21,24.69,0,0,0,4.6,10.04,0,12.56,22.47,47,14.44,27.06,397.68,0,0,142.81,43.85,0,1.64,18.33,36.81,23.15,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,15.45,57.3,461.77,0,0,0,0,0

18,04:15-04:30,119.97,66.51,125.95,93.63,0,0,0,20.86,18.47,21.71,5.3,0,0,8.31,0,0,0,400.85,0.49,0,0.94,6.23,0,0,0,19.16,38.05,0,107.96,5.32,133.21,24.69,0,0,0,4.6,10.04,0,12.56,22.47,47,14.44,13.53,464.5,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,394.36,0,0,0,0,0

19,04:30-04:45,119.97,66.51,125.95,93.63,0,0,0,20.86,18.47,21.71,5.3,0,0,8.31,0,0,0,400.85,0.49,0,0.94,6.23,0,0,0,19.16,76.44,0,107.96,5.32,133.21,24.69,0,0,0,4.6,10.04,0,12.56,22.47,47,14.44,13.53,474.72,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,311.9,0,0,0,0,0

20,04:45-05:00,119.97,66.51,125.95,93.63,0,0,0,20.86,18.47,21.71,5.3,0,0,8.31,0,0,0,400.85,0.49,0,0.94,6.23,0,0,0,19.16,76.44,0,107.96,5.32,133.21,24.69,0,0,0,2.31,10.04,0,12.56,22.47,47,14.44,13.53,474.72,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,240.6,0,0,0,0,0

21,05:00-05:15,119.97,66.51,125.95,93.63,0,0,0,20.86,18.47,21.71,5.3,0,0,8.31,0,0,0,400.85,0.49,0,0.94,6.23,0,0,0,19.16,76.44,0,107.96,5.32,133.21,24.69,0,0,0,2.1,10.04,0,12.56,22.47,47,14.44,13.53,387.39,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,264.59,0,0,0,0,0

22,05:15-05:30,119.97,66.51,125.95,93.63,0,0,0,20.86,18.47,21.71,5.3,0,0,8.31,0,0,0,400.85,0.49,0,0.94,6.23,0,0,0,19.16,76.44,0,107.96,5.32,133.21,24.69,0,0,0,1.97,10.04,0,12.56,22.47,47,14.44,13.53,437.22,0,0,142.81,43.85,0,1.64,21.13,42.38,26.66,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,17.4,57.3,163.24,0,0,0,0,0

23,05:30-05:45,119.97,66.51,125.95,93.63,0,0,0,20.86,18.47,21.71,5.3,0,0,8.31,0,0,0,400.85,0.49,0,0.94,6.23,0,0,0,19.16,49.24,0,107.96,3.86,133.21,24.69,0,0,0,1.97,10.04,0,12.56,22.47,47,14.44,13.53,387.5,0,0,113.8,35.18,0,0.9,16.56,34.21,21.52,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,15.53,57.3,163.24,0,0,0,0,0

24,05:45-06:00,119.97,66.51,125.95,93.63,0,0,0,20.86,18.47,21.71,5.3,0,0,8.31,0,0,0,400.85,0.49,0,0.94,6.23,0,0,0,19.16,49.24,0,107.96,3.86,133.21,24.69,0,0,0,1.97,10.04,0,12.56,22.47,47,14.44,13.53,282.55,0,0,113.8,35.18,0,0.9,16.56,33.82,21.52,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,14.9,57.3,163.24,0,0,0,0,0

25,06:00-06:15,119.97,66.51,125.95,93.63,0,0,0,20.86,18.47,21.71,5.3,0,0,8.31,0,0,0,400.85,0.49,0,0.94,6.23,0,0,0,19.16,49.24,6.07,107.96,3.86,133.21,24.69,0,0,0,1.97,10.04,0,18.84,22.47,47,14.44,13.53,282.55,0,0,113.8,35.18,0,0.9,16.56,33.82,21.52,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,14.9,57.3,163.24,0,0,0,0,0

26,06:15-06:30,119.97,66.51,125.95,93.63,0,0,0,20.86,18.47,21.71,5.3,0,0,8.31,0,0,0,400.85,0.49,0,0.94,6.23,0,0,0,19.16,49.24,12.14,107.96,3.86,133.21,24.69,0,0,0,1.97,10.04,0,18.84,22.47,47,14.44,0,282.55,0,0,113.8,35.18,0,0.9,16.56,33.82,21.52,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,14.9,57.3,163.24,0,0,0,0,0

27,06:30-06:45,95.42,66.51,91.88,64.01,0,0,0,20.86,16.26,13.02,5.3,0,0,8.31,0,0,0,400.85,0.49,0,0.94,5.66,0,0,0,19.16,49.24,12.14,98.22,3.86,133.21,24.69,0,0,0,1.97,10.04,0,18.84,22.47,47,14.44,0,282.55,0,0,113.8,35.18,0,0.9,16.56,33.82,21.52,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,14.9,57.3,126.7,0,0,0,0,0

28,06:45-07:00,95.42,66.51,91.88,64.01,0,0,0,20.86,16.26,13.02,5.3,0,0,8.31,0,0,0,400.85,0.99,0,0.94,5.66,0,0,0,19.16,49.24,18.2,98.22,3.86,133.21,24.69,0,0,0,1.97,10.04,0,18.84,22.47,47,14.44,0,386.26,0,0,113.8,35.18,0,0.9,16.56,34.08,21.52,35.08,0,36.69,0,0,0,0,0,0,0,0,0,0,0,0,10.54,14.9,57.3,93.96,0,0,0,0,0

