Block,Time Block,FSTPP I & II,DHAULIGNGA,CHAMERA2,KGSU3AND4,BRBCL,DULHASTI,DADRT2,CHAMERA1,JHAJJAR,KGSU1AND2,BSIUL,CHAMERA3,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,UNCHAHAR2,URI,TANAKPUR,TALA,TelanganaSTPP,TEHRI,TANDA2,TALST2,SASAN,SIMHST1,SIMHST2,RSTPSU7,SALAL,SEWA2,SINGRAULI_HYDRO,SINGRAULI,PARBATI3,RSTPSU1TO6,RAPPB,NLCTS2EXP,RIHAND3,RIHAND1,NNTPP,RAMPUR,RIHAND2,RAPPC,NTPL,NAPP,KOTESHWR,NLCEXP,NLCIIST1,NJPC,KUDGI,KOLDAM,MAPS,NLCIIST2,KHSTPP-II,KKNP,KKNPPU2,KISHANGANGA,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,17.22,0,0,0,19.21,13.57,383.45,0,231.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,18.09,19.25,15.26,33.94,3.7,0,0,0,0,0,335.27,0,0,0,2.24,0,0,134.19,0,0,0,0,119.43,88.38,0,0,114.09,50.59,0,41.14,8.52,0,0,0,0,0,0,0,81.87,0,0,0,37.45,0,0,0,0,0

2,00:15-00:30,17.22,0,0,0,19.21,13.57,364.24,0,231.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,18.09,19.25,15.26,33.94,3.7,0,0,0,0,0,335.27,0,0,0,2.24,0,0,134.19,0,0,0,0,119.43,88.38,0,0,114.09,50.59,0,41.14,8.52,0,0,0,0,0,0,0,81.87,0,0,0,37.45,0,0,0,0,0

3,00:30-00:45,17.22,0,0,0,17.16,13.57,316.2,0,231.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,18.09,19.25,15.26,1.07,3.7,0,0,0,0,0,335.27,0,0,0,2.24,0,0,134.19,0,0,0,0,119.43,88.38,0,0,114.09,50.59,0,41.14,8.52,0,0,0,0,0,0,0,81.87,0,0,0,37.45,0,0,0,0,0

4,00:45-01:00,17.22,0,0,0,15.32,13.57,316.2,0,231.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,18.09,19.25,15.26,1.07,3.7,0,0,0,0,0,335.27,0,0,0,2.24,0,0,134.19,0,0,0,0,119.43,88.38,0,0,114.09,50.59,0,41.14,8.52,0,0,0,0,0,0,0,81.87,0,0,0,37.45,0,0,0,0,0

5,01:00-01:15,15.03,0,0,0,14.2,13.57,316.2,0,231.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,18.09,19.25,15.26,1.07,9.85,0,0,0,0,0,335.27,0,0,0,2.24,0,0,134.19,0,0,0,0,119.43,88.38,0,0,114.09,50.59,0,41.14,8.52,0,0,0,0,0,0,0,81.87,0,0,0,37.45,0,0,0,0,0

