Block,Time Block,CHAMERA3,CHAMERA2,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,CHAMERA1,KOTESHWR,BSIUL,BRBCL,TALST2,TALA,RSTPSU1TO6,RIHAND3,RSTPSU7,SINGRAULI,SALAL,SEWA2,SASAN,SINGRAULI_HYDRO,SIMHST1,SIMHST2,NTPL,NLCTS2EXP,NNTPP,RAMPUR,RAPPC,PARBATI3,RAPPB,RIHAND2,RIHAND1,NLCIIST2,NLCEXP,NLCIIST1,NJPC,NAPP,MAPS,KUDGI,KISHANGANGA,KKNPPU2,KHSTPP-I,KGSU3AND4,KOLDAM,KHSTPP-II,KKNP,AURY_LF,ANTA_GF,AURY_CRF,ANTA_CRF,ANTA_RF,ANTA_LF,AURY_GF,AURY_RF,DADRI_LF,DADRI_GF,DADRI_CRF,DADRI_RF,JHAJJAR,KGSU1AND2,VALLURNTECL,TANDA2,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,30.98,42.7,39.01,20.09,51.95,658.45,27.14,27.99,12.59,19.31,0,10.22,0,123.22,0,124.13,80.8,5.59,330.81,0,0,0,0,0,0,3.42,58.16,20.36,0,117.54,75.5,0,0,0,161.37,43.68,0,0,1.39,0,42.79,0,5.17,95.48,0,0,0,0,0,0,0,0,0,0,0,0,0,370.07,0,0,2.7,17.99,1.56,34.81,26.12,12.5,0,41.01,37.31,32.84,0,0,0,0,0

2,00:15-00:30,30.98,42.7,39.01,20.09,51.95,658.45,27.14,27.99,12.59,19.31,0,10.22,0,123.22,0,124.13,80.8,5.59,330.81,0,0,0,0,0,0,3.42,58.16,20.36,0,117.54,75.5,0,0,0,161.37,43.68,0,0,1.39,0,42.79,0,5.17,95.48,0,0,0,0,0,0,0,0,0,0,0,0,0,321.78,0,0,2.7,15.74,1.56,34.81,26.12,12.5,0,41.01,37.31,32.84,0,0,0,0,0

3,00:30-00:45,30.98,42.7,39.01,20.09,51.95,658.45,0,27.99,12.59,17.96,0,10.36,0,123.22,0,123.51,80.8,5.59,330.81,0,0,0,0,0,0,3.42,58.16,20.36,0,117.54,75.5,0,0,0,161.37,43.68,0,0,1.39,0,42.79,0,5.17,95.48,0,0,0,0,0,0,0,0,0,0,0,0,0,370.07,0,0,2.7,15.74,1.56,34.81,26.12,12.5,0,41.57,38.39,32.84,0,0,0,0,0

4,00:45-01:00,30.98,42.7,39.01,20.09,51.95,658.45,0,27.99,12.59,14.42,0,10.36,0,123.22,0,123.51,80.8,5.59,330.81,0,0,0,0,0,0,3.42,58.16,20.36,0,117.54,75.5,0,0,0,161.37,43.68,0,0,1.39,0,42.79,0,5.17,95.48,0,0,0,0,0,0,0,0,0,0,0,0,0,350.75,0,0,2.7,15.74,1.56,34.81,26.12,12.5,0,41.57,38.39,32.84,0,0,0,0,0

5,01:00-01:15,30.98,42.7,39.01,20.09,51.95,599.37,0,18.66,12.59,13.02,0,10.08,0,123.22,0,123.51,80.8,5.59,330.81,0,0,0,0,0,0,3.42,58.16,20.36,0,117.54,75.5,0,0,0,161.37,43.68,0,0,1.39,0,42.79,0,5.17,95.48,0,0,0,0,0,0,0,0,0,0,0,0,0,341.09,0,0,2.7,15.74,1.56,34.81,26.12,12.5,0,41.57,38.39,32.84,0,0,0,0,0

6,01:15-01:30,30.98,42.7,39.01,20.09,51.95,599.37,0,9.33,12.59,13.82,0,10.08,0,123.22,0,123.51,80.8,5.59,330.81,0,0,0,0,0,0,3.42,58.16,20.36,0,117.54,75.5,0,0,0,161.37,43.68,0,0,1.39,0,42.79,0,5.17,95.48,0,0,0,0,0,0,0,0,0,0,0,0,0,302.47,0,0,2.7,15.74,1.56,34.81,26.12,12.5,0,41.57,38.39,32.84,0,0,0,0,0

