Block,Time,ANTA_CRF,SEWA2,DADRT2,TANDA2,URI2,KOTESHWR,RIHAND3,ANTA_LF,TANAKPUR,SALAL,DADRI_CRF,TEHRI,AURY_GF,ANTA_RF,DADRI_LF,RAPPB,DHAULIGNGA,AURY_LF,RAMPUR,CHAMERA3,FSTPP I & II,KHSTPP-II,KHSTPP-I,SASAN,RIHAND2,CHAMERA1,AURY_CRF,DULHASTI,KOLDAM,RAPPC,UNCHAHAR1,DADRI_RF,UNCHAHAR4,CHAMERA2,BRBCL,DADRI_GF,UNCHAHAR2,TALA,NJPC,PARBATI3,URI,NAPP,RIHAND1,KISHANGANGA,JHAJJAR,SINGRAULI_HYDRO,AURY_RF,ANTA_GF,UNCHAHAR3,BSIUL,SINGRAULI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,15.282514,361.658000,0.000000,31.479563,8.581158,119.584659,0.000000,5.698144,12.360194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.280290,142.401290,44.867910,404.950590,114.226875,0.000000,0.000000,0.000000,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,18.046799,0.000000,35.043504,0.000000,0.000000,0.000000,39.500016,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,134.712770,0,0,0,0,0

2,00:15-00:30,0.000000,15.282514,361.658000,0.000000,31.479563,8.581158,119.584659,0.000000,5.698144,12.360194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.280290,142.401290,44.867910,404.950590,114.226875,0.000000,0.000000,0.000000,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,17.858002,0.000000,35.377502,0.000000,0.000000,0.000000,39.500016,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,134.712770,0,0,0,0,0

3,00:30-00:45,0.000000,15.282514,361.658000,0.000000,31.479563,8.581158,119.584659,0.000000,5.698144,12.360194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.275451,142.401290,44.867910,404.950590,114.226875,0.000000,0.000000,0.000000,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,17.220227,0.000000,30.767716,0.000000,0.000000,0.000000,33.094608,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,134.712770,0,0,0,0,0

4,00:45-01:00,0.000000,15.282514,361.658000,0.000000,31.479563,8.581158,119.584659,0.000000,5.698144,12.360194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.089648,142.401290,44.867910,404.950590,114.226875,0.000000,0.000000,0.000000,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,15.875437,0.000000,30.767716,0.000000,0.000000,0.000000,33.094608,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,134.712770,0,0,0,0,0

5,01:00-01:15,0.000000,15.282514,361.658000,0.000000,31.479563,8.581158,119.584659,0.000000,5.698144,12.360194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.120500,132.731290,38.694022,404.950590,114.226875,0.000000,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,15.142971,0.000000,22.550440,0.000000,0.000000,0.000000,33.094608,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,134.712770,0,0,0,0,0

6,01:15-01:30,0.000000,15.282514,361.658000,0.000000,31.479563,8.581158,119.584659,0.000000,5.698144,12.360194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.120500,132.731290,38.694022,404.950590,114.226875,0.000000,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,16.442218,0.000000,22.550440,0.000000,0.000000,0.000000,33.094608,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,134.712770,0,0,0,0,0

7,01:30-01:45,0.000000,15.282514,361.658000,0.000000,31.479563,8.581158,119.584659,0.000000,0.000000,12.360194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.120500,132.731290,38.694022,404.950590,114.226875,0.000000,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,18.226234,0.000000,22.550440,0.000000,0.000000,0.000000,33.094608,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,134.712770,0,0,0,0,0

8,01:45-02:00,0.000000,15.282514,361.658000,0.000000,31.479563,8.581158,119.584659,0.000000,0.000000,12.360194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.120500,132.731290,38.694022,404.950590,114.226875,0.000000,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,14.001801,0.000000,22.550440,0.000000,0.000000,0.000000,33.094608,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,134.712770,0,0,0,0,0

9,02:00-02:15,0.000000,15.282514,361.658000,0.000000,31.479563,8.581158,119.584659,0.000000,0.000000,14.607502,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.120500,132.731290,38.694022,404.950590,114.226875,0.000000,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,14.606128,0.000000,27.044186,0.000000,0.000000,0.000000,33.094608,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,134.712770,0,0,0,0,0

10,02:15-02:30,0.000000,15.282514,361.658000,0.000000,31.479563,8.581158,119.584659,0.000000,0.000000,76.756805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.311142,132.731290,38.694022,404.950590,114.226875,0.000000,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,16.320807,0.000000,27.044186,0.000000,0.000000,0.000000,33.094608,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,134.712770,0,0,0,0,0

11,02:30-02:45,0.000000,15.282514,361.658000,0.000000,31.479563,8.581158,119.584659,0.000000,0.000000,76.756805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.033470,132.731290,38.694022,404.950590,114.226875,0.000000,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,16.647399,0.000000,22.771047,0.000000,0.000000,0.000000,39.500016,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,134.712770,0,0,0,0,0

12,02:45-03:00,0.000000,15.282514,361.658000,0.000000,31.479563,8.581158,119.584659,0.000000,0.000000,76.756805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.033470,132.731290,38.694022,404.950590,114.226875,0.000000,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,15.341324,0.000000,22.550440,0.000000,0.000000,0.000000,39.500016,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,134.712770,0,0,0,0,0

13,03:00-03:15,0.000000,15.282514,361.658000,0.000000,29.918593,8.581158,119.584659,0.000000,0.000000,76.756805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.033470,132.731290,38.694022,404.950590,107.220960,0.000000,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,0.000000,17.520390,0.000000,22.550440,0.000000,0.000000,0.000000,33.094608,40.690586,88.964000,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,12.611227,134.712770,0,0,0,0,0

