Block,Time Block,NAPP,NLCEXP,NLCIIST1,NJPC,NLCIIST2,MAPS,NLCTS2EXP,ANTA_RF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_LF,ANTA_CRF,ANTA_GF,KUDGI,KOTESHWR,KKNP,KKNPPU2,KOLDAM,KHSTPP-I,KGSU3AND4,KHSTPP-II,KISHANGANGA,DADRT2,DULHASTI,CHAMERA1,BSIUL,CHAMERA3,CHAMERA2,DHAULIGNGA,BRBCL,FSTPP I & II,JHAJJAR,KGSU1AND2,VALLURNTECL,UNCHAHAR1,URI,TANDA2,UNCHAHAR4,TALST2,URI2,TANAKPUR,UNCHAHAR3,TALA,TEHRI,TelanganaSTPP,UNCHAHAR2,SIMHST1,SIMHST2,SALAL,SEWA2,SINGRAULI_HYDRO,SINGRAULI,SASAN,PARBATI3,RSTPSU1TO6,RAPPB,RIHAND3,RIHAND1,RSTPSU7,RAMPUR,NNTPP,RIHAND2,RAPPC,NTPL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0,44.17,0,142.92,0,658.34,15.88,0,6.28,0,12.69,0,18.79,17.54,628.31,0,0,20.09,34.05,0,0,0,32.02,0,25.35,0,0,0,40.85,0,0,12.88,0,0.76,134.62,397.52,0,0,0,119.82,88.66,0,0,0,114.45,48.92,0,0,0,0,0,0

2,00:15-00:30,40.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0,44.17,0,142.92,0,658.34,15.88,0,6.28,0,12.69,0,18.31,17.54,628.31,0,0,20.09,34.05,0,0,0,32.02,0,25.35,0,0,0,40.85,0,0,12.88,0,0.76,134.62,398.43,0,0,0,119.82,88.66,0,0,0,114.45,48.92,0,0,0,0,0,0

3,00:30-00:45,40.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0,44.17,0,142.92,0,658.34,15.88,0,12.57,9.33,12.69,0,15.65,17.54,628.31,0,0,20.09,34.05,0,0,0,32.02,0,25.35,0,0,0,40.85,0,0,12.88,0,0.76,134.62,398.43,0,0,0,119.82,88.66,0,0,0,114.45,48.92,0,0,0,0,0,0

4,00:45-01:00,40.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0,44.17,0,142.92,0,658.34,15.88,0,12.57,9.33,12.69,0,13.5,17.54,628.31,0,0,20.09,34.05,0,0,0,32.02,0,25.35,0,0,0,40.85,0,0,12.88,0,0.76,134.62,398.43,0,0,0,119.82,88.66,0,0,0,114.45,48.92,0,0,0,0,0,0

5,01:00-01:15,40.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0,44.17,0,142.92,0,658.34,15.88,0,12.57,9.33,12.69,0,10.75,17.54,628.31,0,0,20.09,34.05,0,0,0,32.02,0,25.35,0,0,0,40.85,0,0,12.88,0,0.76,134.62,398.43,0,0,0,119.82,88.66,0,0,0,114.45,48.92,0,0,0,0,0,0

6,01:15-01:30,40.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0,44.17,0,142.92,0,658.34,15.88,0,12.57,9.33,0,0,12.43,17.54,628.31,0,0,20.09,34.05,0,0,0,32.02,0,25.35,0,0,0,40.85,0,0,12.88,4.88,0.76,134.62,398.43,0,0,0,119.82,88.66,0,0,0,114.45,48.92,0,0,0,0,0,0

7,01:30-01:45,40.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0,44.17,0,142.92,0,658.34,15.88,0,12.57,0,0,0,12.32,17.54,628.31,0,0,20.09,34.05,0,0,0,32.02,0,25.35,0,0,0,40.85,0,0,12.88,4.88,0.76,134.62,398.43,0,0,0,119.82,88.66,0,0,0,114.45,48.92,0,0,0,0,0,0

8,01:45-02:00,40.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0,44.17,0,142.92,0,658.34,15.88,0,12.57,0,0,0,12.34,17.54,628.31,0,0,20.09,34.05,0,0,0,32.02,0,25.35,0,0,0,40.85,0,0,12.88,4.88,0.76,134.62,398.43,0,0,0,119.82,88.66,0,0,0,114.45,48.92,0,0,0,0,0,0

9,02:00-02:15,40.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0,44.17,0,142.92,0,658.34,15.88,0,12.57,0,0,0,14.12,17.54,628.31,0,0,20.09,34.05,0,0,0,32.02,0,25.35,0,0,0,40.85,0,0,12.88,4.88,0.76,134.62,398.43,0,0,0,119.82,88.66,0,0,0,114.45,48.92,0,0,0,0,0,0

