Column1,Time,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/08/01/6209,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/8128,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5784,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/4452,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/2952,GNA/NR/2025/08/01/6452,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6187,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/08/01/3698,NR/01102023/19072037/LT-05,GNA/NR/2025/08/01/4125,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/NR/2024/12/20/3668,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNARE/SR/2025/01/13/4532,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19
1,00:00-00:15,100.41,33.73,0,10.76,-0,12.67,20.48,19.28,81.92,0,40.96,20.8,15.28,86.93,3.24,4.01,20.48,0,28.98,271.07,0,14.6,115.65,14.6,130.4,0,0,30,26.58,0,0,0,33.34,14.67,15,33.33,15,45,0,0,13.99,0,0,0,0,0,0,0,0,0

2,00:15-00:30,100.41,33.73,0,10.76,-0,12.67,20.48,19.28,81.92,0,40.96,20.8,15.28,86.93,3.24,4.01,20.48,0,28.98,271.07,0,14.6,115.65,14.6,130.4,0,0,30,26.58,0,0,0,35,15.33,15,35,15,45,0,0,13.43,0,0,0,0,0,0,0,0,0

3,00:30-00:45,100.41,33.73,0,10.76,-0,12.67,20.48,19.28,81.92,0,40.96,20.8,15.28,86.93,3.24,4.01,20.48,0,28.98,271.07,0,14.6,115.65,14.6,130.4,0,0,30,26.58,0,0,0,37,16,15.17,37,15.17,45.49,0,0,12.93,0,0,0,0,0,0,0,0,0

4,00:45-01:00,100.41,33.73,0,10.76,-0,12.67,20.48,19.28,81.92,0,40.96,20.8,15.28,86.93,3.24,4.01,20.48,0,28.98,271.07,0,14.6,115.65,14.6,130.4,0,0,30,26.58,0,0,0,39.34,16.33,15.17,39.33,15.17,45.49,0,0,12.45,0,0,0,0,0,0,0,0,0

5,01:00-01:15,100.41,33.73,0,10.76,-0,12.67,20.48,19.28,81.92,0,40.96,20.8,15.28,86.93,2.78,4.01,20.48,0,28.98,271.07,0,14.6,115.65,14.6,130.4,0,0,30,26.58,0,0,0,40,16.67,15.17,40,15.17,45.49,0,0,11.95,0,0,0,0,0,0,0,0,0

6,01:15-01:30,100.41,33.73,0,10.76,-0,12.67,20.48,19.28,81.92,0,40.96,20.8,15.28,86.93,2.78,4.01,20.48,0,28.98,271.07,0,14.6,115.65,14.6,130.4,0,0,30,26.58,0,0,0,42,17,15.5,42,15.5,46.5,0,0,11.44,0,0,0,0,0,0,0,0,0

