Column1,Time,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,NR/01102023/22052037/LT-59,GNA/NR/2024/10/01/3642,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/6101,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/10/01/8106,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/10/16/4393,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31052040/LT-31,GNA/NR/2024/10/16/2350,NR/01102023/19072037/LT-05,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2024/10/15/7089,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07)
1,00:00-00:15,13.33,6.66,0,0,6.66,20,13.33,6.8,2.8,37.23,100.41,2.69,2.78,86.93,2.78,261.67,2.83,12.41,37.23,37.23,29.77,12.41,0,0,95.13,4.88,0,31.71,70.27,272.51,200,0,0,0,0,0,0,0,0,0,6.67,0

2,00:15-00:30,13.33,6.66,0,0,6.66,20,13.33,6.8,2.8,37.23,100.41,2.69,2.78,86.93,2.78,261.67,2.83,12.41,37.23,37.23,29.77,12.41,0,0,95.13,4.88,0,31.71,70.27,272.51,200,0,0,0,0,0,0,0,0,0,6.67,0

3,00:30-00:45,13.33,6.66,0,0,6.66,20,13.33,6.8,2.8,37.23,100.41,2.69,2.78,86.93,2.78,261.67,2.83,12.41,37.23,37.23,29.77,12.41,0,0,95.13,4.88,0,31.71,70.27,272.51,200,0,0,0,0,0,0,0,0,0,6.67,0

4,00:45-01:00,13.33,6.66,0,0,6.66,20,13.33,6.8,2.8,37.23,100.41,2.69,2.78,86.93,2.78,261.67,2.83,12.41,37.23,37.23,29.77,12.41,0,0,95.13,4.88,0,31.71,70.27,272.51,200,0,0,0,0,0,0,0,0,0,6.67,0

5,01:00-01:15,13.33,6.66,0,0,6.66,20,13.33,6.8,2.8,37.23,100.41,2.69,2.78,86.93,2.78,261.67,2.83,12.41,37.23,37.23,29.77,12.41,0,0,95.13,4.78,0,31.71,70.27,272.51,200,0,0,0,0,0,0,0,0,0,6.67,0

6,01:15-01:30,13.33,6.66,0,0,6.66,20,13.33,6.8,2.8,37.23,100.41,2.69,2.78,86.93,2.78,261.67,2.83,12.41,37.23,37.23,29.77,12.41,0,0,95.13,4.78,0,31.71,70.27,272.51,200,0,0,0,0,0,0,0,0,0,6.67,0

7,01:30-01:45,13.33,6.66,0,0,6.66,20,13.33,6.8,2.8,37.23,100.41,2.69,2.78,86.93,2.78,261.67,2.83,12.41,37.23,37.23,29.77,12.41,0,0,95.13,4.78,0,31.71,70.27,272.51,200,0,0,0,0,0,0,0,0,0,6.67,0

8,01:45-02:00,13.33,6.66,0,0,6.66,20,13.33,6.8,2.8,37.23,100.41,2.69,2.78,86.93,2.78,261.67,2.83,12.41,37.23,37.23,29.77,12.41,0,0,95.13,4.78,0,31.71,70.27,272.51,200,0,0,0,0,0,0,0,0,0,6.67,0

9,02:00-02:15,13.33,6.66,0,0,6.66,20,13.33,6.8,2.63,37.23,100.41,2.69,26.91,86.93,26.91,261.67,2.76,12.41,37.23,37.23,29.77,12.41,0,0,95.13,4.78,0,31.71,70.27,272.51,0,0,0,0,0,0,0,0,0,0,6.67,0

10,02:15-02:30,13.33,6.66,0,0,6.66,20,13.33,6.8,2.63,37.23,84.81,2.69,26.91,86.93,26.91,261.67,2.76,12.41,37.23,37.23,29.77,12.41,0,0,95.13,4.78,0,31.71,70.27,272.51,0,0,0,0,0,0,0,0,0,0,6.67,0

11,02:30-02:45,13.33,6.66,0,0,6.66,20,13.33,6.8,2.63,37.23,100.41,2.69,26.91,86.93,26.91,234.73,2.76,12.41,37.23,37.23,30.28,12.41,0,0,95.13,4.78,0,31.71,70.27,272.51,0,0,0,0,0,0,0,0,0,0,6.67,0

12,02:45-03:00,13.33,6.66,0,0,6.66,20,13.33,6.8,2.63,37.23,86.74,2.69,26.91,86.93,26.91,225.1,2.76,12.41,37.23,37.23,30.28,12.41,0,0,95.13,4.78,0,31.71,70.27,272.51,0,0,0,0,0,0,0,0,0,0,6.67,0

13,03:00-03:15,13.33,6.66,0,0,6.66,20,13.33,6.8,2.63,37.23,72.28,2.69,26.91,67.98,26.91,205.82,2.76,12.41,37.23,37.23,30.28,12.41,0,0,95.13,4.78,0,31.71,70.27,272.51,0,0,0,0,0,0,0,0,0,0,6.67,0

14,03:15-03:30,13.33,6.66,0,0,6.66,20,13.33,6.8,2.63,37.23,72.28,2.69,26.91,67.98,26.91,205.82,2.76,12.41,37.23,37.23,30.28,12.41,0,0,95.13,4.78,0,31.71,70.27,272.51,0,0,0,0,0,0,0,0,0,0,6.67,0

15,03:30-03:45,13.33,6.66,0,0,6.66,20,13.33,6.8,2.63,37.23,53.01,2.69,26.91,57.54,26.91,170.25,2.76,12.41,37.23,37.23,30.28,12.41,0,0,95.13,4.78,0,31.71,70.27,272.51,0,0,0,0,0,0,0,0,0,0,6.67,0

