Column1,Time,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,GNARE/NR/2024/12/20/3668,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,GNARE/SR/2025/01/13/4532,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/07/5932,GNA/NR/2025/06/01/7782,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/8456,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/06/01/4973,GNA/NR/2025/04/01/8510,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/16/6051,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/20/3628,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/01/9719,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/06/01/2569,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/06/01/7786,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/8964,GNA/NR/2025/06/01/7663,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,GNA/NR/2025/06/01/9257,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762
1,00:00-00:15,18,19.66,0,19.66,59,0,0,0,0,0,0,0,0,0,42.82,0,0,0,0,0,0,-0,11.91,30,10.57,130.75,48.32,15.33,273.25,15.32,19.33,16,20.85,100.68,24.16,10.79,62.82,8.9,48.32,87.17,28.26,3.96,48.32,10.6,115.92,0,0,24.16,0,0,11.92,15.49,24.16

2,00:15-00:30,18,19.93,0,19.93,59.77,0,0,0,0,0,0,0,0,0,42.22,0,0,0,0,0,0,-0,11.91,30,10.57,130.75,48.32,15.33,273.25,15.32,19.33,16,20.85,100.68,24.16,10.79,62.82,8.9,48.32,87.17,28.26,3.96,48.32,10.6,115.92,0,0,24.16,0,0,11.92,15.49,24.16

3,00:30-00:45,21.6,20.22,0,20.22,60.65,0,0,0,0,0,0,0,0,0,41.62,0,0,0,0,0,0,-0,11.91,30,10.57,130.75,48.32,15.33,273.25,15.32,19.33,16,20.85,100.68,24.16,10.79,62.82,8.9,48.32,87.17,28.26,3.96,48.32,10.6,115.92,0,0,24.16,23.64,0,11.92,15.49,24.16

4,00:45-01:00,21.2,20.37,0,20.37,61.12,0,0,0,0,0,0,0,0,0,41.22,0,0,0,0,0,0,-0,11.91,30,10.57,130.75,48.32,15.33,273.25,15.32,19.33,16,20.85,100.68,24.16,10.79,62.82,8.9,48.32,87.17,28.26,3.96,48.32,10.6,94.71,0,0,24.16,23.64,0,11.92,15.49,24.16

5,01:00-01:15,31.67,24,0,24,72,0,0,0,0,0,0,0,0,0,41.22,0,0,0,0,0,0,-0,11.91,30,10.57,130.75,48.32,15.33,273.25,15.32,19.33,15.72,20.85,100.68,24.16,10.79,62.82,7.96,48.32,72.03,28.26,3.96,48.32,10.6,64.45,0,0,24.16,23.64,0,11.92,15.49,24.16

6,01:15-01:30,31.33,23.67,0,23.67,70.99,0,0,0,0,0,0,0,0,0,41.02,0,0,0,0,0,0,-0,11.91,30,10.57,113.51,48.32,15.33,273.25,15.32,19.33,15.72,20.85,100.68,24.16,10.79,62.82,7.96,48.32,67.19,28.26,3.96,48.32,10.6,64.45,0,0,24.16,23.64,0,11.92,15.49,24.16

7,01:30-01:45,31,27.33,0,27.33,82.01,0,0,0,0,0,0,0,0,0,41.42,0,0,0,0,0,0,-0,11.91,30,10.57,84.19,48.32,15.33,273.25,15.32,19.33,15.72,20.85,74.41,24.16,10.79,62.82,7.96,48.32,56.65,28.26,3.96,48.32,10.6,81.83,0,0,24.16,23.64,0,11.92,15.49,24.16

8,01:45-02:00,30.33,28.17,0,28.17,84.49,0,0,0,0,0,0,0,0,0,41.62,0,0,0,0,0,0,-0,11.91,30,10.57,84.19,48.32,15.33,231.94,15.32,19.33,15.72,20.85,53.15,24.16,10.79,62.82,7.96,48.32,56.65,28.26,3.96,48.32,10.6,70.46,0,0,24.16,23.64,0,11.92,15.49,24.16

9,02:00-02:15,29.67,29.17,0,29.17,87.49,0,0,0,0,0,0,0,0,0,42.02,0,0,0,0,0,0,-0,11.91,30,10.57,84.19,48.32,15.33,212.61,15.32,19.33,15.54,20.85,53.15,24.16,10.79,62.82,7.5,48.32,56.65,28.26,3.96,48.32,10.6,70.46,0,0,24.16,23.64,193.28,11.92,15.49,24.16

