Column1,Time,NR/01102023/19072037/LT-05,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/3642,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/8106,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/01/6101,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/10/01/9072,NR/01102023/06022042/L_NR_2012_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/22102023/11042047/L_NR_2021_17,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,WR/01102023/29112042/L_NR_2019_05,NR/01102023/30042040/GNA_LT_35,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,GNA/NR/2024/10/16/2350,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01
1,00:00-00:15,70.27,200,12.41,37.23,4.69,12.41,2.53,2.59,142.69,37.23,29.77,23.17,272.51,37.23,61.68,0,0,0,0,32,2.55,0,0,0,13.33,0,6.8,6.84,0,6.83,6.66,20.5,13.33,0,0,0,0,0,0,47.56,234.73,100.41

2,00:15-00:30,70.27,200,12.41,37.23,4.69,12.41,2.53,2.59,142.69,37.23,29.77,23.17,272.51,37.23,61.68,0,0,0,0,32,2.55,0,0,0,13.33,0,6.8,6.84,0,6.83,6.66,20.5,13.33,0,0,0,0,0,0,47.56,234.73,100.41

3,00:30-00:45,70.27,200,12.41,37.23,4.69,12.41,2.53,2.59,142.69,37.23,29.77,23.17,272.51,37.23,61.68,0,0,0,0,32,2.55,0,0,0,13.33,0,6.8,6.84,0,6.83,6.66,20.5,13.33,0,0,0,0,0,0,47.56,234.73,100.41

4,00:45-01:00,70.27,200,12.41,37.23,4.69,12.41,2.53,2.59,142.69,37.23,29.77,23.17,272.51,37.23,61.68,0,0,0,0,32,2.55,0,0,0,18.33,0,6.8,6.84,0,6.83,6.66,20.5,18.33,0,0,0,0,0,0,47.56,234.73,100.41

5,01:00-01:15,70.27,200,12.41,37.23,4.69,12.41,2.53,2.59,142.69,37.23,29.77,2.78,272.51,37.23,61.68,0,0,0,0,2.78,2.55,0,0,0,17.67,0,6.8,6.84,0,6.83,6.66,20.5,17.67,0,0,0,0,0,0,47.56,234.73,100.41

6,01:15-01:30,70.27,200,12.41,37.23,4.69,12.41,2.53,2.59,142.69,37.23,29.27,2.78,272.51,37.23,61.68,0,0,0,0,2.78,2.55,0,0,0,17,0,6.8,6.84,0,6.83,6.66,20.5,17,0,0,0,0,0,0,47.56,234.73,100.41

7,01:30-01:45,70.27,200,12.41,37.23,4.69,12.41,2.53,2.59,142.69,37.23,29.27,2.78,272.51,37.23,61.68,0,0,0,0,2.78,2.55,0,0,0,16.67,0,6.8,9.34,0,9.33,6.66,28,16.67,0,0,0,0,0,0,47.56,234.73,100.41

8,01:45-02:00,70.27,200,12.41,37.23,4.69,12.41,2.53,2.59,142.69,37.23,29.27,2.78,272.51,37.23,61.68,0,0,0,0,2.78,2.55,0,0,0,16.33,0,6.8,9.34,0,9.33,6.66,28,16.33,0,0,0,0,0,0,47.56,234.73,100.41

9,02:00-02:15,70.27,0,12.41,37.23,4.69,12.41,2.53,2.59,142.69,37.23,28.26,26.91,272.51,37.23,61.68,0,0,0,0,26.91,2.55,0,0,0,15.67,0,6.8,9,0,9,6.66,27,15.67,0,0,0,0,0,0,47.56,234.73,91.56

10,02:15-02:30,70.27,0,12.41,37.23,4.69,12.41,2.53,2.59,142.69,37.23,28.26,26.91,272.51,37.23,61.68,0,0,0,0,26.91,2.55,0,0,0,15,0,6.8,8.84,0,8.83,6.66,26.5,15,0,0,0,0,0,0,47.56,205.82,91.56

