Block,Time,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/25122043/GNA_MEJA_DELHI,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05421,NR/01102023/31052040/LT-31,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,NR/25122023/27122023/IEX_231223_05926,NR/30092023/26122029/SH-06,NR/23122023/31122023/HP-21,NR/01102023/05012040/L_NR_2020_02,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/23122023/31122023/HP-17,NR/01102023/06022042/L_NR_2012_02,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05422,NR/01102023/19072037/LT-05,NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/23122023/31122023/SJVN231223NR1309,NR/23122023/31122023/SJVN231223NR1310,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,NR/01102023/14082046/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17
1,00:00-00:15,0.000000,23.110000,0.000000,5.780000,0.000000,11.560000,1.150000,0.000000,192.620000,30.820000,147.720000,1.670000,96.310000,8.190000,86.680000,24.820000,114.950000,147.050000,14.450000,71.650000,148.970000,37.140000,1.090000,15.94,0,47.82,14.34,0,0,0,39.35,15.93,21.69,0,0,0,0,0,39.35,0,0,0,48.16,0,0,0,0

2,00:15-00:30,0.000000,23.110000,0.000000,5.780000,0.000000,11.560000,1.150000,0.000000,192.620000,30.820000,147.720000,1.670000,96.310000,8.190000,72.230000,24.820000,114.950000,147.050000,14.450000,71.650000,148.970000,37.140000,1.090000,15.61,0,46.83,12.84,0,0,0,37.75,15.61,21.4,0,0,0,0,0,37.75,0,0,0,48.16,0,0,0,0

3,00:30-00:45,0.000000,23.110000,0.000000,5.780000,0.000000,11.560000,1.150000,0.000000,192.620000,25.650000,147.720000,1.670000,96.310000,8.190000,46.230000,25.650000,114.950000,117.500000,14.450000,71.650000,148.970000,37.140000,1.090000,14.94,0,44.83,12.21,0,0,0,36.25,14.95,21.11,0,0,0,0,0,36.25,0,0,0,48.16,0,0,0,0

4,00:45-01:00,0.000000,23.110000,0.000000,5.780000,0.000000,11.560000,1.150000,0.000000,192.620000,25.650000,147.720000,1.670000,96.310000,8.190000,46.230000,25.650000,114.950000,111.720000,14.450000,71.650000,148.970000,37.140000,1.090000,14.44,0,43.33,8.41,0,0,0,35.28,14.44,20.9,0,0,0,0,0,35.28,0,0,0,48.16,0,0,0,0

5,01:00-01:15,0.000000,23.110000,0.000000,5.780000,0.000000,11.560000,1.150000,0.000000,192.620000,25.650000,147.720000,1.670000,96.310000,8.190000,46.230000,25.650000,114.950000,111.720000,14.450000,71.650000,148.970000,37.320000,1.090000,13.81,0,41.43,8.29,0,0,0,35.16,13.8,21.13,0,0,0,0,0,35.16,0,0,0,48.16,0,0,0,0

