Block,Time,L_NR_2019_19,NR/04042024/30042024/SJVN040424NR1694,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,NR/01102023/14082046/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02012046/L_NR_2021_17,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,NR/01042024/31072024/LT_MEJA_DELHI,NR/01042024/30042024/PTC/OA/32001,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/16042024/31052024/IEX_240323_06618,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/22052037/LT-59,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,NR/16042024/30042024/IEX_240323_06617
1,00:00-00:15,0,0,0,0,0,48.45,0,0,37.67,16.15,0,0,6.01,0,0,0,0,16.15,14,0,37.67,0,0.000000,4.360000,129.680000,16.090000,41.000000,30.870000,0.000000,48.240000,4.600000,272.770000,0.000000,4.740000,11.420000,30.870000,100.500000,115.710000,0.000000,29.270000,87.020000,0.000000,9.650000

2,00:15-00:30,0,0,0,0,0,47.29,0,0,37,15.77,0,0,6.01,0,0,0,0,15.76,13.34,0,37,0,0.000000,4.360000,129.680000,16.090000,41.000000,30.870000,0.000000,48.240000,4.600000,272.770000,0.000000,4.740000,11.420000,30.870000,100.500000,115.710000,0.000000,29.270000,87.020000,0.000000,9.650000

3,00:30-00:45,0,0,0,0,0,46.17,0,0,35.67,15.4,0,0,6.01,0,0,0,0,15.39,13.66,0,35.67,0,0.000000,4.360000,129.680000,16.090000,41.000000,30.870000,0.000000,48.240000,4.600000,272.770000,0.000000,4.740000,11.420000,30.870000,100.500000,115.710000,0.000000,29.270000,87.020000,0.000000,9.650000

4,00:45-01:00,0,0,0,0,0,45.22,0,0,35.67,15.07,0,0,6.01,0,0,0,0,15.07,12.66,0,35.67,0,0.000000,4.360000,129.680000,16.090000,41.000000,30.870000,0.000000,48.240000,4.600000,272.770000,0.000000,4.740000,11.420000,30.870000,100.500000,115.710000,0.000000,29.270000,87.020000,0.000000,9.650000

5,01:00-01:15,0,0,0,0,0,45.73,0,0,36,15.26,0,0,6.01,0,0,0,0,15.24,12.34,0,36,0,0.000000,4.360000,129.680000,16.090000,41.000000,30.870000,0.000000,48.240000,4.520000,272.770000,0.000000,4.660000,11.420000,30.870000,100.500000,115.710000,0.000000,29.270000,87.020000,0.000000,9.650000

6,01:15-01:30,0,0,0,0,0,46.53,0,0,36.33,15.5,0,0,6.01,0,0,0,0,15.51,12.34,0,36.33,0,0.000000,4.360000,129.680000,16.090000,41.000000,30.870000,0.000000,48.240000,4.520000,272.770000,0.000000,4.660000,11.420000,30.870000,100.500000,115.710000,0.000000,29.270000,87.020000,0.000000,9.650000

7,01:30-01:45,0,0,0,0,0,47.41,0,0,36.67,15.81,0,0,6.01,0,0,0,0,15.8,12,0,36.67,0,0.000000,4.360000,129.680000,16.090000,41.000000,30.870000,0.000000,48.240000,4.520000,272.770000,0.000000,4.660000,11.420000,30.870000,100.500000,115.710000,0.000000,29.270000,87.020000,0.000000,9.650000

8,01:45-02:00,0,0,0,0,0,48.21,0,0,36.33,16.07,0,0,6.01,0,0,0,0,16.07,12.34,0,36.33,0,0.000000,4.360000,129.680000,16.090000,41.000000,30.870000,0.000000,48.240000,4.520000,272.770000,0.000000,4.660000,11.420000,30.870000,100.500000,115.710000,0.000000,29.270000,87.020000,0.000000,9.650000

9,02:00-02:15,0,0,0,0,0,62.87,0,0,44,20.95,0,0,6.01,0,0,0,0,20.96,18.34,0,44,0,0.000000,4.360000,129.680000,16.090000,41.000000,30.870000,0.000000,48.240000,4.520000,272.770000,0.000000,4.660000,11.330000,0.000000,100.500000,115.710000,0.000000,29.270000,87.020000,0.000000,9.650000

