Block,Time,L_NR_2012_04,L_NR_2012_07,L_NR_2020_02,L_NR_2019_11,LT-35,SH-06,LT-59,SH-07,L_NR_2012_02,L_NR_2012_01,LT-31,LT-36,L_NR_2023_04,LT_MEJA_Delhi,LT-05,L_NR_2022_09,L_NR_2022_10,L_NR_2020_06,L_NR_2019_07,L_NR_2020_05,L_NR_2020_07,L_NR_2021_16,L_NR_2021_12,L_NR_2021_13,L_NR_2021_15,L_NR_2019_06,L_NR_2021_14,L_NR_2019_05,L_NR_2022_08,L_NR_2018_61,L_NR_2019_19,L_NR_2021_17
1,00:00-00:15,272.250000,78.600000,11.920000,10.780000,0.000000,0.000000,10.360000,0.000000,261.940000,101.400000,0.000000,0.000000,0.000000,3.960000,115.820000,21.38,21.38,12.63,0,37.9,12.63,0,0,0,0,0,0,0,10.12,17.76,0,0

2,00:15-00:30,272.250000,78.600000,11.920000,10.780000,0.000000,0.000000,10.360000,0.000000,261.940000,101.400000,0.000000,0.000000,0.000000,3.960000,115.820000,21.26,21.26,10.11,0,30.33,10.11,0,0,0,0,0,0,0,9.77,17.91,0,0

3,00:30-00:45,272.250000,78.600000,11.920000,10.780000,0.000000,0.000000,10.360000,0.000000,261.940000,101.400000,0.000000,0.000000,0.000000,3.960000,115.820000,16.74,16.74,10.12,0,30.36,10.13,0,0,0,0,0,0,0,2.82,17.96,0,0

4,00:45-01:00,272.250000,78.600000,11.920000,10.780000,0.000000,0.000000,10.360000,0.000000,261.940000,101.400000,0.000000,0.000000,0.000000,3.960000,115.820000,17.27,17.27,10.1,0,30.3,10.1,0,0,0,0,0,0,0,2.82,18.02,0,0

5,01:00-01:15,272.250000,68.320000,11.920000,10.780000,0.000000,0.000000,10.360000,0.000000,261.940000,101.400000,0.000000,0.000000,0.000000,3.960000,115.820000,17.24,17.24,10.18,0,30.52,10.17,0,0,0,0,0,0,0,2.84,18.11,0,0

