Time,Block,NR/01102023/22052037/LT-59,NR/02102023/02102023/HPX-TAMCTG-011023-04723,NR/2023/17344/F,NR/01102023/15082037/GNA_NR_2012_01,NR/2023/14436/A,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/2023/17609/C,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/2023/17615/C,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,NR/2023/17261/F,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/2023/17406/F,NR/01102023/30042040/GNA_LT_36,NR/01102023/31102037/L_NR_2019_11,NR/2023/17405/F,NR/02102023/02102023/HPX-TAMCTG-011023-04728,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2023/17165/A,NR/2023/14754/A,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,NR/2023/17496/F,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02012046/L_NR_2021_17,NR/2023/17595/C,NR/01102023/13082046/L_NR_2021_12,NR/01102023/14082046/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,NR/2023/17613/C,Total
,,DELHI,HPXL,ITCLH,DELHI,GMRETL,BAWANA_GAS,DELHI,TPDDL,TPTCL,SECI_Trader,HPXL,PUNJAB,DELHI,APPCPL,DELHI,DELHI,MANIKARAN,SECI_Trader,DELHI,MANIKARAN,HPXL,MEJA,NVVNL,APPCPL,TPTCL,SECI_Trader,IEXL,SECI_Trader,SECI_Trader,SECI_Trader,SECI_Trader,DELHI,SECI_Trader,SECI_Trader,DMRC,SECI_Trader,SECI_Trader,SECI_Trader,SECI_Trader,NVVNL,ERCPL_FTG2,SECI_Trader,SECI_Trader,SECI_Trader,SECI_Trader,SJVNL,Total

,,HIMACHAL PRADESH,NA,ANDHRA PRADESH,DVC,MEGHALAYA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,HARYANA,RAJASTHAN,NA,DELHI,DVC,HIMACHAL PRADESH,DVC,HIMACHAL PRADESH,HIMACHAL PRADESH,RAJASTHAN,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,UTTAR PRADESH,NA,HIMACHAL PRADESH,NA,RAJASTHAN,KARNATAKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,SHEPL_HP,Teesta_III,ITCWIND,MEJIA,Meghalaya_Ben,BAWANA_GAS,THPPL_RALA,CHANJUII,CLP_JHAJJAR,RAJ_SOLAR,Teesta_III,BAWANA_GAS,DVC,HP,DVC,GBHHPL,HP,RAJ_SOLAR,NHPPL,HP,RKM_POWER,MEJA,SKS Raigarh,HP,MPL,RAJ_SOLAR,NSLSUGAR,AlfanarWind_SECI-III,AP41PL_BHDL,AlfanarWind_SECI-III,SRIJAN_MORJAR_BHJ2_W,Athena_RUMS,TS1PL_BKN,ERCPL_FTG2,Mahindra_RUMS,SITAC_CHUGGER_BHJ2_W,AlfanarWind_SECI-III,Tuticorin_GIREL,SBSRPC11PL_BKN,SOLAPUR_SOLAR,ERCPL_FTG2,SBSRPC11PL_BKN,TS1PL_BKN,ASE4PL,SITAC_CHUGGER_BHJ2_W,RSRPL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,BRPL,ITCLH,BYPL,BYPL,HARYANA,TPDDL,TPDDL,TPDDL,TPDDL,BRPL,PUNJAB,DELHI,BRPL,DELHI,DIAPL,BRPL,BRPL,TPDDL,BRPL,BRPL,DELHI,NDMC,BYPL,TPDDL,BYPL,MES (Delhi),BRPL,BRPL,BYPL,BRPL,DMRC,BYPL,BYPL,DMRC,BRPL,TPDDL,BRPL,BYPL,MES (Delhi),BRPL,TPDDL,BRPL,BYPL,BYPL,NDMC,
,,North-North,East-North,South-West-North,East-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,East-North,North-North,East-North,North-North,East-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,West-North,North-North,East-North,North-North,South-East-North,West-North,North-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,South-West-North,North-North,West-North,North-North,North-North,North-North,North-North,West-North,North-North,
1,00:00-00:15,5.050000,314.050000,0.580000,101.210000,33.820000,26.420000,4.370000,6.370000,117.890000,0.000000,138.180000,32.000000,237.270000,54.110000,71.510000,31.890000,4.350000,0.000000,4.530000,4.830000,48.320000,0.000000,33.820000,23.190000,271.770000,0.000000,6.760000,27.5,0,9.16,8.88,0,0,0,0,25.01,9.17,9.65,0,0,0,0,0,0,25.01,0,1686.67

2,00:15-00:30,5.050000,323.710000,0.580000,101.210000,33.820000,26.420000,4.370000,6.370000,117.890000,0.000000,113.060000,32.000000,237.270000,54.110000,71.510000,31.890000,4.350000,0.000000,4.530000,4.830000,48.320000,0.000000,33.820000,23.190000,271.770000,0.000000,6.760000,27.5,0,9.16,8.99,0,0,0,0,23.34,9.17,10.32,0,0,0,0,0,0,23.34,0,1668.65

3,00:30-00:45,5.050000,351.730000,0.580000,101.210000,33.820000,26.420000,4.370000,6.370000,117.890000,0.000000,82.140000,32.000000,237.270000,54.110000,71.510000,31.890000,4.350000,0.000000,4.530000,4.830000,48.320000,0.000000,33.820000,23.190000,271.770000,0.000000,6.760000,25.01,0,8.33,8.79,0,0,0,0,20.01,8.34,10.89,0,0,0,0,0,0,20.01,0,1655.31

4,00:45-01:00,5.050000,359.460000,0.580000,101.210000,33.820000,26.420000,4.370000,6.370000,117.890000,0.000000,51.210000,32.000000,237.270000,54.110000,71.510000,31.890000,4.350000,0.000000,4.530000,4.830000,48.320000,0.000000,33.820000,23.190000,271.770000,0.000000,6.760000,24.51,0,8.17,8.64,0,0,0,0,19.42,8.17,10.24,0,0,0,0,0,0,19.42,0,1629.3

5,01:00-01:15,4.980000,325.640000,0.530000,101.210000,33.820000,26.420000,4.370000,6.370000,117.890000,0.000000,17.390000,32.000000,237.270000,54.110000,71.510000,31.890000,4.350000,0.000000,4.380000,4.830000,48.320000,0.000000,33.820000,23.190000,271.770000,0.000000,6.760000,24.5,0,8.16,8.41,0,0,0,0,18.67,8.17,9.53,0,0,0,0,0,0,18.67,0,1558.93

6,01:15-01:30,4.980000,333.370000,0.530000,101.210000,33.820000,26.420000,4.370000,6.370000,117.890000,0.000000,2.900000,32.000000,237.270000,54.110000,71.510000,31.890000,4.350000,0.000000,4.380000,4.830000,48.320000,0.000000,33.820000,23.190000,271.770000,0.000000,6.760000,24.13,0,8.04,8.33,0,0,0,0,18.67,8.04,10.18,0,0,0,0,0,0,18.67,0,1552.12

7,01:30-01:45,4.980000,307.280000,0.530000,101.210000,33.820000,26.420000,4.370000,6.370000,117.890000,0.000000,0.000000,32.000000,237.270000,54.110000,71.510000,31.890000,4.350000,0.000000,4.380000,4.830000,48.320000,0.000000,33.820000,23.190000,271.770000,0.000000,6.760000,23.01,0,7.67,8.05,0,0,0,0,18.51,7.67,12.2,0,0,0,0,0,0,18.51,0,1522.69

8,01:45-02:00,4.980000,274.430000,0.530000,101.210000,33.820000,26.420000,4.370000,6.370000,117.890000,0.000000,0.000000,32.000000,237.270000,54.110000,71.510000,31.890000,4.350000,0.000000,4.380000,4.830000,48.320000,0.000000,33.820000,23.190000,271.770000,0.000000,6.760000,22.5,0,7.5,7.95,0,0,0,0,18.42,7.5,11.73,0,0,0,0,0,0,18.42,0,1488.24

