Time,Block,NR/2024/18996/A/13246,NR/2024/18976/A/12730,NR/2024/19172/A/13382,NR/2024/18935/A/12720,NR/2024/18977/A/12731,NR/2024/18855/A/12870,NR/2024/18978/A/12732,NR/2024/19199/C,NR/2024/19075/A/12781,NR/2024/18919/A/13238,NR/2024/19081/A/12779,NR/2024/19121/A/12867,NR/2024/18936/A/12721,NR/2024/18986/A/12817,NR/2024/19030/A/12797,NR/2024/18934/A/12719,NR/2024/19115/A/12777,NR/2024/19024/A/12849,NR/2024/19043/A/12790,NR/2024/19198/C,Total
,,PTC,PXIL,TPDDL,PXIL,PXIL,GMRETL,PXIL,NVVNL,IEXL,APPCPL,IEXL,GMRETL,PXIL,ITCLH,IEXL,PXIL,IEXL,DIAPL,IEXL,NVVNL,Total

,,MAHARASHTRA,ODISHA,NA,TAMIL NADU,NA,RAJASTHAN,TAMIL NADU,NA,ODISHA,NAGALAND,DELHI,RAJASTHAN,TAMIL NADU,ANDHRA PRADESH,NA,TAMIL NADU,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,
,,JPL_DHULE,FACORPOWER,JHAJJAR,SAKTHISUGARS_ELMTN,MEENAKSHI,RUVNL,BIRLACARBONTN,KAMENG,VSL,Nagaland_Ben,EDWPCL12,RUVNL,SAKTHISUGARSLTD,ITCWIND,JHABUA_IPP,SAKTHISUGRAR_TN,SWPL,GBHHPL,MBMP,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,TPDDL,BRPL,BRPL,BYPL,BRPL,TPDDL,BRPL,BYPL,UPPCL,BYPL,BRPL,ITCLH,BRPL,BRPL,BRPL,DIAPL,BRPL,MES (Delhi),
,,West-North,East-West-North,North-North,South-West-North,South-West-North,North-North,South-West-North,North East-East-North,East-North,North East-East-North,North-North,North-North,South-West-North,South-West-North,West-East-North,South-West-North,West-East-North,North-North,West-East-North,West-North,
1,00:00-00:15,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.07

2,00:15-00:30,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.07

3,00:30-00:45,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.07

4,00:45-01:00,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.07

5,01:00-01:15,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.02

6,01:15-01:30,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.02

7,01:30-01:45,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.02

8,01:45-02:00,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.02

9,02:00-02:15,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.02

10,02:15-02:30,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.02

11,02:30-02:45,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.02

12,02:45-03:00,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.02

13,03:00-03:15,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.02

14,03:15-03:30,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.02

15,03:30-03:45,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.02

16,03:45-04:00,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.02

17,04:00-04:15,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.02

18,04:15-04:30,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.02

19,04:30-04:45,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.02

20,04:45-05:00,0.000000,0.000000,116.050000,0.000000,0.000000,66.910000,0.000000,45.070000,0.000000,9.670000,2.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,245.02

21,05:00-05:15,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,45.070000,0.000000,9.670000,0.000000,66.910000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,243.02

22,05:15-05:30,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,45.070000,0.000000,9.670000,0.000000,66.910000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,243.02

23,05:30-05:45,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,45.070000,0.000000,9.670000,0.000000,66.910000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,243.02

24,05:45-06:00,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,45.070000,0.000000,9.670000,0.000000,66.910000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,243.02

25,06:00-06:15,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,45.070000,0.000000,0.000000,0.000000,66.910000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,233.35

26,06:15-06:30,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,45.070000,0.000000,0.000000,0.000000,66.910000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0,233.35

27,06:30-06:45,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,45.070000,0.000000,0.000000,0.000000,66.910000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0.42,233.77

28,06:45-07:00,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,45.070000,0.000000,0.000000,0.000000,66.910000,0.000000,0.480000,0.000000,0.000000,0.000000,4.840000,0.000000,0.73,234.08

29,07:00-07:15,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,52.580000,0.000000,0.000000,0.000000,66.910000,0.000000,0.630000,0.000000,0.000000,0.000000,4.840000,0.000000,1.18,242.19

30,07:15-07:30,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,52.580000,0.000000,0.000000,0.000000,66.910000,0.000000,0.630000,0.000000,0.000000,0.000000,4.840000,0.000000,1.71,242.72

31,07:30-07:45,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,52.580000,0.000000,0.000000,0.000000,66.910000,0.000000,0.630000,0.000000,0.000000,0.000000,4.840000,0.000000,2.38,243.39

32,07:45:08:00,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,52.580000,0.000000,0.000000,0.000000,66.910000,0.000000,0.630000,0.000000,0.000000,0.000000,4.840000,0.000000,3.06,244.07

33,08:00-08:15,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,52.580000,0.000000,0.000000,0.000000,66.910000,0.000000,0.970000,0.000000,0.000000,0.000000,4.840000,0.000000,3.7,245.05

34,08:15-08:30,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,52.580000,0.000000,0.000000,0.000000,66.910000,0.000000,0.970000,0.000000,0.000000,0.000000,4.840000,0.000000,4.38,245.73

35,08:30-08:45,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,52.580000,0.000000,0.000000,0.000000,66.910000,0.000000,0.970000,0.000000,0.000000,0.000000,4.840000,0.000000,5.03,246.38

36,08:45:09:00,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,52.580000,0.000000,0.000000,0.000000,66.910000,0.000000,0.970000,0.000000,0.000000,0.000000,4.840000,0.000000,5.63,246.98

37,09:00:09:15,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,52.580000,0.000000,0.000000,0.000000,66.910000,0.000000,0.970000,0.000000,0.000000,0.000000,4.840000,0.000000,6.17,247.52

38,09:15-09:30,0.000000,0.000000,116.050000,0.000000,0.000000,0.000000,0.000000,52.580000,0.000000,0.000000,0.000000,66.910000,0.000000,0.970000,0.000000,0.000000,0.000000,4.840000,0.000000,6.68,248.03

