Time,Block,NR/2023/13704/A,NR/2023/11697/A,NR/2023/14187/F,NR/2023/14120/F,NR/2023/11315/A,NR/2023/11264/A,NR/2023/14548/C,NR/2023/13704/A/II,NR/2023/13983/F,NR/2023/14116/F,NR/2023/11325/A,NR/2023/14114/F,NR/2023/11469/A,NR/2023/11954/A,NR/2023/11654/A,NR/2023/14117/F,NR/2023/13283/A,NR/2023/11892/A,NR/2023/11521/A,NR/2023/14118/F,NR/2023/12646/A,NR/2023/14532/D,NR/2023/11328/A,NR/2023/13573/A,NR/2023/14549/C,NR/2023/11204/A,NR/2023/14121/F,NR/2023/13284/A,NR/2023/11739/A,NR/2023/14556/C,NR/2023/11205/A,NR/2023/13858/A,NR/2023/11203/A,NR/2023/13859/A,NR/2023/14136/F,NR/2023/11524/A,NR/2023/14538/D,NR/2023/13283/A/II,NR/2023/13573/A/II,NR/2023/14113/F,NR/2023/13983/F/II,NR/2023/14533/D,NR/2023/11458/A,NR/2023/14546/C,NR/2023/11470/A,NR/2023/14115/F,NR/2023/14119/F,NR/2023/14539/D,NR/2023/14559/C,NR/2023/14535/D,NR/2023/14536/D,NR/2023/14558/C,NR/2023/14534/D,ER/2023/8855/C,Total
,,HPXL,APPCPL,GBHHPL,SHPPBPL,GMRETL,TPTCL,TPDDL,HPXL,ITCLH,SHPPBPL,APPCPL,SHPPBPL,NVVNL,KEIPL,TPTCL,SHPPBPL,APPCPL,TPTCL,PTC,SHPPBPL,MANIKARAN,KEIPL,APPCPL,NVVNL,PXIL,KEIPL,SHPPBPL,APPCPL,NVVNL,IEXL,KEIPL,MANIKARAN,KEIPL,MANIKARAN,SJVNL,PTC,NVVNL,APPCPL,NVVNL,SHPPBPL,ITCLH,KEIPL,STATKRAFT,GBHHPL,NVVNL,SHPPBPL,SHPPBPL,NVVNL,TS1PL_BKN,NVVNL,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,HPXL,Total

,,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,MAHARASHTRA,ANDHRA PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,NA,MEGHALAYA,NA,HIMACHAL PRADESH,GOA,MAHARASHTRA,NA,HIMACHAL PRADESH,TAMIL NADU,UTTAR PRADESH,UTTARAKHAND,NA,DELHI,KERALA,HIMACHAL PRADESH,HIMACHAL PRADESH,MP,KARNATAKA,KERALA,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,WEST BENGAL,NA,NA,GOA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,MAHARASHTRA,TAMIL NADU,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,NA,NA,NA,DELHI,
,,B_S_ISPAT_MH,HP,GBHHPL,SHPPBPL,Meghalaya_Ben,KWHEP,CHANJUII,B_S_ISPAT_MH,ITCWIND,SHPPBPL,Meghalaya_Ben,SHPPBPL,JPNIGRIE_JNSTPP,Meghalaya_Ben,JPL-2,SHPPBPL,GOA_Beneficiary,TPC MSEB,JPNIGRIE_JNSTPP,SHPPBPL,TANGEDCO,LAPL-UP,UTTARAKHAND,SKS Raigarh,BYPL,KSEB,SHPPBPL,HP,JP BINA,NSLSUGAR,KSEB,HP,Meghalaya_Ben,HP,IPCL_WB,JPL-2,KAMENG,GOA_Beneficiary,SKS Raigarh,SHPPBPL,ITCWIND,LMEL MSEB,TANGEDCO,GBHHPL,KAMENG,SHPPBPL,SHPPBPL,SORANG_HEP,TS1PL_BKN,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,
,,NDMC,BYPL,DIAPL,MHIL,BYPL,BRPL,TPDDL,NDMC,ITCLH,AISHER,BYPL,BAL224,BRPL,BYPL,BRPL,BMDRC,BRPL,BYPL,TPDDL,MAX-HPTL,BRPL,BYPL,BYPL,NDMC,ASIL_UP,BYPL,UHL,BRPL,BRPL,MES (Delhi),BRPL,BRPL,BYPL,BRPL,NDMC,TPDDL,TPDDL,BRPL,NDMC,BAL184,ITCLH,BYPL,BYPL,DIAPL,BRPL,BAL234,JHPL-DL,TPDDL,BYPL,MES (Delhi),BYPL,BRPL,BRPL,VLSEZ,
,,West-North,North-North,North-North,North-North,North East-East-North,North-North,North-North,West-East-North,South-West-North,North-North,North East-East-North,North-North,West-North,North East-East-North,West-North,North-North,West-East-North,West-North,West-North,North-North,South-West-North,North-North,North-North,West-East-North,North-North,South-East-North,North-North,North-North,West-North,South-West-North,South-East-North,North-North,North East-East-North,North-North,East-North,West-North,North East-East-North,West-North,West-North,North-North,South-East-North,West-North,South-West-North,North-North,North East-East-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,North-East,
1,00:00-00:15,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.210000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.870000,0.000000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2020.31

2,00:15-00:30,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.210000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.870000,0.000000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2020.31

3,00:30-00:45,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.210000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.870000,0.000000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2020.31

4,00:45-01:00,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.210000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.870000,0.000000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2020.31

5,01:00-01:15,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.120000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.680000,0.000000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2020.03

6,01:15-01:30,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.120000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.680000,0.000000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2020.03

7,01:30-01:45,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.120000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.680000,0.000000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2020.03

8,01:45-02:00,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.120000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.680000,0.000000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2020.03

9,02:00-02:15,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.030000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,38.620000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.580000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2076.8

10,02:15-02:30,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.030000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,38.620000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.580000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2076.8

11,02:30-02:45,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.030000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,38.620000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.580000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2076.8

12,02:45-03:00,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.030000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,38.620000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.580000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2076.8

13,03:00-03:15,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,18.940000,0.000000,0.260000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,48.270000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.270000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1915.87

14,03:15-03:30,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,18.940000,0.000000,0.260000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,48.270000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.270000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1915.87

