Column1,Block,NR/2024/22542/C,NR/01082024/15082024/APL-Raigarh,NR/01082024/31082024/jitpl,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/22539/C,NR/2024/22541/C,NR/30092023/31122025/SH-07,NR/01082024/31082024/SKS-Raigarh,NR/2024/22052/A/32071,NR/2024/22547/C,NR/01102023/14082046/L_NR_2021_16,NR/2024/22058/A/32072,NR/2024/22042/A/32017,NR/2024/21974/A/32324,NR/2024/21961/A/32296,NR/2024/21971/A/32323,NR/2024/21938/A/32298,NR/2024/21956/A/32340,NR/2024/22010/A/32353,NR/2024/21943/A/32336,NR/2024/21909/A/32276,NR/2024/21918/A/32350,NR/2024/21968/A/32321,NR/2024/21940/A/32338,NR/2024/21954/A/32337,NR/2024/21983/A/32053,NR/2024/22398/A/32397,NR/2024/22279/A/32016,NR/2024/21814/A/32325,NR/01102023/02012046/L_NR_2021_17,NR/2024/22432/A/32117,NR/2024/21970/A/32322,NR/2024/21658/A/32001,NR/2024/22014/A/32018,NR/2024/21860/A/32398,NR/2024/21966/A/32074,Total
,,NVVNL,AEL,JITPL,INSTINCT,TPTCL,DELHI,PUNJAB,DELHI,APPCPL,NVVNL,NVVNL,BAWANA_GAS,DELHI,SJVNL,SJVNL,SECI_Trader,SJVNL,IEXL,NVVNL,PTC,NVVNL,PTC,APPCPL,MANIKARAN,APPCPL,AEL,MANIKARAN,NVVNL,APPCPL,APPCPL,TPTCL,TPDDL,IEXL,NVVNL,SECI_Trader,DIAPL,NVVNL,ITCLH,IEXL,TPDDL,INSTINCT,
,,NA,NA,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,MSEB_State,Arunachal_State,NA,NA,DELHI_UT,NA,NA,NA,NA,NA,MSEB_State,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,KERALA_State,GOA_State,MSEB_State,NA,MSEB_State,NA,UTTARAKHAND_STATE,Manipur_State,NA,NA,KARNATAKA_STATE,NA,NA,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,NA,NA,
,,SOLAPUR_SOLAR,APL_Raigarh_TPP,JITPL,JPL2,SIMHAPURI,CHANJUII,BAWANA_GAS,MSEB_Beneficiary,Arunachal_Ben,SORANG_HEP,Kameng,BAWANA_GAS,SKS_Raigarh,RSRPL_BKN,TPSL_BKN2,SBSRPC11PL_BKN,TPSL_BKN2,A_A_Energy_MH_Bio,RKM_POWER,HP,RKM_POWER,HP,KSEB,GOA_Beneficiary,AEML,APL_Raigarh_TPP,AEML,JPL2,UTTARAKHAND,Manipur_Ben,SIMHAPURI,JHAJJAR,NSLSUGAR,JPNIGRIE_JNSTPP,SBSRPC11PL_BKN,GBHHPL,TRN_ENERGY,ITCWIND,NHCPL_HP,JPL2,JPL2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,BRPL,NDMC,BRPL,BRPL,TPDDL,PUNJAB,TPDDL,BRPL,TPDDL,TPDDL,HARYANA,NDMC,NDMC,NDMC,TPDDL,NDMC,MES_Delhi,NDMC,BRPL,NDMC,BYPL,BYPL,BRPL,BRPL,BRPL,BYPL,NDMC,BYPL,BRPL,BRPL,TPDDL,MES_Delhi,TPDDL,BYPL,DIAPL,NDMC,ITCLH,MES_Delhi,TPDDL,BRPL,
,,West-North,West-North,East-North,West-North,South-West-North,North-North,North-North,West-North,North East-East-North,North-North,North East-East-North,North-North,West-North,North-North,North-North,North-North,North-North,West-North,West-North,North-North,West-North,North-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,North East-East-North,South-East-North,North-North,South-East-West-North,West-North,North-North,North-North,West-North,South-West-North,North-North,West-North,West-North,
1,00:00-00:15,0,192.34,8.41,48.08,48.08,18.18,31.4269,0,38.47,27.89,163.73,32,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.63,1.92,0,0,1432.2269000000003

2,00:15-00:30,0,192.34,8.41,48.08,48.08,18.18,31.4269,0,38.47,27.89,163.73,32,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.63,1.92,0,0,1432.2269000000003

3,00:30-00:45,0,192.34,8.41,48.08,48.08,18.18,31.4269,0,38.47,27.89,109.15,31.4269,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.63,1.92,0,0,1377.0738000000003

4,00:45-01:00,0,192.34,8.41,48.08,48.08,18.18,31.4269,0,38.47,27.89,109.15,31.4269,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.63,1.92,0,0,1377.0738000000003

5,01:00-01:15,0,192.34,8.41,48.08,48.08,18.18,31.4269,0,38.47,27.89,109.15,31.4269,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.58,1.92,0,0,1377.0238000000002

6,01:15-01:30,0,192.34,8.41,48.08,48.08,18.18,31.4269,0,38.47,27.89,109.15,31.4269,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.58,1.92,0,0,1377.0238000000002

7,01:30-01:45,0,192.34,8.41,48.08,48.08,18.18,31.4269,0,38.47,27.89,109.15,31.4269,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.58,1.92,0,0,1377.0238000000002

8,01:45-02:00,0,192.34,8.41,48.08,48.08,18.18,31.4269,0,38.47,27.89,109.15,31.4269,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.58,1.92,0,0,1377.0238000000002

9,02:00-02:15,0,192.34,8.41,48.08,48.08,18.18,32,0,38.47,27.89,109.15,32,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.58,1.92,0,0,1378.17

10,02:15-02:30,0,192.34,8.41,48.08,48.08,18.18,32,0,38.47,27.89,109.15,32,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.58,1.92,0,0,1378.17

11,02:30-02:45,0,192.34,8.41,48.08,48.08,18.18,32,0,38.47,27.89,109.15,5.9536,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.58,1.92,0,0,1352.1236000000001

12,02:45-03:00,0,192.34,8.41,48.08,48.08,18.18,32,0,38.47,27.89,109.15,5.9536,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.58,1.92,0,0,1352.1236000000001

13,03:00-03:15,0,192.34,8.41,48.08,48.08,18.18,32,0,0,27.89,109.15,5.9536,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.58,1.92,0,0,1313.6536

14,03:15-03:30,0,192.34,8.41,48.08,48.08,18.18,32,0,0,27.89,109.15,21.5632,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.58,1.92,0,0,1329.2632

15,03:30-03:45,0,192.34,8.41,48.08,48.08,18.18,32,0,0,27.89,109.15,21.5632,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.58,1.92,0,0,1329.2632

16,03:45-04:00,0,192.34,8.41,48.08,48.08,18.18,32,0,0,27.89,109.15,21.5632,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.58,1.92,0,0,1329.2632

17,04:00-04:15,0,192.34,8.41,48.08,48.08,17.71,32,0,0,27.89,109.15,21.5632,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.53,1.92,0,0,1328.7432000000001

18,04:15-04:30,0,192.34,8.41,48.08,48.08,17.71,32,0,0,27.89,109.15,21.5632,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.53,1.92,0,0,1328.7432000000001

19,04:30-04:45,0,192.34,8.41,48.08,48.08,17.71,32,0,0,27.89,109.15,21.5632,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.53,1.92,0,0,1328.7432000000001

20,04:45-05:00,0,192.34,8.41,48.08,48.08,17.71,32,0,0,27.89,109.15,21.5632,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,67.32,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.53,1.92,0,0,1328.7432000000001

21,05:00-05:15,0,192.34,8.41,48.08,48.08,17.71,24.8044,0,0,27.89,109.15,21.5632,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,24.04,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.53,1.92,0,0,1278.2676000000001

22,05:15-05:30,0,192.34,8.41,48.08,48.08,17.71,24.8044,0,0,27.89,109.15,21.5632,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,24.04,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.53,1.92,0,0,1278.2676000000001

23,05:30-05:45,0,192.34,8.41,48.08,48.08,17.71,24.8044,0,0,27.89,109.15,21.5632,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,24.04,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,8.66,8.74,0.53,1.92,0,0,1278.2676000000001

24,05:45-06:00,0,192.34,8.41,48.08,48.08,17.71,24.8044,0,0,27.89,109.15,21.5632,8.74,0,0,0,0,3.85,26.23,113.61,26.23,37.87,24.04,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,7.69,8.74,0.53,1.92,0,0,1277.2976

25,06:00-06:15,0,192.34,8.41,48.08,48.08,17.26,24.8044,0,0,27.89,109.15,21.5632,8.74,0,0,0,0,3.85,26.23,0,26.23,0,24.04,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,7.69,8.74,0.63,1.92,0,0,1125.4676000000002

26,06:15-06:30,0,192.34,8.41,48.08,48.08,17.26,24.8044,0,0,27.89,109.15,21.5632,8.74,0,0,0,0,3.85,26.23,0,26.23,0,24.04,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,7.69,8.74,0.63,1.92,0,0,1125.4676000000002

27,06:30-06:45,0.2,192.34,8.41,48.08,48.08,16.62,24.8044,0,0,27.89,109.15,21.5632,8.74,0,0,0,0,3.85,26.23,0,26.23,0,24.04,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,7.69,8.74,0.63,1.92,0,0,1125.0276000000001

28,06:45-07:00,0.77,192.34,8.41,48.08,48.08,16.62,24.8044,0,0,27.89,109.15,21.5632,8.74,0,0,0,0,3.85,26.23,0,26.23,0,24.04,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,7.69,8.74,0.63,1.92,0,0,1125.5976000000003

29,07:00-07:15,1.14,192.34,8.41,48.08,48.08,16.62,24.8044,0,0,27.89,109.15,21.5632,8.74,0,0,0,0,3.85,26.23,0,26.23,0,24.04,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,7.69,8.74,0.72,1.92,0,0,1126.0576

30,07:15-07:30,1.38,192.34,8.41,48.08,48.08,16.62,24.8044,0,0,27.89,109.15,21.5632,8.74,0,0,0,0,3.85,26.23,0,26.23,0,24.04,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,7.69,8.74,0.72,1.92,0,0,1126.2976

31,07:30-07:45,2.21,192.34,8.41,48.08,48.08,16.62,26.8708,0,0,27.89,163.73,25.9614,8.74,0,0,0,0,3.85,26.23,0,26.23,0,24.04,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,6.73,8.74,0.72,1.92,0,0,1187.2122000000002

32,07:45-08:00,2.4,192.34,8.41,48.08,48.08,16.62,26.8708,0,0,27.89,163.73,25.9614,8.74,0,0,0,0,3.85,26.23,0,26.23,0,24.04,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,6.73,8.74,0.72,1.92,0,0,1187.4022000000002

33,08:00-08:15,2.5,192.34,8.41,48.08,48.08,16.62,26.8708,0,0,27.89,163.73,25.9614,8.74,0,0,0,0,3.85,26.23,0,26.23,0,24.04,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,0,1187.7422000000001

34,08:15-08:30,2.64,192.34,8.41,48.08,48.08,16.62,26.8708,0,0,27.89,163.73,25.9614,8.74,0,0,0,0,3.85,26.23,0,26.23,0,24.04,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,0,1187.8822

35,08:30-08:45,2.76,192.34,8.41,48.08,48.08,16.62,26.8708,0,0,27.89,163.73,25.9614,8.74,0,0,0,0,3.85,26.23,0,26.23,0,24.04,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,0,1188.0022000000001

36,08:45-09:00,3.37,192.34,8.41,48.08,48.08,16.62,26.8708,0,0,27.89,163.73,25.9614,8.74,0,0,0,0,3.85,26.23,0,26.23,0,24.04,11.68,38.47,0,90.4,26.23,83.84,23.97,0,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,0,1188.6122

37,09:00-09:15,4.33,0,8.41,0,0,16.62,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1243.3716000000002

38,09:15-09:30,4.62,0,8.41,0,0,16.62,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1243.6616000000001

39,09:30-09:45,5,0,8.41,0,0,16.62,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1244.0416000000002

40,09:45-10:00,5.24,0,8.41,0,0,16.62,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1244.2816000000003

41,10:00-10:15,5.58,0,8.41,0,0,16.62,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1244.6216000000002

42,10:15-10:30,6.01,0,8.41,0,0,16.62,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1245.0516000000002

43,10:30-10:45,6.25,0,8.41,0,0,16.62,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1245.2916000000002

44,10:45-11:00,6.7,0,8.41,0,0,16.62,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1245.7416000000003

45,11:00-11:15,6.92,0,8.41,0,0,16.34,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1245.6816000000001

46,11:15-11:30,7.21,0,8.41,0,0,16.34,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1245.9716000000003

47,11:30-11:45,7.5,0,8.41,0,0,16.34,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1246.2616000000003

48,11:45-12:00,8.17,0,8.41,0,0,16.34,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1246.9316000000001

49,12:00-12:15,8.37,0,8.41,0,0,16.34,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1247.1316000000002

50,12:15-12:30,9.04,0,8.41,0,0,16.34,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1247.8016000000002

51,12:30-12:45,9.23,0,8.41,0,0,16.34,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1247.9916000000003

52,12:45-13:00,9.42,0,8.41,0,0,16.34,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1248.1816000000001

53,13:00-13:15,9.52,0,8.41,0,0,16.34,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1248.2816000000003

54,13:15-13:30,8.85,0,8.41,0,0,16.34,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1247.6116000000002

55,13:30-13:45,8.46,0,8.41,0,0,16.34,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1247.2216000000003

56,13:45-14:00,8.08,0,8.41,0,0,16.34,26.8708,0,0,27.89,163.73,26.8708,8.74,42.31,0,0,10.58,3.85,26.23,0,26.23,0,24.04,11.68,38.47,192.34,90.4,26.23,83.84,23.97,48.08,240.42,4.81,0,0,6.73,8.74,0.96,1.92,0,48.08,1246.8416000000002

