Column1,Block,NR/2025/33819/C,NR/2025/32535/A/97833,NR/2025/32534/A/97830,NR/2025/32532/A/97828,GNARE/NR/2024/12/20/3668,NR/2025/32535/A/97834,NR/2025/32534/A/97831,NR/2025/32532/A/97829,NR/2025/33633/A/97526,NR/2025/33632/A/97528,NR/2025/32599/A/97862,NR/2025/33637/A/97524,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/1196,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6475,NR/2025/32004/A/97814,NR/2025/33469/A/97486,NR/2025/32455/A/97965,NR/2025/29440/A/97377,NR/2025/33815/C,NR/2025/32262/A/97427,NR/2025/33798/C,NR/2025/33816/C,NR/2025/31421/A/97904,NR/2025/32559/A/97810,NR/2025/33670/A/97861,NR/2025/33810/C,NR/2025/32556/A/97811,NR/2025/32375/A/97900,NR/2025/33656/A/97878,NR/2025/31049/A/97886,NR/2025/32610/A/97809,NR/2025/31045/A/97884,NR/2025/31048/A/97885,NR/2025/29992/A/97489,NR/2025/32397/A/97392,NR/2025/33814/C,NR/2025/31043/A/97883,Total
,,MES_Delhi,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,SECI_Trader,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,GMRETL,GMRETL,BRPL,GMRETL,NDMC,NDMC,MANIKARAN,NDMC,NVVNL,APPCPL,BAWANA_GAS,PowerPulse,PUNJAB,MANIKARAN,MANIKARAN,APPCPL,DELHI,MANIKARAN,APPCPL,DIAPL,MANIKARAN,ITCLH,APPCPL,TPTCL,APPCPL,APPCPL,NVVNL,APPCPL,PTC,NVVNL,APPCPL,NVVNL,PowerPulse,PowerPulse,APPCPL,PowerPulse,PowerPulse,BYPL,IEXL,APPCPL,PowerPulse,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOA_State,DELHI_UT,MSEB_State,DELHI_UT,NA,MP_State,GOA_State,HIMACHAL_STATE,MSEB_State,MSEB_State,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,NA,MSEB_State,MSEB_State,NA,NA,NA,GoHP_NJPC_STATE,NA,NA,MP_State,NA,NA,NA,NA,NA,KERALA_State,MSEB_State,NA,NA,
,,NTPCREL_PSS2_KPS2_S,TESPL_BKN2,TESPL_BKN2,TESPL_BKN2,APSEPL_FTG,TCSPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,JGCPL_BKN2,JGCPL_BKN2,TS1PL_BKN,JGCPL_BKN2,SKS_Raigarh,TRN_ENERGY,MBMP,JIPL,JHABUA_IPP,GOA_Beneficiary,BAWANA_GAS,Vidarbha_Industry_MH,BAWANA_GAS,DBPL,BLAPOWER_MP,GOA_Beneficiary,CHANJUII,AEML,AEML,GBHHPL,MBMP,ITCWIND,JPL2,TPC_MSEB,AEML,RKM_POWER,JPNIGRIE_JNSTPP,RKM_POWER,GoHP_NJPC,Kameng,JPL2,JP_BINA,APL_Raipur_TPP,APL_Raigarh_TPP,RKM_POWER,MAHAN_ENERGEN,APL_Raigarh_TPP,KSEB,A_A_Energy_MH_Bio,RKM_POWER,MAHAN_ENERGEN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,TPDDL,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,DTCP,MAX_HPTL,BRPL,BLKMH,NDMC,NDMC,BRPL,NDMC,BRPL,BRPL,HARYANA,BRPL,PUNJAB,BRPL,BRPL,BRPL,TPDDL,BRPL,BYPL,DIAPL,BRPL,ITCLH,NDMC,BYPL,BYPL,NDMC,TPDDL,NDMC,BRPL,TPDDL,NDMC,TPDDL,BRPL,TPDDL,NDMC,TPDDL,TPDDL,BYPL,MES_Delhi,NDMC,TPDDL,
,,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,East-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,15.27,0,81.9,0,29.45,20.47,19.27,19.18,20.79,105.98,12.53,48.18,0.87,0,54.2,0,0,0,24.09,81.9,192.7,24.09,0,163.8,0,24.09,0,0,44.32,8.67,0,0,1080.8400000000001

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,8.76,8.76,33.72,17.38,20.47,15.27,0,81.9,0,29.45,20.47,19.27,19.18,20.79,105.98,12.53,48.18,0.87,0,54.2,0,0,0,24.09,81.9,192.7,24.09,0,163.8,0,24.09,0,0,44.32,8.67,0,0,1080.8400000000001

