Column1,Block,NR/2025/31138/A/90793,NR/2025/29985/A/90932,NR/2025/31347/A/90237,NR/2025/31138/A/90792,GNARE/NR/2024/12/20/3668,NR/2025/30105/A/90856,NR/2025/29992/A/90640,NR/2025/29628/A/90912,NR/2025/31983/C,NR/2025/31997/C,NR/2025/32009/C,NR/2025/30121/A/90240,NR/2025/29353/A/90750,NR/2025/31998/C,NR/2025/32011/C,NR/2025/27965/A/90745,NR/2025/29167/A/90610,NR/2025/30082/A/90766,NR/2025/31933/C,NR/2025/27966/A/90748,NR/2025/29439/A/90355,NR/2025/31870/A/90698,NR/2025/30083/A/90907,NR/2025/30191/A/90238,NR/2025/29440/A/90228,NR/2025/31971/C,NR/2025/31921/C,NR/2025/31952/C,NR/2025/31970/C,NR/2025/31926/C,NR/2025/29915/A/90608,NR/2025/29352/A/90754,NR/2025/30101/A/90852,NR/2025/30086/A/90905,NR/2025/27975/A/90752,NR/2025/32017/C,NR/2025/27973/A/90749,NR/2025/30067/A/90724,NR/2025/32017/C/Alternate/1,NR/2025/32023/C,NR/2025/31915/C,NR/2025/32026/C,NR/2025/32029/C,NR/2025/32016/C,NR/2025/29910/A/90910,NR/2025/30084/A/90906,NR/2025/30217/A/90854,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/1192,NR/2025/32025/C,NR/2025/32027/C,NR/2025/27978/A/90858,NR/2025/28728/A/90760,NR/2025/31339/A/90931,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/2786,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/31420/A/90429,NR/2025/31137/A/90790,NR/2025/31419/A/90431,NR/2025/31136/A/90775,NR/2025/31136/A/90774,NR/2025/31137/A/90791,NR/2025/32034/C,Total
,,OIDLWM3_AEROCITY,BRPL,IEXL,OIDLWM3_AEROCITY,SECI_Trader,APPCPL,BYPL,APPCPL,ITCLH,APPCPL,NVVNL,IEXL,PTC,APPCPL,NVVNL,PowerPulse,TPTCL,HPXL,PowerPulse,PowerPulse,IVPL_Trader,DIAPL,APPCPL,IEXL,ITCLH,PowerPulse,BYPL,HPXL,PowerPulse,IEXL,TPTCL,PTC,NVVNL,APPCPL,PowerPulse,NVVNL,PowerPulse,MANIKARAN,NVVNL,APPCPL,IEXL,APPCPL,APPCPL,NVVNL,APPCPL,APPCPL,APPCPL,PowerPulse,PowerPulse,PTC,APPCPL,APPCPL,NVVNL,PowerPulse,BRPL,BAWANA_GAS,NDMC,PUNJAB,APPCPL,PowerPulse,APPCPL,MANIKARAN,DELHI,GMRETL,OIDLWM2_AEROCITY,GMRETL,ABLWM1_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,MES_Delhi,
,,NA,NA,NA,NA,NA,NA,KERALA_State,MSEB_State,ANDHRA_PRADESH_STATE,MSEB_State,NA,TAMILNADU_State,GoHP_NJPC_STATE,KERALA_State,MP_State,NA,MSEB_State,NA,NA,NA,MSEB_State,HIMACHAL_STATE,NA,NA,ANDHRA_PRADESH_STATE,NA,KERALA_State,NA,NA,TAMILNADU_State,UTTARPRADESH_STATE,GoHP_Chamera1_STATE,MP_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KERALA_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,NA,DELHI_UT,GOA_State,NA,GOA_State,MSEB_State,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,
,,TCSPL_BKN2,TS1PL_BKN,TPSL_BKN2,TESPL_BKN2,APSEPL_FTG,JIPL,KSEB,AEML,ITCWIND,AEML,JPNIGRIE_JNSTPP,PCBLTNLTD_UNIT2,GoHP_NJPC,KSEB,JP_BINA,MAHAN_ENERGEN,TPC_MSEB,SKS_Raigarh,APL_Raipur_TPP,MAHAN_ENERGEN,TPC_MSEB,GBHHPL,SKS_Raigarh,IND_BHARAT,ITCWIND,APL_Raigarh_TPP,KSEB,SKS_Raigarh,MAHAN_ENERGEN,PCBLTNLTD_UNIT2,PPGCL,GoHP_Chamera1,JP_BINA,RKM_POWER,APL_Raigarh_TPP,Kameng,APL_Raigarh_TPP,MBMP,Kameng,SKS_Raigarh,IND_BHARAT,TRN_ENERGY,JIPL,SORANG_HEP,KSEB,RKM_POWER,TRN_ENERGY,APL_Raipur_TPP,MAHAN_ENERGEN,MEENAKSHI,RKM_POWER,RKM_POWER,JPNIGRIE_JNSTPP,APL_Raipur_TPP,DADRT2,BAWANA_GAS,JPL2,BAWANA_GAS,GOA_Beneficiary,APL_Raipur_TPP,GOA_Beneficiary,AEML,CHANJUII,JNEPL_BKN2,TESPL_BKN2,JNEPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,NTPCREL_PSS2_KPS2_S,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,OIDLWM3_AEROCITY,BRPL,MES_Delhi,OIDLWM3_AEROCITY,TPDDL,NDMC,BYPL,BYPL,ITCLH,BYPL,TPDDL,MES_Delhi,BRPL,BYPL,TPDDL,TPDDL,BYPL,BRPL,BRPL,TPDDL,BYPL,DIAPL,NDMC,BRPL,ITCLH,TPDDL,BYPL,BRPL,TPDDL,MES_Delhi,BRPL,BRPL,TPDDL,NDMC,TPDDL,TPDDL,TPDDL,BRPL,TPDDL,NDMC,BRPL,NDMC,NDMC,TPDDL,BYPL,NDMC,NDMC,BRPL,BRPL,BRPL,NDMC,NDMC,TPDDL,BRPL,BRPL,HARYANA,NDMC,PUNJAB,BRPL,BRPL,BRPL,BRPL,TPDDL,BLKMH,OIDLWM2_AEROCITY,DTCP,ABLWM1_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,MES_Delhi,
,,North-North,North-North,North-North,North-North,North-North,East-North,South-West-North,West-North,South-West-North,West-North,West-North,South-West-North,North-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,East-North,South-West-North,West-North,South-West-North,West-North,West-North,South-West-North,North-North,North-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,North East-East-West-North,West-North,East-North,West-North,East-North,North-North,South-West-North,West-North,West-North,West-North,West-North,South-East-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,
1,00:00-00:15,0,0,0,0,0,17.47,44.21,105.72,0,0,0,6.73,81.69,0,0,96.11,54.06,48.06,0,0,25.07,12.49,8.74,48.06,0.91,0,0,0,0,0,20.42,28.59,48.06,26.21,0,0,96.11,204.23,192.22,0,0,0,0,0,19.22,26.21,7.69,81.69,163.39,49.02,0,0,96.11,81.69,134.55,30,43.68,30,15.23,134.79,19.22,20.73,0,0,0,0,0,0,0,0,2118.38

2,00:15-00:30,0,0,0,0,0,17.47,44.21,105.72,0,0,0,6.73,81.69,0,0,96.11,54.06,48.06,0,0,25.07,12.49,8.74,48.06,0.91,0,0,0,0,0,20.42,28.59,48.06,26.21,0,0,96.11,204.23,192.22,0,0,0,0,0,19.22,26.21,7.69,81.69,163.39,49.02,0,0,96.11,81.69,134.55,30,43.68,30,15.23,134.79,19.22,20.73,0,0,0,0,0,0,0,0,2118.38

