Time,Block,NR/2023/17268/C,NR/2023/16185/A,NR/2023/13383/A,NR/2023/13150/A,NR/2023/13387/A,NR/2023/17262/C,NR/2023/17272/C,NR/2023/13253/A,NR/2023/13254/A,NR/2023/16077/A,NR/2023/17288/C,NR/2023/17295/C,NR/2023/17259/D,NR/2023/17283/C,NR/2023/17275/C,NR/2023/17296/C,NR/2023/17274/C,NR/2023/13165/A,NR/2023/13385/A,NR/2023/17285/C,NR/2023/17264/C,NR/2023/17292/C,NR/2023/13168/A,NR/2023/16191/A,NR/2023/17286/C,NR/2023/17273/C,NR/2023/17293/C,NR/2023/13148/A,NR/2023/16291/F,NR/2023/17269/C,NR/2023/16993/F,NR/2023/16073/A,NR/2023/15770/A,Total
,,SJVNL,MANIKARAN,APPCPL,KEIPL,NVVNL,NVVNL,PXIL,APPCPL,APPCPL,APPCPL,IEXL,HPXL,SJVNL,IEXL,PXIL,IEXL,TPDDL,GMRETL,NVVNL,IEXL,GBHHPL,HPXL,GMRETL,MANIKARAN,IEXL,PXIL,IEXL,KEIPL,ITCLH,SJVNL,NVVNL,APPCPL,NVVNL,Total

,,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,NA,NA,UTTARAKHAND,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ARUNACHAL PRADESH,NA,SIKKIM,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,MP,Gujarat,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,NA,MEGHALAYA,ANDHRA PRADESH,UTTAR PRADESH,NA,GOA,NA,
,,RSRPL_BKN,HP,HP,Meghalaya_Ben,JPNIGRIE_JNSTPP,SOLAPUR_SOLAR,SEIL,UTTARAKHAND,Meghalaya_Ben,HP,Teesta_III,HP-GOVT,Arunachal_Ben,RKM_POWER,SIKKIM,OPGPGPLU2TN,CHANJUII,Meghalaya_Ben,JP BINA,SUGEN_GUVNL,GBHHPL,KWHEP,Meghalaya_Ben,HP,JHABUA_IPP,SEILP2,SINGOLI,Meghalaya_Ben,ITCWIND,BCMLB001,KAMENG,GOA_Beneficiary,SKS Raigarh,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BRPL,BYPL,BYPL,BRPL,MES (Delhi),BRPL,BYPL,BYPL,BRPL,BRPL,BRPL,NDMC,BRPL,BYPL,BYPL,TPDDL,BYPL,BRPL,BRPL,DIAPL,BRPL,BYPL,BRPL,BRPL,BRPL,BRPL,BYPL,ITCLH,NDMC,TPDDL,BRPL,NDMC,
,,North-North,North-North,North-North,North East-East-North,West-North,West-North,South-West-North,North-North,North East-East-North,North-North,East-North,North-North,North East-East-North,West-East-North,East-North,South-East-North,North-North,North East-East-North,West-North,West-East-North,North-North,North-North,North East-East-North,North-North,West-East-North,South-West-North,North-North,North East-East-North,South-West-North,North-North,North East-East-North,West-North,West-North,
1,00:00-00:15,0,38.390000,50.380000,62.570000,99.330000,0,0.000000,47.980000,19.470000,117.560000,453.940000,143.960000,0.000000,124.760000,28.790000,19.190000,9.890000,22.070000,49.660000,0.000000,6.060000,0.000000,34.550000,77.740000,0.000000,0.000000,32.630000,36.210000,0.860000,0.000000,106.060000,23.990000,62.380000,1668.42

2,00:15-00:30,0,38.390000,50.380000,62.570000,99.330000,0,0.000000,47.980000,19.470000,117.560000,413.630000,143.960000,0.000000,124.760000,28.790000,19.190000,9.890000,22.070000,49.660000,0.000000,6.060000,0.000000,34.550000,77.740000,0.000000,0.000000,32.630000,36.210000,0.860000,0.000000,106.060000,23.990000,62.380000,1628.11
