Column1,Block,NR/2024/23362/C,NR/2024/23360/C,NR/2024/23355/C,NR/2024/23361/C,GNA/NR/2024/09/27/1738,GNA/NR/2024/09/01/7119,NR/2024/22754/A/39230,NR/2024/22848/A/39228,GNA/NR/2024/09/27/4611,NR/2024/23038/A/38963,NR/2024/23119/A/39257,NR/2024/23121/A/39258,NR/30092023/31122025/SH-07,NR/2024/22835/A/39270,NR/2024/22820/A/38967,NR/2024/23217/A/39002,NR/2024/23364/C,NR/2024/21658/A/38928,NR/2024/22874/A/39260,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/8090,NR/2024/23122/A/39256,NR/2024/22803/A/39261,NR/2024/23118/A/39255,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,NR/2024/23214/A/39170,NR/2024/23213/A/39168,Total
,,NVVNL,NVVNL,TPDDL,NVVNL,PXIL,JITPL,PTC,APPCPL,JSWEL,IEXL,NVVNL,NVVNL,BAWANA_GAS,MANIKARAN,IEXL,DIAPL,DIAPL,ITCLH,NVVNL,DELHI,PTC,DELHI,NVVNL,NVVNL,NVVNL,PUNJAB,APPCPL,TPTCL,INSTINCT,MANIKARAN,MANIKARAN,SJVNL,SJVNL,
,,NA,NA,NA,NA,KARNATAKA_STATE,NA,HIMACHAL_STATE,UTTARAKHAND_STATE,KARNATAKA_STATE,MSEB_State,NA,NA,DELHI_UT,MSEB_State,KARNATAKA_STATE,HIMACHAL_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,MP_State,HIMACHAL_STATE,HIMACHAL_STATE,NA,NA,NA,NA,DELHI_UT,Arunachal_State,NA,NA,MP_State,ODISHA_STATE,NA,NA,
,,SORANG_HEP,SOLAPUR_SOLAR,JHAJJAR,Kameng,JSWEL,JITPL,HP,UTTARAKHAND,JSWEL,A_A_Energy_MH_Bio,RKM_POWER,RKM_POWER,BAWANA_GAS,AEML,NSLSUGAR,GBHHPL,GBHHPL,ITCWIND,JP_BINA,CHANJUII,HP,SKS_Raigarh,JPL2,JPNIGRIE_JNSTPP,TRN_ENERGY,BAWANA_GAS,Arunachal_Ben,JITPL,JPL2,BLAPOWER_MP,MAADURGA_THERMAL,RSRPL_BKN,TPSL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,MES_Delhi,TPDDL,TPDDL,BRPL,NDMC,BYPL,BYPL,BRPL,MES_Delhi,NDMC,NDMC,HARYANA,BYPL,MES_Delhi,DIAPL,DIAPL,ITCLH,TPDDL,TPDDL,BRPL,NDMC,NDMC,TPDDL,NDMC,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,NDMC,
,,North-North,West-North,North-North,North East-East-North,South-East-North,East-North,North-North,North-North,South-East-North,West-North,West-North,West-North,North-North,West-North,South-West-North,North-North,North-North,South-West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,North-North,North East-East-North,East-North,West-North,West-North,East-North,North-North,North-North,
1,00:00-00:15,30,0,241.92,163.11,193.54,17.5,54.43,84.36,0,3.87,26.39,26.39,7.78,90.96,4.84,6.77,0.97,0.87,48.38,9.43,163.3,0,26.39,96.77,8.8,7.78,32.9,24.19,96.77,21.77,2.42,0,0,1492.6000000000001

2,00:15-00:30,30,0,241.92,163.11,193.54,17.5,54.43,84.36,0,3.87,26.39,26.39,7.78,90.96,4.84,6.77,0.97,0.87,48.38,9.43,163.3,0,26.39,96.77,8.8,7.78,32.9,24.19,96.77,21.77,2.42,0,0,1492.6000000000001

