Column1,Block,NR/2024/23383/A/41803,NR/2024/23384/A/41794,NR/2024/23775/C,NR/2024/23382/A/41945,NR/2024/23640/A/41915,NR/2024/23639/A/41939,NR/2024/23772/C,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/6101,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/01/8106,Total
,,ITCLH,IEXL,DIAPL,NVVNL,SJVNL,SJVNL,NVVNL,PUNJAB,DELHI,BAWANA_GAS,NDMC,NDMC,NDMC,APPCPL,PTC,NDMC,PTC,NDMC,
,,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,HIMACHAL_STATE,NA,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,
,,ITCWIND,NSLSUGAR,GBHHPL,JITPL,TPSL_BKN2,RSRPL_BKN,SOLAPUR_SOLAR,BAWANA_GAS,CHANJUII,BAWANA_GAS,SKS_Raigarh,RKM_POWER,JPL2,BYPL,BYPL,RKM_POWER,BRPL,TRN_ENERGY,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,HIMACHAL_STATE,DELHI_UT,HIMACHAL_STATE,DELHI_UT,
,,ITCLH,MES_Delhi,DIAPL,NDMC,NDMC,NDMC,MES_Delhi,PUNJAB,TPDDL,HARYANA,NDMC,NDMC,NDMC,AEML,HP,NDMC,HP,NDMC,
,,South-West-North,South-West-North,North-North,East-North,North-North,North-North,West-North,North-North,North-North,North-North,West-North,West-North,West-North,North-West,North-North,West-North,North-North,West-North,
1,00:00-00:15,0.58,6.76,2.9,24.87,0,0,0,0,4.34,32,12.42,26.33,26.33,200,47.56,26.33,142.69,12.42,565.5299999999999

2,00:15-00:30,0.58,6.76,2.9,24.87,0,0,0,0,4.34,32,12.42,26.33,26.33,200,47.56,26.33,142.69,12.42,565.5299999999999

3,00:30-00:45,0.58,6.76,2.9,24.87,0,0,0,0,4.34,32,12.42,26.33,26.33,200,47.56,26.33,142.69,12.42,565.5299999999999

