Time,Block,NER/2024/2023/A/7941,WR/2024/21710/A/7993,WR/2024/21675/A/7945,NR/2024/18691/A/7994,NR/2024/18760/C,WR/2024/21740/A/7997,NR/2024/18388/A/7741,Total
,,APPCPL,MANIKARAN,APPCPL,MANIKARAN,NVVNL,MANIKARAN,ITCLH,Total

,,DELHI,DELHI,DELHI,DELHI,NA,DELHI,ANDHRA PRADESH,
,,BRPL,BRPL,BRPL,BRPL,SOLAPUR_SOLAR,BYPL,ITCWIND,
,,MANIPUR,GOA,GOA,HIMACHAL PRADESH,DELHI,MAHARASHTRA,DELHI,
,,Manipur_Ben,GOA_Beneficiary,GOA_Beneficiary,HP,MES (Delhi),AEML,ITCLH,
,,North-East-North East,North-West,North-West,North-North,West-North,North-West,South-West-North,
1,00:00-00:15,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

2,00:15-00:30,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

3,00:30-00:45,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

4,00:45-01:00,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

5,01:00-01:15,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

6,01:15-01:30,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

7,01:30-01:45,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

8,01:45-02:00,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

9,02:00-02:15,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

10,02:15-02:30,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

11,02:30-02:45,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

12,02:45-03:00,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

13,03:00-03:15,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

14,03:15-03:30,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

15,03:30-03:45,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

16,03:45-04:00,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

17,04:00-04:15,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

18,04:15-04:30,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

19,04:30-04:45,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

20,04:45-05:00,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

21,05:00-05:15,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

22,05:15-05:30,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

23,05:30-05:45,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

24,05:45-06:00,25.000000,0.000000,0.000000,0.000000,0,50.000000,0.390000,75.39

25,06:00-06:15,25.000000,0.000000,0.000000,191.900000,0,50.000000,0.530000,267.43

26,06:15-06:30,25.000000,0.000000,0.000000,191.900000,0,50.000000,0.530000,267.43

27,06:30-06:45,25.000000,0.000000,0.000000,191.900000,0,50.000000,0.530000,267.43

28,06:45-07:00,25.000000,0.000000,0.000000,191.900000,0,50.000000,0.530000,267.43

29,07:00-07:15,25.000000,0.000000,0.000000,191.900000,0.4,50.000000,0.580000,267.88

30,07:15-07:30,25.000000,0.000000,0.000000,191.900000,0.75,50.000000,0.580000,268.23

31,07:30-07:45,25.000000,0.000000,0.000000,191.900000,1.24,50.000000,0.580000,268.72

32,07:45:08:00,25.000000,0.000000,0.000000,191.900000,1.79,50.000000,0.580000,269.27

33,08:00-08:15,25.000000,0.000000,0.000000,191.900000,1.93,50.000000,0.970000,269.8

34,08:15-08:30,25.000000,0.000000,0.000000,191.900000,2.27,50.000000,0.970000,270.14

35,08:30-08:45,25.000000,0.000000,0.000000,191.900000,2.58,50.000000,0.970000,270.45

36,08:45:09:00,25.000000,0.000000,0.000000,191.900000,3.13,50.000000,0.970000,271

37,09:00:09:15,25.000000,0.000000,0.000000,191.900000,2.48,50.000000,0.970000,270.35

38,09:15-09:30,25.000000,0.000000,0.000000,191.900000,3.13,50.000000,0.970000,271

39,09:30-09:45,25.000000,0.000000,0.000000,191.900000,3.03,50.000000,0.970000,270.9

40,09:45-10:00,25.000000,0.000000,0.000000,191.900000,3.94,50.000000,0.970000,271.81

41,10:00-10:15,25.000000,0.000000,0.000000,191.900000,6.21,50.000000,0.970000,274.08

42,10:15-10:30,25.000000,0.000000,0.000000,191.900000,6.65,50.000000,0.970000,274.52

43,10:30-10:45,25.000000,0.000000,0.000000,191.900000,7.2,50.000000,0.970000,275.07

44,10:45-11:00,25.000000,0.000000,0.000000,191.900000,7.42,50.000000,0.970000,275.29

45,11:00-11:15,25.000000,0.000000,0.000000,191.900000,7.59,50.000000,0.970000,275.46

46,11:15-11:30,25.000000,0.000000,0.000000,191.900000,7.86,50.000000,0.970000,275.73

47,11:30-11:45,25.000000,0.000000,0.000000,191.900000,8,50.000000,0.970000,275.87

48,11:45-12:00,25.000000,0.000000,0.000000,191.900000,8.15,50.000000,0.970000,276.02

49,12:00-12:15,25.000000,0.000000,0.000000,191.900000,8.26,50.000000,0.970000,276.13

50,12:15-12:30,25.000000,0.000000,0.000000,191.900000,8.22,50.000000,0.970000,276.09

51,12:30-12:45,25.000000,0.000000,0.000000,191.900000,8.19,50.000000,0.970000,276.06

52,12:45-13:00,25.000000,0.000000,0.000000,191.900000,8.14,50.000000,0.970000,276.01

53,13:00-13:15,25.000000,0.000000,0.000000,191.900000,8.06,50.000000,0.970000,275.93

54,13:15-13:30,25.000000,0.000000,0.000000,191.900000,7.9,50.000000,0.970000,275.77

55,13:30-13:45,25.000000,0.000000,0.000000,191.900000,7.72,50.000000,0.970000,275.59

56,13:45-14:00,25.000000,0.000000,0.000000,191.900000,7.25,50.000000,0.970000,275.12

57,14:00-14:15,25.000000,0.000000,0.000000,191.900000,6.73,50.000000,0.970000,274.6

58,14:15-14:30,25.000000,0.000000,0.000000,191.900000,6.62,50.000000,0.970000,274.49

59,14:30-14:45,25.000000,0.000000,0.000000,191.900000,6.96,50.000000,0.970000,274.83

60,14:45-15:00,25.000000,0.000000,0.000000,191.900000,5.02,50.000000,0.970000,272.89

61,15:00-15:15,25.000000,0.000000,0.000000,191.900000,3.33,50.000000,0.770000,271

62,15:15-15:30,25.000000,0.000000,0.000000,191.900000,4.16,50.000000,0.770000,271.83

63,15:30-15:45,25.000000,0.000000,0.000000,191.900000,4.41,50.000000,0.770000,272.08

64,15:45-16:00,25.000000,0.000000,0.000000,191.900000,2.74,50.000000,0.770000,270.41

65,16:00-16:15,25.000000,0.000000,0.000000,191.900000,3.66,50.000000,0.530000,271.09

66,16:15-16:30,25.000000,0.000000,0.000000,191.900000,2.94,50.000000,0.530000,270.37

67,16:30-16:45,25.000000,0.000000,0.000000,191.900000,2.82,50.000000,0.530000,270.25

68,16:45-17:00,25.000000,0.000000,0.000000,191.900000,2.03,50.000000,0.530000,269.46

69,17:00-17:15,25.000000,0.000000,0.000000,191.900000,1.7,50.000000,0.530000,269.13

70,17:15-17:30,25.000000,0.000000,0.000000,191.900000,1.17,50.000000,0.530000,268.6

71,17:30-17:45,25.000000,0.000000,0.000000,191.900000,0.9,50.000000,0.530000,268.33

72,17:45-18:00,25.000000,0.000000,0.000000,191.900000,0.55,50.000000,0.530000,267.98

73,18:00-18:15,25.000000,25.000000,57.760000,30.600000,0.27,50.000000,0.530000,189.16

74,18:15-18:30,25.000000,25.000000,57.760000,30.600000,0.1,50.000000,0.530000,188.99

75,18:30-18:45,25.000000,25.000000,57.760000,30.600000,0,50.000000,0.530000,188.89

76,18:45-19:00,25.000000,25.000000,57.760000,30.600000,0,50.000000,0.530000,188.89

77,19:00-19:15,25.000000,25.000000,57.760000,30.600000,0,50.000000,0.630000,188.99

78,19:15-19:30,25.000000,25.000000,57.760000,30.600000,0,50.000000,0.630000,188.99

79,19:30-19:45,25.000000,25.000000,57.760000,30.600000,0,50.000000,0.630000,188.99

80,19:45-20:00,25.000000,25.000000,57.760000,30.600000,0,50.000000,0.630000,188.99

