timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BRPL,53DSBRPL2025/04/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.6500,0.0000,16.0149,0.0000,0.0000,0.0000,0.0000,0.0000,38.1400,10.5900,0.0000,0.0000,84.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,433.1000,0.0000,0.0000,5.8700,64.2200,53.3900,74.4500,49.8200,32.4000,9.2500,19.1200,11.8600,19.3700,62.6900,0.0000,0.0000,0.0000,0.0000,0.0000,16.7600,6.6700,0.0000,0.0000,33.4400,0.0000,0.0000,0.0000,31.0400,0.0000,0.0000,0.0000,0.0000,15.7600,17.5700,0.0000,15.0900,10.7600,0.0000,9.1400,0.0000,9.6000,0.1100,5.5100,1.3000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.6600,80.0000,0.0000,3.0100,4.5100,0.0000,3.0100,0.0000,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9200,0.0000,1532.6349,2.20,0.00,13.5005,0.00,1521.3344
2,BRPL,53DSBRPL2025/04/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.6500,0.0000,15.5949,0.0000,0.0000,0.0000,0.0000,0.0000,38.1400,19.3000,0.0000,0.0000,84.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,491.3000,0.0000,0.0000,5.8700,64.2300,53.3900,74.4500,49.8200,32.4000,9.2500,19.1200,11.8600,19.3700,62.6900,0.0000,0.0000,0.0000,0.0000,0.0000,8.3900,6.6700,0.0000,0.0000,33.4400,0.0000,0.0000,0.0000,31.0400,0.0000,0.0000,0.0000,0.0000,15.7600,17.5700,0.0000,15.0900,10.7600,0.0000,9.1400,0.0000,9.6000,2.7500,5.5100,1.3000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.6600,80.0000,0.0000,3.0100,4.5100,0.0000,3.0100,0.0000,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9200,0.0000,1593.4049,-73.80,0.00,14.5673,0.00,1505.0376
3,BRPL,53DSBRPL2025/04/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.6500,0.0000,15.5949,0.0000,0.0000,0.0000,0.0000,0.0000,38.1400,19.3000,0.0000,0.0000,84.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,491.3000,0.0000,0.0000,5.8700,64.2300,53.3900,74.4500,49.8200,32.4000,9.2500,19.1200,11.8600,19.3700,62.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,0.0000,0.0000,33.4400,0.0000,0.0000,0.0000,31.0400,0.0000,0.0000,0.0000,0.0000,15.7600,17.5700,0.0000,15.0900,10.7600,0.0000,9.1400,0.0000,50.9000,2.7500,5.5100,1.3000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0000,80.0000,0.0000,3.0100,4.5100,0.0000,3.0100,0.0000,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9200,0.0000,1625.4549,-90.80,0.00,14.9499,0.00,1519.7050
4,BRPL,53DSBRPL2025/04/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.6500,0.0000,15.5949,0.0000,0.0000,0.0000,0.0000,0.0000,38.1400,19.3000,0.0000,0.0000,84.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,491.3000,0.0000,0.0000,5.8700,64.2300,53.3900,74.4500,49.8200,32.4000,9.2500,19.1200,11.8600,19.3700,62.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,0.0000,0.0000,33.4400,0.0000,0.0000,0.0000,31.0400,0.0000,0.0000,0.0000,0.0000,15.7600,17.5700,0.0000,15.0900,10.7600,0.0000,9.1400,0.0000,50.9000,2.7500,5.5100,1.3000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.6600,80.0000,0.0000,3.0100,4.5100,0.0000,3.0100,0.0000,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9200,0.0000,1625.1149,-114.80,0.00,15.1345,0.00,1495.1804
5,BRPL,53DSBRPL2025/04/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.6500,0.0000,15.5949,0.0000,0.0000,0.0000,0.0000,0.0000,38.1400,19.3000,0.0000,0.0000,84.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,491.3000,0.0000,0.0000,5.8700,64.2300,53.3900,74.4500,49.8200,32.4000,9.2500,19.1200,11.8600,19.3700,62.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,0.0000,0.0000,33.4400,0.0000,0.0000,0.0000,31.0400,0.0000,0.0000,0.0000,0.0000,15.7600,17.5700,0.0000,15.0900,10.7600,0.0000,9.1400,0.0000,50.9000,2.7500,8.2700,1.3000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,2.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.3400,80.0000,0.0000,3.0100,4.5100,0.0000,3.0100,0.0000,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9200,0.0000,1627.3549,-135.80,0.00,15.3157,0.00,1476.2392
6,BRPL,53DSBRPL2025/04/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.6500,0.0000,15.5949,0.0000,0.0000,0.0000,0.0000,0.0000,38.1400,19.3000,0.0000,0.0000,84.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,491.3000,0.0000,0.0000,5.8700,64.2300,53.3900,74.4500,49.8200,32.4000,9.2500,19.1200,11.8600,19.3700,62.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,0.0000,0.0000,33.4400,0.0000,0.0000,0.0000,31.0400,0.0000,0.0000,0.0000,0.0000,15.7600,17.5700,0.0000,15.0900,10.7600,0.0000,9.1400,0.0000,50.9000,2.7500,8.2700,1.3000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,2.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.6600,80.0000,0.0000,3.0100,4.5100,0.0000,3.0100,0.0000,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9200,0.0000,1626.6749,-157.80,0.00,15.4820,0.00,1453.3929
7,BRPL,53DSBRPL2025/04/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.6500,0.0000,15.5949,0.0000,0.0000,0.0000,0.0000,0.0000,38.1400,19.3000,0.0000,0.0000,84.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,493.6300,0.0000,0.0000,5.8700,64.2300,53.3900,74.4500,49.8200,32.4000,9.2500,19.1200,11.8600,19.3700,62.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,0.0000,0.0000,33.4400,0.0000,0.0000,0.0000,31.0400,0.0000,0.0000,0.0000,0.0000,15.2800,17.5700,0.0000,15.0900,10.7600,0.0000,9.1400,0.0000,52.8800,2.7500,8.2700,1.3000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,2.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.3400,82.0000,0.0000,3.0100,4.5100,0.0000,3.0100,0.0000,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9200,0.0000,1631.1849,-200.80,0.00,15.8526,0.00,1414.5323
8,BRPL,53DSBRPL2025/04/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.6500,0.0000,15.5949,0.0000,0.0000,0.0000,0.0000,0.0000,38.1400,19.3000,0.0000,0.0000,84.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,493.6300,0.0000,0.0000,5.8700,64.2300,53.3900,74.4500,49.8200,32.4000,9.2500,19.1200,11.8600,19.3700,62.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,0.0000,0.0000,33.4400,0.0000,0.0000,0.0000,31.0400,0.0000,0.0000,0.0000,0.0000,15.2800,17.5700,0.0000,15.0900,15.5400,0.0000,9.1400,0.0000,52.8800,2.7500,8.2700,1.3000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,2.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.3400,82.0000,0.0000,3.0100,4.5100,0.0000,3.0100,0.0000,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9200,0.0000,1634.9649,-214.80,0.00,15.9913,0.00,1404.1736
9,BRPL,53DSBRPL2025/04/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.6500,0.0000,16.0149,0.0000,0.0000,0.0000,0.0000,0.0000,38.1400,10.9600,0.0000,0.0000,84.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,442.1100,0.0000,0.0000,5.8700,64.2300,53.3900,74.4500,49.8200,32.4000,9.2500,19.1200,11.8600,19.3700,62.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,0.0000,0.0000,33.4400,0.0000,0.0000,0.0000,31.0400,0.0000,0.0000,0.0000,0.0000,15.2800,17.5700,0.0000,21.7800,15.5400,0.0000,9.1400,0.0000,19.1900,2.7500,8.2700,1.3000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,17.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.6600,82.0000,0.0000,3.0100,4.5100,0.0000,3.0100,0.0000,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9200,0.0000,1562.4549,-130.10,0.00,14.7604,0.00,1417.5945
10,BRPL,53DSBRPL2025/04/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.6500,0.0000,16.0149,0.0000,0.0000,0.0000,0.0000,0.0000,38.1400,10.9600,0.0000,0.0000,84.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,403.1100,0.0000,0.0000,5.8700,64.2300,53.3900,74.4500,49.8200,32.4000,9.2500,19.1200,11.8600,19.3700,62.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,0.0000,0.0000,33.4400,0.0000,0.0000,0.0000,31.0400,0.0000,0.0000,0.0000,0.0000,15.2800,17.5700,0.0000,21.7800,15.5400,0.0000,9.1400,0.0000,19.1900,0.0000,8.2700,1.3000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,17.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.0000,82.0000,0.0000,3.0100,4.5100,0.0000,3.0100,0.0000,31.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9200,0.0000,1520.0449,-92.10,0.00,14.1332,0.00,1413.8117
